time;ckpt;id;money
598;gate-keeper;120;
599;gate-keeper;121;
600;vege_1;120;
607;vege_0;121;
646;final-crs_8;120;2121
667;final-crs_10;121;1373
825;gate-keeper;167;
827;frui_0;167;
885;final-crs_10;167;103
1155;gate-keeper;235;
1156;gate-keeper;236;
1159;frui_0;236;
1160;vege_1;235;
1167;final-crs_6;236;474
1189;final-crs_1;235;1596
1782;gate-keeper;366;
1798;meat_1;366;
1820;final-crs_6;366;2638
2118;gate-keeper;432;
2119;gate-keeper;433;
2120;gate-keeper;434;
2126;vege_1;432;
2127;vege_0;433;
2130;final-crs_7;432;2784
2134;final-crs_11;433;1128
2136;vege_0;434;
2160;final-crs_2;434;2992
2427;gate-keeper;496;
2428;gate-keeper;497;
2429;gate-keeper;498;
2430;gate-keeper;499;
2431;vege_1;496;
2434;vege_0;497;
2434;frui_0;499;
2439;vege_1;498;
2468;final-crs_10;496;2113
2483;final-crs_0;497;182
2510;final-crs_6;499;4011
2528;final-crs_12;498;496
2985;gate-keeper;615;
2989;frui_1;615;
2995;final-crs_1;615;1500
3278;gate-keeper;675;
3283;vege_0;675;
3290;final-crs_11;675;3641
3589;gate-keeper;739;
3592;vege_0;739;
3593;final-crs_8;739;355
3874;gate-keeper;797;
3875;gate-keeper;798;
3876;vege_1;797;
3903;final-crs_1;797;151
3908;meat_0;798;
3910;final-crs_10;798;1373
3942;gate-keeper;811;
3943;gate-keeper;812;
3944;gate-keeper;813;
3948;vege_0;811;
3949;vege_1;813;
3954;final-crs_0;811;2401
3970;final-crs_3;813;988
3978;meat_0;812;
4002;final-crs_9;812;3110
4212;gate-keeper;870;
4214;vege_1;870;
4243;final-crs_12;870;2689
4495;gate-keeper;928;
4503;vege_1;928;
4516;final-crs_11;928;850
4785;gate-keeper;984;
4786;gate-keeper;985;
4787;gate-keeper;986;
4788;gate-keeper;987;
4789;vege_1;984;
4789;frui_0;986;
4789;gate-keeper;988;
4790;vege_0;985;
4790;frui_1;987;
4790;gate-keeper;989;
4796;frui_0;988;
4810;final-crs_8;984;1466
4832;meat_1;989;
4858;final-crs_10;986;965
4894;final-crs_9;985;2852
4905;final-crs_0;987;799
4945;final-crs_6;988;1335
4951;final-crs_12;989;1458
5093;gate-keeper;1052;
5101;vege_1;1052;
5140;final-crs_9;1052;1421
5329;gate-keeper;1100;
5337;vege_0;1100;
5367;final-crs_0;1100;926
5389;gate-keeper;1112;
5395;vege_0;1112;
5417;final-crs_6;1112;512
5611;gate-keeper;1159;
5612;vege_1;1159;
5617;final-crs_0;1159;149
5885;gate-keeper;1211;
5886;gate-keeper;1212;
5887;gate-keeper;1213;
5888;gate-keeper;1214;
5889;vege_0;1211;
5889;frui_1;1213;
5889;gate-keeper;1215;
5890;vege_1;1212;
5890;gate-keeper;1216;
5899;vege_0;1214;
5900;vege_1;1215;
5907;vege_0;1216;
5914;final-crs_7;1211;1478
5922;final-crs_11;1213;2453
5925;final-crs_0;1212;1983
5940;final-crs_4;1214;1407
5955;final-crs_3;1215;2564
5969;final-crs_10;1216;1001
6208;gate-keeper;1282;
6209;gate-keeper;1283;
6212;vege_0;1282;
6213;vege_1;1283;
6220;final-crs_8;1282;658
6223;final-crs_2;1283;983
6503;gate-keeper;1345;
6507;vege_1;1345;
6513;final-crs_9;1345;2101
6787;gate-keeper;1405;
6790;vege_0;1405;
6795;final-crs_0;1405;649
7056;gate-keeper;1459;
7057;gate-keeper;1460;
7058;frui_0;1460;
7061;vege_0;1459;
7067;final-crs_6;1460;3274
7073;final-crs_11;1459;660
7096;gate-keeper;1467;
7097;gate-keeper;1468;
7098;gate-keeper;1469;
7101;vege_0;1469;
7101;frui_1;1468;
7104;final-crs_4;1469;352
7107;meat_1;1467;
7111;final-crs_7;1468;266
7156;final-crs_8;1467;77
7382;gate-keeper;1528;
7383;gate-keeper;1529;
7384;vege_0;1528;
7384;vege_1;1529;
7426;gate-keeper;1537;
7427;vege_1;1537;
7427;gate-keeper;1538;
7432;final-crs_3;1528;1313
7432;frui_1;1538;
7446;final-crs_10;1529;676
7459;final-crs_1;1537;435
7465;final-crs_9;1538;1771
7702;gate-keeper;1592;
7703;gate-keeper;1593;
7704;vege_1;1592;
7704;gate-keeper;1594;
7705;gate-keeper;1595;
7708;vege_0;1593;
7713;vege_1;1594;
7716;final-crs_1;1592;1307
7717;vege_0;1595;
7721;final-crs_5;1593;580
7727;final-crs_9;1594;1612
7738;final-crs_2;1595;142
8321;gate-keeper;1720;
8322;gate-keeper;1721;
8324;frui_1;1721;
8329;vege_1;1720;
8347;final-crs_7;1721;452
8407;final-crs_9;1720;2227
8602;gate-keeper;1770;
8603;vege_1;1770;
8603;gate-keeper;1771;
8604;gate-keeper;1772;
8605;vege_0;1772;
8605;gate-keeper;1773;
8606;frui_0;1771;
8606;gate-keeper;1774;
8607;gate-keeper;1775;
8608;gate-keeper;1776;
8609;gate-keeper;1777;
8610;gate-keeper;1778;
8611;vege_1;1773;
8613;frui_0;1777;
8616;vege_0;1774;
8621;vege_1;1775;
8627;vege_0;1776;
8631;vege_1;1778;
8641;final-crs_10;1770;2239
8685;final-crs_6;1772;804
8685;final-crs_11;1771;1362
8695;final-crs_2;1773;1667
8698;final-crs_5;1777;154
8722;final-crs_0;1774;2685
8732;final-crs_1;1775;674
8734;final-crs_4;1776;918
8737;final-crs_8;1778;2186
8861;gate-keeper;1830;
8862;gate-keeper;1831;
8863;vege_1;1830;
8863;gate-keeper;1832;
8864;final-crs_7;1830;2309
8864;vege_0;1832;
8864;gate-keeper;1833;
8870;final-crs_10;1832;1036
8872;vege_1;1833;
8884;final-crs_11;1833;1789
8888;meat_0;1831;
8890;final-crs_6;1831;1526
8912;gate-keeper;1843;
8919;vege_0;1843;
8937;final-crs_5;1843;3001
9519;gate-keeper;1971;
9523;vege_0;1971;
9537;final-crs_12;1971;1211
9830;gate-keeper;2032;
9831;vege_0;2032;
9831;gate-keeper;2033;
9832;vege_1;2033;
9832;gate-keeper;2034;
9833;final-crs_7;2032;762
9839;vege_0;2034;
9856;final-crs_11;2033;649
9861;final-crs_5;2034;1084
10083;gate-keeper;2084;
10087;vege_1;2084;
10095;final-crs_5;2084;85
10395;gate-keeper;2149;
10399;frui_0;2149;
10410;final-crs_8;2149;2477
10712;gate-keeper;2215;
10713;gate-keeper;2216;
10714;vege_0;2216;
10725;meat_1;2215;
10750;final-crs_9;2216;255
10777;final-crs_10;2215;899
10801;gate-keeper;2231;
10802;gate-keeper;2232;
10803;gate-keeper;2233;
10804;gate-keeper;2234;
10805;vege_0;2231;
10808;final-crs_7;2231;2144
10809;vege_1;2232;
10812;vege_0;2233;
10818;vege_1;2234;
10834;final-crs_6;2232;1936
10871;final-crs_11;2233;567
10877;final-crs_12;2234;1356
11041;gate-keeper;2283;
11043;vege_0;2283;
11052;final-crs_6;2283;1424
11340;gate-keeper;2342;
11341;frui_0;2342;
11341;gate-keeper;2343;
11342;frui_1;2343;
11342;gate-keeper;2344;
11343;final-crs_11;2342;2398
11343;gate-keeper;2345;
11344;gate-keeper;2346;
11347;frui_1;2344;
11349;vege_1;2346;
11357;meat_1;2345;
11362;final-crs_0;2343;2130
11364;final-crs_1;2344;417
11444;final-crs_4;2346;192
11447;final-crs_2;2345;1833
11654;gate-keeper;2410;
11655;vege_1;2410;
11655;gate-keeper;2411;
11660;vege_0;2411;
11676;final-crs_4;2410;2142
11712;final-crs_2;2411;2584
11940;gate-keeper;2470;
11941;gate-keeper;2471;
11945;meat_0;2470;
11947;final-crs_9;2470;910
11948;vege_0;2471;
11975;final-crs_2;2471;1580
12243;gate-keeper;2531;
12244;gate-keeper;2532;
12245;gate-keeper;2533;
12246;frui_1;2533;
12246;gate-keeper;2534;
12249;frui_0;2534;
12255;final-crs_12;2533;1205
12270;meat_1;2531;
12276;meat_0;2532;
12280;final-crs_10;2534;1071
12314;final-crs_3;2531;204
12343;final-crs_0;2532;1453
12490;gate-keeper;2584;
12495;vege_0;2584;
12500;final-crs_12;2584;2604
12859;gate-keeper;2660;
12865;vege_0;2660;
12873;final-crs_9;2660;1890
13130;gate-keeper;2716;
13134;frui_0;2716;
13135;final-crs_5;2716;1639
13433;gate-keeper;2779;
13434;gate-keeper;2780;
13435;vege_1;2779;
13437;frui_1;2780;
13461;final-crs_9;2779;359
13463;final-crs_6;2780;411
13674;gate-keeper;2829;
13675;gate-keeper;2830;
13676;gate-keeper;2831;
13679;frui_1;2829;
13680;vege_0;2830;
13683;vege_1;2831;
13684;final-crs_1;2829;2955
13687;final-crs_4;2830;1736
13696;final-crs_0;2831;100
14282;gate-keeper;2956;
14290;vege_1;2956;
14321;final-crs_7;2956;4072
14522;gate-keeper;3004;
14523;gate-keeper;3005;
14527;vege_1;3004;
14528;vege_0;3005;
14547;final-crs_7;3004;959
14561;final-crs_12;3005;245
15175;gate-keeper;3138;
15176;gate-keeper;3139;
15177;gate-keeper;3140;
15178;gate-keeper;3141;
15179;gate-keeper;3142;
15180;vege_0;3139;
15180;gate-keeper;3143;
15182;vege_1;3140;
15190;vege_1;3141;
15192;vege_0;3142;
15193;final-crs_6;3139;217
15194;final-crs_2;3140;131
15201;vege_1;3143;
15224;meat_0;3138;
15235;final-crs_3;3141;3677
15253;final-crs_10;3142;2045
15258;final-crs_7;3143;559
15261;final-crs_8;3138;2816
15299;gate-keeper;3167;
15300;gate-keeper;3168;
15301;frui_0;3168;
15302;vege_1;3167;
15316;final-crs_1;3168;386
15325;final-crs_4;3167;1352
15584;gate-keeper;3229;
15588;vege_1;3229;
15637;final-crs_9;3229;2064
15903;gate-keeper;3295;
15929;meat_1;3295;
15931;final-crs_10;3295;494
16257;gate-keeper;3369;
16260;vege_0;3369;
16280;final-crs_1;3369;1665
16753;gate-keeper;3471;
16755;vege_1;3471;
16764;final-crs_2;3471;866
17080;gate-keeper;3538;
17081;gate-keeper;3539;
17082;gate-keeper;3540;
17084;frui_1;3539;
17085;final-crs_6;3539;614
17085;vege_0;3538;
17087;vege_1;3540;
17097;final-crs_9;3538;2683
17097;final-crs_11;3540;1278
17180;gate-keeper;3560;
17181;frui_0;3560;
17181;gate-keeper;3561;
17183;frui_1;3561;
17195;final-crs_12;3560;406
17205;final-crs_2;3561;195
17662;gate-keeper;3659;
17663;gate-keeper;3660;
17664;vege_1;3660;
17664;frui_1;3659;
17669;final-crs_12;3660;1859
17685;final-crs_2;3659;1965
17929;gate-keeper;3715;
17934;vege_0;3715;
17961;final-crs_1;3715;544
18058;gate-keeper;3741;
18059;frui_0;3741;
18064;final-crs_7;3741;2034
18250;gate-keeper;3783;
18252;vege_0;3783;
18259;final-crs_10;3783;3866
19192;gate-keeper;3975;
19193;gate-keeper;3976;
19194;frui_0;3976;
19194;gate-keeper;3977;
19195;frui_1;3977;
19195;gate-keeper;3978;
19197;vege_0;3975;
19198;vege_1;3978;
19238;final-crs_9;3976;2339
19248;final-crs_6;3977;1806
19251;gate-keeper;3989;
19252;final-crs_12;3975;838
19253;vege_0;3989;
19257;final-crs_5;3978;1078
19261;final-crs_7;3989;1257
19461;gate-keeper;4033;
19481;meat_0;4033;
19500;final-crs_5;4033;2764
19743;gate-keeper;4259;
19744;gate-keeper;4260;
19746;vege_0;4260;
19747;frui_0;4259;
19765;final-crs_0;4260;251
19802;final-crs_3;4259;903
20117;gate-keeper;4336;
20118;gate-keeper;4337;
20119;vege_0;4337;
20120;frui_1;4336;
20148;final-crs_10;4337;514
20171;final-crs_6;4336;1219
20347;gate-keeper;4554;
20348;gate-keeper;4555;
20349;gate-keeper;4556;
20350;vege_0;4556;
20353;frui_0;4555;
20354;meat_0;4554;
20357;final-crs_9;4556;901
20410;final-crs_10;4555;536
20411;final-crs_6;4554;2851
20946;gate-keeper;4849;
20948;vege_0;4849;
20953;final-crs_5;4849;1724
21216;gate-keeper;4906;
21226;vege_0;4906;
21276;final-crs_9;4906;587
21426;gate-keeper;5118;
21427;gate-keeper;5119;
21429;frui_0;5119;
21430;vege_1;5118;
21446;final-crs_1;5119;465
21478;gate-keeper;5130;
21484;vege_0;5130;
21493;final-crs_9;5118;1973
21524;final-crs_3;5130;1305
21781;gate-keeper;5702;
21782;gate-keeper;5703;
21783;gate-keeper;5704;
21785;frui_1;5702;
21788;frui_0;5703;
21806;meat_1;5704;
21859;final-crs_0;5702;256
21859;final-crs_4;5703;962
21866;final-crs_6;5704;1084
22371;gate-keeper;5824;
22372;gate-keeper;5825;
22373;vege_1;5824;
22377;final-crs_5;5824;259
22379;vege_0;5825;
22393;final-crs_10;5825;863
23029;gate-keeper;6132;
23032;vege_0;6132;
23069;final-crs_1;6132;1253
23342;gate-keeper;6195;
23343;frui_0;6195;
23343;gate-keeper;6196;
23344;gate-keeper;6197;
23348;vege_1;6196;
23351;vege_0;6197;
23362;final-crs_3;6195;1376
23395;final-crs_4;6196;1532
23418;final-crs_2;6197;2115
23419;gate-keeper;6214;
23424;vege_1;6214;
23440;final-crs_9;6214;676
23663;gate-keeper;6261;
23664;gate-keeper;6262;
23665;gate-keeper;6263;
23666;vege_0;6261;
23667;vege_1;6262;
23669;final-crs_12;6261;3722
23672;final-crs_6;6262;1400
23676;vege_0;6263;
23678;final-crs_2;6263;726
23948;gate-keeper;6659;
23949;gate-keeper;6660;
23950;frui_0;6660;
23950;gate-keeper;6661;
23951;vege_0;6659;
23955;vege_1;6661;
23971;final-crs_8;6660;2464
23998;final-crs_7;6659;526
24010;final-crs_10;6661;1400
24241;gate-keeper;6721;
24242;gate-keeper;6722;
24247;vege_1;6721;
24249;meat_1;6722;
24260;final-crs_10;6721;388
24272;gate-keeper;6725;
24273;gate-keeper;6726;
24274;gate-keeper;6727;
24275;gate-keeper;6728;
24277;vege_0;6726;
24278;vege_1;6727;
24285;final-crs_3;6722;1606
24289;final-crs_0;6726;424
24290;meat_0;6725;
24298;meat_1;6728;
24335;final-crs_1;6727;2907
24345;final-crs_11;6725;2045
24353;final-crs_4;6728;2019
24563;gate-keeper;6786;
24564;gate-keeper;6787;
24565;gate-keeper;6788;
24571;vege_1;6786;
24572;vege_0;6787;
24580;vege_1;6788;
24588;final-crs_11;6786;173
24611;final-crs_5;6787;1299
24621;final-crs_4;6788;129
24811;gate-keeper;6841;
24815;vege_0;6841;
24840;final-crs_4;6841;813
25112;gate-keeper;6899;
25113;gate-keeper;6900;
25114;gate-keeper;6901;
25115;gate-keeper;6902;
25116;gate-keeper;6903;
25117;vege_0;6899;
25117;frui_1;6901;
25117;meat_1;6900;
25118;vege_1;6902;
25119;final-crs_4;6899;1285
25144;final-crs_0;6901;1702
25153;final-crs_9;6900;394
25164;meat_0;6903;
25203;final-crs_2;6902;225
25211;final-crs_8;6903;1252
25360;gate-keeper;6954;
25362;vege_1;6954;
25373;final-crs_0;6954;1057
26250;gate-keeper;7136;
26251;gate-keeper;7137;
26252;gate-keeper;7138;
26254;vege_0;7136;
26257;vege_1;7137;
26258;final-crs_11;7136;2142
26264;vege_0;7138;
26273;final-crs_10;7137;913
26290;final-crs_0;7138;758
26528;gate-keeper;7196;
26529;gate-keeper;7197;
26532;vege_1;7196;
26533;vege_0;7197;
26547;final-crs_10;7196;1918
26557;final-crs_2;7197;2032
27097;gate-keeper;7315;
27098;gate-keeper;7316;
27099;frui_1;7315;
27100;frui_0;7316;
27107;final-crs_4;7315;1779
27117;final-crs_8;7316;2161
27191;gate-keeper;7335;
27193;vege_1;7335;
27223;final-crs_1;7335;1243
27376;gate-keeper;7374;
27377;gate-keeper;7375;
27378;vege_1;7375;
27379;final-crs_6;7375;958
27409;meat_0;7374;
27468;final-crs_7;7374;1893
27696;gate-keeper;7439;
27697;gate-keeper;7440;
27698;gate-keeper;7441;
27699;vege_1;7439;
27700;final-crs_0;7439;2009
27701;vege_0;7440;
27708;vege_1;7441;
27720;final-crs_1;7440;110
27776;final-crs_10;7441;1031
28002;gate-keeper;7503;
28007;frui_0;7503;
28024;final-crs_8;7503;1352
28056;gate-keeper;7514;
28057;gate-keeper;7515;
28058;vege_1;7515;
28059;final-crs_4;7515;434
28072;meat_1;7514;
28085;final-crs_9;7514;2723
28587;gate-keeper;7619;
28588;gate-keeper;7620;
28589;gate-keeper;7621;
28590;gate-keeper;7622;
28591;vege_0;7619;
28591;frui_1;7621;
28591;gate-keeper;7623;
28592;gate-keeper;7624;
28594;vege_1;7620;
28600;final-crs_9;7619;2787
28600;vege_0;7622;
28604;vege_1;7623;
28609;vege_0;7624;
28647;final-crs_6;7621;468
28654;final-crs_11;7620;2644
28659;final-crs_7;7622;1337
28687;final-crs_10;7623;2197
28721;final-crs_0;7624;1184
28903;gate-keeper;7690;
28904;vege_1;7690;
28904;gate-keeper;7691;
28910;frui_0;7691;
28914;final-crs_10;7690;405
28915;final-crs_7;7691;1338
30004;gate-keeper;7914;
30005;gate-keeper;7915;
30006;gate-keeper;7916;
30007;vege_0;7914;
30007;gate-keeper;7917;
30012;final-crs_2;7914;1087
30013;vege_1;7915;
30014;vege_0;7917;
30030;meat_1;7916;
30044;final-crs_1;7915;1993
30061;final-crs_9;7917;1839
30065;final-crs_4;7916;411
30129;gate-keeper;7940;
30130;gate-keeper;7941;
30131;gate-keeper;7942;
30133;vege_0;7940;
30135;frui_0;7941;
30135;frui_1;7942;
30148;final-crs_5;7940;2532
30183;final-crs_8;7941;1752
30191;final-crs_12;7942;1651
30482;gate-keeper;8010;
30483;gate-keeper;8011;
30484;gate-keeper;8012;
30485;gate-keeper;8013;
30486;gate-keeper;8014;
30487;vege_0;8010;
30489;frui_1;8013;
30491;final-crs_3;8010;1967
30491;vege_1;8011;
30496;vege_0;8012;
30501;vege_1;8014;
30520;final-crs_9;8013;1833
30543;final-crs_0;8011;2214
30543;final-crs_2;8012;1716
30545;final-crs_7;8014;1392
30792;gate-keeper;8078;
30823;meat_0;8078;
30825;final-crs_5;8078;436
30952;gate-keeper;8112;
30954;frui_1;8112;
30989;final-crs_0;8112;2404
31106;gate-keeper;8143;
31111;frui_0;8143;
31141;final-crs_8;8143;216
31679;gate-keeper;8259;
31680;gate-keeper;8260;
31681;frui_1;8260;
31681;gate-keeper;8261;
31682;gate-keeper;8262;
31683;frui_0;8261;
31684;vege_0;8259;
31684;vege_1;8262;
31710;gate-keeper;8269;
31713;vege_1;8269;
31715;final-crs_3;8260;1398
31717;final-crs_9;8261;1281
31746;final-crs_10;8259;1942
31778;final-crs_4;8262;198
31805;final-crs_5;8269;1442
31862;gate-keeper;8295;
31863;gate-keeper;8296;
31864;gate-keeper;8297;
31865;gate-keeper;8298;
31866;vege_1;8297;
31866;gate-keeper;8299;
31867;frui_0;8296;
31870;frui_1;8298;
31874;frui_0;8299;
31884;final-crs_11;8297;1165
31891;meat_0;8295;
31898;final-crs_0;8296;777
31918;final-crs_9;8298;1118
31932;final-crs_2;8299;459
31957;final-crs_3;8295;150
32014;gate-keeper;8330;
32015;gate-keeper;8331;
32016;frui_0;8331;
32020;vege_0;8330;
32039;final-crs_5;8331;1458
32072;final-crs_7;8330;1110
32555;gate-keeper;8443;
32562;meat_0;8443;
32577;final-crs_11;8443;1510
32959;gate-keeper;8528;
32961;vege_1;8528;
33014;final-crs_7;8528;245
33301;gate-keeper;8598;
33302;frui_0;8598;
33302;gate-keeper;8599;
33305;vege_1;8599;
33338;final-crs_0;8598;850
33359;final-crs_3;8599;1219
34105;gate-keeper;8755;
34106;frui_1;8755;
34106;gate-keeper;8756;
34107;gate-keeper;8757;
34108;gate-keeper;8758;
34109;gate-keeper;8759;
34110;frui_0;8757;
34110;gate-keeper;8760;
34111;gate-keeper;8761;
34112;gate-keeper;8762;
34113;vege_0;8756;
34113;gate-keeper;8763;
34115;vege_1;8759;
34116;meat_0;8758;
34122;vege_0;8761;
34124;vege_1;8762;
34131;vege_0;8763;
34155;gate-keeper;8773;
34158;final-crs_4;8755;149
34160;final-crs_7;8757;1423
34162;vege_0;8773;
34167;meat_1;8760;
34175;final-crs_11;8756;484
34185;final-crs_10;8759;1930
34219;final-crs_5;8758;1566
34242;final-crs_9;8761;1480
34277;final-crs_8;8762;399
34280;final-crs_2;8763;1127
34294;final-crs_0;8773;2188
34295;final-crs_6;8760;1365
34438;gate-keeper;8830;
34440;frui_0;8830;
34460;final-crs_9;8830;1487
34977;gate-keeper;8937;
34978;gate-keeper;8938;
34979;vege_0;8937;
34979;gate-keeper;8939;
34980;gate-keeper;8940;
34981;gate-keeper;8941;
34982;gate-keeper;8942;
34983;gate-keeper;8943;
34984;final-crs_1;8937;1072
34984;vege_1;8938;
34989;final-crs_0;8938;990
34991;vege_0;8939;
34995;vege_1;8940;
35002;vege_0;8941;
35005;vege_1;8942;
35008;final-crs_8;8939;347
35016;meat_0;8943;
35017;final-crs_2;8940;714
35025;final-crs_3;8941;571
35036;final-crs_6;8942;1589
35037;final-crs_12;8943;1390
35356;gate-keeper;9017;
35357;gate-keeper;9018;
35358;vege_1;9018;
35358;gate-keeper;9019;
35359;frui_1;9017;
35359;gate-keeper;9020;
35360;gate-keeper;9021;
35361;frui_0;9019;
35361;gate-keeper;9022;
35364;vege_0;9020;
35368;vege_1;9021;
35372;vege_0;9022;
35396;final-crs_1;9018;767
35397;final-crs_4;9017;612
35403;final-crs_9;9019;1351
35422;final-crs_7;9020;2479
35433;final-crs_11;9021;104
35470;final-crs_0;9022;1860
35888;gate-keeper;9131;
35889;gate-keeper;9132;
35897;vege_0;9132;
35899;final-crs_11;9132;521
35924;meat_1;9131;
35947;gate-keeper;9144;
35952;frui_1;9144;
35953;final-crs_10;9131;2628
35964;final-crs_0;9144;1447
36143;gate-keeper;9184;
36144;vege_0;9184;
36170;final-crs_7;9184;236
36283;gate-keeper;9212;
36284;gate-keeper;9213;
36286;vege_1;9212;
36289;vege_0;9213;
36312;final-crs_12;9212;81
36313;final-crs_9;9213;2759
36579;gate-keeper;9271;
36580;gate-keeper;9272;
36581;vege_0;9271;
36581;frui_0;9272;
36581;gate-keeper;9273;
36582;gate-keeper;9274;
36583;gate-keeper;9275;
36585;final-crs_5;9271;610
36586;vege_1;9274;
36587;final-crs_3;9272;1883
36593;vege_0;9275;
36601;final-crs_1;9274;568
36636;final-crs_7;9275;778
36639;meat_1;9273;
36654;final-crs_4;9273;1617
36733;gate-keeper;9305;
36734;gate-keeper;9306;
36740;vege_0;9305;
36742;vege_1;9306;
36746;final-crs_6;9305;1406
36754;final-crs_2;9306;2309
36897;gate-keeper;9341;
36898;vege_0;9341;
36902;final-crs_10;9341;281
37705;gate-keeper;9509;
37706;gate-keeper;9510;
37710;vege_0;9509;
37723;final-crs_2;9509;2574
37744;meat_0;9510;
37751;final-crs_9;9510;905
37802;gate-keeper;9529;
37803;gate-keeper;9530;
37804;frui_0;9530;
37804;gate-keeper;9531;
37807;vege_0;9529;
37808;vege_1;9531;
37811;final-crs_11;9530;1559
37812;final-crs_4;9529;1502
37818;final-crs_10;9531;1346
38086;gate-keeper;9591;
38087;frui_0;9591;
38119;final-crs_6;9591;1527
38377;gate-keeper;9652;
38379;frui_1;9652;
38387;final-crs_0;9652;1040
38607;gate-keeper;9701;
38609;vege_0;9701;
38642;final-crs_6;9701;2654
38711;gate-keeper;9722;
38712;vege_0;9722;
38729;final-crs_4;9722;960
39386;gate-keeper;10031;
39387;gate-keeper;10032;
39390;frui_0;10031;
39394;final-crs_6;10031;149
39395;vege_1;10032;
39417;final-crs_2;10032;295
39961;gate-keeper;10320;
39962;gate-keeper;10321;
39964;vege_1;10320;
39979;meat_1;10321;
39989;final-crs_10;10320;566
40001;final-crs_8;10321;3527
40235;gate-keeper;10375;
40236;vege_0;10375;
40236;gate-keeper;10376;
40241;frui_1;10376;
40255;final-crs_5;10375;2098
40275;final-crs_1;10376;899
40447;gate-keeper;10421;
40473;meat_1;10421;
40490;final-crs_5;10421;2125
40896;gate-keeper;10510;
40897;gate-keeper;10511;
