time;ckpt;id;money
313;gate-keeper;96;
317;meat_0;96;
426;final-crs_3;96;507
1562;gate-keeper;499;
1565;vege_1;499;
1576;final-crs_4;499;337
1709;gate-keeper;545;
1730;meat_1;545;
1819;final-crs_4;545;1568
2149;gate-keeper;676;
2150;gate-keeper;677;
2151;gate-keeper;678;
2152;gate-keeper;679;
2153;gate-keeper;680;
2154;vege_1;678;
2154;gate-keeper;681;
2155;gate-keeper;682;
2156;vege_0;682;
2156;gate-keeper;683;
2157;gate-keeper;684;
2165;final-crs_3;678;389
2171;final-crs_12;682;437
2196;meat_1;676;
2199;meat_0;677;
2200;final-crs_10;676;611
2237;final-crs_4;677;708
2252;meat_1;679;
2253;meat_0;680;
2263;final-crs_2;679;691
2311;final-crs_5;680;130
2317;meat_1;681;
2320;meat_0;683;
2329;final-crs_6;681;876
2361;final-crs_8;683;1168
2370;meat_1;684;
2375;final-crs_1;684;85
2427;gate-keeper;774;
2428;gate-keeper;775;
2429;vege_1;774;
2429;gate-keeper;776;
2430;vege_0;775;
2436;frui_0;776;
2438;final-crs_7;774;303
2450;final-crs_12;775;1156
2469;final-crs_4;776;424
2572;gate-keeper;819;
2573;gate-keeper;820;
2577;vege_0;819;
2588;final-crs_5;819;2044
2590;meat_0;820;
2595;final-crs_6;820;1034
2738;gate-keeper;871;
2739;gate-keeper;872;
2757;meat_0;871;
2792;final-crs_5;871;682
2792;meat_1;872;
2814;final-crs_0;872;1537
3009;gate-keeper;955;
3010;gate-keeper;956;
3011;gate-keeper;957;
3012;gate-keeper;958;
3013;gate-keeper;959;
3014;frui_0;957;
3014;gate-keeper;960;
3015;vege_1;955;
3016;vege_0;956;
3023;vege_1;958;
3026;vege_0;960;
3029;final-crs_5;957;1240
3033;final-crs_0;955;1004
3064;final-crs_6;956;769
3065;meat_1;959;
3111;final-crs_3;958;1451
3113;final-crs_11;960;275
3114;final-crs_1;959;191
3314;gate-keeper;1053;
3315;gate-keeper;1054;
3316;gate-keeper;1055;
3317;gate-keeper;1056;
3321;vege_1;1054;
3322;vege_0;1056;
3329;final-crs_1;1054;196
3333;final-crs_11;1056;140
3350;meat_0;1053;
3358;meat_1;1055;
3370;final-crs_12;1053;315
3388;final-crs_7;1055;712
3480;gate-keeper;1107;
3481;gate-keeper;1108;
3485;vege_0;1107;
3485;vege_1;1108;
3494;final-crs_6;1107;767
3509;final-crs_0;1108;647
3630;gate-keeper;1156;
3652;meat_1;1156;
3659;final-crs_3;1156;1584
3920;gate-keeper;1246;
3921;gate-keeper;1247;
3922;vege_0;1246;
3922;gate-keeper;1248;
3923;gate-keeper;1249;
3929;vege_1;1247;
3938;final-crs_8;1246;674
3964;meat_0;1248;
3967;meat_1;1249;
3969;final-crs_6;1247;78
4007;final-crs_2;1248;338
4038;final-crs_1;1249;619
4355;gate-keeper;1383;
4356;gate-keeper;1384;
4357;gate-keeper;1385;
4358;gate-keeper;1386;
4359;vege_0;1383;
4359;gate-keeper;1387;
4360;gate-keeper;1388;
4361;vege_1;1386;
4361;gate-keeper;1389;
4365;meat_0;1384;
4368;vege_0;1387;
4369;final-crs_10;1383;240
4372;vege_1;1389;
4376;meat_1;1385;
4395;final-crs_12;1386;743
4397;final-crs_4;1384;356
4407;final-crs_3;1387;1888
4429;meat_1;1388;
4444;final-crs_8;1389;774
4457;final-crs_6;1385;98
4461;final-crs_2;1388;813
4832;gate-keeper;1540;
4842;vege_0;1540;
4843;final-crs_3;1540;1239
5371;gate-keeper;1711;
5372;vege_1;1711;
5372;gate-keeper;1712;
5374;vege_0;1712;
5379;final-crs_4;1711;1405
5385;final-crs_8;1712;310
5415;gate-keeper;1726;
5420;vege_1;1726;
5485;final-crs_0;1726;1205
5731;gate-keeper;1823;
5732;gate-keeper;1824;
5733;gate-keeper;1825;
5734;gate-keeper;1826;
5735;vege_0;1823;
5735;gate-keeper;1827;
5740;vege_1;1824;
5742;meat_1;1825;
5745;vege_0;1826;
5748;final-crs_0;1823;159
5750;vege_1;1827;
5762;final-crs_7;1824;656
5771;final-crs_1;1825;1590
5788;final-crs_10;1826;1367
5863;final-crs_8;1827;786
6338;gate-keeper;2017;
6339;vege_1;2017;
6342;final-crs_8;2017;848
6633;gate-keeper;2105;
6634;gate-keeper;2106;
6635;vege_0;2105;
6635;gate-keeper;2107;
6636;gate-keeper;2108;
6637;gate-keeper;2109;
6638;gate-keeper;2110;
6639;gate-keeper;2111;
6640;vege_1;2106;
6645;final-crs_12;2105;1037
6646;final-crs_7;2106;1565
6646;vege_0;2108;
6649;final-crs_3;2108;608
6649;vege_1;2111;
6667;meat_1;2107;
6675;meat_0;2109;
6677;final-crs_6;2111;990
6694;final-crs_11;2107;1346
6712;final-crs_5;2109;769
6739;meat_0;2110;
6752;final-crs_10;2110;524
6908;gate-keeper;2199;
6909;gate-keeper;2200;
6911;vege_0;2199;
6917;vege_1;2200;
6921;final-crs_11;2199;1082
6925;final-crs_7;2200;505
6940;gate-keeper;2210;
6945;vege_1;2210;
6953;final-crs_1;2210;679
7567;gate-keeper;2407;
7568;vege_0;2407;
7568;gate-keeper;2408;
7569;frui_0;2408;
7569;gate-keeper;2409;
7572;meat_1;2409;
7591;final-crs_3;2407;284
7610;final-crs_5;2408;529
7617;final-crs_9;2409;1610
7828;gate-keeper;2491;
7829;gate-keeper;2492;
7830;gate-keeper;2493;
7832;vege_1;2491;
7838;vege_0;2492;
7841;vege_1;2493;
7842;final-crs_6;2491;2295
7851;final-crs_12;2492;371
7856;final-crs_5;2493;333
8088;gate-keeper;2577;
8089;gate-keeper;2578;
8092;vege_0;2578;
8096;final-crs_6;2578;832
8105;meat_0;2577;
8115;final-crs_10;2577;1110
8322;gate-keeper;2649;
8323;gate-keeper;2650;
8324;gate-keeper;2651;
8325;gate-keeper;2652;
8326;gate-keeper;2653;
8329;vege_0;2652;
8330;vege_1;2653;
8342;meat_0;2649;
8348;final-crs_6;2652;398
8369;final-crs_10;2653;728
8371;meat_1;2650;
8391;final-crs_1;2649;524
8395;final-crs_4;2650;1478
8400;meat_0;2651;
8402;final-crs_7;2651;1451
8593;gate-keeper;2734;
8594;gate-keeper;2735;
8595;gate-keeper;2736;
8596;gate-keeper;2737;
8597;frui_1;2736;
8597;gate-keeper;2738;
8599;meat_0;2734;
8602;vege_0;2738;
8602;frui_0;2737;
8607;final-crs_10;2736;509
8611;final-crs_12;2734;728
8613;final-crs_1;2738;277
8615;meat_1;2735;
8628;final-crs_7;2737;173
8637;final-crs_4;2735;731
8935;gate-keeper;2848;
8937;vege_0;2848;
8959;final-crs_11;2848;1361
8993;gate-keeper;2849;
8994;gate-keeper;2850;
8995;gate-keeper;2851;
8996;vege_1;2849;
8996;gate-keeper;2852;
8997;vege_0;2850;
8997;gate-keeper;2853;
8998;gate-keeper;2854;
8999;gate-keeper;2855;
9000;gate-keeper;2856;
9001;final-crs_3;2849;93
9001;gate-keeper;2857;
9002;gate-keeper;2858;
9003;final-crs_0;2850;581
9003;gate-keeper;2859;
9004;gate-keeper;2860;
9005;vege_1;2854;
9005;gate-keeper;2861;
9006;vege_0;2855;
9006;frui_0;2861;
9006;gate-keeper;2862;
9007;gate-keeper;2863;
9008;gate-keeper;2864;
9009;meat_0;2851;
9009;gate-keeper;2865;
9014;vege_1;2857;
9015;final-crs_12;2854;522
9015;vege_0;2859;
9026;vege_0;2864;
9026;vege_1;2865;
9049;meat_1;2852;
9061;final-crs_7;2855;636
9074;final-crs_5;2861;1405
9076;meat_0;2853;
9099;final-crs_1;2851;794
9104;meat_1;2856;
9118;final-crs_4;2857;1983
9125;final-crs_10;2859;1148
9131;meat_0;2858;
9145;final-crs_11;2864;149
9157;final-crs_2;2865;349
9160;final-crs_6;2852;769
9168;meat_1;2860;
9169;final-crs_9;2853;180
9173;meat_0;2862;
9175;final-crs_8;2856;1057
9222;final-crs_12;2858;1108
9228;gate-keeper;2938;
9231;meat_1;2863;
9236;vege_0;2938;
9249;final-crs_3;2860;551
9261;final-crs_0;2862;582
9289;final-crs_5;2863;288
9306;final-crs_1;2938;1932
9500;gate-keeper;3020;
9501;gate-keeper;3021;
9502;gate-keeper;3022;
9503;gate-keeper;3023;
9504;vege_1;3020;
9510;final-crs_5;3020;403
9510;meat_1;3023;
9511;vege_0;3021;
9513;vege_1;3022;
9517;final-crs_3;3023;547
9530;final-crs_7;3021;449
9556;final-crs_1;3022;848
9847;gate-keeper;3129;
9848;gate-keeper;3130;
9849;vege_0;3130;
9849;gate-keeper;3131;
9850;gate-keeper;3132;
9851;frui_0;3132;
9852;final-crs_10;3130;1456
9862;meat_0;3129;
9872;meat_1;3131;
9900;final-crs_6;3132;1095
9910;final-crs_2;3129;545
9911;final-crs_9;3131;1002
10147;gate-keeper;3225;
10171;meat_1;3225;
10185;final-crs_12;3225;174
10481;gate-keeper;3328;
10482;gate-keeper;3329;
10483;meat_1;3329;
10483;gate-keeper;3330;
10484;vege_0;3328;
10484;vege_1;3330;
10484;gate-keeper;3331;
10485;gate-keeper;3332;
10493;vege_0;3331;
10508;final-crs_7;3329;926
10538;meat_0;3332;
10542;final-crs_10;3328;1866
10574;final-crs_8;3330;1226
10576;final-crs_6;3331;773
10613;final-crs_2;3332;347
10792;gate-keeper;3419;
10793;gate-keeper;3420;
10794;gate-keeper;3421;
10795;gate-keeper;3422;
10796;gate-keeper;3423;
10797;vege_0;3419;
10797;gate-keeper;3424;
10798;gate-keeper;3425;
10799;frui_0;3420;
10799;gate-keeper;3426;
10800;frui_1;3421;
10800;gate-keeper;3427;
10801;vege_1;3422;
10801;gate-keeper;3428;
10802;gate-keeper;3429;
10804;final-crs_2;3419;860
10807;vege_0;3423;
10810;final-crs_10;3420;579
10811;vege_1;3424;
10815;final-crs_6;3421;801
10816;vege_0;3427;
10816;meat_0;3425;
10821;vege_1;3428;
10826;vege_0;3429;
10836;final-crs_12;3422;702
10846;meat_1;3426;
10861;final-crs_8;3423;1502
10862;final-crs_9;3424;1061
10889;final-crs_4;3427;358
10896;final-crs_0;3425;78
10962;gate-keeper;3478;
10963;gate-keeper;3479;
10964;final-crs_1;3428;333
10964;gate-keeper;3480;
10969;vege_0;3480;
10972;final-crs_11;3429;644
10982;final-crs_3;3426;185
11005;final-crs_5;3480;730
11006;meat_0;3478;
11016;meat_1;3479;
11033;final-crs_10;3478;805
11036;final-crs_7;3479;582
11123;gate-keeper;3530;
11127;meat_0;3530;
11144;final-crs_4;3530;130
11421;gate-keeper;3623;
11422;frui_1;3623;
11422;gate-keeper;3624;
11423;gate-keeper;3625;
11427;final-crs_1;3623;1467
11430;vege_0;3624;
11433;vege_1;3625;
11441;final-crs_3;3624;86
11445;final-crs_4;3625;551
11726;gate-keeper;3722;
11727;vege_1;3722;
11750;final-crs_2;3722;234
11806;gate-keeper;3741;
11807;gate-keeper;3742;
11808;gate-keeper;3743;
11809;gate-keeper;3744;
11810;frui_0;3744;
11810;gate-keeper;3745;
11811;gate-keeper;3746;
11812;frui_1;3745;
11812;gate-keeper;3747;
11813;vege_0;3741;
11814;vege_1;3743;
11818;final-crs_8;3744;373
11822;vege_0;3746;
11823;vege_1;3747;
