time;ckpt;id;money
568;gate-keeper;162;
569;gate-keeper;163;
571;frui_1;163;
574;vege_1;162;
678;final-crs_4;163;1527
694;final-crs_9;162;443
860;gate-keeper;245;
861;vege_0;245;
861;gate-keeper;246;
862;gate-keeper;247;
864;frui_0;247;
872;meat_0;246;
898;final-crs_8;245;1129
915;final-crs_4;247;158
916;final-crs_3;246;585
940;gate-keeper;270;
943;vege_0;270;
947;final-crs_11;270;639
1193;gate-keeper;342;
1194;gate-keeper;343;
1201;vege_0;342;
1202;meat_1;343;
1203;final-crs_11;342;2899
1205;final-crs_0;343;2693
1509;gate-keeper;438;
1511;frui_1;438;
1535;final-crs_9;438;584
1813;gate-keeper;528;
1814;frui_0;528;
1814;gate-keeper;529;
1815;vege_0;529;
1839;gate-keeper;534;
1840;gate-keeper;535;
1841;gate-keeper;536;
1842;vege_0;534;
1845;vege_1;535;
1851;vege_0;536;
1855;final-crs_3;528;1778
1858;final-crs_8;529;485
1886;final-crs_5;534;3408
1901;final-crs_1;535;3436
1905;final-crs_4;536;3577
2052;gate-keeper;595;
2054;frui_0;595;
2091;final-crs_8;595;143
2339;gate-keeper;677;
2340;frui_1;677;
2340;gate-keeper;678;
2341;gate-keeper;679;
2344;frui_0;678;
2346;vege_0;679;
2361;final-crs_8;677;4099
2378;final-crs_7;678;2795
2380;final-crs_5;679;1621
2545;gate-keeper;732;
2546;gate-keeper;733;
2547;gate-keeper;734;
2548;gate-keeper;735;
2549;vege_0;732;
2549;vege_1;733;
2549;gate-keeper;736;
2550;gate-keeper;737;
2551;gate-keeper;738;
2556;final-crs_8;732;2763
2558;final-crs_6;733;4183
2559;vege_0;734;
2560;vege_1;735;
2568;vege_0;738;
2574;final-crs_3;734;2031
2580;meat_1;736;
2592;final-crs_1;735;2179
2604;final-crs_5;738;3095
2611;meat_0;737;
2623;final-crs_7;736;1368
2639;final-crs_0;737;3949
2949;gate-keeper;851;
2950;gate-keeper;852;
2951;gate-keeper;853;
2952;gate-keeper;854;
2953;vege_1;852;
2953;gate-keeper;855;
2954;frui_1;853;
2954;gate-keeper;856;
2957;vege_0;856;
2968;final-crs_4;852;3672
2983;meat_1;851;
2984;meat_0;854;
3034;final-crs_6;853;587
3036;final-crs_9;856;1794
3041;meat_0;855;
3047;final-crs_8;851;342
3049;final-crs_3;854;2306
3062;final-crs_1;855;228
3262;gate-keeper;942;
3263;gate-keeper;943;
3264;gate-keeper;944;
3265;gate-keeper;945;
3266;vege_0;943;
3266;gate-keeper;946;
3267;gate-keeper;947;
3268;vege_1;945;
3276;vege_0;946;
3278;vege_1;947;
3278;meat_0;942;
3285;meat_1;944;
3308;final-crs_1;943;149
3315;final-crs_7;945;1996
3340;final-crs_0;946;3716
3340;final-crs_8;947;1426
3356;final-crs_5;942;1837
3375;final-crs_2;944;2803
3444;gate-keeper;999;
3452;vege_0;999;
3492;final-crs_6;999;2822
3535;gate-keeper;1025;
3538;vege_0;1025;
3560;final-crs_1;1025;3141
3823;gate-keeper;1109;
3824;gate-keeper;1110;
3825;gate-keeper;1111;
3830;vege_1;1109;
