time;ckpt;id;money
313;gate-keeper;89;
317;vege_0;89;
416;final-crs_10;89;3261
655;gate-keeper;186;
658;frui_0;186;
669;final-crs_11;186;1963
801;gate-keeper;229;
807;frui_0;229;
863;final-crs_12;229;606
1204;gate-keeper;344;
1205;gate-keeper;345;
1206;gate-keeper;346;
1207;frui_0;344;
1208;vege_0;345;
1210;vege_1;346;
1215;final-crs_8;344;648
1227;final-crs_7;345;2536
1273;final-crs_9;346;1355
1594;gate-keeper;463;
1595;frui_1;463;
1595;gate-keeper;464;
1599;vege_0;464;
1612;final-crs_0;463;828
1638;final-crs_1;464;248
1846;gate-keeper;537;
1847;vege_0;537;
1847;gate-keeper;538;
1855;final-crs_12;537;1572
1855;vege_0;538;
1879;final-crs_0;538;1837
2459;gate-keeper;713;
2460;vege_1;713;
2467;final-crs_2;713;3224
2508;gate-keeper;725;
2509;gate-keeper;726;
2510;vege_1;725;
2510;gate-keeper;727;
2518;vege_0;726;
2519;final-crs_10;725;1016
2519;vege_1;727;
2549;final-crs_1;726;2206
2560;final-crs_3;727;2028
3081;gate-keeper;894;
3082;vege_0;894;
3082;gate-keeper;895;
3084;frui_1;895;
3135;final-crs_2;894;2261
3175;final-crs_11;895;389
3422;gate-keeper;989;
3423;gate-keeper;990;
3424;gate-keeper;991;
3425;gate-keeper;992;
3426;gate-keeper;993;
3428;frui_0;993;
3429;vege_0;989;
3430;meat_0;992;
3431;vege_1;990;
3434;final-crs_3;993;852
3434;final-crs_7;989;1667
3434;gate-keeper;995;
3435;gate-keeper;996;
3438;vege_0;991;
3443;vege_1;995;
3448;vege_0;996;
3467;final-crs_6;992;1322
3480;final-crs_12;990;1063
3525;final-crs_1;991;2729
3534;final-crs_5;995;1153
3545;final-crs_9;996;3520
3667;gate-keeper;1062;
3668;gate-keeper;1063;
3669;frui_1;1062;
3669;gate-keeper;1064;
3670;vege_0;1063;
3670;frui_0;1064;
3670;gate-keeper;1065;
3674;vege_1;1065;
3689;final-crs_3;1062;3658
3691;final-crs_6;1063;2961
3718;final-crs_12;1064;127
3725;gate-keeper;1082;
3727;frui_1;1082;
3748;final-crs_1;1065;1988
3794;final-crs_0;1082;2454
4082;gate-keeper;1184;
4083;gate-keeper;1185;
4084;gate-keeper;1186;
4085;gate-keeper;1187;
4087;vege_0;1184;
4090;vege_1;1185;
4096;final-crs_11;1184;827
4097;vege_0;1186;
4098;vege_1;1187;
4155;final-crs_3;1185;2993
4158;final-crs_7;1186;1807
4159;final-crs_4;1187;1708
4372;gate-keeper;1268;
4380;vege_1;1268;
4411;final-crs_8;1268;3241
4492;gate-keeper;1304;
4493;frui_0;1304;
4493;gate-keeper;1305;
4495;vege_0;1305;
4505;final-crs_0;1304;2271
4523;final-crs_10;1305;714
4659;gate-keeper;1351;
4660;frui_1;1351;
4660;gate-keeper;1352;
4661;gate-keeper;1353;
4662;final-crs_4;1351;4075
4663;vege_0;1352;
4668;vege_1;1353;
4675;final-crs_3;1352;1386
4698;final-crs_6;1353;2322
4994;gate-keeper;1451;
4997;vege_1;1451;
5007;final-crs_11;1451;2071
5275;gate-keeper;1528;
5276;vege_1;1528;
5276;gate-keeper;1529;
5277;gate-keeper;1530;
5278;vege_0;1529;
5278;gate-keeper;1531;
5279;gate-keeper;1532;
5281;frui_0;1531;
5285;vege_1;1530;
5292;final-crs_9;1528;293
5304;meat_0;1532;
5317;final-crs_2;1529;269
5338;final-crs_8;1531;1165
5358;final-crs_5;1530;2554
5396;final-crs_3;1532;2942
5551;gate-keeper;1609;
5552;gate-keeper;1610;
5553;gate-keeper;1611;
5557;vege_0;1609;
5558;frui_1;1610;
5559;frui_0;1611;
5597;final-crs_8;1609;609
5626;final-crs_5;1610;647
5656;final-crs_3;1611;383
6229;gate-keeper;1806;
6236;vege_1;1806;
6259;final-crs_2;1806;471
6485;gate-keeper;1879;
6486;gate-keeper;1880;
6489;frui_0;1879;
6490;frui_1;1880;
6491;final-crs_2;1879;1882
6519;final-crs_8;1880;1365
6780;gate-keeper;1965;
6781;gate-keeper;1966;
6783;vege_0;1966;
6783;meat_1;1965;
6786;final-crs_8;1966;2029
6838;final-crs_3;1965;730
7039;gate-keeper;2035;
7040;vege_0;2035;
7040;gate-keeper;2036;
7041;final-crs_3;2035;170
7041;gate-keeper;2037;
7042;gate-keeper;2038;
7043;gate-keeper;2039;
7044;gate-keeper;2040;
7045;vege_1;2036;
7045;frui_0;2038;
7047;frui_1;2039;
7050;vege_0;2040;
7059;final-crs_6;2036;2508
7061;final-crs_8;2038;384
7068;meat_0;2037;
7098;gate-keeper;2054;
7099;gate-keeper;2055;
7100;gate-keeper;2056;
7104;vege_1;2054;
7108;vege_0;2056;
7119;final-crs_12;2039;259
7130;meat_0;2055;
7131;final-crs_4;2040;3540
7134;final-crs_11;2037;4268
7139;final-crs_2;2054;703
7143;final-crs_7;2056;1967
7146;final-crs_10;2055;388
7656;gate-keeper;2215;
7657;gate-keeper;2216;
7659;vege_0;2215;
7663;vege_1;2216;
7711;final-crs_5;2215;2555
7729;final-crs_6;2216;4490
7957;gate-keeper;2301;
7958;gate-keeper;2302;
7959;vege_0;2302;
7959;frui_1;2301;
7959;gate-keeper;2303;
7975;final-crs_6;2302;3111
7978;meat_0;2303;
7997;final-crs_12;2301;1647
8029;final-crs_0;2303;524
8124;gate-keeper;2351;
8126;vege_0;2351;
8128;final-crs_4;2351;4825
8203;gate-keeper;2373;
