time;ckpt;id;money
601;gate-keeper;214;
602;gate-keeper;215;
623;meat_0;214;
636;meat_1;215;
669;final-crs_12;214;118
670;final-crs_6;215;1417
822;gate-keeper;294;
824;vege_0;294;
887;gate-keeper;318;
892;vege_0;318;
907;final-crs_12;294;1680
922;final-crs_2;318;349
1159;gate-keeper;410;
1160;vege_0;410;
1160;gate-keeper;411;
1161;gate-keeper;412;
1162;gate-keeper;413;
1163;gate-keeper;414;
1164;meat_0;414;
1164;gate-keeper;415;
1169;vege_1;411;
1170;vege_0;412;
1179;vege_0;413;
1180;vege_1;415;
1191;final-crs_4;410;1826
1194;final-crs_7;414;93
1197;final-crs_9;411;550
1198;final-crs_8;412;1005
1202;final-crs_2;413;786
1202;final-crs_5;415;658
1442;gate-keeper;511;
1443;vege_0;511;
1443;gate-keeper;512;
1444;final-crs_8;511;896
1444;gate-keeper;513;
1445;gate-keeper;514;
1446;vege_1;513;
1454;meat_1;512;
1456;final-crs_0;513;777
1456;final-crs_7;512;769
1469;meat_0;514;
1470;final-crs_11;514;591
1730;gate-keeper;614;
1731;gate-keeper;615;
1732;gate-keeper;616;
1733;gate-keeper;617;
1735;vege_1;615;
1735;gate-keeper;618;
1736;gate-keeper;619;
1737;final-crs_1;615;421
1737;vege_0;616;
1744;vege_1;617;
1747;vege_0;619;
1757;meat_1;614;
1761;final-crs_10;616;428
1768;meat_0;618;
1856;final-crs_12;617;754
1893;final-crs_0;619;1104
1893;final-crs_5;614;495
1897;final-crs_4;618;86
2045;gate-keeper;728;
2046;gate-keeper;729;
2051;vege_1;728;
2054;vege_0;729;
2104;final-crs_12;728;82
2130;final-crs_4;729;1601
2372;gate-keeper;841;
2373;gate-keeper;842;
2374;gate-keeper;843;
2375;gate-keeper;844;
2376;gate-keeper;845;
2378;vege_1;841;
2382;vege_0;842;
2388;meat_0;843;
2394;final-crs_0;841;182
2398;final-crs_7;842;1005
2407;final-crs_9;843;928
2412;meat_1;844;
2414;final-crs_6;844;289
2446;meat_0;845;
2451;final-crs_3;845;1295
2625;gate-keeper;935;
2626;gate-keeper;936;
2628;vege_0;935;
2630;vege_1;936;
2637;final-crs_12;935;461
2638;final-crs_9;936;743
2675;gate-keeper;947;
2676;vege_1;947;
2676;gate-keeper;948;
2677;final-crs_3;947;691
2677;gate-keeper;949;
2678;gate-keeper;950;
2679;gate-keeper;951;
2680;gate-keeper;952;
2681;frui_0;951;
2681;gate-keeper;953;
2683;vege_0;948;
2686;final-crs_0;951;187
2688;final-crs_5;948;553
2688;vege_1;949;
2688;meat_0;952;
2691;vege_0;950;
2697;vege_1;953;
2700;final-crs_1;949;478
2734;final-crs_10;952;663
2740;final-crs_8;950;806
2749;gate-keeper;979;
2752;meat_0;979;
2831;final-crs_9;953;280
2851;final-crs_2;979;688
2890;gate-keeper;1023;
2891;gate-keeper;1024;
2892;frui_1;1023;
2892;gate-keeper;1025;
2893;gate-keeper;1026;
2894;gate-keeper;1027;
2895;gate-keeper;1028;
2896;gate-keeper;1029;
2897;meat_1;1024;
2899;vege_0;1025;
2900;vege_1;1027;
2902;final-crs_5;1023;146
2905;final-crs_3;1024;343
2910;vege_0;1029;
2929;final-crs_0;1025;622
2944;meat_0;1026;
2953;meat_1;1028;
2963;final-crs_8;1027;603
2968;final-crs_1;1029;467
2978;final-crs_10;1026;196
3098;final-crs_4;1028;424
3198;gate-keeper;1134;
3199;gate-keeper;1135;
3200;gate-keeper;1136;
3201;vege_0;1134;
3201;gate-keeper;1137;
3202;frui_0;1135;
3202;gate-keeper;1138;
3203;vege_1;1137;
3203;gate-keeper;1139;
3211;vege_0;1138;
3218;final-crs_1;1134;1461
3230;final-crs_8;1135;759
3237;meat_0;1136;
3262;meat_1;1139;
3302;final-crs_9;1137;287
3325;final-crs_11;1138;977
3335;final-crs_6;1136;332
3344;final-crs_4;1139;109
3556;gate-keeper;1265;
3557;vege_0;1265;
3565;final-crs_0;1265;1540
3565;gate-keeper;1268;
3574;vege_0;1268;
3582;final-crs_11;1268;1419
3861;gate-keeper;1367;
3862;gate-keeper;1368;
3863;frui_0;1367;
3863;gate-keeper;1369;
3864;final-crs_7;1367;819
3864;vege_0;1368;
3864;vege_1;1369;
3864;gate-keeper;1370;
3865;gate-keeper;1371;
3866;gate-keeper;1372;
3867;final-crs_2;1368;1647
3869;final-crs_5;1369;630
3870;frui_0;1372;
3874;meat_1;1370;
3886;final-crs_1;1372;376
3893;final-crs_3;1370;1375
3919;meat_0;1371;
3934;final-crs_10;1371;702
4173;gate-keeper;1482;
4174;vege_1;1482;
4193;final-crs_1;1482;865
4332;gate-keeper;1534;
4333;gate-keeper;1535;
4334;vege_0;1534;
4334;gate-keeper;1536;
4335;vege_1;1535;
4335;gate-keeper;1537;
4336;frui_1;1536;
4336;gate-keeper;1538;
4337;gate-keeper;1539;
4344;vege_0;1538;
4346;vege_1;1539;
4347;final-crs_2;1534;80
4347;final-crs_7;1535;1721
4362;meat_1;1537;
4382;final-crs_12;1536;1988
4394;final-crs_1;1538;560
4407;final-crs_3;1539;890
4409;final-crs_10;1537;197
4492;gate-keeper;1597;
4506;meat_0;1597;
4512;final-crs_11;1597;238
5036;gate-keeper;1787;
5037;vege_0;1787;
5037;gate-keeper;1788;
5038;gate-keeper;1789;
5039;gate-keeper;1790;
5040;gate-keeper;1791;
5042;vege_1;1790;
5045;meat_0;1788;
5052;final-crs_2;1787;225
5057;final-crs_7;1790;251
5075;final-crs_10;1788;62
5098;meat_0;1789;
5102;meat_1;1791;
5120;final-crs_12;1789;206
5134;final-crs_1;1791;436
5191;gate-keeper;1845;
5223;meat_0;1845;
5224;final-crs_5;1845;1052
5564;gate-keeper;1976;
5565;gate-keeper;1977;
5566;gate-keeper;1978;
5568;frui_0;1977;
5569;vege_1;1976;
5572;final-crs_0;1977;111
5572;vege_0;1978;
5581;final-crs_10;1976;284
5616;final-crs_12;1978;330
6206;gate-keeper;2207;
6209;vege_1;2207;
6217;final-crs_5;2207;704
6725;gate-keeper;2391;
6728;meat_1;2391;
6740;final-crs_12;2391;1731
6745;gate-keeper;2396;
6746;vege_0;2396;
6746;gate-keeper;2397;
6747;gate-keeper;2398;
6748;gate-keeper;2399;
6749;frui_0;2399;
6749;gate-keeper;2400;
6754;vege_1;2397;
6756;vege_0;2398;
6760;final-crs_2;2396;847
6777;final-crs_9;2399;163
6778;final-crs_10;2397;911
6779;meat_0;2400;
6832;final-crs_8;2398;320
6839;final-crs_1;2400;979
7008;gate-keeper;2491;
7009;gate-keeper;2492;
7010;gate-keeper;2493;
7016;vege_1;2491;
7017;vege_0;2492;
7018;final-crs_2;2491;199
7021;final-crs_12;2492;732
7025;vege_1;2493;
7035;final-crs_9;2493;664
7054;gate-keeper;2504;
7055;vege_1;2504;
7055;gate-keeper;2505;
7056;gate-keeper;2506;
7057;gate-keeper;2507;
7058;gate-keeper;2508;
7063;vege_1;2505;
7064;vege_0;2506;
7072;vege_1;2508;
7075;final-crs_8;2504;1321
7080;meat_0;2507;
7093;final-crs_1;2505;482
7098;final-crs_4;2506;333
7112;final-crs_6;2508;1315
7148;final-crs_11;2507;744
7612;gate-keeper;2708;
7614;vege_1;2708;
7645;final-crs_11;2708;684
7908;gate-keeper;2816;
7925;meat_0;2816;
7939;final-crs_2;2816;1063
7990;gate-keeper;2836;
7991;gate-keeper;2837;
7992;frui_1;2836;
7992;gate-keeper;2838;
7993;gate-keeper;2839;
7994;vege_0;2838;
7994;gate-keeper;2840;
7995;gate-keeper;2841;
7996;vege_1;2840;
7996;gate-keeper;2842;
7997;gate-keeper;2843;
7998;gate-keeper;2844;
7999;gate-keeper;2845;
8000;gate-keeper;2846;
8003;vege_0;2842;
8005;vege_1;2843;
8013;vege_0;2844;
8014;vege_1;2845;
8022;vege_0;2846;
8025;final-crs_8;2836;1678
8047;meat_0;2837;
8049;final-crs_6;2838;204
8052;meat_1;2839;
8071;final-crs_1;2840;264
8107;meat_0;2841;
8110;final-crs_11;2842;297
8112;final-crs_0;2843;787
8146;final-crs_10;2844;403
