time;ckpt;id;money
565;gate-keeper;199;
566;gate-keeper;200;
567;gate-keeper;201;
568;gate-keeper;202;
573;vege_0;200;
574;vege_1;201;
596;meat_0;199;
610;meat_1;202;
661;final-crs_4;200;421
665;final-crs_1;201;734
679;final-crs_12;199;324
696;final-crs_0;202;1102
865;gate-keeper;304;
866;gate-keeper;305;
867;gate-keeper;306;
868;gate-keeper;307;
869;gate-keeper;308;
870;vege_0;305;
870;gate-keeper;309;
873;vege_1;306;
879;vege_0;307;
882;vege_1;309;
883;final-crs_1;305;306
884;meat_0;304;
896;final-crs_4;306;871
912;meat_1;308;
930;final-crs_12;307;1308
934;final-crs_6;309;873
949;final-crs_7;304;931
951;final-crs_0;308;605
1163;gate-keeper;416;
1165;vege_0;416;
1179;final-crs_0;416;107
1453;gate-keeper;516;
1454;gate-keeper;517;
1455;gate-keeper;518;
1456;meat_0;516;
1459;final-crs_8;516;402
1459;vege_1;517;
1464;final-crs_10;517;897
1464;vege_0;518;
1468;final-crs_9;518;877
1798;gate-keeper;640;
1799;gate-keeper;641;
1804;vege_0;640;
1806;vege_1;641;
1844;final-crs_7;640;284
1846;final-crs_1;641;178
1885;gate-keeper;669;
1886;gate-keeper;670;
1887;frui_1;670;
1887;gate-keeper;671;
1888;final-crs_12;670;543
1891;frui_0;671;
1923;final-crs_3;671;310
1928;meat_1;669;
1935;final-crs_0;669;1872
2131;gate-keeper;747;
2132;gate-keeper;748;
2133;vege_0;747;
2133;gate-keeper;749;
2134;frui_0;748;
2134;gate-keeper;750;
2135;gate-keeper;751;
2136;gate-keeper;752;
2137;gate-keeper;753;
2138;vege_1;749;
2138;gate-keeper;754;
2139;gate-keeper;755;
2140;gate-keeper;756;
2141;gate-keeper;757;
2142;gate-keeper;758;
2143;gate-keeper;759;
2144;vege_0;751;
2144;gate-keeper;760;
2145;frui_1;759;
2148;vege_1;753;
2154;vege_0;755;
2156;meat_1;750;
2158;vege_1;757;
2160;final-crs_9;747;1607
2165;final-crs_8;748;502
2172;meat_0;752;
2182;final-crs_0;749;151
2188;final-crs_10;751;675
2216;meat_1;754;
2223;final-crs_4;759;752
2225;meat_0;756;
2230;final-crs_5;753;773
2278;meat_1;758;
2281;final-crs_2;755;1295
2281;final-crs_11;750;163
2287;meat_0;760;
2295;final-crs_7;757;353
2302;final-crs_1;752;618
2363;final-crs_12;754;594
2368;final-crs_3;756;426
2370;final-crs_6;758;767
2374;final-crs_9;760;530
2407;gate-keeper;855;
2408;gate-keeper;856;
2409;gate-keeper;857;
2413;vege_0;857;
2450;final-crs_10;857;335
2466;meat_0;855;
2473;meat_1;856;
2501;final-crs_4;855;863
2519;final-crs_1;856;1104
2696;gate-keeper;961;
2698;vege_1;961;
2703;final-crs_5;961;676
2750;gate-keeper;980;
2752;meat_1;980;
2768;final-crs_7;980;351
2965;gate-keeper;1052;
2966;gate-keeper;1053;
2967;gate-keeper;1054;
2968;frui_0;1052;
2968;gate-keeper;1055;
2969;final-crs_2;1052;257
2969;frui_1;1055;
2969;gate-keeper;1056;
2970;gate-keeper;1057;
2971;final-crs_1;1055;461
2973;vege_1;1054;
2974;frui_0;1056;
2978;meat_1;1053;
2999;final-crs_7;1054;2167
3012;meat_0;1057;
3032;final-crs_11;1056;849
3044;final-crs_6;1053;785
3051;final-crs_12;1057;2036
3237;gate-keeper;1148;
3238;gate-keeper;1149;
3239;gate-keeper;1150;
3240;vege_1;1148;
3240;gate-keeper;1151;
3241;gate-keeper;1152;
3242;vege_0;1149;
3242;gate-keeper;1153;
3250;vege_1;1150;
3251;vege_0;1153;
3256;meat_0;1151;
3257;final-crs_11;1148;1074
3258;final-crs_6;1149;539
3263;meat_1;1152;
3281;final-crs_12;1150;416
3293;final-crs_3;1153;605
3315;gate-keeper;1182;
3318;meat_0;1182;
3336;final-crs_9;1151;1250
3356;final-crs_8;1152;1910
3362;final-crs_5;1182;1215
3555;gate-keeper;1264;
3556;vege_0;1264;
3566;final-crs_12;1264;1550
3800;gate-keeper;1349;
3801;gate-keeper;1350;
3803;vege_0;1349;
3805;final-crs_9;1349;997
3808;vege_1;1350;
3816;final-crs_5;1350;1037
4103;gate-keeper;1449;
4104;gate-keeper;1450;
4105;gate-keeper;1451;
4106;vege_1;1449;
4106;frui_1;1451;
4106;gate-keeper;1452;
4107;gate-keeper;1453;
4108;gate-keeper;1454;
4109;gate-keeper;1455;
4110;vege_0;1452;
4110;gate-keeper;1456;
4111;gate-keeper;1457;
4112;frui_1;1454;
4114;final-crs_1;1449;264
4115;vege_1;1455;
4136;meat_0;1450;
4140;meat_1;1453;
4149;final-crs_4;1451;93
4151;final-crs_6;1452;1225
4179;final-crs_7;1454;905
4180;final-crs_2;1455;1643
4189;meat_0;1456;
4195;final-crs_10;1450;176
4200;meat_1;1457;
4226;final-crs_3;1453;938
4227;final-crs_11;1456;352
4262;final-crs_5;1457;514
4425;gate-keeper;1571;
4426;gate-keeper;1572;
4427;vege_0;1571;
4432;vege_1;1572;
4451;final-crs_5;1571;266
4472;final-crs_3;1572;151
4736;gate-keeper;1679;
4737;gate-keeper;1680;
4738;gate-keeper;1681;
