time;ckpt;id;money
247;gate-keeper;0;
248;vege_1;0;
248;gate-keeper;1;
249;gate-keeper;2;
250;gate-keeper;3;
251;frui_0;1;
251;gate-keeper;4;
252;final-crs_10;0;1168
252;final-crs_11;1;768
252;gate-keeper;5;
253;vege_0;2;
253;gate-keeper;6;
254;gate-keeper;7;
255;gate-keeper;8;
256;vege_1;3;
256;gate-keeper;9;
257;gate-keeper;10;
258;gate-keeper;11;
259;gate-keeper;12;
260;gate-keeper;13;
261;gate-keeper;14;
262;vege_0;4;
262;gate-keeper;15;
263;gate-keeper;16;
264;frui_0;11;
264;gate-keeper;17;
265;gate-keeper;18;
266;gate-keeper;19;
267;vege_1;5;
267;gate-keeper;20;
268;gate-keeper;21;
269;gate-keeper;22;
270;frui_0;22;
270;gate-keeper;23;
271;vege_0;7;
271;gate-keeper;24;
272;gate-keeper;25;
273;gate-keeper;26;
274;gate-keeper;27;
275;gate-keeper;28;
276;vege_1;8;
276;gate-keeper;29;
277;gate-keeper;30;
278;gate-keeper;31;
279;gate-keeper;32;
280;gate-keeper;33;
281;vege_0;9;
281;gate-keeper;34;
282;frui_1;33;
282;gate-keeper;35;
283;frui_0;35;
283;gate-keeper;36;
284;gate-keeper;37;
285;vege_1;13;
285;gate-keeper;38;
286;gate-keeper;39;
287;final-crs_8;2;1048
287;gate-keeper;40;
288;frui_1;40;
288;gate-keeper;41;
289;vege_0;14;
289;gate-keeper;42;
290;gate-keeper;43;
291;gate-keeper;44;
292;meat_0;6;
292;gate-keeper;45;
293;gate-keeper;46;
294;final-crs_6;3;862
294;vege_1;15;
294;gate-keeper;47;
295;gate-keeper;48;
296;gate-keeper;49;
297;gate-keeper;50;
298;vege_0;16;
298;gate-keeper;51;
299;gate-keeper;52;
300;meat_1;10;
300;gate-keeper;53;
301;gate-keeper;54;
302;gate-keeper;55;
303;gate-keeper;56;
304;vege_1;19;
304;gate-keeper;57;
305;gate-keeper;58;
306;gate-keeper;59;
307;vege_0;20;
307;frui_0;59;
307;gate-keeper;60;
308;gate-keeper;61;
309;gate-keeper;62;
310;gate-keeper;63;
311;gate-keeper;64;
312;gate-keeper;65;
313;frui_0;64;
313;gate-keeper;66;
314;vege_1;23;
314;gate-keeper;67;
315;vege_0;24;
315;frui_1;66;
315;gate-keeper;68;
316;gate-keeper;69;
317;gate-keeper;70;
318;gate-keeper;71;
319;gate-keeper;72;
320;gate-keeper;73;
321;gate-keeper;74;
322;gate-keeper;75;
323;vege_1;25;
323;gate-keeper;76;
324;gate-keeper;77;
325;vege_0;26;
325;gate-keeper;78;
326;gate-keeper;79;
327;frui_0;79;
327;gate-keeper;80;
328;gate-keeper;81;
329;gate-keeper;82;
330;gate-keeper;83;
331;gate-keeper;84;
332;vege_1;27;
332;gate-keeper;85;
333;gate-keeper;86;
334;gate-keeper;87;
335;vege_0;28;
343;vege_1;29;
344;vege_0;31;
350;meat_0;12;
353;vege_0;32;
353;vege_1;34;
356;meat_1;17;
362;vege_0;36;
362;vege_1;37;
371;vege_1;38;
373;vege_0;42;
380;vege_1;44;
383;vege_0;47;
388;vege_1;48;
393;vege_0;49;
398;vege_1;51;
401;vege_0;52;
405;meat_0;18;
406;vege_1;54;
406;meat_1;21;
412;vege_0;55;
415;vege_1;56;
422;vege_0;57;
424;vege_1;58;
430;vege_0;60;
432;vege_1;61;
440;vege_0;62;
442;final-crs_0;4;366
444;vege_1;63;
445;final-crs_7;11;1039
447;final-crs_12;5;481
451;vege_0;65;
453;vege_1;67;
454;final-crs_1;22;1664
456;meat_1;30;
458;final-crs_9;7;2129
459;vege_0;69;
462;vege_1;71;
466;final-crs_5;8;599
466;meat_0;39;
468;vege_0;72;
472;vege_1;73;
473;final-crs_11;9;1063
475;final-crs_10;33;1287
479;vege_0;74;
481;final-crs_4;35;1129
482;vege_1;75;
489;vege_0;76;
491;vege_1;81;
500;vege_0;82;
500;vege_1;84;
504;final-crs_3;13;184
505;final-crs_2;40;109
509;vege_0;85;
511;vege_1;87;
520;meat_1;41;
522;final-crs_8;14;935
528;final-crs_6;6;271
534;meat_0;43;
553;gate-keeper;198;
557;vege_1;198;
589;meat_1;45;
597;meat_0;46;
613;final-crs_12;15;802
651;meat_1;50;
659;meat_0;53;
674;final-crs_1;16;675
696;final-crs_9;10;1310
701;final-crs_5;19;1397
705;final-crs_0;20;784
705;meat_1;68;
707;final-crs_10;59;489
709;final-crs_7;64;94
718;final-crs_11;23;1686
720;meat_0;70;
725;final-crs_4;24;1036
736;final-crs_6;66;440
745;final-crs_2;25;193
770;meat_1;77;
774;meat_0;78;
776;final-crs_8;26;795
797;final-crs_3;79;967
828;meat_1;80;
831;gate-keeper;295;
832;gate-keeper;296;
833;vege_0;295;
833;gate-keeper;297;
841;final-crs_12;27;1197
841;vege_1;297;
843;meat_0;83;
883;gate-keeper;316;
886;meat_1;86;
889;vege_0;316;
894;final-crs_1;28;628
909;meat_0;296;
916;final-crs_7;29;638
930;final-crs_10;31;1530
958;final-crs_0;12;1265
959;final-crs_9;32;675
960;final-crs_5;34;289
965;final-crs_6;17;1002
981;final-crs_4;36;1800
983;final-crs_11;37;377
988;final-crs_2;38;601
997;final-crs_8;42;617
1016;final-crs_3;44;626
1055;final-crs_12;47;449
1118;gate-keeper;399;
1119;gate-keeper;400;
1120;vege_1;399;
1128;vege_0;400;
1131;final-crs_5;48;515
1146;final-crs_1;49;1679
1148;final-crs_7;51;895
1181;final-crs_4;52;1157
1203;final-crs_2;18;1488
1204;final-crs_6;54;1532
1206;final-crs_0;21;322
1210;final-crs_9;55;765
1216;final-crs_10;56;499
1234;final-crs_8;57;756
1278;final-crs_11;58;74
1284;final-crs_3;60;240
1315;final-crs_12;61;1132
1363;final-crs_7;62;80
1366;final-crs_5;63;1710
1391;final-crs_1;65;416
1401;final-crs_0;67;1076
1432;final-crs_4;30;596
1434;final-crs_6;69;1445
1436;final-crs_9;71;473
1443;gate-keeper;515;
1445;vege_1;515;
1454;final-crs_2;39;1440
1489;final-crs_11;72;63
1494;final-crs_8;73;108
1500;final-crs_10;74;966
1536;final-crs_3;75;1332
1548;final-crs_12;76;844
1587;final-crs_0;81;1002
1597;final-crs_7;82;2315
1609;final-crs_5;84;889
1624;final-crs_1;85;1563
1665;final-crs_9;87;1388
1680;final-crs_4;41;424
1684;final-crs_11;43;1178
1685;final-crs_6;198;384
1694;final-crs_2;45;714
1743;gate-keeper;621;
1744;final-crs_10;46;1514
1745;vege_0;621;
1746;final-crs_8;50;847
1778;final-crs_3;53;434
1808;final-crs_12;68;399
1810;final-crs_7;70;509
1837;final-crs_0;77;1121
1842;final-crs_1;78;321
1843;final-crs_5;80;522
1896;final-crs_9;295;360
1901;final-crs_11;297;1133
1912;final-crs_6;83;474
1921;gate-keeper;683;
1922;gate-keeper;684;
1925;vege_0;683;
1927;final-crs_4;86;817
1927;vege_1;684;
1964;final-crs_8;316;1119
1980;final-crs_2;296;1135
1982;final-crs_10;399;1723
2003;final-crs_3;400;163
2035;final-crs_0;515;599
2039;final-crs_12;621;686
2052;final-crs_7;683;167
2056;gate-keeper;732;
2060;final-crs_1;684;681
2064;vege_0;732;
2080;final-crs_5;732;685
2351;gate-keeper;834;
2352;gate-keeper;835;
2353;gate-keeper;836;
2354;vege_1;834;
2354;gate-keeper;837;
2355;gate-keeper;838;
2361;vege_0;835;
2365;vege_1;836;
2370;vege_0;837;
2374;vege_1;838;
2395;final-crs_6;834;692
2401;final-crs_4;835;932
2407;final-crs_2;836;1846
2444;final-crs_11;837;1003
2471;final-crs_8;838;944
2681;gate-keeper;956;
2690;meat_1;956;
2694;final-crs_11;956;1213
2924;gate-keeper;1037;
2925;gate-keeper;1038;
2926;gate-keeper;1039;
2927;gate-keeper;1040;
2928;vege_1;1037;
2928;gate-keeper;1041;
2929;vege_0;1038;
2933;final-crs_8;1037;885
2936;vege_1;1039;
2941;meat_0;1040;
2970;meat_1;1041;
2984;final-crs_7;1038;708
2986;final-crs_10;1039;122
3027;final-crs_3;1040;609
3042;final-crs_0;1041;259
3159;gate-keeper;1125;
3160;gate-keeper;1126;
3163;vege_1;1125;
3171;meat_0;1126;
3177;final-crs_11;1125;1479
3198;final-crs_8;1126;678
3643;gate-keeper;1293;
3644;gate-keeper;1294;
3645;gate-keeper;1295;
3646;frui_0;1294;
3647;vege_1;1295;
3651;final-crs_8;1294;1269
3657;final-crs_7;1295;1187
3691;meat_1;1293;
3708;final-crs_10;1293;875
3709;gate-keeper;1319;
3712;vege_1;1319;
3740;final-crs_5;1319;748
4027;gate-keeper;1431;
4037;vege_0;1431;
4045;final-crs_2;1431;1311
4316;gate-keeper;1526;
4317;gate-keeper;1527;
4318;vege_0;1526;
4318;gate-keeper;1528;
4319;vege_1;1527;
4319;gate-keeper;1529;
4320;gate-keeper;1530;
4321;frui_0;1529;
4321;gate-keeper;1531;
4322;gate-keeper;1532;
4323;final-crs_8;1526;547
4323;gate-keeper;1533;
4326;vege_0;1530;
4328;vege_1;1531;
4335;vege_0;1532;
4338;vege_1;1533;
4342;meat_0;1528;
4343;final-crs_11;1527;786
4354;final-crs_4;1529;868
4375;final-crs_7;1530;1463
4438;final-crs_1;1531;1158
4445;gate-keeper;1573;
4446;final-crs_5;1532;1065
4446;final-crs_12;1533;424
4446;gate-keeper;1574;
4447;vege_1;1573;
4447;gate-keeper;1575;
4448;gate-keeper;1576;
4449;frui_0;1574;
4449;frui_1;1575;
4449;gate-keeper;1577;
4450;gate-keeper;1578;
4451;gate-keeper;1579;
4452;vege_0;1576;
4456;vege_1;1578;
4456;frui_0;1577;
4456;frui_1;1579;
4486;final-crs_10;1528;1180
4505;final-crs_0;1573;179
4506;final-crs_6;1574;182
4510;final-crs_3;1575;518
4518;final-crs_9;1576;433
4546;final-crs_8;1578;784
4553;final-crs_4;1577;922
4577;final-crs_11;1579;854
4686;gate-keeper;1663;
4687;gate-keeper;1664;
4688;vege_0;1664;
4688;gate-keeper;1665;
4691;frui_0;1663;
4695;vege_1;1665;
4704;final-crs_1;1664;631
4731;final-crs_5;1663;136
4737;final-crs_10;1665;1428
4956;gate-keeper;1762;
4965;vege_0;1762;
4981;final-crs_3;1762;1179
5255;gate-keeper;1866;
5256;gate-keeper;1867;
5262;gate-keeper;1868;
5263;meat_0;1866;
5263;gate-keeper;1869;
5264;gate-keeper;1870;
5267;final-crs_6;1866;1474
5267;vege_1;1868;
5270;final-crs_0;1868;618
5271;meat_1;1867;
5277;final-crs_7;1867;860
5326;meat_0;1869;
5327;meat_1;1870;
5365;final-crs_11;1869;716
5415;final-crs_12;1870;688
5515;gate-keeper;1956;
5516;gate-keeper;1957;
5517;gate-keeper;1958;
5518;vege_0;1956;
5518;vege_1;1957;
5518;gate-keeper;1959;
5519;gate-keeper;1960;
5527;vege_1;1959;
5528;vege_0;1960;
5534;final-crs_9;1956;1908
5541;final-crs_3;1957;1547
5555;meat_1;1958;
5556;final-crs_2;1959;1340
5566;final-crs_0;1960;1882
5616;final-crs_11;1958;335
5840;gate-keeper;2069;
5841;frui_1;2069;
5841;gate-keeper;2070;
5842;gate-keeper;2071;
5843;gate-keeper;2072;
5844;gate-keeper;2073;
5845;vege_0;2073;
5845;gate-keeper;2074;
5847;frui_0;2071;
5852;vege_0;2074;
5855;final-crs_11;2069;668
5858;final-crs_1;2073;2031
5858;meat_0;2070;
5858;meat_1;2072;
5893;final-crs_10;2071;174
5924;final-crs_12;2074;614
5932;final-crs_5;2070;961
5950;final-crs_6;2072;1465
6243;gate-keeper;2220;
6253;meat_0;2220;
6259;final-crs_2;2220;884
6381;gate-keeper;2269;
6394;meat_1;2269;
6405;final-crs_7;2269;288
6712;gate-keeper;2385;
6713;gate-keeper;2386;
6720;vege_1;2386;
6724;meat_0;2385;
6731;final-crs_9;2386;186
6774;final-crs_0;2385;1825
6908;gate-keeper;2452;
6909;vege_1;2452;
6909;gate-keeper;2453;
6910;final-crs_7;2452;532
6910;gate-keeper;2454;
6911;gate-keeper;2455;
6912;gate-keeper;2456;
6914;vege_0;2454;
6918;vege_1;2455;
6924;vege_0;2456;
6941;final-crs_3;2454;1551
6949;meat_1;2453;
