time;ckpt;id;money
274;gate-keeper;97;
281;vege_1;97;
464;final-crs_3;97;292
879;gate-keeper;315;
889;meat_0;315;
915;final-crs_2;315;306
968;gate-keeper;345;
969;gate-keeper;346;
970;gate-keeper;347;
973;vege_1;345;
977;vege_0;346;
980;final-crs_5;345;339
982;vege_1;347;
987;final-crs_0;346;646
994;final-crs_10;347;1846
1178;gate-keeper;421;
1179;gate-keeper;422;
1184;vege_1;421;
1189;meat_0;422;
1211;final-crs_12;421;831
1215;final-crs_0;422;580
1517;gate-keeper;541;
1521;vege_1;541;
1588;final-crs_6;541;263
2078;gate-keeper;734;
2079;gate-keeper;735;
2080;gate-keeper;736;
2081;gate-keeper;737;
2082;gate-keeper;738;
2083;gate-keeper;739;
2084;vege_0;734;
2084;gate-keeper;740;
2085;frui_0;737;
2086;frui_1;739;
2087;vege_1;735;
2091;vege_0;736;
2096;vege_1;740;
2102;final-crs_7;734;486
2115;meat_0;738;
2116;final-crs_11;737;998
2142;final-crs_5;739;683
2143;final-crs_10;735;1543
2153;final-crs_9;736;548
2166;final-crs_2;740;1016
2188;final-crs_3;738;401
2384;gate-keeper;846;
2385;gate-keeper;847;
2386;gate-keeper;848;
2387;gate-keeper;849;
2392;vege_0;848;
2396;final-crs_2;848;164
2423;meat_1;846;
2424;meat_0;847;
2433;final-crs_3;846;936
2442;final-crs_0;847;762
2474;meat_0;849;
2514;final-crs_1;849;1294
2692;gate-keeper;959;
2693;gate-keeper;960;
2699;vege_0;959;
2701;vege_1;960;
2704;final-crs_3;959;62
2743;final-crs_11;960;1442
3205;gate-keeper;1140;
3206;gate-keeper;1141;
3207;gate-keeper;1142;
3213;vege_0;1140;
3213;vege_1;1142;
3236;final-crs_1;1140;646
3251;meat_1;1141;
3260;final-crs_4;1142;1049
3279;final-crs_7;1141;859
3438;gate-keeper;1221;
3439;gate-keeper;1222;
3440;gate-keeper;1223;
3441;gate-keeper;1224;
3444;vege_0;1222;
3446;vege_1;1223;
3447;final-crs_1;1222;606
3451;vege_0;1224;
3451;meat_1;1221;
3478;gate-keeper;1235;
3479;gate-keeper;1236;
3480;gate-keeper;1237;
3483;vege_0;1235;
3483;vege_1;1237;
3492;final-crs_12;1223;1001
3503;final-crs_4;1224;315
3506;meat_1;1236;
3510;final-crs_7;1221;576
3530;gate-keeper;1247;
3531;final-crs_11;1235;378
3531;gate-keeper;1248;
3532;vege_1;1248;
3532;gate-keeper;1249;
3533;gate-keeper;1250;
