time;ckpt;id;money
352;gate-keeper;58;
353;gate-keeper;59;
354;vege_0;58;
354;gate-keeper;60;
357;vege_1;59;
364;vege_0;60;
419;final-crs_11;58;764
433;final-crs_10;59;786
448;final-crs_3;60;1206
959;gate-keeper;166;
962;vege_1;166;
967;final-crs_9;166;326
1238;gate-keeper;213;
1239;vege_1;213;
1239;gate-keeper;214;
1240;vege_0;214;
1240;gate-keeper;215;
1249;vege_0;215;
1259;final-crs_4;213;792
1263;final-crs_6;214;865
1284;final-crs_2;215;145
1816;gate-keeper;318;
1821;vege_1;318;
1827;final-crs_10;318;1093
2094;gate-keeper;362;
2095;gate-keeper;363;
2096;gate-keeper;364;
2097;gate-keeper;365;
2098;gate-keeper;366;
2099;gate-keeper;367;
2102;vege_1;362;
2103;frui_0;367;
2105;vege_0;363;
2106;final-crs_8;362;209
2110;vege_1;364;
2115;vege_0;365;
2121;vege_1;366;
2152;final-crs_7;367;825
2160;final-crs_1;363;232
2164;final-crs_9;364;777
2176;final-crs_3;365;398
2194;final-crs_2;366;179
2650;gate-keeper;464;
2655;vege_1;464;
2664;final-crs_7;464;463
2702;gate-keeper;473;
2706;meat_0;473;
2714;final-crs_1;473;651
2968;gate-keeper;518;
2969;gate-keeper;519;
2972;vege_0;518;
2976;vege_1;519;
2977;final-crs_12;518;1031
2983;final-crs_0;519;917
3227;gate-keeper;563;
3230;vege_1;563;
3231;final-crs_8;563;559
3269;gate-keeper;568;
3270;gate-keeper;569;
3271;vege_0;568;
3271;vege_1;569;
3271;gate-keeper;570;
3272;gate-keeper;571;
3279;vege_0;571;
3281;meat_0;570;
3309;final-crs_9;568;340
3327;final-crs_3;569;593
3360;final-crs_4;571;1593
3386;final-crs_7;570;119
3511;gate-keeper;614;
3512;vege_1;614;
3547;final-crs_9;614;1217
3619;gate-keeper;634;
3624;frui_0;634;
3643;final-crs_7;634;240
4073;gate-keeper;714;
4077;vege_1;714;
4098;final-crs_4;714;733
4387;gate-keeper;771;
4388;vege_0;771;
4410;gate-keeper;775;
4413;vege_0;775;
4416;final-crs_11;771;769
4419;final-crs_5;775;256
4705;gate-keeper;828;
4707;vege_1;828;
4720;final-crs_4;828;515
5007;gate-keeper;881;
5009;frui_1;881;
5012;final-crs_7;881;454
5055;gate-keeper;890;
5059;frui_1;890;
5133;final-crs_4;890;485
5279;gate-keeper;930;
5283;vege_0;930;
5350;final-crs_4;930;494
5542;gate-keeper;978;
5543;frui_1;978;
5591;final-crs_4;978;610
5776;gate-keeper;1018;
5777;gate-keeper;1019;
5780;frui_0;1019;
5781;vege_1;1018;
5821;final-crs_4;1019;1066
5831;final-crs_2;1018;1063
6105;gate-keeper;1078;
6106;gate-keeper;1079;
6108;vege_0;1078;
6110;vege_1;1079;
6111;final-crs_12;1078;74
6120;final-crs_0;1079;886
6475;gate-keeper;1145;
6522;meat_1;1145;
6523;gate-keeper;1149;
6524;gate-keeper;1150;
6525;gate-keeper;1151;
6526;gate-keeper;1152;
6527;gate-keeper;1153;
6528;vege_0;1150;
6531;vege_1;1151;
6532;meat_0;1149;
6536;vege_0;1152;
6540;vege_1;1153;
6545;final-crs_6;1145;813
6576;final-crs_4;1150;114
6579;final-crs_5;1151;395
6588;final-crs_12;1149;835
6600;final-crs_0;1152;873
6605;final-crs_3;1153;849
6703;gate-keeper;1185;
6707;vege_0;1185;
6713;final-crs_8;1185;507
6962;gate-keeper;1231;
6964;vege_1;1231;
7029;final-crs_6;1231;646
7323;gate-keeper;1295;
7324;gate-keeper;1296;
7325;vege_0;1295;
7325;gate-keeper;1297;
7327;frui_1;1296;
7329;final-crs_0;1295;735
7330;vege_1;1297;
7373;final-crs_5;1296;1083
7378;final-crs_7;1297;640
7419;gate-keeper;1313;
7420;gate-keeper;1314;
7422;frui_0;1313;
7422;frui_1;1314;
7442;final-crs_11;1313;436
7450;final-crs_6;1314;679
7605;gate-keeper;1347;
7606;vege_1;1347;
7625;final-crs_5;1347;112
7878;gate-keeper;1393;
7879;gate-keeper;1394;
7880;vege_1;1393;
7880;gate-keeper;1395;
7881;gate-keeper;1396;
7883;vege_0;1394;
7890;vege_1;1395;
7891;final-crs_11;1393;671
7893;vege_0;1396;
7900;final-crs_5;1394;400
7916;final-crs_4;1395;808
7920;final-crs_8;1396;187
8516;gate-keeper;1510;
8518;vege_0;1510;
8532;final-crs_7;1510;222
8825;gate-keeper;1565;
8826;gate-keeper;1566;
8828;vege_0;1566;
8846;final-crs_2;1566;427
8868;meat_1;1565;
8871;final-crs_4;1565;1078
9157;gate-keeper;1625;
9161;frui_1;1625;
9162;final-crs_12;1625;789
9195;gate-keeper;1632;
9202;vege_0;1632;
9220;final-crs_7;1632;356
9468;gate-keeper;1680;
9470;vege_0;1680;
9471;final-crs_1;1680;285
10115;gate-keeper;1790;
10116;vege_0;1790;
10116;gate-keeper;1791;
10117;frui_0;1791;
10117;gate-keeper;1792;
10118;gate-keeper;1793;
10121;vege_1;1792;
10126;vege_0;1793;
10126;gate-keeper;1794;
10127;gate-keeper;1795;
10129;frui_1;1794;
10130;vege_1;1795;
10173;final-crs_10;1790;1471
10204;final-crs_1;1791;932
10210;final-crs_11;1792;73
10220;final-crs_6;1793;396
10224;final-crs_4;1794;727
10225;final-crs_7;1795;386
10441;gate-keeper;1852;
10442;frui_1;1852;
10462;final-crs_6;1852;69
10740;gate-keeper;1905;
10747;vege_0;1905;
10766;final-crs_8;1905;570
10956;gate-keeper;1944;
10959;vege_0;1944;
10961;final-crs_1;1944;378
11017;gate-keeper;1955;
11018;frui_0;1955;
11019;final-crs_8;1955;1759
11317;gate-keeper;2006;
11318;vege_0;2006;
11318;gate-keeper;2007;
11319;gate-keeper;2008;
11320;final-crs_12;2006;1061
11320;gate-keeper;2009;
11324;frui_1;2007;
11326;final-crs_2;2007;331
11327;vege_0;2009;
11348;final-crs_4;2009;1331
11350;meat_1;2008;
11377;final-crs_10;2008;651
11635;gate-keeper;2064;
11636;vege_1;2064;
11636;gate-keeper;2065;
11637;gate-keeper;2066;
11640;vege_0;2065;
11644;final-crs_1;2064;717
11646;vege_1;2066;
11649;final-crs_3;2065;662
11682;final-crs_9;2066;1301
11959;gate-keeper;2124;
11966;meat_1;2124;
11972;final-crs_2;2124;317
11986;gate-keeper;2128;
11987;gate-keeper;2129;
11992;frui_0;2129;
11994;vege_0;2128;
12021;final-crs_5;2129;913
12044;final-crs_12;2128;810
12249;gate-keeper;2176;
12264;meat_1;2176;
12270;final-crs_5;2176;700
12543;gate-keeper;2226;
12544;gate-keeper;2227;
12545;gate-keeper;2228;
12546;vege_0;2226;
12546;vege_1;2228;
12548;meat_1;2227;
12564;final-crs_9;2226;426
12567;final-crs_5;2228;896
12572;final-crs_3;2227;102
12837;gate-keeper;2280;
12839;frui_0;2280;
12856;final-crs_9;2280;653
13145;gate-keeper;2331;
13146;frui_1;2331;
13146;gate-keeper;2332;
13147;gate-keeper;2333;
13148;gate-keeper;2334;
13149;gate-keeper;2335;
13152;frui_1;2333;
13153;frui_0;2334;
13155;vege_0;2332;
13155;vege_1;2335;
13191;final-crs_7;2331;690
13214;final-crs_4;2333;301
13220;final-crs_6;2334;1461
13229;final-crs_10;2332;1220
13240;final-crs_5;2335;781
13798;gate-keeper;2451;
13800;vege_0;2451;
13805;final-crs_3;2451;298
13832;gate-keeper;2457;
13833;gate-keeper;2458;
