time;ckpt;id;money
599;gate-keeper;102;
600;frui_0;102;
615;final-crs_1;102;192
901;gate-keeper;155;
902;gate-keeper;156;
904;vege_0;155;
905;frui_1;156;
909;final-crs_8;155;659
915;final-crs_12;156;1391
1262;gate-keeper;219;
1268;vege_1;219;
1297;final-crs_3;219;933
1562;gate-keeper;270;
1563;vege_1;270;
1563;gate-keeper;271;
1564;gate-keeper;272;
1565;gate-keeper;273;
1572;vege_0;271;
1573;vege_1;272;
1575;final-crs_1;270;548
1582;vege_0;273;
1607;final-crs_12;271;740
1615;final-crs_5;272;1154
1619;final-crs_7;273;151
1996;gate-keeper;348;
1997;gate-keeper;349;
1999;frui_0;348;
2001;vege_1;349;
2002;final-crs_3;348;361
2006;final-crs_1;349;499
2158;gate-keeper;379;
2164;vege_0;379;
2192;final-crs_2;379;408
2468;gate-keeper;431;
2473;vege_1;431;
2492;final-crs_3;431;1742
2788;gate-keeper;488;
2792;vege_0;488;
2795;final-crs_8;488;826
2892;gate-keeper;505;
2898;frui_1;505;
2925;final-crs_2;505;638
3384;gate-keeper;591;
3385;vege_1;591;
3390;final-crs_2;591;864
3626;gate-keeper;635;
3628;vege_0;635;
3678;gate-keeper;644;
3681;vege_1;644;
3687;final-crs_11;635;273
3696;final-crs_3;644;1337
4004;gate-keeper;701;
4041;meat_1;701;
4046;final-crs_8;701;189
4380;gate-keeper;770;
4384;vege_1;770;
4392;final-crs_3;770;1413
4528;gate-keeper;795;
4529;gate-keeper;796;
4530;vege_0;795;
4531;vege_1;796;
4533;final-crs_10;795;1246
4568;final-crs_12;796;552
5005;gate-keeper;880;
5011;vege_0;880;
5013;final-crs_6;880;1604
5272;gate-keeper;929;
5273;meat_0;929;
5274;final-crs_6;929;247
5568;gate-keeper;982;
5570;vege_0;982;
5576;final-crs_5;982;327
5867;gate-keeper;1033;
5868;gate-keeper;1034;
5869;gate-keeper;1035;
5872;vege_0;1033;
5872;vege_1;1034;
5872;frui_0;1035;
5898;final-crs_8;1033;1513
5914;final-crs_9;1034;1553
5950;final-crs_7;1035;277
6139;gate-keeper;1085;
6146;vege_0;1085;
6156;final-crs_8;1085;205
7154;gate-keeper;1265;
7156;vege_0;1265;
7167;final-crs_7;1265;387
7478;gate-keeper;1323;
7479;gate-keeper;1324;
7480;vege_0;1323;
7480;gate-keeper;1325;
7483;vege_1;1324;
7485;gate-keeper;1326;
7490;frui_0;1326;
7491;vege_0;1325;
7492;gate-keeper;1327;
7493;vege_1;1327;
7498;final-crs_6;1323;682
7511;final-crs_10;1324;1110
7515;final-crs_3;1326;602
7538;final-crs_12;1325;1064
7552;final-crs_11;1327;765
7744;gate-keeper;1371;
7745;gate-keeper;1372;
7747;vege_1;1372;
7748;frui_1;1371;
7753;final-crs_11;1372;820
7771;final-crs_3;1371;126
8087;gate-keeper;1434;
8090;vege_1;1434;
8093;final-crs_7;1434;494
8368;gate-keeper;1482;
8369;gate-keeper;1483;
8372;vege_1;1483;
8387;final-crs_5;1483;1885
8392;meat_1;1482;
8443;gate-keeper;1491;
8444;final-crs_0;1482;1794
8444;vege_0;1491;
8444;gate-keeper;1492;
8445;gate-keeper;1493;
8446;gate-keeper;1494;
8447;final-crs_6;1491;767
8447;gate-keeper;1495;
8448;gate-keeper;1496;
8449;gate-keeper;1497;
8450;vege_1;1492;
8452;meat_1;1493;
8455;vege_0;1495;
8460;final-crs_11;1492;633
8460;vege_1;1496;
8464;vege_0;1497;
8472;final-crs_3;1493;1385
8475;meat_0;1494;
8497;final-crs_1;1495;1658
8515;final-crs_8;1496;1781
8515;final-crs_12;1497;790
8525;final-crs_10;1494;722
8666;gate-keeper;1538;
8668;vege_1;1538;
8684;final-crs_6;1538;796
8950;gate-keeper;1588;
8951;vege_1;1588;
8953;final-crs_8;1588;1002
9316;gate-keeper;1652;
9317;frui_0;1652;
9317;gate-keeper;1653;
9318;vege_1;1653;
9318;gate-keeper;1654;
9323;vege_0;1654;
9325;gate-keeper;1655;
9332;final-crs_2;1652;963
9338;final-crs_5;1653;301
9339;final-crs_0;1654;365
9342;meat_0;1655;
9377;final-crs_12;1655;1593
10152;gate-keeper;1798;
10153;gate-keeper;1799;
10154;gate-keeper;1800;
10157;vege_1;1798;
10158;vege_0;1799;
10165;final-crs_12;1798;670
10165;vege_1;1800;
10180;final-crs_7;1799;332
10188;final-crs_1;1800;655
10347;gate-keeper;1836;
10350;frui_0;1836;
10366;final-crs_12;1836;258
11000;gate-keeper;1952;
11003;frui_1;1952;
11021;final-crs_12;1952;892
11619;gate-keeper;2063;
11622;vege_1;2063;
11640;final-crs_11;2063;185
11957;gate-keeper;2122;
11958;gate-keeper;2123;
11960;vege_0;2122;
11963;vege_1;2123;
11989;gate-keeper;2130;
11991;vege_1;2130;
