time;ckpt;id;money
936;gate-keeper;162;
938;vege_0;162;
939;final-crs_11;162;282
940;gate-keeper;163;
941;frui_1;163;
943;final-crs_4;163;463
1575;gate-keeper;275;
1583;vege_0;275;
1649;final-crs_3;275;944
1847;gate-keeper;324;
1851;frui_0;324;
1892;final-crs_3;324;809
2418;gate-keeper;423;
2421;vege_1;423;
2428;final-crs_5;423;926
2699;gate-keeper;472;
2705;vege_0;472;
2718;final-crs_8;472;954
3020;gate-keeper;527;
3021;frui_0;527;
3021;gate-keeper;528;
3022;vege_0;528;
3055;final-crs_3;527;826
3070;final-crs_7;528;1334
3081;gate-keeper;536;
3082;gate-keeper;537;
3083;gate-keeper;538;
3085;vege_1;536;
3089;vege_0;537;
3097;meat_0;538;
3118;final-crs_4;536;85
3119;final-crs_5;537;715
3120;final-crs_10;538;1510
3222;gate-keeper;562;
3227;vege_0;562;
3296;final-crs_3;562;461
3439;gate-keeper;601;
3441;vege_0;601;
3443;final-crs_2;601;132
3526;gate-keeper;616;
3528;vege_0;616;
3544;final-crs_10;616;103
3835;gate-keeper;672;
3841;vege_1;672;
3843;final-crs_4;672;275
4125;gate-keeper;722;
4126;vege_1;722;
4126;gate-keeper;723;
4129;vege_0;723;
4132;final-crs_5;722;575
4142;final-crs_0;723;1042
4404;gate-keeper;774;
4405;vege_0;774;
4417;final-crs_1;774;858
4615;gate-keeper;807;
4616;gate-keeper;808;
4617;frui_0;807;
4617;gate-keeper;809;
4618;gate-keeper;810;
4619;gate-keeper;811;
4620;vege_1;810;
4620;gate-keeper;812;
4625;vege_0;811;
4627;meat_1;808;
4630;vege_1;812;
4642;final-crs_12;807;449
4644;final-crs_0;810;937
4645;final-crs_1;811;363
4654;meat_0;809;
4661;final-crs_2;808;404
4678;final-crs_10;812;706
4702;final-crs_6;809;485
5389;gate-keeper;948;
5390;vege_0;948;
5390;gate-keeper;949;
5391;gate-keeper;950;
5392;vege_1;949;
5396;final-crs_0;948;1652
5400;vege_0;950;
5412;final-crs_11;949;1094
5432;final-crs_7;950;480
5583;gate-keeper;983;
5584;gate-keeper;984;
5585;vege_1;983;
5585;gate-keeper;985;
5588;final-crs_12;983;666
5588;vege_0;984;
5595;vege_1;985;
5625;final-crs_10;984;556
5633;final-crs_0;985;1794
5728;gate-keeper;1008;
5729;gate-keeper;1009;
5730;vege_1;1008;
5730;gate-keeper;1010;
5733;final-crs_8;1008;440
5736;meat_1;1010;
5737;vege_0;1009;
5812;final-crs_12;1010;276
5828;final-crs_10;1009;677
6031;gate-keeper;1063;
6032;gate-keeper;1064;
6033;gate-keeper;1065;
6035;vege_0;1063;
6037;final-crs_12;1063;792
6037;vege_1;1064;
6043;vege_0;1065;
6073;final-crs_10;1064;1045
6081;final-crs_11;1065;1170
6329;gate-keeper;1119;
6335;vege_0;1119;
6347;final-crs_0;1119;1630
6536;gate-keeper;1156;
6542;vege_0;1156;
6574;final-crs_6;1156;329
6656;gate-keeper;1176;
6657;gate-keeper;1177;
6658;frui_1;1176;
6673;final-crs_11;1176;218
6676;meat_0;1177;
6678;final-crs_9;1177;128
6900;gate-keeper;1216;
6901;gate-keeper;1217;
6902;gate-keeper;1218;
6903;frui_1;1217;
6903;gate-keeper;1219;
6904;gate-keeper;1220;
6906;frui_0;1219;
6911;vege_0;1218;
6911;meat_0;1216;
6917;final-crs_1;1217;1422
6927;final-crs_11;1219;1225
6929;meat_1;1220;
6930;final-crs_5;1218;816
6947;final-crs_3;1216;843
6959;final-crs_9;1220;1010
7207;gate-keeper;1273;
7208;gate-keeper;1274;
7209;frui_0;1273;
7209;gate-keeper;1275;
7212;vege_0;1274;
7213;final-crs_11;1273;130
7213;frui_1;1275;
7220;final-crs_6;1274;504
7240;final-crs_5;1275;410
7438;gate-keeper;1317;
7439;frui_1;1317;
7439;gate-keeper;1318;
7441;vege_0;1318;
7449;final-crs_6;1317;1034
7471;final-crs_3;1318;800
7515;gate-keeper;1328;
7516;gate-keeper;1329;
7517;gate-keeper;1330;
7518;vege_1;1328;
7518;gate-keeper;1331;
7522;vege_0;1329;
7522;frui_0;1330;
7524;frui_1;1331;
7533;final-crs_12;1328;1195
7568;final-crs_10;1329;2188
7590;final-crs_0;1330;916
7604;final-crs_4;1331;1152
7733;gate-keeper;1368;
7734;gate-keeper;1369;
7735;gate-keeper;1370;
7736;vege_0;1368;
7736;vege_1;1369;
7742;final-crs_3;1368;1534
7744;vege_0;1370;
7806;final-crs_10;1369;905
7807;gate-keeper;1383;
7819;final-crs_0;1370;894
7825;meat_0;1383;
7830;final-crs_4;1383;88
8105;gate-keeper;1436;
8106;gate-keeper;1437;
8111;vege_1;1436;
8125;meat_0;1437;
8136;final-crs_11;1436;1283
8153;final-crs_2;1437;950
8400;gate-keeper;1488;
8401;gate-keeper;1489;
8402;vege_0;1488;
8403;vege_1;1489;
8414;final-crs_9;1488;962
8430;final-crs_12;1489;1366
8737;gate-keeper;1551;
8738;vege_0;1551;
8774;final-crs_10;1551;840
9057;gate-keeper;1607;
9062;vege_1;1607;
9064;final-crs_11;1607;757
9168;gate-keeper;1627;
9174;vege_0;1627;
9176;final-crs_5;1627;742
9451;gate-keeper;1677;
9452;gate-keeper;1678;
9453;vege_1;1677;
9453;frui_1;1678;
9459;final-crs_10;1677;1291
9486;final-crs_1;1678;825
9735;gate-keeper;1727;
9737;vege_1;1727;
9749;final-crs_0;1727;942
10394;gate-keeper;1843;
10395;gate-keeper;1844;
10396;vege_0;1843;
10402;vege_1;1844;
10408;final-crs_0;1843;712
10426;final-crs_4;1844;326
10932;gate-keeper;1939;
10933;vege_0;1939;
10945;final-crs_4;1939;71
11192;gate-keeper;1986;
11209;meat_0;1986;
11215;final-crs_5;1986;966
11823;gate-keeper;2099;
11824;vege_0;2099;
11828;final-crs_11;2099;461
12030;gate-keeper;2136;
12031;gate-keeper;2137;
12032;vege_1;2136;
12032;frui_1;2137;
12040;final-crs_11;2136;1257
12049;final-crs_7;2137;1377
12064;gate-keeper;2141;
12065;gate-keeper;2142;
12066;gate-keeper;2143;
12067;vege_0;2141;
12067;frui_0;2143;
12069;vege_1;2142;
12109;final-crs_4;2141;1256
12122;final-crs_2;2143;662
12128;final-crs_10;2142;264
12925;gate-keeper;2296;
12928;frui_0;2296;
12946;final-crs_1;2296;454
13262;gate-keeper;2354;
13263;gate-keeper;2355;
13267;vege_1;2354;
13270;vege_0;2355;
13277;final-crs_8;2354;277
13278;final-crs_2;2355;864
13577;gate-keeper;2411;
13581;vege_0;2411;
13600;final-crs_0;2411;616
14113;gate-keeper;2507;
14114;frui_1;2507;
14136;final-crs_1;2507;98
15514;gate-keeper;2751;
15515;gate-keeper;2752;
15518;vege_1;2751;
15522;vege_0;2752;
15534;final-crs_9;2751;548
15564;final-crs_3;2752;821
15602;gate-keeper;2767;
15603;gate-keeper;2768;
15604;frui_1;2768;
15608;vege_1;2767;
15628;final-crs_11;2768;341
15658;final-crs_4;2767;925
15797;gate-keeper;2803;
15803;vege_1;2803;
15804;final-crs_7;2803;1781
16063;gate-keeper;2850;
16066;vege_0;2850;
16098;gate-keeper;2857;
16105;vege_0;2857;
16138;final-crs_4;2850;1811
16179;final-crs_10;2857;494
16927;gate-keeper;3004;
16935;vege_0;3004;
16953;final-crs_6;3004;980
