time;ckpt;id;money
260;gate-keeper;42;
261;vege_1;42;
261;gate-keeper;43;
265;final-crs_5;42;963
290;meat_1;43;
298;final-crs_1;43;745
566;gate-keeper;96;
567;gate-keeper;97;
569;vege_0;97;
584;meat_1;96;
610;final-crs_11;97;163
653;final-crs_8;96;542
967;gate-keeper;167;
968;gate-keeper;168;
970;vege_1;167;
978;vege_0;168;
979;final-crs_2;167;1036
980;final-crs_3;168;316
1147;gate-keeper;198;
1154;vege_0;198;
1164;final-crs_8;198;1180
1440;gate-keeper;251;
1471;meat_1;251;
1474;final-crs_11;251;858
1740;gate-keeper;305;
1745;vege_1;305;
1746;final-crs_2;305;828
1748;gate-keeper;306;
1775;meat_0;306;
1792;final-crs_8;306;1129
1997;gate-keeper;350;
2000;vege_1;350;
2012;final-crs_11;350;700
2308;gate-keeper;405;
2309;frui_0;405;
2332;final-crs_9;405;359
2410;gate-keeper;420;
2411;gate-keeper;421;
2412;gate-keeper;422;
2414;frui_0;421;
2415;vege_1;422;
2418;final-crs_4;421;212
2424;meat_1;420;
2429;final-crs_5;422;1631
2439;final-crs_1;420;817
2556;gate-keeper;445;
2557;vege_0;445;
2557;gate-keeper;446;
2558;gate-keeper;447;
2561;frui_0;447;
2566;vege_1;446;
2573;final-crs_9;445;702
2593;final-crs_12;447;381
2610;final-crs_0;446;443
2821;gate-keeper;493;
2822;vege_0;493;
2824;final-crs_0;493;114
3156;gate-keeper;547;
3157;frui_0;547;
3157;gate-keeper;548;
3158;gate-keeper;549;
3159;gate-keeper;550;
3160;gate-keeper;551;
3161;frui_1;550;
3165;final-crs_3;547;121
3165;vege_1;548;
3166;vege_0;549;
3176;vege_1;551;
3180;final-crs_4;550;1040
3181;final-crs_8;548;523
3185;final-crs_11;549;282
3230;final-crs_2;551;1053
3434;gate-keeper;599;
3435;vege_0;599;
3435;gate-keeper;600;
3441;vege_1;600;
3456;final-crs_2;599;1812
3493;final-crs_0;600;123
3719;gate-keeper;648;
3720;gate-keeper;649;
3721;gate-keeper;650;
3722;gate-keeper;651;
3724;vege_0;649;
3725;frui_0;648;
3727;vege_1;651;
3747;final-crs_9;649;1837
3760;meat_1;650;
3765;final-crs_10;648;234
3773;final-crs_12;651;1100
3817;final-crs_6;650;696
4048;gate-keeper;704;
4049;gate-keeper;705;
4050;meat_1;704;
4050;gate-keeper;706;
4051;gate-keeper;707;
4052;gate-keeper;708;
4053;meat_0;705;
4053;gate-keeper;709;
4055;vege_0;706;
4057;vege_1;707;
4064;vege_0;708;
4067;vege_1;709;
4073;final-crs_6;704;473
4108;gate-keeper;719;
4109;gate-keeper;720;
4111;frui_0;720;
4114;meat_0;719;
4115;final-crs_1;705;783
4115;final-crs_4;706;517
4116;final-crs_5;707;701
4123;final-crs_8;708;461
4133;final-crs_7;709;810
4150;final-crs_2;720;1844
4173;final-crs_11;719;1122
4368;gate-keeper;765;
4369;gate-keeper;766;
4370;gate-keeper;767;
4373;frui_0;766;
4375;vege_1;765;
4376;final-crs_5;766;619
4379;vege_0;767;
4382;final-crs_4;765;377
4384;final-crs_1;767;265
4743;gate-keeper;834;
4746;vege_1;834;
4787;final-crs_6;834;971
5020;gate-keeper;882;
5021;frui_0;882;
5021;gate-keeper;883;
5023;final-crs_8;882;1286
5026;vege_0;883;
5067;final-crs_4;883;267
5135;gate-keeper;904;
5140;vege_0;904;
5149;final-crs_12;904;772
5308;gate-keeper;935;
5312;vege_0;935;
5323;final-crs_5;935;431
5635;gate-keeper;994;
5638;vege_0;994;
5639;final-crs_3;994;800
5905;gate-keeper;1041;
5906;gate-keeper;1042;
5908;frui_0;1041;
5911;frui_1;1042;
5939;final-crs_6;1041;240
5945;final-crs_0;1042;288
6066;gate-keeper;1071;
6067;vege_0;1071;
6072;final-crs_3;1071;701
6229;gate-keeper;1101;
6232;vege_1;1101;
6233;final-crs_6;1101;1081
6803;gate-keeper;1201;
6804;frui_1;1201;
6804;gate-keeper;1202;
6807;final-crs_11;1201;928
6808;vege_0;1202;
6863;final-crs_1;1202;1289
7145;gate-keeper;1262;
7146;gate-keeper;1263;
7147;vege_1;1263;
7147;gate-keeper;1264;
7149;frui_0;1262;
7151;vege_0;1264;
7153;final-crs_0;1263;635
7162;gate-keeper;1266;
7163;gate-keeper;1267;
7166;vege_1;1267;
7167;final-crs_6;1262;963
7170;meat_0;1266;
7174;final-crs_8;1264;590
7190;final-crs_7;1267;1185
7218;final-crs_3;1266;154
7431;gate-keeper;1316;
7435;vege_1;1316;
7439;final-crs_3;1316;295
7719;gate-keeper;1367;
7722;frui_0;1367;
7754;final-crs_10;1367;443
8324;gate-keeper;1475;
8325;frui_0;1475;
8334;final-crs_3;1475;1081
8651;gate-keeper;1535;
8653;vege_0;1535;
8655;final-crs_5;1535;358
8923;gate-keeper;1583;
8929;vege_0;1583;
8938;final-crs_11;1583;915
9202;gate-keeper;1633;
9205;vege_0;1633;
9234;final-crs_10;1633;655
9476;gate-keeper;1682;
9501;meat_1;1682;
9544;final-crs_3;1682;585
9767;gate-keeper;1733;
9770;frui_0;1733;
9778;final-crs_1;1733;1016
10014;gate-keeper;1775;
10015;gate-keeper;1776;
10016;vege_0;1775;
10027;final-crs_12;1775;356
10042;meat_1;1776;
10045;final-crs_2;1776;544
10531;gate-keeper;1866;
10532;gate-keeper;1867;
10533;gate-keeper;1868;
10535;frui_0;1866;
10537;frui_1;1868;
10553;meat_0;1867;
10559;final-crs_12;1866;253
10585;final-crs_9;1868;296
10589;final-crs_11;1867;645
10684;gate-keeper;1894;
10686;vege_0;1894;
10688;final-crs_1;1894;487
10996;gate-keeper;1951;
10998;vege_1;1951;
11056;final-crs_12;1951;1094
11278;gate-keeper;2002;
11282;vege_0;2002;
11299;final-crs_11;2002;1542
11432;gate-keeper;2029;
11441;vege_0;2029;
11444;final-crs_7;2029;114
11594;gate-keeper;2054;
11595;gate-keeper;2055;
11596;gate-keeper;2056;
11597;gate-keeper;2057;
11598;gate-keeper;2058;
11599;vege_1;2054;
11602;vege_0;2055;
11607;final-crs_2;2054;655
11607;vege_1;2056;
11612;vege_0;2057;
11616;vege_1;2058;
11654;final-crs_7;2055;1097
11682;final-crs_0;2056;2196
11685;final-crs_1;2057;1853
11704;final-crs_5;2058;1614
11921;gate-keeper;2117;
11924;vege_1;2117;
11933;final-crs_1;2117;787
12216;gate-keeper;2170;
12220;frui_1;2170;
12230;final-crs_5;2170;815
12509;gate-keeper;2220;
12510;gate-keeper;2221;
12512;frui_1;2220;
12514;vege_0;2221;
12520;final-crs_3;2220;527
12569;final-crs_1;2221;750
12796;gate-keeper;2271;
12797;vege_0;2271;
12797;gate-keeper;2272;
12798;vege_1;2272;
12808;final-crs_4;2271;1100
12816;final-crs_1;2272;1087
13079;gate-keeper;2323;
13083;frui_0;2323;
13093;final-crs_8;2323;779
13195;gate-keeper;2344;
13201;vege_0;2344;
13232;final-crs_2;2344;1259
13733;gate-keeper;2438;
13734;gate-keeper;2439;
13736;vege_1;2438;
13740;frui_0;2439;
13743;final-crs_1;2438;385
13749;final-crs_3;2439;348
14091;gate-keeper;2503;
14097;vege_0;2503;
14110;gate-keeper;2504;
14111;gate-keeper;2505;
14112;gate-keeper;2506;
14115;vege_0;2504;
14115;vege_1;2505;
14117;final-crs_5;2503;888
14125;vege_0;2506;
14155;final-crs_12;2504;1540
14167;final-crs_10;2505;906
14204;final-crs_4;2506;503
14706;gate-keeper;2611;
14707;gate-keeper;2612;
14709;meat_0;2611;
14711;vege_0;2612;
14719;final-crs_2;2611;1024
14727;final-crs_7;2612;1627
15036;gate-keeper;2668;
15045;vege_1;2668;
15050;final-crs_8;2668;1076
15353;gate-keeper;2725;
15399;meat_0;2725;
15403;final-crs_0;2725;1257
15639;gate-keeper;2774;
15640;gate-keeper;2775;
15642;vege_1;2774;
15646;vege_0;2775;
15656;final-crs_4;2774;1066
