time;ckpt;id;money
594;gate-keeper;101;
596;frui_0;101;
663;final-crs_9;101;882
869;gate-keeper;151;
873;vege_1;151;
898;final-crs_12;151;340
1135;gate-keeper;196;
1138;vege_1;196;
1182;final-crs_2;196;1260
1379;gate-keeper;238;
1380;vege_0;238;
1380;gate-keeper;239;
1381;gate-keeper;240;
1385;vege_1;239;
1390;vege_0;240;
1417;final-crs_4;238;264
1433;final-crs_2;239;992
1436;final-crs_7;240;1102
1675;gate-keeper;287;
1676;vege_1;287;
1676;gate-keeper;288;
1677;gate-keeper;289;
1678;final-crs_7;287;967
1678;frui_1;288;
1678;gate-keeper;290;
1679;gate-keeper;291;
1680;gate-keeper;292;
1682;vege_0;289;
1685;vege_1;290;
1692;vege_0;291;
1694;vege_1;292;
1707;final-crs_4;288;606
1716;final-crs_1;289;1629
1726;final-crs_3;290;507
1755;final-crs_8;291;373
1783;final-crs_0;292;151
1939;gate-keeper;336;
1940;gate-keeper;337;
1941;gate-keeper;338;
1942;gate-keeper;339;
1943;gate-keeper;340;
1944;vege_1;336;
1945;final-crs_1;336;1648
1946;frui_1;340;
1948;final-crs_3;340;1283
1948;vege_0;338;
1949;final-crs_10;338;1710
1955;meat_1;337;
1958;final-crs_4;337;475
1999;meat_0;339;
2005;gate-keeper;351;
2006;vege_0;351;
2007;final-crs_8;339;1077
2037;final-crs_0;351;140
2230;gate-keeper;391;
2231;vege_0;391;
2231;gate-keeper;392;
2232;frui_0;392;
2244;final-crs_3;391;980
2245;final-crs_8;392;650
2526;gate-keeper;442;
2533;vege_1;442;
2581;final-crs_9;442;669
2810;gate-keeper;492;
2813;frui_1;492;
2827;final-crs_9;492;1106
2857;gate-keeper;500;
2859;frui_0;500;
2862;final-crs_6;500;124
3163;gate-keeper;552;
3168;vege_1;552;
3185;final-crs_0;552;409
3799;gate-keeper;665;
3802;frui_0;665;
3815;final-crs_7;665;643
4057;gate-keeper;710;
4059;frui_0;710;
4065;final-crs_2;710;209
4324;gate-keeper;759;
4325;vege_1;759;
4326;final-crs_1;759;396
4702;gate-keeper;827;
4703;vege_1;827;
4712;final-crs_6;827;206
4945;gate-keeper;869;
4950;frui_1;869;
4961;final-crs_6;869;956
5510;gate-keeper;972;
5511;vege_1;972;
5511;gate-keeper;973;
5515;final-crs_4;972;826
5515;vege_0;973;
5519;final-crs_0;973;1051
5525;gate-keeper;975;
5532;vege_1;975;
5539;final-crs_9;975;248
6050;gate-keeper;1066;
6051;gate-keeper;1067;
6052;vege_1;1067;
6052;gate-keeper;1068;
6054;frui_1;1066;
6056;frui_0;1068;
6068;final-crs_10;1067;261
6082;final-crs_12;1066;2053
6091;final-crs_8;1068;1451
6365;gate-keeper;1125;
6369;vege_0;1125;
6397;final-crs_7;1125;413
6473;gate-keeper;1144;
6475;vege_0;1144;
6492;final-crs_2;1144;308
6629;gate-keeper;1171;
6630;gate-keeper;1172;
6631;frui_1;1172;
6635;vege_0;1171;
6641;final-crs_3;1172;231
6652;final-crs_7;1171;1016
6949;gate-keeper;1228;
6950;frui_1;1228;
6975;final-crs_1;1228;1547
7256;gate-keeper;1284;
7304;meat_0;1284;
7320;final-crs_3;1284;940
7524;gate-keeper;1332;
7525;gate-keeper;1333;
7528;vege_0;1332;
7531;vege_1;1333;
7576;final-crs_6;1332;966
7587;final-crs_3;1333;717
7827;gate-keeper;1387;
7833;vege_1;1387;
7844;final-crs_3;1387;827
8135;gate-keeper;1439;
8136;gate-keeper;1440;
8137;gate-keeper;1441;
8138;vege_1;1440;
8138;gate-keeper;1442;
8139;frui_0;1439;
8140;frui_1;1441;
8145;frui_0;1442;
8168;final-crs_10;1440;294
8175;final-crs_1;1439;210
8183;final-crs_2;1441;914
8204;final-crs_11;1442;119
8339;gate-keeper;1478;
8342;vege_0;1478;
8349;final-crs_0;1478;951
8481;gate-keeper;1500;
8482;gate-keeper;1501;
8483;gate-keeper;1502;
8484;vege_0;1500;
8484;gate-keeper;1503;
8485;gate-keeper;1504;
8486;vege_1;1501;
8486;frui_1;1504;
8493;vege_0;1502;
8495;vege_1;1503;
8504;final-crs_8;1500;273
8533;final-crs_5;1501;853
8550;final-crs_4;1504;1884
8556;final-crs_0;1502;341
8557;final-crs_7;1503;384
8797;gate-keeper;1560;
8798;gate-keeper;1561;
8799;vege_1;1560;
8800;frui_0;1561;
8803;final-crs_3;1560;386
8805;final-crs_0;1561;398
9054;gate-keeper;1603;
9055;gate-keeper;1604;
9056;vege_0;1604;
9056;frui_0;1603;
9056;gate-keeper;1605;
9057;gate-keeper;1606;
9061;vege_1;1605;
9065;vege_0;1606;
9085;final-crs_3;1604;895
9090;final-crs_9;1603;535
9100;final-crs_2;1605;494
9122;final-crs_1;1606;70
9133;gate-keeper;1617;
9134;gate-keeper;1618;
9135;gate-keeper;1619;
9136;frui_1;1617;
9136;gate-keeper;1620;
9139;frui_0;1619;
9142;vege_1;1618;
9144;vege_0;1620;
9162;final-crs_12;1617;812
9172;final-crs_11;1619;1070
9185;final-crs_8;1618;1267
9193;final-crs_4;1620;1279
9376;gate-keeper;1664;
9378;vege_0;1664;
9398;final-crs_12;1664;211
9654;gate-keeper;1708;
