time;ckpt;id;money
601;gate-keeper;103;
607;vege_1;103;
616;final-crs_3;103;69
866;gate-keeper;149;
867;gate-keeper;150;
868;vege_0;149;
873;vege_1;150;
879;gate-keeper;152;
880;frui_0;152;
883;final-crs_1;149;563
884;final-crs_5;150;376
914;final-crs_9;152;228
1197;gate-keeper;207;
1198;gate-keeper;208;
1203;vege_0;208;
1203;frui_0;207;
1248;final-crs_7;208;380
1249;final-crs_11;207;92
1511;gate-keeper;262;
1512;frui_1;262;
1512;gate-keeper;263;
1513;vege_0;263;
1513;gate-keeper;264;
1517;frui_0;264;
1530;final-crs_3;262;194
1552;final-crs_8;263;737
1561;final-crs_1;264;745
1789;gate-keeper;314;
1792;meat_1;314;
1801;final-crs_1;314;905
1807;gate-keeper;316;
1808;gate-keeper;317;
1812;frui_1;316;
1813;vege_0;317;
1847;final-crs_10;316;184
1848;final-crs_9;317;1143
2099;gate-keeper;368;
2100;vege_0;368;
2144;final-crs_2;368;571
2392;gate-keeper;418;
2395;frui_1;418;
2400;final-crs_10;418;87
2688;gate-keeper;471;
2691;vege_0;471;
2702;final-crs_11;471;1507
2783;gate-keeper;486;
2784;vege_1;486;
2784;gate-keeper;487;
2787;frui_0;487;
2799;final-crs_12;486;1189
2863;final-crs_2;487;907
3010;gate-keeper;524;
3011;gate-keeper;525;
3012;vege_0;524;
3012;gate-keeper;526;
3018;vege_1;526;
3046;meat_1;525;
3051;final-crs_12;524;839
3075;final-crs_9;526;1306
3091;final-crs_0;525;515
3287;gate-keeper;572;
3288;gate-keeper;573;
3289;gate-keeper;574;
3293;vege_0;572;
3297;vege_1;573;
3304;vege_0;574;
3325;final-crs_0;572;754
3355;final-crs_10;573;1216
3357;final-crs_11;574;561
3568;gate-keeper;622;
3569;gate-keeper;623;
3570;meat_1;623;
3570;gate-keeper;624;
3572;frui_1;622;
3600;final-crs_10;623;1087
3601;final-crs_4;622;672
3614;gate-keeper;633;
3619;meat_1;624;
3623;final-crs_6;624;866
3624;vege_0;633;
3638;final-crs_2;633;632
4209;gate-keeper;735;
4210;gate-keeper;736;
4211;gate-keeper;737;
4212;gate-keeper;738;
4215;vege_1;735;
4215;frui_1;736;
4217;frui_0;737;
4218;vege_0;738;
4219;final-crs_9;735;736
4228;final-crs_3;736;661
4248;final-crs_7;737;491
4249;final-crs_0;738;349
4495;gate-keeper;790;
4499;vege_0;790;
4528;final-crs_6;790;1826
4539;gate-keeper;799;
4545;vege_1;799;
4552;final-crs_4;799;741
4760;gate-keeper;837;
4765;vege_1;837;
4778;final-crs_6;837;79
5063;gate-keeper;891;
5072;vege_0;891;
5082;final-crs_10;891;834
5361;gate-keeper;944;
5362;gate-keeper;945;
5366;vege_0;945;
5366;frui_0;944;
5407;final-crs_9;945;612
5411;final-crs_12;944;373
5693;gate-keeper;1000;
5694;gate-keeper;1001;
5695;gate-keeper;1002;
5696;gate-keeper;1003;
5697;vege_0;1001;
5697;gate-keeper;1004;
5699;vege_1;1002;
5707;vege_0;1003;
5707;vege_1;1004;
5708;final-crs_8;1001;992
5712;final-crs_11;1002;558
5726;meat_0;1000;
5727;final-crs_6;1003;487
5740;final-crs_1;1004;596
5751;final-crs_5;1000;437
5985;gate-keeper;1054;
5986;vege_0;1054;
5986;gate-keeper;1055;
5987;gate-keeper;1056;
5988;vege_1;1055;
5991;frui_1;1056;
5992;final-crs_0;1054;170
5992;final-crs_6;1055;501
6027;final-crs_1;1056;345
6354;gate-keeper;1121;
6355;gate-keeper;1122;
6356;gate-keeper;1123;
6357;gate-keeper;1124;
6359;frui_0;1124;
6361;vege_0;1121;
6361;vege_1;1122;
6367;final-crs_10;1124;494
6371;vege_0;1123;
6392;final-crs_7;1121;627
6435;final-crs_0;1122;808
6450;final-crs_11;1123;186
6532;gate-keeper;1155;
6535;vege_0;1155;
6561;final-crs_8;1155;682
6837;gate-keeper;1209;
6843;vege_0;1209;
6865;final-crs_9;1209;426
7113;gate-keeper;1258;
7118;vege_1;1258;
7126;final-crs_7;1258;677
7657;gate-keeper;1353;
7658;gate-keeper;1354;
7659;gate-keeper;1355;
7661;frui_1;1355;
7666;meat_0;1353;
7672;final-crs_1;1355;998
7674;final-crs_6;1353;696
7680;meat_1;1354;
7690;final-crs_9;1354;1685
7909;gate-keeper;1402;
7913;meat_0;1402;
7914;final-crs_6;1402;1197
8231;gate-keeper;1458;
8232;vege_0;1458;
8232;gate-keeper;1459;
8236;vege_1;1459;
8289;final-crs_2;1458;317
8301;final-crs_4;1459;358
8868;gate-keeper;1574;
8871;vege_0;1574;
8891;final-crs_9;1574;1454
9138;gate-keeper;1621;
9142;vege_1;1621;
9146;final-crs_11;1621;1708
9437;gate-keeper;1671;
9438;gate-keeper;1672;
9439;gate-keeper;1673;
9440;vege_1;1671;
9440;gate-keeper;1674;
9441;gate-keeper;1675;
9442;frui_0;1674;
9443;vege_0;1672;
9447;final-crs_6;1671;1188
9449;vege_1;1673;
9452;final-crs_4;1674;107
9453;vege_0;1675;
9490;final-crs_3;1672;459
9515;final-crs_7;1673;224
9517;final-crs_2;1675;897
9724;gate-keeper;1725;
9728;vege_0;1725;
9747;final-crs_0;1725;491
10254;gate-keeper;1818;
10256;frui_1;1818;
10264;final-crs_11;1818;743
10583;gate-keeper;1877;
10590;vege_1;1877;
10594;final-crs_4;1877;335
10891;gate-keeper;1931;
10892;gate-keeper;1932;
10894;vege_0;1931;
10900;vege_1;1932;
10954;final-crs_2;1931;1603
10986;final-crs_3;1932;656
11509;gate-keeper;2043;
11512;vege_1;2043;
11520;final-crs_10;2043;827
11784;gate-keeper;2090;
11785;gate-keeper;2091;
11786;vege_0;2090;
11786;meat_1;2091;
11786;gate-keeper;2092;
11793;vege_1;2092;
11800;gate-keeper;2095;
11803;frui_1;2095;
11864;final-crs_9;2090;1018
11865;final-crs_4;2091;148
11882;final-crs_1;2092;860
11885;final-crs_5;2095;551
12555;gate-keeper;2229;
12556;gate-keeper;2230;
12560;vege_0;2229;
12561;final-crs_8;2229;520
12564;vege_1;2230;
12592;final-crs_5;2230;842
12756;gate-keeper;2265;
