time;ckpt;id;money
267;gate-keeper;63;
270;vege_0;63;
431;final-crs_4;63;3239
550;gate-keeper;131;
551;vege_0;131;
551;gate-keeper;132;
555;frui_0;132;
656;final-crs_12;131;335
659;final-crs_7;132;1541
794;gate-keeper;192;
798;frui_1;192;
814;gate-keeper;197;
815;vege_0;197;
904;final-crs_8;192;182
908;final-crs_11;197;1336
1033;gate-keeper;244;
1034;gate-keeper;245;
1035;gate-keeper;246;
1036;gate-keeper;247;
1037;frui_1;247;
1037;gate-keeper;248;
1038;gate-keeper;249;
1040;vege_1;244;
1042;vege_0;246;
1048;vege_1;248;
1051;vege_0;249;
1059;meat_1;245;
1123;final-crs_9;247;1184
1152;final-crs_2;244;960
1157;final-crs_12;246;1483
1158;final-crs_5;248;2128
1159;final-crs_4;249;2846
1160;final-crs_11;245;1938
1342;gate-keeper;317;
1343;gate-keeper;318;
1344;gate-keeper;319;
1345;gate-keeper;320;
1346;gate-keeper;321;
1347;gate-keeper;322;
1348;gate-keeper;323;
1349;gate-keeper;324;
1350;vege_1;318;
1350;meat_1;317;
1350;gate-keeper;325;
1351;gate-keeper;326;
1353;vege_0;319;
1354;frui_1;323;
1361;vege_1;320;
1362;vege_0;322;
1370;vege_1;324;
1371;vege_0;325;
1379;final-crs_12;318;2706
1379;vege_1;326;
1383;meat_0;321;
1386;final-crs_4;317;965
1388;final-crs_5;319;1005
1393;final-crs_2;323;2127
1395;final-crs_8;320;474
1422;final-crs_7;322;1224
1423;final-crs_6;324;348
1432;final-crs_10;325;814
1439;final-crs_0;326;882
1448;final-crs_11;321;420
1613;gate-keeper;390;
1614;gate-keeper;391;
1615;gate-keeper;392;
1616;gate-keeper;393;
1617;vege_1;390;
1617;gate-keeper;394;
1622;final-crs_4;390;1923
1623;vege_0;391;
1626;vege_1;392;
1633;vege_0;393;
1645;meat_1;394;
1649;final-crs_7;391;2559
1652;final-crs_11;392;4004
1653;final-crs_6;393;1353
1657;final-crs_8;394;3148
1708;gate-keeper;417;
1737;meat_0;417;
1781;final-crs_9;417;1503
1936;gate-keeper;472;
1937;gate-keeper;473;
1938;gate-keeper;474;
1942;vege_0;472;
1947;vege_1;474;
1952;final-crs_3;472;1429
1959;meat_1;473;
2003;final-crs_9;474;1172
2034;final-crs_5;473;2011
2219;gate-keeper;539;
2220;gate-keeper;540;
2221;gate-keeper;541;
2222;gate-keeper;542;
2223;gate-keeper;543;
2224;gate-keeper;544;
2225;gate-keeper;545;
2226;gate-keeper;546;
2227;frui_1;546;
2229;vege_0;541;
2229;vege_1;542;
2238;vege_0;544;
2238;meat_1;539;
2239;vege_1;545;
2258;meat_0;540;
2289;final-crs_5;546;1107
2298;final-crs_4;541;588
2308;meat_1;543;
2323;final-crs_2;542;796
2333;final-crs_8;544;97
2346;final-crs_10;539;1340
2352;final-crs_7;545;733
2364;final-crs_11;540;3678
2365;final-crs_1;543;1667
2494;gate-keeper;614;
2497;frui_1;614;
2501;final-crs_5;614;2037
2566;gate-keeper;632;
2569;vege_0;632;
2574;final-crs_8;632;2883
3143;gate-keeper;773;
3144;gate-keeper;774;
3145;gate-keeper;775;
3146;frui_1;775;
3146;gate-keeper;776;
3150;vege_0;776;
3152;final-crs_5;775;1625
3163;final-crs_7;776;1467
3171;meat_1;773;
3191;meat_0;774;
3213;final-crs_9;773;580
3258;final-crs_1;774;442
3388;gate-keeper;836;
3408;meat_1;836;
3461;gate-keeper;855;
3465;vege_0;855;
3492;final-crs_9;836;2452
3509;final-crs_8;855;166
3665;gate-keeper;904;
3672;vege_0;904;
3742;final-crs_9;904;1305
3954;gate-keeper;975;
3955;gate-keeper;976;
3959;vege_1;975;
3981;meat_0;976;
3990;final-crs_8;975;2712
4002;final-crs_1;976;616
4242;gate-keeper;1045;
4243;gate-keeper;1046;
4248;vege_1;1046;
4255;final-crs_8;1046;2816
4265;meat_0;1045;
4297;final-crs_6;1045;530
4540;gate-keeper;1122;
4541;gate-keeper;1123;
4542;vege_1;1123;
4554;final-crs_6;1123;2522
4557;meat_1;1122;
4558;gate-keeper;1128;
4568;final-crs_7;1122;1548
4569;meat_0;1128;
4570;final-crs_5;1128;1089
5205;gate-keeper;1289;
5209;vege_1;1289;
5217;final-crs_0;1289;2752
5497;gate-keeper;1362;
5499;frui_0;1362;
5536;final-crs_4;1362;1619
6105;gate-keeper;1510;
6106;gate-keeper;1511;
6107;gate-keeper;1512;
6113;vege_0;1512;
6129;meat_1;1510;
6138;final-crs_10;1512;2669
6150;meat_0;1511;
6184;final-crs_0;1510;855
6204;final-crs_1;1511;903
6415;gate-keeper;1587;
6422;meat_1;1587;
6439;final-crs_1;1587;1089
6683;gate-keeper;1653;
6685;vege_0;1653;
6696;final-crs_7;1653;2491
6986;gate-keeper;1725;
6987;gate-keeper;1726;
6988;meat_0;1725;
6988;gate-keeper;1727;
6989;gate-keeper;1728;
6991;frui_0;1727;
6996;final-crs_11;1725;1201
6998;vege_0;1728;
7000;final-crs_2;1727;1702
7003;final-crs_12;1728;3080
7010;meat_1;1726;
7023;final-crs_5;1726;447
7102;gate-keeper;1757;
7104;vege_0;1757;
7138;final-crs_10;1757;2586
7544;gate-keeper;1866;
7545;gate-keeper;1867;
7548;meat_0;1866;
7549;meat_1;1867;
7576;final-crs_8;1866;3777
7580;final-crs_7;1867;4170
7843;gate-keeper;1940;
7845;vege_0;1940;
7908;final-crs_0;1940;753
8137;gate-keeper;2014;
8139;vege_0;2014;
8154;final-crs_9;2014;1162
8447;gate-keeper;2091;
8448;vege_1;2091;
8472;final-crs_0;2091;2763
8745;gate-keeper;2162;
8746;gate-keeper;2163;
8747;gate-keeper;2164;
8748;vege_1;2162;
8749;final-crs_0;2162;840
8750;vege_0;2163;
8757;vege_1;2164;
8763;final-crs_7;2163;3148
8771;final-crs_6;2164;722
9056;gate-keeper;2242;
9057;frui_1;2242;
9070;final-crs_8;2242;2181
9369;gate-keeper;2320;
9370;gate-keeper;2321;
9401;meat_1;2320;
9421;meat_0;2321;
9448;final-crs_3;2320;1826
9454;final-crs_0;2321;2958
9618;gate-keeper;2380;
9619;gate-keeper;2381;
9664;meat_0;2380;
9666;meat_1;2381;
9679;final-crs_3;2380;2746
9683;final-crs_5;2381;2023
9837;gate-keeper;2436;
9838;gate-keeper;2437;
9842;vege_0;2437;
9842;meat_1;2436;
9854;final-crs_12;2437;1056
9876;final-crs_11;2436;1122
9892;gate-keeper;2450;
9893;gate-keeper;2451;
9894;gate-keeper;2452;
9899;vege_0;2450;
9903;vege_1;2452;
9908;meat_0;2451;
9915;final-crs_3;2450;513
9950;final-crs_4;2452;2207
9984;final-crs_0;2451;425
10121;gate-keeper;2507;
10122;gate-keeper;2508;
10126;vege_1;2507;
10131;vege_0;2508;
10132;final-crs_3;2507;2230
10170;final-crs_5;2508;1661
10465;gate-keeper;2592;
10466;gate-keeper;2593;
10467;gate-keeper;2594;
10470;vege_0;2592;
10470;vege_1;2593;
10478;vege_0;2594;
10483;final-crs_8;2592;599
10489;final-crs_1;2593;674
10500;final-crs_7;2594;817
10572;gate-keeper;2619;
10573;gate-keeper;2620;
10574;vege_1;2619;
10579;vege_0;2620;
10585;final-crs_12;2619;610
10588;final-crs_3;2620;3935
10668;gate-keeper;2644;
10712;meat_0;2644;
10713;final-crs_8;2644;1876
11135;gate-keeper;2761;
11136;gate-keeper;2762;
11138;vege_0;2761;
11138;vege_1;2762;
11142;final-crs_11;2761;1522
11143;final-crs_0;2762;1514
11449;gate-keeper;2838;
11450;gate-keeper;2839;
