time;ckpt;id;money
288;gate-keeper;68;
290;vege_0;68;
441;final-crs_3;68;501
920;gate-keeper;223;
925;meat_1;223;
932;final-crs_3;223;2003
1064;gate-keeper;250;
1065;gate-keeper;251;
1066;gate-keeper;252;
1067;gate-keeper;253;
1068;gate-keeper;254;
1069;vege_1;250;
1069;frui_1;254;
1069;gate-keeper;255;
1070;gate-keeper;256;
1071;vege_0;251;
1079;vege_1;252;
1080;vege_0;256;
1092;meat_0;253;
1096;meat_1;255;
1138;final-crs_12;250;720
1141;final-crs_2;254;758
1147;final-crs_11;251;309
1165;final-crs_3;252;683
1180;gate-keeper;286;
1181;final-crs_10;256;1999
1182;final-crs_8;253;464
1185;vege_1;286;
1201;final-crs_4;255;2942
1208;final-crs_6;286;1488
1495;gate-keeper;364;
1496;gate-keeper;365;
1499;vege_1;365;
1501;meat_1;364;
1526;final-crs_5;365;122
1593;final-crs_12;364;3234
1900;gate-keeper;465;
1902;vege_0;465;
1914;final-crs_2;465;971
2124;gate-keeper;522;
2130;vege_0;522;
2157;final-crs_1;522;1641
2403;gate-keeper;591;
2406;vege_0;591;
2410;final-crs_2;591;628
2725;gate-keeper;671;
2728;vege_1;671;
2736;final-crs_7;671;1894
2782;gate-keeper;685;
2787;vege_1;685;
2789;final-crs_2;685;1359
3001;gate-keeper;740;
3002;vege_1;740;
3007;final-crs_4;740;714
3248;gate-keeper;795;
3249;vege_1;795;
3249;gate-keeper;796;
3250;gate-keeper;797;
3251;gate-keeper;798;
3252;gate-keeper;799;
3253;frui_1;797;
3253;gate-keeper;800;
3254;gate-keeper;801;
3256;frui_0;798;
3257;vege_0;796;
3258;vege_1;799;
3264;meat_0;800;
3267;vege_0;801;
3292;final-crs_10;795;1060
3299;final-crs_2;797;319
3360;final-crs_3;798;1382
3397;final-crs_8;796;973
3400;final-crs_5;799;964
3406;final-crs_11;800;1597
3408;final-crs_7;801;535
3435;gate-keeper;848;
3437;vege_0;848;
3456;final-crs_6;848;671
3525;gate-keeper;867;
3526;gate-keeper;868;
3527;gate-keeper;869;
3528;gate-keeper;870;
3529;vege_1;867;
3531;vege_0;869;
3538;vege_1;870;
3548;meat_1;868;
3567;final-crs_2;867;1709
3607;final-crs_3;869;2164
3608;final-crs_1;870;2030
3611;final-crs_8;868;2470
3636;gate-keeper;897;
3643;vege_1;897;
3663;final-crs_0;897;1026
3794;gate-keeper;937;
3826;meat_0;937;
3833;final-crs_1;937;1628
4388;gate-keeper;1085;
4393;vege_1;1085;
4399;final-crs_10;1085;241
4512;gate-keeper;1116;
4514;vege_0;1116;
4541;final-crs_0;1116;191
4664;gate-keeper;1152;
4665;frui_1;1152;
4665;gate-keeper;1153;
4666;gate-keeper;1154;
4670;frui_0;1153;
4683;meat_1;1154;
4687;final-crs_6;1152;445
4707;final-crs_12;1153;3646
4710;final-crs_9;1154;5139
4957;gate-keeper;1227;
4958;vege_1;1227;
4964;final-crs_4;1227;65
5257;gate-keeper;1298;
5258;gate-keeper;1299;
5259;gate-keeper;1300;
5260;gate-keeper;1301;
5261;gate-keeper;1302;
5302;meat_0;1298;
5316;meat_1;1299;
5327;final-crs_3;1298;2980
5342;final-crs_11;1299;540
5366;meat_0;1300;
5377;meat_1;1301;
5380;final-crs_6;1300;660
5395;final-crs_9;1301;1931
5428;meat_0;1302;
5468;final-crs_12;1302;2387
5583;gate-keeper;1379;
5584;gate-keeper;1380;
5585;gate-keeper;1381;
5586;gate-keeper;1382;
5587;frui_0;1379;
5587;gate-keeper;1383;
5589;vege_0;1381;
5591;final-crs_6;1379;1898
5591;final-crs_10;1381;2706
5594;vege_1;1382;
5603;final-crs_11;1382;3167
5610;meat_0;1380;
5615;final-crs_7;1380;433
5633;meat_1;1383;
5720;final-crs_5;1383;1941
5888;gate-keeper;1447;
5889;gate-keeper;1448;
5890;frui_0;1447;
5890;gate-keeper;1449;
5891;vege_1;1448;
5891;gate-keeper;1450;
5892;meat_0;1449;
5892;gate-keeper;1451;
5893;gate-keeper;1452;
5894;gate-keeper;1453;
5895;vege_0;1452;
5895;gate-keeper;1454;
5896;gate-keeper;1455;
5897;frui_0;1454;
5897;gate-keeper;1456;
5898;gate-keeper;1457;
5899;gate-keeper;1458;
5900;gate-keeper;1459;
5901;vege_1;1455;
5905;vege_0;1456;
5912;vege_1;1457;
5940;meat_1;1450;
5949;meat_0;1451;
5962;final-crs_1;1447;1824
5974;final-crs_12;1448;2327
5982;final-crs_4;1449;133
5989;final-crs_5;1452;1184
5999;meat_1;1453;
6001;meat_0;1458;
6004;final-crs_2;1454;2238
6005;final-crs_0;1455;565
6043;final-crs_11;1456;2590
6059;meat_1;1459;
6062;final-crs_3;1457;1079
6064;final-crs_8;1450;564
6073;final-crs_6;1451;1549
6087;final-crs_10;1453;2567
6106;final-crs_9;1458;336
6113;final-crs_7;1459;3907
6151;gate-keeper;1523;
6156;vege_1;1523;
6197;final-crs_1;1523;747
6314;gate-keeper;1563;
6339;meat_0;1563;
6355;final-crs_7;1563;1004
6447;gate-keeper;1595;
6449;vege_0;1595;
6490;final-crs_12;1595;1127
6736;gate-keeper;1664;
6737;gate-keeper;1665;
