time;ckpt;id;money
297;gate-keeper;71;
301;meat_0;71;
430;final-crs_6;71;2739
631;gate-keeper;151;
632;vege_1;151;
632;gate-keeper;152;
635;vege_0;152;
657;final-crs_7;151;1023
661;final-crs_6;152;2702
1300;gate-keeper;309;
1301;gate-keeper;310;
1302;gate-keeper;311;
1303;gate-keeper;312;
1304;gate-keeper;313;
1305;gate-keeper;314;
1306;gate-keeper;315;
1308;frui_0;313;
1309;vege_0;309;
1309;vege_1;310;
1318;vege_0;311;
1319;vege_1;314;
1325;meat_1;312;
1328;vege_0;315;
1367;final-crs_11;313;1297
1373;final-crs_1;309;949
1373;final-crs_7;310;141
1385;final-crs_0;311;1905
1415;final-crs_6;314;1615
1426;final-crs_3;312;936
1435;final-crs_9;315;4571
1632;gate-keeper;395;
1633;gate-keeper;396;
1634;gate-keeper;397;
1635;gate-keeper;398;
1638;vege_1;396;
1639;final-crs_7;396;387
1669;meat_1;395;
1672;final-crs_3;395;2203
1688;meat_0;397;
1705;final-crs_2;397;184
1721;meat_1;398;
1727;final-crs_10;398;1251
1821;gate-keeper;445;
1837;meat_1;445;
1850;final-crs_6;445;1223
1953;gate-keeper;477;
1954;gate-keeper;478;
1960;vege_0;477;
1960;vege_1;478;
1970;final-crs_4;477;860
1981;final-crs_8;478;3055
2233;gate-keeper;547;
2234;gate-keeper;548;
2235;gate-keeper;549;
2236;vege_0;549;
2263;meat_0;547;
2266;meat_1;548;
2279;final-crs_1;549;64
2297;final-crs_0;547;653
2348;final-crs_11;548;3522
2562;gate-keeper;629;
2563;gate-keeper;630;
2564;gate-keeper;631;
2565;meat_1;630;
2568;vege_1;629;
2572;vege_0;631;
2606;final-crs_2;630;1605
2610;final-crs_6;629;492
2611;final-crs_5;631;305
2665;gate-keeper;649;
2666;gate-keeper;650;
2667;vege_1;649;
2667;gate-keeper;651;
2668;gate-keeper;652;
2669;gate-keeper;653;
2670;gate-keeper;654;
2671;gate-keeper;655;
2672;gate-keeper;656;
2674;vege_0;650;
2678;vege_1;651;
2684;vege_0;652;
2688;vege_1;653;
2695;vege_0;654;
2696;final-crs_10;649;1120
2698;vege_1;655;
2704;vege_0;656;
2713;final-crs_8;650;343
2715;final-crs_12;651;946
2739;final-crs_0;652;3948
2748;final-crs_7;653;136
2753;final-crs_1;654;422
2794;final-crs_2;655;441
2847;final-crs_11;656;1137
2870;gate-keeper;697;
2871;gate-keeper;698;
2872;gate-keeper;699;
2873;gate-keeper;700;
2874;gate-keeper;701;
2875;gate-keeper;702;
2876;gate-keeper;703;
2877;gate-keeper;704;
2878;meat_0;697;
2878;gate-keeper;705;
2879;vege_1;699;
2879;gate-keeper;706;
2880;vege_0;701;
2880;gate-keeper;707;
2881;gate-keeper;708;
2882;frui_1;703;
2883;frui_0;704;
2885;final-crs_3;697;1944
2889;vege_1;702;
2891;vege_0;705;
2900;vege_1;707;
2901;vege_0;708;
2924;meat_1;698;
2933;final-crs_10;699;1784
2940;meat_0;700;
2946;final-crs_1;701;4130
2955;final-crs_7;703;1908
2958;final-crs_0;704;619
2958;final-crs_8;702;1202
2978;final-crs_12;705;3547
2988;meat_1;706;
3044;final-crs_2;707;1532
3065;final-crs_9;708;1250
3083;final-crs_11;698;800
3089;final-crs_6;700;334
3098;final-crs_5;706;799
3126;gate-keeper;769;
3127;gate-keeper;770;
3128;gate-keeper;771;
3129;gate-keeper;772;
3130;vege_1;771;
3134;vege_0;772;
3149;final-crs_1;771;1986
3149;meat_0;769;
3165;final-crs_10;772;3227
3172;meat_1;770;
3199;final-crs_7;769;2378
3207;final-crs_8;770;502
3373;gate-keeper;830;
3374;gate-keeper;831;
3375;gate-keeper;832;
3376;vege_1;831;
3380;vege_0;832;
3381;final-crs_1;831;1642
3397;meat_0;830;
3426;final-crs_0;832;1109
3427;final-crs_10;830;421
3459;gate-keeper;854;
3464;frui_1;854;
3483;final-crs_9;854;1140
3675;gate-keeper;907;
3676;vege_1;907;
3677;final-crs_10;907;2047
3965;gate-keeper;977;
3966;vege_1;977;
3966;gate-keeper;978;
3967;vege_0;978;
3967;gate-keeper;979;
3973;frui_0;979;
3977;final-crs_12;977;75
3999;final-crs_2;978;421
4012;final-crs_4;979;531
4261;gate-keeper;1051;
4262;frui_1;1051;
4265;final-crs_7;1051;698
4466;gate-keeper;1095;
4467;vege_1;1095;
4467;gate-keeper;1096;
4468;gate-keeper;1097;
4469;gate-keeper;1098;
4470;gate-keeper;1099;
4471;frui_1;1098;
4471;gate-keeper;1100;
4472;gate-keeper;1101;
4473;gate-keeper;1102;
4474;gate-keeper;1103;
4475;vege_0;1096;
4475;gate-keeper;1104;
4476;vege_1;1099;
4477;frui_1;1102;
4480;final-crs_12;1095;224
4484;vege_0;1100;
4485;vege_1;1103;
4486;meat_0;1097;
4494;vege_0;1104;
4505;final-crs_4;1098;1585
4527;meat_1;1101;
4532;final-crs_7;1096;317
4539;final-crs_6;1099;354
4543;final-crs_11;1102;624
4579;gate-keeper;1133;
4581;frui_0;1133;
4582;final-crs_10;1100;1549
4593;final-crs_3;1103;71
4596;final-crs_1;1097;3279
4624;final-crs_5;1104;1420
4659;final-crs_0;1101;4923
4664;final-crs_8;1133;902
5159;gate-keeper;1277;
5167;vege_0;1277;
5168;final-crs_8;1277;241
5404;gate-keeper;1338;
5405;gate-keeper;1339;
5406;frui_1;1339;
5407;vege_0;1338;
5408;final-crs_6;1339;537
5417;final-crs_8;1338;2785
5494;gate-keeper;1360;
5495;gate-keeper;1361;
5497;vege_0;1360;
5498;vege_1;1361;
5504;final-crs_11;1360;4098
5539;final-crs_10;1361;3209
5784;gate-keeper;1434;
5793;vege_0;1434;
5805;final-crs_12;1434;690
6233;gate-keeper;1538;
6234;gate-keeper;1539;
6235;vege_0;1538;
6235;gate-keeper;1540;
6236;gate-keeper;1541;
6237;gate-keeper;1542;
6238;gate-keeper;1543;
6240;frui_0;1541;
6241;vege_1;1539;
