time;ckpt;id;money
901;gate-keeper;217;
902;gate-keeper;218;
903;vege_1;217;
924;final-crs_5;217;2181
935;meat_0;218;
936;final-crs_6;218;1555
1446;gate-keeper;351;
1447;vege_0;351;
1447;gate-keeper;352;
1448;gate-keeper;353;
1452;vege_1;352;
1454;final-crs_0;351;967
1467;final-crs_1;352;921
1478;meat_1;353;
1479;final-crs_6;353;2506
1884;gate-keeper;460;
1887;vege_0;460;
1890;final-crs_1;460;1111
2060;gate-keeper;506;
2065;vege_0;506;
2067;final-crs_2;506;3998
2752;gate-keeper;677;
2753;gate-keeper;678;
2755;vege_0;678;
2763;meat_0;677;
2840;final-crs_6;678;259
2855;final-crs_12;677;837
2956;gate-keeper;725;
2957;gate-keeper;726;
2958;gate-keeper;727;
2959;gate-keeper;728;
2960;vege_1;725;
2960;gate-keeper;729;
2961;vege_0;727;
2963;final-crs_11;725;1190
2969;vege_1;728;
2979;meat_1;726;
2982;final-crs_2;727;936
2984;final-crs_7;728;1869
3004;meat_0;729;
3025;final-crs_4;726;1751
3086;final-crs_6;729;351
3217;gate-keeper;794;
3229;meat_0;794;
3270;final-crs_4;794;1128
3300;gate-keeper;812;
3301;vege_1;812;
3301;gate-keeper;813;
3302;gate-keeper;814;
3306;frui_1;814;
3313;final-crs_5;812;635
3322;meat_1;813;
3336;final-crs_3;814;108
3336;final-crs_6;813;667
3509;gate-keeper;866;
3511;vege_0;866;
3517;final-crs_4;866;1391
3777;gate-keeper;933;
3780;vege_1;933;
3802;final-crs_12;933;2454
4099;gate-keeper;1010;
4100;gate-keeper;1011;
4101;vege_1;1011;
4101;gate-keeper;1012;
4102;final-crs_3;1011;900
4118;meat_0;1010;
4135;final-crs_2;1010;3207
4146;meat_1;1012;
4179;final-crs_0;1012;313
4421;gate-keeper;1092;
4422;gate-keeper;1093;
4424;vege_0;1092;
4425;vege_1;1093;
4442;final-crs_0;1092;1547
4493;final-crs_9;1093;1455
4505;gate-keeper;1113;
4506;gate-keeper;1114;
4509;vege_1;1113;
4510;final-crs_5;1113;992
4513;vege_0;1114;
4536;final-crs_12;1114;222
4707;gate-keeper;1165;
4717;vege_0;1165;
4744;final-crs_7;1165;2672
5043;gate-keeper;1244;
5044;gate-keeper;1245;
5045;vege_1;1245;
5045;gate-keeper;1246;
5046;vege_0;1246;
5046;frui_0;1244;
5046;gate-keeper;1247;
5047;gate-keeper;1248;
5053;vege_1;1247;
5055;final-crs_8;1245;1044
5056;vege_0;1248;
5091;final-crs_1;1246;2392
5117;final-crs_10;1244;1861
5124;final-crs_11;1247;1673
5189;final-crs_3;1248;677
5345;gate-keeper;1319;
5346;gate-keeper;1320;
5347;vege_1;1320;
5347;gate-keeper;1321;
5348;final-crs_1;1320;1413
5348;gate-keeper;1322;
5349;gate-keeper;1323;
5350;gate-keeper;1324;
5355;vege_1;1322;
5356;vege_0;1323;
5364;meat_1;1319;
5369;final-crs_10;1322;1956
5376;meat_0;1321;
5411;final-crs_3;1323;2790
5411;gate-keeper;1340;
5425;final-crs_6;1319;1045
5426;meat_1;1324;
5430;meat_0;1340;
5448;final-crs_0;1321;1883
5456;final-crs_12;1324;2356
5493;final-crs_4;1340;1685
5610;gate-keeper;1387;
5611;gate-keeper;1388;
5612;gate-keeper;1389;
5613;gate-keeper;1390;
5615;frui_1;1390;
5616;vege_0;1387;
5618;vege_1;1389;
5634;final-crs_3;1390;3635
5645;final-crs_6;1387;762
5656;meat_0;1388;
5691;final-crs_0;1389;1098
5704;final-crs_12;1388;1030
5898;gate-keeper;1461;
5899;gate-keeper;1462;
5902;vege_0;1461;
5902;vege_1;1462;
5949;final-crs_0;1461;904
5953;final-crs_12;1462;2024
6301;gate-keeper;1560;
6305;vege_0;1560;
6325;final-crs_3;1560;481
6479;gate-keeper;1602;
6480;gate-keeper;1603;
6486;meat_1;1602;
6493;final-crs_9;1602;1065
6501;meat_0;1603;
6522;final-crs_5;1603;918
6745;gate-keeper;1667;
6746;gate-keeper;1668;
6747;frui_0;1668;
6752;vege_0;1667;
6772;final-crs_3;1668;1023
6774;final-crs_5;1667;1461
7113;gate-keeper;1758;
7114;vege_0;1758;
7114;gate-keeper;1759;
7122;meat_0;1759;
7174;final-crs_3;1758;878
7176;final-crs_1;1759;545
7345;gate-keeper;1815;
7346;gate-keeper;1816;
7347;gate-keeper;1817;
7352;vege_0;1815;
7352;vege_1;1816;
7361;vege_0;1817;
7396;final-crs_1;1815;1747
7414;final-crs_12;1816;1108
7416;final-crs_3;1817;1540
7660;gate-keeper;1895;
7661;gate-keeper;1896;
7664;vege_1;1895;
7665;final-crs_3;1895;425
7665;vege_0;1896;
7681;final-crs_5;1896;221
7979;gate-keeper;1974;
7982;vege_0;1974;
8005;final-crs_0;1974;1228
8079;gate-keeper;1999;
8080;vege_1;1999;
8084;final-crs_10;1999;998
8278;gate-keeper;2048;
8279;gate-keeper;2049;
8280;vege_1;2049;
8290;final-crs_6;2049;1914
8290;meat_0;2048;
8311;final-crs_11;2048;2229
8593;gate-keeper;2123;
8594;gate-keeper;2124;
8595;gate-keeper;2125;
8596;gate-keeper;2126;
8597;vege_1;2125;
8597;gate-keeper;2127;
8598;gate-keeper;2128;
8600;vege_0;2126;
8606;vege_1;2128;
8611;final-crs_9;2125;2500
8615;final-crs_1;2126;1617
8619;final-crs_7;2128;1537
8630;meat_0;2123;
8639;final-crs_4;2123;3160
8649;meat_1;2124;
8675;final-crs_2;2124;671
8682;meat_0;2127;
8689;final-crs_3;2127;820
9153;gate-keeper;2263;
9154;vege_1;2263;
9154;gate-keeper;2264;
9155;gate-keeper;2265;
9156;vege_0;2265;
9156;meat_1;2264;
9156;gate-keeper;2266;
9157;gate-keeper;2267;
9164;vege_1;2267;
9175;final-crs_5;2263;3899
9176;final-crs_8;2265;2326
9187;final-crs_2;2264;918
9189;final-crs_0;2267;2404
9191;meat_0;2266;
9233;final-crs_6;2266;785
9432;gate-keeper;2335;
9433;gate-keeper;2336;
9436;vege_0;2336;
9437;frui_0;2335;
9481;final-crs_6;2336;803
9513;final-crs_11;2335;3030
9941;gate-keeper;2464;
9948;vege_0;2464;
9955;final-crs_12;2464;1385
10079;gate-keeper;2498;
10083;meat_0;2498;
10086;final-crs_9;2498;69
10427;gate-keeper;2583;
10428;gate-keeper;2584;
10433;frui_0;2584;
10436;meat_1;2583;
10439;final-crs_12;2584;1399
10481;gate-keeper;2597;
10482;vege_1;2597;
10482;gate-keeper;2598;
10499;meat_0;2598;
10504;final-crs_6;2583;1257
10505;final-crs_3;2597;926
10511;final-crs_2;2598;2345
10712;gate-keeper;2655;
10713;gate-keeper;2656;
10717;vege_0;2655;
10721;vege_1;2656;
10736;final-crs_6;2655;2729
10744;final-crs_3;2656;234
10838;gate-keeper;2683;
10839;gate-keeper;2684;
10840;vege_0;2683;
10840;gate-keeper;2685;
10841;gate-keeper;2686;
10842;gate-keeper;2687;
10843;gate-keeper;2688;
10849;vege_1;2687;
10850;final-crs_7;2683;2610
10850;vege_0;2688;
10857;meat_0;2684;
10866;meat_1;2685;
10872;final-crs_4;2687;474
10872;final-crs_12;2688;2508
10913;final-crs_0;2684;806
10914;meat_0;2686;
10927;final-crs_8;2685;2662
10951;final-crs_3;2686;69
11291;gate-keeper;2800;
11296;vege_0;2800;
11301;final-crs_2;2800;1575
11583;gate-keeper;2873;
11590;vege_0;2873;
11630;final-crs_1;2873;519
11661;gate-keeper;2886;
11662;gate-keeper;2887;
11663;gate-keeper;2888;
11664;gate-keeper;2889;
11665;gate-keeper;2890;
11666;vege_1;2888;
11666;gate-keeper;2891;
11667;gate-keeper;2892;
11673;vege_0;2890;
11674;vege_1;2891;
11683;final-crs_3;2888;1659
11684;final-crs_6;2890;249
11704;meat_1;2886;
11715;final-crs_9;2891;449
