time;ckpt;id;money
319;gate-keeper;76;
324;vege_0;76;
423;final-crs_7;76;1561
1215;gate-keeper;291;
1216;gate-keeper;292;
1217;gate-keeper;293;
1218;gate-keeper;294;
1220;vege_1;291;
1223;vege_0;292;
1228;vege_1;293;
1238;meat_1;294;
1257;final-crs_11;291;140
1286;final-crs_4;292;1020
1297;final-crs_5;293;365
1378;final-crs_1;294;298
1508;gate-keeper;366;
1509;gate-keeper;367;
1510;gate-keeper;368;
1514;vege_0;366;
1514;vege_1;368;
1541;meat_1;367;
1596;final-crs_1;366;1775
1657;final-crs_9;368;180
1661;final-crs_2;367;3126
1747;gate-keeper;425;
1748;gate-keeper;426;
1749;gate-keeper;427;
1750;vege_1;425;
1753;vege_0;426;
1759;vege_1;427;
1797;gate-keeper;439;
1829;final-crs_1;425;1624
1830;meat_1;439;
1871;final-crs_0;426;960
1878;final-crs_6;427;3168
1880;final-crs_9;439;377
2383;gate-keeper;586;
2384;gate-keeper;587;
2390;vege_0;586;
2392;vege_1;587;
2401;final-crs_11;586;693
2442;final-crs_12;587;2099
2610;gate-keeper;643;
2614;vege_1;643;
2616;final-crs_8;643;2737
2677;gate-keeper;659;
2678;vege_1;659;
2689;final-crs_4;659;308
2934;gate-keeper;721;
2935;vege_0;721;
2935;gate-keeper;722;
2936;gate-keeper;723;
2937;gate-keeper;724;
2955;meat_1;722;
2964;meat_0;723;
2984;final-crs_1;721;1142
3016;meat_1;724;
3030;final-crs_10;722;186
3039;final-crs_3;723;2831
3070;final-crs_6;724;2856
3647;gate-keeper;900;
3653;vege_1;900;
3683;final-crs_7;900;3087
3894;gate-keeper;960;
3895;gate-keeper;961;
3896;vege_1;961;
3896;gate-keeper;962;
3897;frui_0;960;
3906;meat_0;962;
3936;final-crs_12;961;1614
3953;final-crs_7;960;134
3983;final-crs_10;962;221
4542;gate-keeper;1124;
4549;vege_1;1124;
4569;final-crs_5;1124;3682
5224;gate-keeper;1291;
5225;gate-keeper;1292;
5226;vege_1;1292;
5226;gate-keeper;1293;
5231;vege_0;1293;
5239;meat_0;1291;
5277;final-crs_4;1292;1688
5305;final-crs_5;1293;926
5310;gate-keeper;1313;
5311;gate-keeper;1314;
5312;vege_0;1313;
5312;gate-keeper;1315;
5313;vege_1;1314;
5322;vege_1;1315;
5328;final-crs_1;1291;758
5334;final-crs_9;1313;1080
5344;final-crs_2;1314;2360
5362;final-crs_12;1315;2323
5506;gate-keeper;1364;
5507;vege_0;1364;
5515;final-crs_4;1364;792
5780;gate-keeper;1430;
5781;vege_0;1430;
5781;gate-keeper;1431;
5782;gate-keeper;1432;
5783;gate-keeper;1433;
5787;vege_1;1432;
5791;vege_0;1433;
5800;final-crs_1;1430;2846
5823;final-crs_9;1432;303
5825;meat_1;1431;
5838;final-crs_12;1433;2466
5877;final-crs_2;1431;1610
6279;gate-keeper;1554;
6280;gate-keeper;1555;
6284;frui_1;1554;
6306;final-crs_2;1554;1842
6311;meat_1;1555;
6320;final-crs_12;1555;2682
6410;gate-keeper;1585;
6411;gate-keeper;1586;
6412;vege_1;1585;
6416;vege_0;1586;
6422;final-crs_8;1585;2596
6422;final-crs_11;1586;1656
6701;gate-keeper;1657;
6702;gate-keeper;1658;
6707;vege_0;1657;
6709;vege_1;1658;
6760;final-crs_2;1657;797
6779;final-crs_4;1658;1732
7256;gate-keeper;1795;
7267;meat_1;1795;
7270;final-crs_7;1795;290
7595;gate-keeper;1878;
7596;gate-keeper;1879;
7598;vege_1;1879;
7600;meat_0;1878;
7601;final-crs_6;1879;814
7610;final-crs_10;1878;956
8196;gate-keeper;2029;
8197;vege_1;2029;
8219;final-crs_7;2029;432
8492;gate-keeper;2101;
8493;gate-keeper;2102;
8500;vege_0;2101;
8501;vege_1;2102;
8503;final-crs_5;2101;116
8522;final-crs_12;2102;3816
8750;gate-keeper;2165;
8753;meat_0;2165;
8754;final-crs_8;2165;1326
9347;gate-keeper;2312;
9348;gate-keeper;2313;
9349;frui_0;2312;
9349;gate-keeper;2314;
9350;gate-keeper;2315;
9351;vege_0;2313;
9352;vege_1;2314;
9360;vege_0;2315;
9373;final-crs_0;2312;547
9388;final-crs_5;2313;3297
9398;final-crs_7;2314;1707
9399;final-crs_4;2315;1687
9579;gate-keeper;2366;
9580;gate-keeper;2367;
9581;gate-keeper;2368;
9582;meat_0;2366;
9582;gate-keeper;2369;
9583;gate-keeper;2370;
9584;gate-keeper;2371;
9585;vege_1;2367;
9586;final-crs_2;2366;2785
9588;vege_0;2370;
9589;frui_1;2369;
9596;vege_1;2371;
9614;meat_1;2368;
9629;final-crs_4;2367;271
9636;final-crs_7;2370;718
9648;final-crs_6;2369;134
9659;final-crs_5;2371;650
9687;final-crs_12;2368;1030
9881;gate-keeper;2448;
9882;gate-keeper;2449;
9888;vege_0;2449;
9891;final-crs_6;2449;2501
9924;meat_0;2448;
9956;final-crs_8;2448;2347
9976;gate-keeper;2470;
9977;vege_1;2470;
9977;gate-keeper;2471;
9978;gate-keeper;2472;
9980;vege_0;2471;
9981;final-crs_1;2470;2278
9981;final-crs_10;2471;1729
9981;frui_0;2472;
9985;final-crs_9;2472;2251
10184;gate-keeper;2522;
10185;gate-keeper;2523;
10186;gate-keeper;2524;
10188;vege_0;2522;
10192;vege_1;2523;
10195;final-crs_9;2522;644
10196;vege_0;2524;
10198;final-crs_10;2523;1990
10218;final-crs_1;2524;447
10526;gate-keeper;2608;
10527;gate-keeper;2609;
10529;vege_1;2608;
10566;final-crs_2;2608;3175
10568;meat_0;2609;
10571;final-crs_12;2609;828
10845;gate-keeper;2689;
10846;gate-keeper;2690;
10848;vege_1;2690;
10862;meat_0;2689;
10863;final-crs_9;2690;88
10878;final-crs_5;2689;1005
10953;gate-keeper;2714;
10954;gate-keeper;2715;
10955;gate-keeper;2716;
10960;vege_0;2715;
10964;vege_1;2716;
10969;final-crs_3;2715;639
10985;meat_0;2714;
10990;final-crs_11;2716;1746
10997;final-crs_1;2714;167
11142;gate-keeper;2764;
11163;meat_0;2764;
11185;final-crs_6;2764;797
11460;gate-keeper;2840;
11461;gate-keeper;2841;
11462;gate-keeper;2842;
11464;vege_1;2841;
11467;final-crs_11;2841;2486
11468;vege_0;2842;
11495;final-crs_3;2842;482
11495;meat_1;2840;
11515;final-crs_12;2840;2196
11790;gate-keeper;2922;
11791;gate-keeper;2923;
11792;gate-keeper;2924;
11793;vege_0;2922;
11793;gate-keeper;2925;
11798;vege_1;2923;
11801;meat_1;2925;
11804;vege_0;2924;
11808;final-crs_10;2922;1134
11825;final-crs_8;2923;2328
11831;final-crs_0;2925;1831
11832;final-crs_7;2924;739
11959;gate-keeper;2967;
11963;vege_1;2967;
11964;final-crs_3;2967;1510
13271;gate-keeper;3295;
13272;vege_0;3295;
13297;final-crs_0;3295;130
13535;gate-keeper;3362;
13537;vege_1;3362;
13577;final-crs_5;3362;2392
13690;gate-keeper;3401;
13692;frui_0;3401;
13693;final-crs_2;3401;1249
13814;gate-keeper;3429;
13815;vege_1;3429;
13815;gate-keeper;3430;
13816;gate-keeper;3431;
13817;gate-keeper;3432;
13818;meat_1;3431;
