time;ckpt;id;money
301;gate-keeper;72;
303;vege_0;72;
431;final-crs_10;72;490
888;gate-keeper;215;
889;vege_0;215;
903;final-crs_10;215;1460
1199;gate-keeper;289;
1200;vege_1;289;
1200;gate-keeper;290;
1201;vege_0;290;
1214;final-crs_0;289;1875
1217;final-crs_7;290;1915
1487;gate-keeper;359;
1488;gate-keeper;360;
1489;gate-keeper;361;
1490;gate-keeper;362;
1492;frui_1;361;
1494;vege_0;360;
1495;vege_1;362;
1504;meat_1;359;
1564;final-crs_12;361;2532
1617;final-crs_8;360;1240
1639;final-crs_2;362;1659
1641;final-crs_10;359;3715
1810;gate-keeper;442;
1815;vege_1;442;
1818;gate-keeper;444;
1825;vege_1;444;
1841;final-crs_10;442;1861
1847;final-crs_8;444;217
2422;gate-keeper;596;
2431;vege_1;596;
2434;final-crs_5;596;3034
2704;gate-keeper;665;
2705;gate-keeper;666;
2709;vege_1;665;
2711;vege_0;666;
2716;final-crs_9;665;2047
2719;gate-keeper;667;
2720;gate-keeper;668;
2721;vege_0;668;
2721;gate-keeper;669;
2722;gate-keeper;670;
2724;frui_1;667;
2727;vege_1;670;
2727;meat_0;669;
2756;final-crs_8;666;917
2760;final-crs_3;668;153
2774;final-crs_0;667;2102
2796;final-crs_12;670;3859
2798;final-crs_10;669;1424
3034;gate-keeper;749;
3037;vege_1;749;
3067;final-crs_0;749;1473
3332;gate-keeper;821;
3333;gate-keeper;822;
3335;vege_0;821;
3337;final-crs_10;821;402
3341;vege_1;822;
3344;final-crs_7;822;4090
3672;gate-keeper;906;
3692;meat_0;906;
3698;final-crs_4;906;606
3980;gate-keeper;983;
3985;vege_0;983;
3987;final-crs_8;983;3168
4266;gate-keeper;1052;
4267;gate-keeper;1053;
4273;meat_0;1052;
4283;final-crs_1;1052;910
4310;meat_1;1053;
4311;final-crs_9;1053;1364
4577;gate-keeper;1129;
4578;gate-keeper;1130;
4579;gate-keeper;1131;
4580;frui_1;1130;
4580;gate-keeper;1132;
4584;final-crs_6;1130;3130
4584;vege_1;1129;
4585;vege_0;1131;
4588;final-crs_4;1129;113
4593;vege_1;1132;
4642;final-crs_0;1131;2146
4688;final-crs_2;1132;613
4835;gate-keeper;1197;
