time;ckpt;id;money
283;gate-keeper;107;
284;gate-keeper;108;
286;frui_1;108;
288;meat_0;107;
303;final-crs_4;108;1045
432;final-crs_3;107;914
604;gate-keeper;229;
607;vege_1;229;
645;final-crs_3;229;772
877;gate-keeper;333;
878;frui_0;333;
908;final-crs_1;333;815
1008;gate-keeper;375;
1009;gate-keeper;376;
1010;gate-keeper;377;
1011;vege_1;375;
1011;gate-keeper;378;
1012;gate-keeper;379;
1013;frui_1;378;
1013;gate-keeper;380;
1014;gate-keeper;381;
1015;gate-keeper;382;
1016;vege_0;376;
1016;gate-keeper;383;
1018;final-crs_4;375;550
1021;vege_1;377;
1028;vege_0;379;
1032;vege_1;382;
1036;final-crs_5;378;1346
1042;final-crs_7;376;1558
1066;meat_1;380;
1071;meat_0;381;
1096;final-crs_6;377;262
1126;final-crs_12;379;1350
1129;meat_0;383;
1136;final-crs_1;382;881
1139;final-crs_3;380;858
1158;final-crs_2;381;1601
1185;gate-keeper;449;
1186;gate-keeper;450;
1187;gate-keeper;451;
1189;vege_1;449;
1190;vege_0;451;
1195;final-crs_8;383;296
1197;final-crs_0;449;558
1205;final-crs_10;451;1258
1240;meat_0;450;
1258;final-crs_4;450;1486
1497;gate-keeper;570;
1500;vege_1;570;
1517;final-crs_7;570;971
1989;gate-keeper;755;
1990;frui_1;755;
2047;final-crs_9;755;669
2104;gate-keeper;797;
2105;frui_0;797;
2105;gate-keeper;798;
2108;frui_1;798;
2131;final-crs_8;797;178
2145;final-crs_2;798;294
2394;gate-keeper;906;
2395;gate-keeper;907;
2396;gate-keeper;908;
2397;vege_0;907;
2400;final-crs_4;907;742
2407;meat_1;906;
2413;final-crs_11;906;268
2437;meat_0;908;
2471;final-crs_5;908;297
2685;gate-keeper;1017;
2721;meat_1;1017;
2736;final-crs_3;1017;496
2973;gate-keeper;1126;
2974;frui_0;1126;
2977;final-crs_3;1126;92
3364;gate-keeper;1280;
3365;gate-keeper;1281;
3366;vege_0;1281;
3367;frui_1;1280;
3378;final-crs_10;1281;666
3380;final-crs_7;1280;265
3952;gate-keeper;1506;
3953;gate-keeper;1507;
3954;frui_1;1507;
3954;gate-keeper;1508;
3958;frui_0;1508;
3960;vege_0;1506;
3984;final-crs_3;1507;884
4007;final-crs_2;1508;118
4013;final-crs_6;1506;347
4156;gate-keeper;1585;
4169;meat_0;1585;
4244;final-crs_3;1585;1260
4440;gate-keeper;1686;
4441;gate-keeper;1687;
4442;gate-keeper;1688;
4443;gate-keeper;1689;
4444;gate-keeper;1690;
4445;gate-keeper;1691;
4446;vege_0;1688;
4446;vege_1;1689;
4446;gate-keeper;1692;
4447;gate-keeper;1693;
4448;gate-keeper;1694;
4450;frui_1;1691;
4454;final-crs_3;1688;572
4454;meat_1;1686;
4455;vege_0;1690;
4455;vege_1;1692;
4456;meat_0;1687;
4463;vege_0;1693;
4463;vege_1;1694;
4490;final-crs_2;1689;1541
4507;final-crs_4;1691;698
4507;final-crs_6;1686;212
4507;final-crs_10;1690;335
4527;final-crs_8;1692;1196
4529;final-crs_1;1687;1577
4531;final-crs_7;1693;1367
