time;ckpt;id;money
290;gate-keeper;111;
297;vege_0;111;
413;final-crs_0;111;570
620;gate-keeper;234;
622;frui_0;234;
657;final-crs_0;234;260
867;gate-keeper;329;
874;vege_0;329;
902;final-crs_8;329;220
924;gate-keeper;350;
931;vege_1;350;
936;final-crs_0;350;475
1199;gate-keeper;456;
1253;meat_1;456;
1299;final-crs_12;456;606
1471;gate-keeper;559;
1472;frui_0;559;
1472;gate-keeper;560;
1473;vege_1;560;
1555;final-crs_12;559;1777
1626;final-crs_0;560;1033
1666;gate-keeper;630;
1667;gate-keeper;631;
1668;gate-keeper;632;
1669;vege_1;630;
1669;gate-keeper;633;
1670;vege_0;632;
1670;gate-keeper;634;
1671;final-crs_1;630;159
1678;vege_1;633;
1680;vege_0;634;
1689;meat_1;631;
1702;final-crs_10;632;297
1704;final-crs_2;633;712
1714;final-crs_3;634;90
1739;final-crs_7;631;317
1790;gate-keeper;679;
1791;gate-keeper;680;
1792;gate-keeper;681;
1793;frui_0;680;
1798;vege_1;679;
1809;final-crs_12;680;1499
1813;meat_1;681;
1850;final-crs_5;679;1847
1854;final-crs_8;681;527
2081;gate-keeper;786;
2082;frui_1;786;
2082;gate-keeper;787;
2083;gate-keeper;788;
2088;vege_1;787;
2090;vege_0;788;
2118;final-crs_4;786;232
2122;final-crs_6;787;573
2131;final-crs_9;788;688
2367;gate-keeper;897;
2384;meat_1;897;
2385;final-crs_0;897;570
2615;gate-keeper;990;
2616;gate-keeper;991;
2623;vege_1;990;
2628;final-crs_0;990;396
2634;meat_1;991;
2664;final-crs_10;991;969
2754;gate-keeper;1041;
2755;gate-keeper;1042;
2756;gate-keeper;1043;
2759;vege_0;1042;
2759;meat_0;1041;
2766;vege_1;1043;
2806;final-crs_1;1042;1211
2828;final-crs_2;1041;1269
2834;final-crs_5;1043;177
2947;gate-keeper;1114;
2948;gate-keeper;1115;
2949;gate-keeper;1116;
2950;frui_1;1116;
2950;meat_0;1114;
2951;vege_1;1115;
2952;final-crs_11;1116;906
2974;final-crs_4;1114;515
2974;final-crs_8;1115;204
3230;gate-keeper;1223;
3231;gate-keeper;1224;
3232;gate-keeper;1225;
3233;frui_0;1223;
3233;gate-keeper;1226;
3234;frui_1;1226;
3234;gate-keeper;1227;
3235;gate-keeper;1228;
3236;vege_0;1224;
3236;vege_1;1225;
3236;gate-keeper;1229;
3246;vege_1;1227;
3248;vege_0;1229;
3259;meat_0;1228;
3302;final-crs_2;1223;905
3309;final-crs_12;1226;471
3318;gate-keeper;1263;
3328;final-crs_1;1224;96
3330;meat_1;1263;
3346;final-crs_0;1225;356
3360;final-crs_5;1227;310
3374;final-crs_3;1229;559
3383;final-crs_6;1228;1363
3386;final-crs_9;1263;2178
3518;gate-keeper;1338;
3519;gate-keeper;1339;
3520;gate-keeper;1340;
3521;gate-keeper;1341;
3522;frui_0;1339;
3523;frui_1;1340;
3528;frui_0;1341;
3530;final-crs_2;1339;263
3552;meat_0;1338;
3560;final-crs_1;1340;593
3586;final-crs_3;1341;318
3590;final-crs_0;1338;1849
3710;gate-keeper;1414;
3711;gate-keeper;1415;
3715;vege_0;1414;
3715;frui_0;1415;
3735;final-crs_2;1414;384
3742;final-crs_7;1415;622
3816;gate-keeper;1451;
3817;vege_0;1451;
3817;gate-keeper;1452;
3818;gate-keeper;1453;
3819;gate-keeper;1454;
3820;frui_1;1452;
3820;gate-keeper;1455;
3821;gate-keeper;1456;
3823;vege_1;1453;
3824;final-crs_0;1451;1047
3824;frui_0;1456;
3852;meat_0;1454;
3857;final-crs_3;1452;1465
3857;meat_1;1455;
3866;final-crs_5;1453;295
3871;final-crs_10;1456;478
3888;final-crs_9;1454;178
3889;final-crs_6;1455;996
4107;gate-keeper;1567;
4109;vege_1;1567;
4139;final-crs_5;1567;454
4372;gate-keeper;1666;
4373;gate-keeper;1667;
4374;gate-keeper;1668;
4377;frui_1;1666;
4379;vege_0;1668;
4388;final-crs_5;1666;1246
4388;final-crs_10;1668;2218
4388;meat_0;1667;
4391;final-crs_6;1667;1937
4708;gate-keeper;1796;
4710;gate-keeper;1797;
4716;vege_0;1797;
4718;final-crs_7;1797;282
4736;meat_0;1796;
4740;final-crs_1;1796;447
5322;gate-keeper;2028;
5323;gate-keeper;2029;
5324;gate-keeper;2030;
5327;frui_1;2028;
5335;meat_1;2029;
5350;final-crs_0;2028;1090
5351;final-crs_8;2029;689
5375;meat_1;2030;
5379;final-crs_11;2030;1398
5622;gate-keeper;2146;
5623;gate-keeper;2147;
5625;vege_0;2147;
5628;frui_0;2146;
5637;final-crs_4;2147;1219
5642;final-crs_12;2146;273
5752;gate-keeper;2196;
5757;frui_0;2196;
5816;final-crs_10;2196;568
5921;gate-keeper;2256;
5922;gate-keeper;2257;
5923;gate-keeper;2258;
5924;gate-keeper;2259;
5925;frui_0;2259;
5930;vege_1;2257;
5932;vege_0;2258;
5954;final-crs_5;2259;141
