time;ckpt;id;money
314;gate-keeper;67;
319;frui_0;67;
423;final-crs_11;67;984
878;gate-keeper;193;
879;vege_0;193;
899;final-crs_11;193;578
931;gate-keeper;205;
933;vege_0;205;
934;final-crs_4;205;363
1463;gate-keeper;324;
1469;meat_0;324;
1472;final-crs_12;324;555
1686;gate-keeper;359;
1687;gate-keeper;360;
1688;gate-keeper;361;
1689;gate-keeper;362;
1690;gate-keeper;363;
1691;frui_0;359;
1691;gate-keeper;364;
1692;vege_1;360;
1692;frui_1;361;
1692;gate-keeper;365;
1693;gate-keeper;366;
1694;gate-keeper;367;
1695;gate-keeper;368;
1696;vege_0;362;
1696;gate-keeper;369;
1697;gate-keeper;370;
1698;gate-keeper;371;
1699;gate-keeper;372;
1700;meat_0;364;
1700;gate-keeper;373;
1701;gate-keeper;374;
1702;vege_1;363;
1702;gate-keeper;375;
1703;gate-keeper;376;
1706;vege_0;365;
1712;vege_1;367;
1715;vege_0;368;
1721;vege_1;369;
1724;final-crs_12;359;938
1724;meat_1;366;
1725;vege_0;370;
1728;final-crs_5;360;727
1730;final-crs_8;361;1563
1731;vege_1;372;
1733;final-crs_7;362;1145
1734;vege_0;373;
1741;vege_1;374;
1744;vege_0;375;
1769;meat_0;371;
1773;final-crs_9;364;180
1774;gate-keeper;395;
1794;meat_1;376;
1811;final-crs_6;363;1361
1813;final-crs_3;365;193
1821;meat_0;395;
1867;final-crs_11;367;512
1879;final-crs_10;368;876
1880;final-crs_2;369;198
1907;final-crs_0;366;491
1914;final-crs_1;370;1087
1925;final-crs_12;372;102
1940;final-crs_4;373;915
1964;final-crs_5;374;1005
1982;final-crs_7;375;460
1986;final-crs_8;371;1641
2026;final-crs_9;376;880
2043;final-crs_3;395;1144
2060;gate-keeper;459;
2066;vege_1;459;
2092;final-crs_10;459;1537
2382;gate-keeper;530;
2383;vege_1;530;
2383;gate-keeper;531;
2385;vege_0;531;
2392;final-crs_2;530;491
2419;final-crs_1;531;2384
2587;gate-keeper;575;
2588;vege_0;575;
2588;gate-keeper;576;
2589;frui_1;576;
2591;final-crs_10;575;477
2596;final-crs_11;576;349
3044;gate-keeper;677;
3045;frui_1;677;
3045;gate-keeper;678;
3047;vege_1;678;
3062;final-crs_4;677;1078
3062;final-crs_6;678;535
3304;gate-keeper;738;
3332;meat_1;738;
3335;final-crs_10;738;112
3424;gate-keeper;765;
3428;vege_0;765;
3430;final-crs_9;765;1773
3451;gate-keeper;766;
3452;gate-keeper;767;
3453;gate-keeper;768;
3454;gate-keeper;769;
3455;gate-keeper;770;
3456;gate-keeper;771;
3457;vege_0;766;
3457;vege_1;768;
3457;frui_0;767;
3460;frui_1;770;
3463;frui_0;771;
3467;vege_1;769;
3503;final-crs_6;766;60
3508;final-crs_3;768;1333
3523;final-crs_2;767;82
3540;final-crs_0;770;367
3545;final-crs_12;771;1072
3546;final-crs_4;769;1347
4002;gate-keeper;893;
4004;frui_0;893;
4010;final-crs_2;893;665
4337;gate-keeper;968;
4345;vege_1;968;
4361;final-crs_8;968;404
4387;gate-keeper;979;
4389;vege_0;979;
4405;final-crs_9;979;1514
4617;gate-keeper;1019;
4618;gate-keeper;1020;
4619;gate-keeper;1021;
4620;vege_1;1019;
4620;gate-keeper;1022;
4621;gate-keeper;1023;
4622;gate-keeper;1024;
4623;gate-keeper;1025;
4624;frui_0;1020;
4624;frui_1;1022;
4624;gate-keeper;1026;
4625;vege_0;1021;
4625;gate-keeper;1027;
4626;gate-keeper;1028;
4627;final-crs_9;1019;720
4627;gate-keeper;1029;
4628;gate-keeper;1030;
4629;frui_1;1024;
4629;gate-keeper;1031;
4631;vege_1;1023;
4635;vege_0;1025;
4639;vege_1;1026;
4645;vege_0;1027;
4649;final-crs_6;1020;368
4649;vege_1;1029;
4654;vege_0;1030;
4658;vege_1;1031;
4661;meat_1;1028;
4699;final-crs_2;1022;2133
4716;final-crs_3;1021;244
4728;final-crs_5;1024;1146
4728;final-crs_11;1023;1439
4734;final-crs_7;1025;631
4739;final-crs_4;1026;1681
4754;final-crs_12;1027;145
4777;final-crs_10;1029;725
4816;final-crs_0;1030;1621
4828;final-crs_1;1031;1280
4845;final-crs_8;1028;1005
5118;gate-keeper;1139;
5119;gate-keeper;1140;
5120;vege_1;1139;
5120;gate-keeper;1141;
5121;gate-keeper;1142;
5129;vege_1;1140;
5130;final-crs_6;1139;479
5130;vege_0;1141;
5133;final-crs_9;1140;1037
5137;vege_1;1142;
5186;final-crs_11;1141;503
5204;final-crs_3;1142;722
5220;gate-keeper;1164;
5228;vege_0;1164;
5254;final-crs_5;1164;79
5408;gate-keeper;1204;
5409;gate-keeper;1205;
5410;frui_1;1204;
5410;gate-keeper;1206;
5411;gate-keeper;1207;
5413;frui_0;1207;
5415;vege_1;1206;
5420;final-crs_4;1204;604
5421;meat_0;1205;
5464;final-crs_11;1207;823
5466;final-crs_5;1206;102
5466;final-crs_10;1205;764
5732;gate-keeper;1278;
5734;vege_0;1278;
5742;final-crs_3;1278;485
6082;gate-keeper;1353;
6083;gate-keeper;1354;
6084;vege_0;1353;
6084;frui_0;1354;
6084;gate-keeper;1355;
6085;gate-keeper;1356;
6086;gate-keeper;1357;
6088;frui_1;1356;
6091;vege_1;1355;
6095;vege_0;1357;
6101;final-crs_2;1353;152
6113;final-crs_4;1354;1768
6118;final-crs_9;1356;974
6158;final-crs_0;1355;716
6162;final-crs_8;1357;1052
6394;gate-keeper;1425;
6402;meat_1;1425;
6403;final-crs_7;1425;489
6937;gate-keeper;1542;
6938;gate-keeper;1543;
6939;gate-keeper;1544;
6940;vege_0;1543;
6940;gate-keeper;1545;
6941;gate-keeper;1546;
6942;frui_1;1542;
6945;vege_1;1544;
6946;gate-keeper;1548;
6950;vege_0;1545;
