time;ckpt;id;money
318;gate-keeper;68;
321;vege_0;68;
438;final-crs_10;68;104
608;gate-keeper;131;
609;gate-keeper;132;
614;vege_1;131;
618;vege_0;132;
664;final-crs_11;131;401
674;final-crs_7;132;829
884;gate-keeper;194;
888;vege_0;194;
901;final-crs_5;194;274
964;gate-keeper;212;
970;vege_1;212;
992;final-crs_12;212;561
1161;gate-keeper;256;
1167;vege_1;256;
1170;final-crs_3;256;327
1927;gate-keeper;429;
1928;gate-keeper;430;
1932;vege_0;430;
1956;meat_0;429;
1961;final-crs_0;430;515
1984;final-crs_8;429;369
2408;gate-keeper;534;
2409;gate-keeper;535;
2410;gate-keeper;536;
2415;vege_0;534;
2418;vege_1;535;
2424;vege_0;536;
2459;final-crs_10;534;305
2462;final-crs_9;535;1507
2479;final-crs_2;536;692
2747;gate-keeper;610;
2748;gate-keeper;611;
2755;meat_1;610;
2792;meat_0;611;
2825;final-crs_6;610;1394
2829;final-crs_11;611;712
3012;gate-keeper;671;
3016;frui_0;671;
3051;final-crs_1;671;894
3325;gate-keeper;742;
3326;vege_0;742;
3326;gate-keeper;743;
3329;frui_1;743;
3345;final-crs_0;742;287
3372;final-crs_12;743;1304
3882;gate-keeper;867;
3885;frui_1;867;
3900;final-crs_9;867;623
4150;gate-keeper;926;
4154;vege_0;926;
4181;final-crs_11;926;303
4465;gate-keeper;997;
4467;vege_1;997;
4470;final-crs_0;997;968
4499;gate-keeper;1002;
4500;gate-keeper;1003;
4501;gate-keeper;1004;
4502;vege_1;1002;
4503;frui_0;1003;
4504;final-crs_1;1002;310
4512;meat_0;1004;
4545;final-crs_10;1003;1342
4563;final-crs_7;1004;512
4859;gate-keeper;1080;
4860;vege_0;1080;
4860;gate-keeper;1081;
4861;gate-keeper;1082;
4862;gate-keeper;1083;
4863;gate-keeper;1084;
4864;vege_1;1082;
4864;gate-keeper;1085;
4865;gate-keeper;1086;
4870;vege_0;1083;
4871;meat_0;1081;
4873;vege_1;1084;
4877;final-crs_11;1080;80
4880;vege_0;1085;
4882;vege_1;1086;
4913;final-crs_3;1082;371
4916;final-crs_1;1083;994
4923;final-crs_8;1081;366
4940;final-crs_0;1084;497
4946;final-crs_2;1085;78
4957;final-crs_6;1086;161
5204;gate-keeper;1160;
5213;vege_0;1160;
5230;final-crs_6;1160;240
5323;gate-keeper;1186;
5324;gate-keeper;1187;
5325;frui_1;1187;
5325;gate-keeper;1188;
5329;vege_1;1186;
5330;final-crs_10;1187;267
5332;vege_0;1188;
5365;final-crs_11;1186;592
5368;final-crs_0;1188;633
5525;gate-keeper;1232;
5526;gate-keeper;1233;
5529;vege_0;1232;
5545;meat_0;1233;
5546;final-crs_10;1232;171
5558;final-crs_5;1233;560
5781;gate-keeper;1288;
5782;gate-keeper;1289;
5788;vege_0;1288;
5790;meat_0;1289;
5806;final-crs_11;1288;453
5819;final-crs_7;1289;563
6416;gate-keeper;1430;
6423;vege_1;1430;
6433;final-crs_2;1430;688
6954;gate-keeper;1549;
6955;gate-keeper;1550;
6958;vege_0;1549;
6960;vege_1;1550;
6972;final-crs_11;1549;659
6981;final-crs_4;1550;868
7228;gate-keeper;1613;
7230;frui_0;1613;
7247;final-crs_9;1613;977
7549;gate-keeper;1685;
7550;frui_1;1685;
7597;final-crs_6;1685;104
7812;gate-keeper;1742;
7813;gate-keeper;1743;
7814;vege_1;1742;
7814;gate-keeper;1744;
7819;frui_1;1744;
7822;vege_0;1743;
7874;final-crs_1;1742;138
7878;final-crs_8;1744;838
7899;final-crs_4;1743;403
8134;gate-keeper;1814;
8135;vege_1;1814;
8135;gate-keeper;1815;
8136;gate-keeper;1816;
8137;gate-keeper;1817;
8138;vege_0;1816;
8144;final-crs_7;1814;213
8145;vege_1;1817;
8149;final-crs_8;1816;875
8156;meat_1;1815;
8161;final-crs_2;1817;439
8167;gate-keeper;1825;
8174;vege_0;1825;
8181;final-crs_10;1815;843
8195;final-crs_11;1825;741
8398;gate-keeper;1869;
8399;frui_0;1869;
8399;gate-keeper;1870;
8400;gate-keeper;1871;
8401;gate-keeper;1872;
8402;gate-keeper;1873;
8403;gate-keeper;1874;
8404;vege_1;1870;
8409;vege_0;1871;
8416;vege_1;1872;
8418;vege_0;1873;
8425;vege_1;1874;
8437;final-crs_4;1869;1186
8440;final-crs_11;1870;944
8455;final-crs_5;1871;419
8457;final-crs_3;1872;1377
8492;final-crs_12;1873;252
8502;final-crs_9;1874;717
8715;gate-keeper;1943;
8716;gate-keeper;1944;
8717;vege_1;1944;
8721;frui_0;1943;
8729;final-crs_12;1944;800
8769;final-crs_6;1943;122
9028;gate-keeper;2010;
9029;gate-keeper;2011;
9030;gate-keeper;2012;
9031;vege_0;2011;
9031;gate-keeper;2013;
9032;gate-keeper;2014;
9033;gate-keeper;2015;
9034;gate-keeper;2016;
9036;vege_1;2012;
9040;vege_0;2013;
9044;vege_1;2014;
9046;final-crs_1;2011;186
9050;vege_0;2015;
9051;final-crs_8;2012;1970
9052;vege_1;2016;
9060;final-crs_9;2013;697
9067;final-crs_2;2014;456
9071;meat_0;2010;
9093;final-crs_7;2015;1201
9104;gate-keeper;2032;
9105;gate-keeper;2033;
9142;meat_0;2032;
9148;meat_1;2033;
9170;final-crs_4;2016;293
9185;final-crs_5;2010;697
9187;final-crs_3;2032;165
9189;final-crs_11;2033;1082
9327;gate-keeper;2077;
9328;gate-keeper;2078;
9329;gate-keeper;2079;
9330;gate-keeper;2080;
9331;vege_1;2077;
9331;gate-keeper;2081;
9332;gate-keeper;2082;
9333;gate-keeper;2083;
9334;gate-keeper;2084;
9335;vege_0;2078;
9341;vege_1;2079;
9345;vege_0;2080;
9349;vege_1;2081;
9352;vege_0;2082;
9356;vege_1;2083;
9363;vege_0;2084;
9389;final-crs_11;2077;411
9402;gate-keeper;2099;
9403;final-crs_12;2078;1141
9403;gate-keeper;2100;
9404;frui_1;2100;
9408;vege_0;2099;
9414;final-crs_3;2079;615
9432;final-crs_5;2080;624
9437;final-crs_6;2081;998
9438;final-crs_4;2082;664
9491;final-crs_0;2083;1490
9518;final-crs_9;2084;126
9540;final-crs_10;2100;395
9553;final-crs_1;2099;865
9943;gate-keeper;2219;
9944;gate-keeper;2220;
9945;vege_1;2219;
9949;vege_0;2220;
9952;final-crs_6;2219;904
9958;gate-keeper;2223;
9959;vege_0;2223;
9985;final-crs_9;2220;1062
10000;final-crs_2;2223;351
10237;gate-keeper;2285;
10243;frui_0;2285;
10267;final-crs_1;2285;418
10733;gate-keeper;2395;
10735;vege_0;2395;
10744;final-crs_1;2395;759
11020;gate-keeper;2458;
11026;meat_1;2458;
11032;final-crs_10;2458;1027
11286;gate-keeper;2517;
11289;frui_0;2517;
11296;final-crs_9;2517;365
11559;gate-keeper;2579;
11562;meat_1;2579;
11594;final-crs_6;2579;808
11655;gate-keeper;2598;
11656;gate-keeper;2599;
11657;gate-keeper;2600;
11658;gate-keeper;2601;
11659;frui_0;2600;
11660;frui_1;2601;
11661;vege_0;2598;
11665;vege_1;2599;
11698;final-crs_11;2600;1482
11743;final-crs_8;2601;1641
11744;final-crs_3;2598;381
11752;final-crs_9;2599;1186
11859;gate-keeper;2647;
11860;vege_0;2647;
11894;final-crs_2;2647;314
12101;gate-keeper;2693;
12102;gate-keeper;2694;
12103;frui_0;2693;
12103;gate-keeper;2695;
12104;frui_1;2694;
12104;gate-keeper;2696;
12105;gate-keeper;2697;
12106;gate-keeper;2698;
12109;vege_0;2695;
12110;vege_1;2698;
12111;frui_0;2696;
12134;meat_1;2697;
12143;final-crs_11;2693;155
12180;final-crs_2;2694;949
12199;final-crs_3;2695;106
12206;final-crs_10;2698;445
12260;final-crs_0;2696;1131
12269;final-crs_4;2697;414
12514;gate-keeper;2788;
12515;gate-keeper;2789;
12516;gate-keeper;2790;
12517;frui_0;2789;
12518;vege_1;2788;
12521;vege_0;2790;
12528;final-crs_4;2789;301
12531;final-crs_7;2788;1327
12569;final-crs_12;2790;908
12765;gate-keeper;2846;
12769;vege_1;2846;
12807;final-crs_4;2846;934
13091;gate-keeper;2912;
13092;gate-keeper;2913;
13093;gate-keeper;2914;
13094;frui_0;2912;
13094;gate-keeper;2915;
13095;frui_1;2915;
13095;gate-keeper;2916;
13096;gate-keeper;2917;
13097;vege_0;2913;
13101;vege_1;2914;
13108;vege_0;2916;
13110;vege_1;2917;
13122;final-crs_9;2912;1101
13122;final-crs_11;2915;197
13124;final-crs_3;2913;940
13151;final-crs_2;2914;391
13156;final-crs_10;2916;977
13166;final-crs_7;2917;648
13403;gate-keeper;2989;
13407;gate-keeper;2990;
13410;vege_0;2989;
13411;vege_1;2990;
13428;final-crs_1;2989;239
13474;final-crs_0;2990;279
13568;gate-keeper;3022;
13569;gate-keeper;3023;
13570;gate-keeper;3024;
13571;gate-keeper;3025;
13573;vege_1;3022;
13576;vege_0;3023;
13578;final-crs_12;3022;287
13581;final-crs_2;3023;610
13583;vege_1;3025;
13587;meat_0;3024;
13619;final-crs_3;3025;166
13621;final-crs_1;3024;210
13672;gate-keeper;3046;
13673;vege_1;3046;
13673;gate-keeper;3047;
13674;gate-keeper;3048;
13675;gate-keeper;3049;
13677;vege_0;3048;
13681;frui_0;3049;
13687;final-crs_0;3046;1152
13697;meat_0;3047;
13765;final-crs_4;3048;1831
13783;final-crs_5;3049;251
13791;final-crs_6;3047;220
13968;gate-keeper;3113;
13969;gate-keeper;3114;
13971;vege_0;3113;
13971;frui_0;3114;
13989;final-crs_4;3113;1947
13991;final-crs_5;3114;1771
14280;gate-keeper;3181;
14281;gate-keeper;3182;
14282;vege_1;3182;
14282;gate-keeper;3183;
14283;frui_0;3183;
14293;meat_0;3181;
14296;final-crs_12;3182;767
14299;final-crs_11;3183;301
14300;final-crs_2;3181;421
14426;gate-keeper;3215;
14427;gate-keeper;3216;
14430;frui_0;3215;
14433;vege_0;3216;
14434;final-crs_0;3215;355
14436;final-crs_4;3216;277
14564;gate-keeper;3246;
14567;vege_1;3246;
14578;final-crs_8;3246;718
14828;gate-keeper;3304;
14829;gate-keeper;3305;
14831;vege_1;3304;
14851;final-crs_3;3304;1224
14864;meat_0;3305;
14917;final-crs_12;3305;368
15172;gate-keeper;3377;
15173;vege_1;3377;
15173;gate-keeper;3378;
15174;gate-keeper;3379;
15175;vege_0;3378;
15175;gate-keeper;3380;
15177;frui_1;3380;
15182;vege_1;3379;
15246;final-crs_2;3377;908
15267;final-crs_11;3378;626
15270;final-crs_9;3380;569
15277;final-crs_10;3379;244
15342;gate-keeper;3418;
15348;vege_0;3418;
15367;final-crs_1;3418;545
15421;gate-keeper;3434;
15422;gate-keeper;3435;
15423;gate-keeper;3436;
15428;vege_0;3434;
15428;vege_1;3435;
15438;vege_0;3436;
15461;final-crs_2;3434;1127
15495;final-crs_9;3435;102
15502;final-crs_11;3436;997
15730;gate-keeper;3503;
15732;frui_1;3503;
15735;final-crs_6;3503;85
16180;gate-keeper;3601;
16181;gate-keeper;3602;
16182;gate-keeper;3603;
16183;gate-keeper;3604;
16184;vege_0;3601;
16185;vege_1;3602;
16186;final-crs_2;3601;798
16194;vege_0;3603;
16201;meat_1;3604;
16202;final-crs_11;3602;266
16216;final-crs_9;3603;324
16237;final-crs_7;3604;572
16300;gate-keeper;3629;
16301;gate-keeper;3630;
16302;vege_1;3630;
16302;gate-keeper;3631;
16308;vege_0;3631;
16320;meat_1;3629;
16351;final-crs_1;3630;225
16363;final-crs_12;3631;116
16370;final-crs_0;3629;1397
17216;gate-keeper;3837;
17218;frui_0;3837;
17228;final-crs_2;3837;1240
17438;gate-keeper;3883;
17439;gate-keeper;3884;
17440;vege_1;3883;
17440;gate-keeper;3885;
17441;vege_0;3884;
17441;gate-keeper;3886;
17442;gate-keeper;3887;
17447;final-crs_4;3883;909
17447;frui_0;3887;
17450;vege_0;3886;
17472;meat_0;3885;
17493;final-crs_2;3884;1782
17496;final-crs_5;3887;769
17501;final-crs_10;3886;1005
17514;final-crs_0;3885;869
17742;gate-keeper;3954;
17743;gate-keeper;3955;
17744;vege_1;3954;
17744;gate-keeper;3956;
17746;frui_1;3956;
17747;final-crs_1;3954;80
17750;vege_0;3955;
17757;final-crs_2;3956;556
17787;final-crs_12;3955;729
18025;gate-keeper;4020;
18038;meat_0;4020;
18068;final-crs_7;4020;536
18101;gate-keeper;4035;
18102;gate-keeper;4036;
18104;frui_1;4036;
18106;vege_1;4035;
18128;final-crs_11;4036;953
18136;final-crs_9;4035;437
18257;gate-keeper;4070;
18258;gate-keeper;4071;
18262;vege_1;4070;
18263;vege_0;4071;
18271;final-crs_2;4070;571
18275;final-crs_3;4071;70
18882;gate-keeper;4209;
18883;gate-keeper;4210;
18885;vege_1;4209;
18891;vege_0;4210;
18900;final-crs_10;4209;395
18955;final-crs_9;4210;1169
19009;gate-keeper;4235;
19010;vege_1;4235;
19010;gate-keeper;4236;
19011;vege_0;4236;
19011;gate-keeper;4237;
19012;gate-keeper;4238;
19013;gate-keeper;4239;
19018;final-crs_8;4235;221
19018;final-crs_12;4236;156
19019;vege_1;4237;
19021;vege_0;4239;
19050;meat_1;4238;
19073;final-crs_5;4237;719
19076;final-crs_11;4239;563
19110;final-crs_6;4238;876
19483;gate-keeper;4523;
19484;frui_1;4523;
19484;gate-keeper;4524;
19485;final-crs_7;4523;83
19485;gate-keeper;4525;
19489;vege_1;4524;
19492;final-crs_0;4524;1011
19493;vege_0;4525;
19502;final-crs_3;4525;671
19783;gate-keeper;4769;
19784;gate-keeper;4770;
19785;vege_0;4769;
19785;gate-keeper;4771;
19788;vege_1;4770;
19795;vege_0;4771;
19817;final-crs_6;4769;867
19823;final-crs_2;4770;614
19879;final-crs_5;4771;231
20030;gate-keeper;4825;
20031;gate-keeper;4826;
20035;vege_1;4825;
20039;vege_0;4826;
20041;final-crs_6;4825;172
20044;final-crs_2;4826;101
20381;gate-keeper;4900;
20382;frui_1;4900;
20382;gate-keeper;4901;
20383;gate-keeper;4902;
20384;gate-keeper;4903;
20385;gate-keeper;4904;
20386;gate-keeper;4905;
20387;gate-keeper;4906;
20388;vege_1;4901;
20388;gate-keeper;4907;
20389;frui_1;4905;
20389;gate-keeper;4908;
20390;gate-keeper;4909;
20391;gate-keeper;4910;
20392;final-crs_5;4900;538
20392;vege_0;4902;
20392;gate-keeper;4911;
20393;frui_0;4908;
20393;gate-keeper;4912;
20394;gate-keeper;4913;
20395;gate-keeper;4914;
20396;gate-keeper;4915;
20397;vege_1;4903;
20397;gate-keeper;4916;
20398;gate-keeper;4917;
20399;frui_0;4914;
20399;gate-keeper;4918;
20400;gate-keeper;4919;
20401;vege_0;4904;
20401;frui_1;4917;
20401;gate-keeper;4920;
20402;gate-keeper;4921;
20403;gate-keeper;4922;
20404;gate-keeper;4923;
20405;vege_1;4906;
20405;gate-keeper;4924;
20406;frui_0;4919;
20406;gate-keeper;4925;
20407;frui_1;4922;
20407;gate-keeper;4926;
20408;meat_1;4911;
20408;gate-keeper;4927;
20409;meat_0;4915;
20409;gate-keeper;4928;
20410;vege_0;4907;
20410;gate-keeper;4929;
20411;gate-keeper;4930;
20412;frui_0;4925;
20412;gate-keeper;4931;
20413;gate-keeper;4932;
20414;vege_1;4909;
20414;gate-keeper;4933;
20415;gate-keeper;4934;
20416;gate-keeper;4935;
20417;gate-keeper;4936;
20418;frui_0;4935;
20418;gate-keeper;4937;
20419;frui_1;4936;
20419;gate-keeper;4938;
20420;vege_0;4910;
20420;gate-keeper;4939;
20421;vege_1;4912;
20421;gate-keeper;4940;
20422;gate-keeper;4941;
20423;gate-keeper;4942;
20424;final-crs_10;4901;513
20424;frui_0;4938;
20424;gate-keeper;4943;
20425;gate-keeper;4944;
20426;gate-keeper;4945;
20427;gate-keeper;4946;
20428;final-crs_11;4905;845
20428;vege_0;4913;
20428;gate-keeper;4947;
20429;gate-keeper;4948;
20430;final-crs_9;4902;580
20430;vege_1;4916;
20430;gate-keeper;4949;
20431;gate-keeper;4950;
20432;gate-keeper;4951;
20433;final-crs_8;4908;129
20433;gate-keeper;4952;
20434;gate-keeper;4953;
20435;gate-keeper;4954;
20436;gate-keeper;4955;
20437;frui_0;4953;
20437;gate-keeper;4956;
20438;vege_0;4918;
20438;vege_1;4921;
20438;gate-keeper;4957;
20439;frui_1;4955;
20439;gate-keeper;4958;
20440;gate-keeper;4959;
20441;gate-keeper;4960;
20442;gate-keeper;4961;
20443;gate-keeper;4962;
20444;gate-keeper;4963;
20445;final-crs_0;4903;916
20445;frui_0;4962;
20445;gate-keeper;4964;
20446;gate-keeper;4965;
20447;vege_0;4923;
20447;vege_1;4924;
20447;gate-keeper;4966;
20448;gate-keeper;4967;
20449;gate-keeper;4968;
20450;gate-keeper;4969;
20451;frui_1;4964;
20451;gate-keeper;4970;
20452;final-crs_7;4914;393
20452;frui_0;4965;
20452;gate-keeper;4971;
20453;gate-keeper;4972;
20454;gate-keeper;4973;
20455;gate-keeper;4974;
20456;vege_1;4926;
20456;gate-keeper;4975;
20457;vege_0;4927;
20457;gate-keeper;4976;
20458;gate-keeper;4977;
20459;gate-keeper;4978;
20460;gate-keeper;4979;
20461;gate-keeper;4980;
20462;gate-keeper;4981;
20463;gate-keeper;4982;
20464;gate-keeper;4983;
20465;gate-keeper;4984;
20466;vege_1;4928;
20466;gate-keeper;4985;
20467;vege_0;4929;
20467;gate-keeper;4986;
20468;gate-keeper;4987;
20469;meat_1;4920;
20469;gate-keeper;4988;
20470;gate-keeper;4989;
20471;gate-keeper;4990;
20472;frui_0;4987;
20472;gate-keeper;4991;
20473;gate-keeper;4992;
20474;meat_0;4932;
20474;gate-keeper;4993;
20475;vege_1;4930;
20475;gate-keeper;4994;
20476;vege_0;4931;
20476;gate-keeper;4995;
20477;gate-keeper;4996;
20478;gate-keeper;4997;
20479;gate-keeper;4998;
20480;gate-keeper;4999;
20481;final-crs_4;4904;1112
20481;gate-keeper;5000;
20482;gate-keeper;5001;
20483;gate-keeper;5002;
20484;vege_1;4933;
20484;gate-keeper;5003;
20485;final-crs_6;4917;1031
20485;frui_0;5002;
20485;gate-keeper;5004;
20486;vege_0;4934;
20486;gate-keeper;5005;
20487;gate-keeper;5006;
20488;gate-keeper;5007;
20489;gate-keeper;5008;
20490;gate-keeper;5009;
20491;gate-keeper;5010;
