time;ckpt;id;money
291;gate-keeper;62;
316;meat_0;62;
453;final-crs_9;62;1099
574;gate-keeper;124;
577;vege_0;124;
678;final-crs_9;124;99
1019;gate-keeper;218;
1020;vege_1;218;
1020;gate-keeper;219;
1021;gate-keeper;220;
1022;vege_0;219;
1022;gate-keeper;221;
1023;gate-keeper;222;
1024;gate-keeper;223;
1025;gate-keeper;224;
1029;vege_1;220;
1032;vege_0;222;
1039;vege_1;224;
1049;meat_0;221;
1070;meat_1;223;
1076;final-crs_11;218;642
1129;final-crs_9;219;1007
1162;final-crs_10;220;396
1176;final-crs_3;222;501
1179;final-crs_0;224;194
1185;final-crs_1;221;553
1191;final-crs_6;223;167
1830;gate-keeper;408;
1849;meat_1;408;
1858;final-crs_6;408;537
2136;gate-keeper;475;
2137;gate-keeper;476;
2142;vege_0;475;
2146;vege_1;476;
2149;final-crs_5;475;286
2160;final-crs_1;476;205
2477;gate-keeper;552;
2478;frui_0;552;
2492;final-crs_11;552;1061
3048;gate-keeper;679;
3054;vege_1;679;
3062;final-crs_12;679;555
3358;gate-keeper;748;
3359;gate-keeper;749;
3360;vege_0;748;
3360;gate-keeper;750;
3362;meat_1;750;
3367;final-crs_5;748;1092
3367;vege_1;749;
3383;final-crs_10;750;1463
3408;final-crs_2;749;706
3745;gate-keeper;835;
3746;gate-keeper;836;
3749;vege_1;836;
3749;meat_0;835;
3768;final-crs_8;836;1470
3800;final-crs_7;835;1193
3905;gate-keeper;871;
3906;vege_0;871;
3906;gate-keeper;872;
3911;vege_1;872;
3918;final-crs_5;871;851
3920;final-crs_2;872;696
4225;gate-keeper;943;
4266;meat_0;943;
4273;final-crs_10;943;535
4526;gate-keeper;1009;
4527;gate-keeper;1010;
4535;vege_0;1009;
4536;vege_1;1010;
4538;final-crs_0;1009;1130
4543;final-crs_7;1010;634
4676;gate-keeper;1045;
4679;vege_0;1045;
4692;final-crs_8;1045;836
4827;gate-keeper;1078;
4832;vege_0;1078;
4834;final-crs_1;1078;1210
5144;gate-keeper;1143;
5145;gate-keeper;1144;
5146;gate-keeper;1145;
5147;vege_1;1143;
5147;gate-keeper;1146;
5148;gate-keeper;1147;
5149;vege_0;1144;
5150;frui_0;1145;
5153;frui_1;1146;
5156;vege_1;1147;
5157;final-crs_11;1143;949
5168;final-crs_12;1144;288
5184;final-crs_8;1145;148
5229;final-crs_6;1146;1146
5229;final-crs_7;1147;1053
5535;gate-keeper;1234;
5536;gate-keeper;1235;
5538;vege_1;1235;
5546;meat_1;1234;
5553;final-crs_0;1235;734
5556;final-crs_9;1234;340
5603;gate-keeper;1249;
5604;gate-keeper;1250;
5606;vege_1;1249;
5608;vege_0;1250;
5614;final-crs_5;1249;216
5622;final-crs_2;1250;959
5776;gate-keeper;1287;
5778;frui_0;1287;
5804;final-crs_0;1287;798
6041;gate-keeper;1346;
6042;gate-keeper;1347;
6045;frui_1;1347;
6047;vege_0;1346;
6063;final-crs_9;1347;265
6073;final-crs_2;1346;523
6363;gate-keeper;1419;
6372;gate-keeper;1420;
6373;gate-keeper;1421;
6374;vege_1;1420;
6375;meat_1;1419;
6381;vege_0;1421;
6398;final-crs_6;1420;1175
6413;final-crs_8;1419;607
6436;final-crs_12;1421;592
6651;gate-keeper;1482;
6652;frui_0;1482;
6652;gate-keeper;1483;
6654;final-crs_6;1482;207
6661;vege_0;1483;
6664;final-crs_7;1483;196
6959;gate-keeper;1551;
6966;vege_1;1551;
6969;final-crs_4;1551;95
7245;gate-keeper;1614;
7246;gate-keeper;1615;
7247;vege_1;1614;
7247;frui_0;1615;
7247;gate-keeper;1616;
7248;gate-keeper;1617;
7252;vege_0;1617;
7255;final-crs_11;1614;881
7259;meat_0;1616;
7270;gate-keeper;1622;
7272;frui_1;1622;
7307;final-crs_10;1615;384
7316;final-crs_0;1617;1481
7333;final-crs_7;1616;91
7347;final-crs_1;1622;1511
7492;gate-keeper;1669;
7493;gate-keeper;1670;
7494;frui_0;1669;
7494;gate-keeper;1671;
7498;vege_1;1670;
7500;final-crs_11;1669;388
7501;vege_0;1671;
7533;final-crs_7;1670;1195
7572;final-crs_0;1671;171
7572;gate-keeper;1686;
7573;gate-keeper;1687;
7574;gate-keeper;1688;
7575;gate-keeper;1689;
7576;vege_0;1686;
7576;gate-keeper;1690;
7578;vege_1;1687;
7579;final-crs_10;1686;983
7581;frui_0;1690;
7585;final-crs_1;1687;1098
7585;vege_0;1688;
7588;vege_1;1689;
7596;final-crs_12;1690;929
7613;final-crs_3;1688;230
7616;final-crs_6;1689;1190
7860;gate-keeper;1751;
7861;frui_1;1751;
7861;gate-keeper;1752;
7862;gate-keeper;1753;
7863;gate-keeper;1754;
7864;vege_1;1754;
7864;gate-keeper;1755;
7867;frui_0;1752;
7868;frui_1;1753;
7873;vege_1;1755;
7895;final-crs_8;1751;566
7904;final-crs_5;1754;610
7942;final-crs_4;1752;143
7975;final-crs_2;1753;759
8005;final-crs_9;1755;797
8139;gate-keeper;1818;
8140;frui_1;1818;
8161;final-crs_8;1818;708
8163;gate-keeper;1821;
8164;gate-keeper;1822;
8165;gate-keeper;1823;
8166;vege_1;1822;
8166;gate-keeper;1824;
8168;meat_1;1821;
8172;vege_0;1823;
8176;vege_1;1824;
8208;final-crs_7;1822;1200
8218;final-crs_9;1821;681
8221;final-crs_2;1823;195
8226;final-crs_4;1824;717
8449;gate-keeper;1882;
8450;vege_1;1882;
8450;gate-keeper;1883;
8451;gate-keeper;1884;
8452;gate-keeper;1885;
8453;frui_1;1884;
8454;vege_0;1883;
8458;final-crs_9;1882;1354
8461;vege_1;1885;
8473;final-crs_4;1884;314
8514;final-crs_1;1883;237
8520;final-crs_11;1885;217
8797;gate-keeper;1964;
8825;meat_0;1964;
8853;final-crs_5;1964;695
9124;gate-keeper;2037;
9125;gate-keeper;2038;
9126;vege_0;2038;
9162;final-crs_8;2038;153
9164;meat_1;2037;
9173;final-crs_0;2037;1038
9662;gate-keeper;2158;
9668;vege_1;2158;
9680;final-crs_2;2158;494
10179;gate-keeper;2271;
10180;gate-keeper;2272;
10183;vege_0;2271;
10189;vege_1;2272;
10246;final-crs_12;2271;830
10273;final-crs_7;2272;689
10276;gate-keeper;2295;
10280;meat_1;2295;
10299;final-crs_3;2295;975
10545;gate-keeper;2351;
10546;gate-keeper;2352;
10547;gate-keeper;2353;
10551;vege_0;2351;
10551;vege_1;2353;
10551;frui_0;2352;
10557;final-crs_10;2351;1557
10575;final-crs_0;2353;187
10586;final-crs_2;2352;404
10805;gate-keeper;2409;
10806;vege_1;2409;
10806;gate-keeper;2410;
10807;final-crs_3;2409;357
10808;vege_0;2410;
10812;final-crs_8;2410;468
11094;gate-keeper;2466;
11095;gate-keeper;2467;
11096;gate-keeper;2468;
11097;frui_1;2468;
