time;ckpt;id;money
969;gate-keeper;213;
973;vege_1;213;
987;final-crs_1;213;497
1321;gate-keeper;286;
1322;gate-keeper;287;
1323;vege_1;286;
1323;gate-keeper;288;
1324;gate-keeper;289;
1325;gate-keeper;290;
1326;gate-keeper;291;
1327;vege_0;287;
1327;frui_1;289;
1327;gate-keeper;292;
1332;frui_0;290;
1333;vege_1;288;
1336;vege_0;291;
1343;vege_1;292;
1364;final-crs_7;286;644
1388;final-crs_5;287;367
1405;final-crs_11;289;697
1408;final-crs_0;290;804
1408;final-crs_8;288;929
1421;final-crs_10;291;1587
1426;final-crs_6;292;855
1613;gate-keeper;358;
1618;frui_1;358;
1642;final-crs_11;358;341
1902;gate-keeper;421;
1903;vege_0;421;
1903;gate-keeper;422;
1904;vege_1;422;
1904;gate-keeper;423;
1905;gate-keeper;424;
1912;vege_0;423;
1913;vege_1;424;
1919;final-crs_9;421;642
1920;final-crs_4;422;1053
1923;final-crs_10;423;674
1958;final-crs_3;424;181
1994;gate-keeper;445;
1996;vege_1;445;
2044;final-crs_7;445;988
2208;gate-keeper;487;
2209;frui_1;487;
2209;gate-keeper;488;
2210;gate-keeper;489;
2211;gate-keeper;490;
2212;gate-keeper;491;
2213;gate-keeper;492;
2217;vege_1;488;
2218;vege_0;491;
2226;vege_0;492;
2234;meat_0;489;
2240;final-crs_6;487;421
2265;meat_1;490;
2309;final-crs_7;488;1283
2315;final-crs_0;491;646
2355;final-crs_12;492;1697
2357;final-crs_11;489;1403
2382;final-crs_8;490;478
2517;gate-keeper;559;
2518;gate-keeper;560;
2519;gate-keeper;561;
2520;vege_0;559;
2526;vege_1;560;
2526;frui_0;561;
2534;final-crs_0;559;512
2568;final-crs_11;560;1346
2618;final-crs_12;561;168
2774;gate-keeper;617;
2775;frui_0;617;
2778;final-crs_6;617;926
3024;gate-keeper;674;
3052;meat_0;674;
3068;final-crs_11;674;671
3313;gate-keeper;739;
3314;gate-keeper;740;
3316;vege_0;739;
3316;frui_0;740;
3322;final-crs_2;739;1298
3332;final-crs_8;740;1208
3748;gate-keeper;837;
3749;frui_1;837;
3755;final-crs_8;837;1145
3975;gate-keeper;887;
3978;vege_0;887;
4007;final-crs_7;887;1493
4321;gate-keeper;948;
4322;vege_0;948;
4322;gate-keeper;949;
4323;gate-keeper;950;
4324;gate-keeper;951;
4325;gate-keeper;952;
4326;gate-keeper;953;
4327;gate-keeper;954;
4328;gate-keeper;955;
4329;frui_0;951;
4329;gate-keeper;956;
4330;gate-keeper;957;
4331;vege_0;949;
4331;gate-keeper;958;
4332;vege_1;950;
4332;gate-keeper;959;
4333;gate-keeper;960;
4334;gate-keeper;961;
4335;gate-keeper;962;
4336;final-crs_9;948;1802
4336;gate-keeper;963;
4337;gate-keeper;964;
4339;final-crs_6;951;282
4339;meat_1;957;
4340;vege_0;952;
4341;frui_0;964;
4342;vege_1;953;
4345;final-crs_0;949;101
4349;vege_0;954;
4351;vege_1;955;
4356;vege_0;956;
4357;final-crs_3;950;815
4361;vege_1;960;
4366;vege_0;961;
4369;vege_1;962;
4373;final-crs_4;957;792
4373;final-crs_5;952;809
4375;vege_0;963;
4376;final-crs_10;964;176
4387;meat_0;958;
4393;meat_1;959;
4427;final-crs_11;953;1397
4442;final-crs_1;954;438
4445;final-crs_8;955;692
4485;final-crs_7;956;147
4494;final-crs_12;960;1799
4541;final-crs_2;961;1005
4548;gate-keeper;1012;
4549;gate-keeper;1013;
4550;vege_1;1012;
4550;gate-keeper;1014;
4551;gate-keeper;1015;
4553;vege_0;1013;
4559;meat_0;1015;
4561;vege_1;1014;
4580;final-crs_0;962;472
4584;final-crs_9;963;596
4600;final-crs_10;958;868
4605;final-crs_5;959;1673
4611;final-crs_6;1012;911
4615;final-crs_4;1013;921
4621;gate-keeper;1032;
4623;frui_1;1032;
4625;final-crs_3;1015;83
4636;final-crs_11;1014;448
4685;final-crs_1;1032;1982
5198;gate-keeper;1159;
5204;frui_0;1159;
5272;final-crs_2;1159;660
5516;gate-keeper;1227;
5517;gate-keeper;1228;
5518;gate-keeper;1229;
5519;gate-keeper;1230;
5523;frui_0;1229;
5524;vege_0;1227;
5524;vege_1;1228;
5534;vege_0;1230;
5572;final-crs_5;1229;430
5580;final-crs_3;1227;1570
5582;final-crs_8;1228;1753
5585;final-crs_0;1230;1131
5804;gate-keeper;1290;
5805;gate-keeper;1291;
5806;gate-keeper;1292;
5807;frui_1;1292;
5807;gate-keeper;1293;
5808;vege_1;1290;
5808;gate-keeper;1294;
5811;frui_0;1293;
5812;vege_0;1291;
5817;vege_1;1294;
5818;final-crs_10;1292;863
5819;final-crs_8;1290;1038
5829;final-crs_12;1293;449
5844;final-crs_4;1291;1118
5851;final-crs_6;1294;136
6124;gate-keeper;1364;
6125;gate-keeper;1365;
6126;gate-keeper;1366;
6130;vege_0;1364;
6134;vege_1;1365;
6137;final-crs_9;1364;1674
6137;final-crs_11;1365;209
6140;vege_0;1366;
6143;final-crs_7;1366;710
6389;gate-keeper;1424;
6392;vege_1;1424;
6399;final-crs_7;1424;380
6680;gate-keeper;1484;
6681;gate-keeper;1485;
6682;gate-keeper;1486;
6683;gate-keeper;1487;
6684;gate-keeper;1488;
6685;gate-keeper;1489;
6686;gate-keeper;1490;
6687;vege_0;1484;
6687;vege_1;1485;
6689;frui_1;1488;
6695;vege_0;1486;
6696;vege_1;1487;
6704;vege_0;1489;
6705;vege_1;1490;
6748;final-crs_6;1484;837
6749;final-crs_0;1485;1289
6754;final-crs_3;1488;1335
6798;final-crs_12;1486;885
6801;final-crs_10;1487;132
6823;final-crs_4;1489;81
6835;final-crs_1;1490;1480
6943;gate-keeper;1547;
6950;vege_0;1547;
6989;final-crs_6;1547;1322
7401;gate-keeper;1648;
7402;vege_0;1648;
7402;gate-keeper;1649;
7403;final-crs_7;1648;625
7403;gate-keeper;1650;
7404;gate-keeper;1651;
7408;frui_1;1651;
