time;ckpt;id;money
651;gate-keeper;133;
652;gate-keeper;134;
653;gate-keeper;135;
654;gate-keeper;136;
655;gate-keeper;137;
656;gate-keeper;138;
659;vege_0;133;
661;vege_1;134;
668;vege_0;137;
669;vege_1;138;
671;final-crs_8;133;919
672;meat_1;135;
677;final-crs_5;134;552
681;final-crs_4;137;1931
683;meat_0;136;
690;final-crs_9;138;899
700;final-crs_6;135;1254
718;final-crs_11;136;1145
869;gate-keeper;182;
870;gate-keeper;183;
871;gate-keeper;184;
873;frui_1;182;
895;final-crs_9;182;231
903;meat_1;183;
917;meat_0;184;
922;final-crs_8;183;1179
926;final-crs_5;184;2127
1020;gate-keeper;217;
1021;gate-keeper;218;
1024;vege_0;217;
1027;vege_1;218;
1034;final-crs_2;217;659
1055;final-crs_7;218;134
1326;gate-keeper;282;
1327;vege_0;282;
1327;gate-keeper;283;
1328;vege_1;283;
1333;final-crs_6;282;299
1334;final-crs_2;283;1140
1664;gate-keeper;356;
1665;gate-keeper;357;
1672;vege_0;356;
1673;vege_1;357;
1681;final-crs_12;356;1427
1691;gate-keeper;362;
1692;vege_1;362;
1695;final-crs_11;357;1061
1744;final-crs_7;362;375
1958;gate-keeper;420;
1968;meat_0;420;
1995;final-crs_2;420;1375
2279;gate-keeper;485;
2280;gate-keeper;486;
2281;meat_0;485;
2281;gate-keeper;487;
2282;frui_1;486;
2282;gate-keeper;488;
2283;gate-keeper;489;
2285;vege_0;487;
2285;vege_1;488;
2286;final-crs_6;485;62
2289;final-crs_10;486;1591
2295;vege_1;489;
2302;final-crs_9;487;1455
2303;final-crs_3;488;1467
2347;final-crs_8;489;498
2581;gate-keeper;553;
2582;gate-keeper;554;
2583;gate-keeper;555;
2586;frui_1;554;
2587;meat_1;553;
2588;frui_0;555;
2615;final-crs_12;554;2266
2631;final-crs_8;553;118
2640;final-crs_4;555;1338
2730;gate-keeper;587;
2733;vege_0;587;
2735;final-crs_9;587;163
2807;gate-keeper;600;
2808;gate-keeper;601;
2809;gate-keeper;602;
2811;frui_0;601;
2812;vege_0;600;
2814;vege_1;602;
2821;final-crs_3;601;1810
2832;final-crs_4;600;1180
2859;final-crs_8;602;2212
3096;gate-keeper;659;
3097;gate-keeper;660;
3098;gate-keeper;661;
3099;gate-keeper;662;
3100;gate-keeper;663;
3101;vege_0;659;
3101;gate-keeper;664;
3102;gate-keeper;665;
3103;vege_1;662;
3103;frui_0;661;
3111;vege_0;664;
3112;vege_1;665;
3140;meat_1;660;
3147;meat_0;663;
3170;final-crs_7;659;2313
3176;final-crs_5;662;882
3183;final-crs_6;661;1508
3191;final-crs_11;664;1357
3214;final-crs_2;665;683
3229;final-crs_9;660;498
3271;final-crs_3;663;279
3346;gate-keeper;718;
3347;vege_1;718;
3402;final-crs_5;718;2155
3412;gate-keeper;733;
3433;meat_0;733;
3468;final-crs_11;733;653
3686;gate-keeper;793;
3717;meat_0;793;
3723;final-crs_2;793;576
4005;gate-keeper;859;
4006;gate-keeper;860;
4007;gate-keeper;861;
4008;vege_0;860;
4010;vege_1;861;
4022;final-crs_4;860;2158
4030;final-crs_3;861;811
4037;meat_1;859;
4040;final-crs_1;859;814
4637;gate-keeper;997;
4638;gate-keeper;998;
4639;vege_0;997;
4649;meat_1;998;
4668;final-crs_6;997;924
4714;final-crs_2;998;168
4744;gate-keeper;1017;
4745;gate-keeper;1018;
4746;gate-keeper;1019;
4747;gate-keeper;1020;
4748;gate-keeper;1021;
4749;vege_1;1017;
4749;gate-keeper;1022;
4752;final-crs_10;1017;139
4753;vege_0;1019;
4756;final-crs_3;1019;873
4759;vege_1;1020;
4763;final-crs_4;1020;1018
4763;vege_0;1021;
4770;vege_1;1022;
4772;meat_1;1018;
4779;final-crs_9;1021;368
4787;final-crs_8;1022;1073
4820;final-crs_0;1018;1748
5495;gate-keeper;1183;
5496;gate-keeper;1184;
5546;meat_1;1183;
5547;final-crs_9;1183;831
5547;meat_0;1184;
5571;final-crs_0;1184;671
5799;gate-keeper;1249;
5800;gate-keeper;1250;
5802;vege_1;1249;
5807;final-crs_3;1249;361
5832;meat_0;1250;
5836;final-crs_6;1250;550
6374;gate-keeper;1372;
6375;gate-keeper;1373;
6376;gate-keeper;1374;
6377;vege_1;1373;
6378;frui_1;1372;
6380;meat_1;1374;
6416;final-crs_5;1373;112
6418;final-crs_11;1372;2599
6425;final-crs_10;1374;173
6541;gate-keeper;1407;
6542;gate-keeper;1408;
6543;gate-keeper;1409;
6545;frui_0;1408;
6547;final-crs_2;1408;756
6560;meat_0;1407;
6570;meat_1;1409;
6586;final-crs_0;1407;2072
6586;final-crs_4;1409;1619
6671;gate-keeper;1438;
6674;vege_1;1438;
6683;final-crs_12;1438;508
6957;gate-keeper;1499;
6963;meat_0;1499;
6978;final-crs_6;1499;1126
7275;gate-keeper;1568;
7277;vege_1;1568;
7301;final-crs_0;1568;867
7500;gate-keeper;1616;
7501;gate-keeper;1617;
7505;frui_0;1616;
7516;final-crs_0;1616;79
7538;meat_0;1617;
7561;final-crs_12;1617;693
7612;gate-keeper;1639;
7613;gate-keeper;1640;
7614;vege_0;1639;
7614;frui_0;1640;
7614;gate-keeper;1641;
7615;gate-keeper;1642;
7616;vege_1;1642;
7619;final-crs_7;1639;401
7646;meat_0;1641;
7672;final-crs_6;1640;1127
7698;final-crs_3;1642;424
7722;final-crs_9;1641;916
7872;gate-keeper;1698;
7873;vege_1;1698;
7894;final-crs_3;1698;1186
8229;gate-keeper;1776;
8245;meat_0;1776;
8266;final-crs_6;1776;614
8391;gate-keeper;1810;
8404;meat_1;1810;
8422;final-crs_4;1810;271
8532;gate-keeper;1837;
8533;vege_0;1837;
8533;gate-keeper;1838;
8534;gate-keeper;1839;
8535;gate-keeper;1840;
8536;gate-keeper;1841;
8538;frui_1;1838;
8540;final-crs_2;1837;555
8541;vege_1;1839;
8544;vege_0;1840;
8550;vege_1;1841;
8586;final-crs_3;1838;718
8597;final-crs_8;1839;736
8600;final-crs_1;1840;1365
8604;final-crs_11;1841;1047
8803;gate-keeper;1898;
8804;frui_0;1898;
8810;final-crs_1;1898;206
9072;gate-keeper;1955;
9073;gate-keeper;1956;
9076;meat_0;1955;
9098;final-crs_11;1955;351
9114;meat_1;1956;
9191;final-crs_0;1956;83
9310;gate-keeper;2005;
9311;gate-keeper;2006;
9312;gate-keeper;2007;
9313;vege_0;2005;
9317;vege_1;2006;
9325;vege_0;2007;
9330;final-crs_11;2005;189
9341;final-crs_8;2006;987
9341;gate-keeper;2013;
9342;gate-keeper;2014;
9344;vege_0;2013;
9353;meat_1;2014;
9369;final-crs_4;2007;608
9409;final-crs_0;2013;796
9420;final-crs_12;2014;1902
9629;gate-keeper;2075;
9633;frui_0;2075;
9636;final-crs_10;2075;676
