time;ckpt;id;money
310;gate-keeper;63;
311;gate-keeper;64;
312;vege_0;63;
312;gate-keeper;65;
316;meat_0;65;
321;vege_0;64;
436;final-crs_12;63;116
439;final-crs_10;65;299
455;final-crs_4;64;2215
1012;gate-keeper;215;
1013;gate-keeper;216;
1015;vege_1;215;
1018;meat_0;216;
1019;final-crs_3;215;1736
1084;final-crs_10;216;2635
1298;gate-keeper;275;
1299;gate-keeper;276;
1300;vege_0;275;
1300;gate-keeper;277;
1301;gate-keeper;278;
1304;vege_1;276;
1309;vege_0;277;
1312;vege_1;278;
1322;final-crs_10;275;256
1356;final-crs_5;276;2549
1383;final-crs_7;277;1455
1390;final-crs_1;278;212
1604;gate-keeper;344;
1610;vege_0;344;
1624;final-crs_5;344;541
1904;gate-keeper;409;
1913;meat_0;409;
1919;final-crs_8;409;70
1942;gate-keeper;417;
1968;meat_0;417;
1997;final-crs_3;417;1172
2551;gate-keeper;548;
2556;frui_0;548;
2594;final-crs_2;548;1007
2867;gate-keeper;615;
2873;vege_0;615;
2887;final-crs_9;615;709
2908;gate-keeper;616;
2909;gate-keeper;617;
2910;gate-keeper;618;
2911;frui_0;616;
2911;frui_1;618;
2911;gate-keeper;619;
2912;vege_1;617;
2912;gate-keeper;620;
2913;gate-keeper;621;
2914;gate-keeper;622;
2915;gate-keeper;623;
2916;frui_1;619;
2916;gate-keeper;624;
2921;vege_0;620;
2923;vege_1;621;
2930;vege_0;623;
2947;meat_0;622;
2954;meat_1;624;
2987;final-crs_10;616;594
2995;final-crs_3;618;2297
3016;final-crs_4;617;1296
3019;final-crs_7;619;790
3019;final-crs_12;620;845
3072;final-crs_5;621;629
3089;final-crs_6;623;1711
3093;final-crs_2;622;1794
3097;final-crs_8;624;703
3141;gate-keeper;673;
3142;vege_0;673;
3142;gate-keeper;674;
3143;gate-keeper;675;
3145;final-crs_9;673;473
3152;vege_1;674;
3153;vege_0;675;
3171;final-crs_0;674;938
3176;gate-keeper;676;
3177;gate-keeper;677;
3178;vege_0;676;
3178;vege_1;677;
3178;gate-keeper;678;
3179;gate-keeper;679;
3180;gate-keeper;680;
3181;gate-keeper;681;
3182;gate-keeper;682;
3183;frui_0;681;
3186;vege_0;678;
3187;frui_1;682;
3190;vege_1;679;
3196;vege_0;680;
3225;final-crs_3;675;1302
3233;final-crs_10;676;1414
3244;final-crs_7;677;847
3248;final-crs_12;681;462
3253;final-crs_4;678;1223
3291;final-crs_5;682;879
3301;final-crs_6;679;734
3302;final-crs_2;680;646
3446;gate-keeper;741;
3465;meat_1;741;
3473;final-crs_7;741;676
3766;gate-keeper;806;
3767;gate-keeper;807;
3768;gate-keeper;808;
3770;vege_0;806;
3771;final-crs_5;806;1053
3771;vege_1;807;
3780;vege_1;808;
3786;final-crs_1;807;751
3787;final-crs_3;808;1004
3818;gate-keeper;819;
3840;meat_0;819;
3841;final-crs_8;819;1329
4094;gate-keeper;876;
4095;gate-keeper;877;
4096;gate-keeper;878;
4097;vege_1;876;
4097;gate-keeper;879;
4098;gate-keeper;880;
4099;gate-keeper;881;
4100;vege_0;878;
4104;final-crs_6;876;142
4108;vege_0;880;
4126;final-crs_9;878;621
4130;meat_0;877;
4138;final-crs_4;880;195
4140;meat_1;879;
4184;meat_0;881;
4203;final-crs_7;877;1765
4209;final-crs_10;879;250
4235;final-crs_5;881;987
4430;gate-keeper;952;
4431;gate-keeper;953;
4435;vege_1;953;
4441;final-crs_5;953;138
4455;meat_0;952;
4458;final-crs_10;952;291
5020;gate-keeper;1080;
5021;gate-keeper;1081;
5046;meat_0;1080;
5049;final-crs_11;1080;1530
5065;meat_1;1081;
5080;final-crs_12;1081;370
5281;gate-keeper;1138;
5287;vege_0;1138;
5313;final-crs_12;1138;357
5561;gate-keeper;1197;
5562;gate-keeper;1198;
5563;gate-keeper;1199;
5611;meat_1;1197;
5614;final-crs_5;1197;719
5616;meat_0;1198;
5628;gate-keeper;1213;
5629;gate-keeper;1214;
5636;vege_0;1214;
5660;final-crs_2;1198;509
5675;meat_1;1199;
5676;final-crs_9;1214;1281
5680;meat_0;1213;
5703;final-crs_3;1199;1155
5734;final-crs_0;1213;1581
6257;gate-keeper;1349;
6260;vege_0;1349;
6272;final-crs_7;1349;1167
6407;gate-keeper;1381;
6429;meat_1;1381;
6443;final-crs_3;1381;348
6848;gate-keeper;1472;
6849;vege_0;1472;
6849;gate-keeper;1473;
6850;gate-keeper;1474;
6851;final-crs_8;1472;358
6851;gate-keeper;1475;
6852;vege_1;1473;
6854;final-crs_10;1473;1173
6856;frui_0;1475;
6857;meat_0;1474;
6887;final-crs_11;1475;820
6896;final-crs_4;1474;1010
7384;gate-keeper;1591;
7405;meat_0;1591;
7426;final-crs_5;1591;242
7662;gate-keeper;1651;
7663;gate-keeper;1652;
7664;vege_1;1651;
7664;gate-keeper;1653;
7665;vege_0;1653;
7667;final-crs_2;1651;1813
7678;final-crs_0;1653;1046
7709;meat_0;1652;
7715;final-crs_12;1652;1215
7964;gate-keeper;1716;
7965;gate-keeper;1717;
7966;gate-keeper;1718;
7968;vege_0;1717;
7996;meat_0;1716;
8018;meat_1;1718;
8023;final-crs_9;1717;513
8034;final-crs_3;1716;290
8072;final-crs_8;1718;1677
8134;gate-keeper;1754;
8135;gate-keeper;1755;
8138;vege_0;1754;
8140;vege_1;1755;
8185;final-crs_1;1754;166
8212;final-crs_12;1755;674
8541;gate-keeper;1842;
8542;gate-keeper;1843;
8548;vege_0;1843;
8560;final-crs_5;1843;200
8581;meat_1;1842;
8609;final-crs_2;1842;1162
8823;gate-keeper;1902;
8824;vege_0;1902;
8853;final-crs_1;1902;1968
8918;gate-keeper;1922;
8938;meat_1;1922;
8945;final-crs_8;1922;509
9132;gate-keeper;1966;
9133;gate-keeper;1967;
9134;gate-keeper;1968;
9135;gate-keeper;1969;
9140;vege_0;1967;
9143;vege_1;1968;
9144;meat_0;1966;
9148;final-crs_7;1967;434
9149;vege_0;1969;
9152;final-crs_12;1968;1219
9198;final-crs_8;1966;1408
9239;final-crs_3;1969;446
9428;gate-keeper;2031;
9429;gate-keeper;2032;
9464;meat_0;2031;
9477;meat_1;2032;
9493;final-crs_2;2031;579
9503;final-crs_9;2032;102
9712;gate-keeper;2092;
9713;gate-keeper;2093;
9714;gate-keeper;2094;
9716;vege_1;2092;
9717;meat_1;2094;
9718;vege_0;2093;
9719;final-crs_2;2092;578
9760;final-crs_9;2094;830
9766;final-crs_0;2093;294
9839;gate-keeper;2121;
9841;vege_0;2121;
9871;final-crs_11;2121;1311
10055;gate-keeper;2169;
10056;vege_1;2169;
10082;final-crs_4;2169;1197
10337;gate-keeper;2228;
10338;gate-keeper;2229;
10339;gate-keeper;2230;
10340;gate-keeper;2231;
10341;vege_0;2228;
10341;gate-keeper;2232;
10344;vege_1;2230;
10352;vege_0;2231;
10353;final-crs_4;2228;1288
10369;meat_0;2229;
10380;final-crs_7;2230;1407
10382;meat_1;2232;
10387;final-crs_8;2231;357
10413;final-crs_2;2229;2215
10416;final-crs_12;2232;591
10827;gate-keeper;2335;
10828;gate-keeper;2336;
10829;frui_0;2335;
10829;gate-keeper;2337;
10830;gate-keeper;2338;
10849;final-crs_7;2335;838
10871;meat_1;2336;
10875;meat_0;2337;
10901;final-crs_4;2336;937
10904;final-crs_12;2337;758
10928;meat_1;2338;
10953;final-crs_6;2338;1600
11061;gate-keeper;2387;
11062;gate-keeper;2388;
11069;meat_0;2387;
11083;final-crs_2;2387;131
11104;meat_1;2388;
11116;final-crs_7;2388;1165
11376;gate-keeper;2454;
