time;ckpt;id;money
251;gate-keeper;0;
252;frui_0;0;
252;gate-keeper;1;
253;gate-keeper;2;
254;gate-keeper;3;
255;vege_0;1;
255;vege_1;2;
255;gate-keeper;4;
256;gate-keeper;5;
257;frui_1;3;
257;gate-keeper;6;
258;gate-keeper;7;
259;final-crs_8;0;574
259;gate-keeper;8;
260;gate-keeper;9;
261;gate-keeper;10;
262;gate-keeper;11;
263;gate-keeper;12;
264;final-crs_12;1;871
264;vege_1;5;
264;gate-keeper;13;
265;gate-keeper;14;
266;vege_0;6;
266;gate-keeper;15;
267;frui_0;14;
267;gate-keeper;16;
268;gate-keeper;17;
269;gate-keeper;18;
270;gate-keeper;19;
271;frui_1;19;
271;gate-keeper;20;
272;gate-keeper;21;
273;gate-keeper;22;
274;vege_1;7;
274;gate-keeper;23;
275;frui_0;20;
275;gate-keeper;24;
276;gate-keeper;25;
277;vege_0;12;
277;gate-keeper;26;
278;gate-keeper;27;
279;gate-keeper;28;
280;gate-keeper;29;
281;gate-keeper;30;
282;frui_0;28;
282;gate-keeper;31;
283;vege_1;13;
283;gate-keeper;32;
284;final-crs_11;2;598
284;gate-keeper;33;
285;frui_1;32;
285;gate-keeper;34;
286;vege_0;18;
286;gate-keeper;35;
287;gate-keeper;36;
288;gate-keeper;37;
289;frui_0;33;
289;gate-keeper;38;
290;gate-keeper;39;
291;meat_0;4;
291;gate-keeper;40;
292;frui_1;34;
292;gate-keeper;41;
293;gate-keeper;42;
294;vege_0;21;
294;vege_1;23;
294;gate-keeper;43;
295;gate-keeper;44;
296;frui_0;37;
296;gate-keeper;45;
297;gate-keeper;46;
298;frui_1;38;
298;gate-keeper;47;
299;gate-keeper;48;
300;gate-keeper;49;
301;gate-keeper;50;
302;gate-keeper;51;
303;vege_0;24;
303;frui_0;49;
303;gate-keeper;52;
304;frui_1;51;
304;gate-keeper;53;
305;gate-keeper;54;
306;vege_1;25;
306;gate-keeper;55;
307;gate-keeper;56;
308;gate-keeper;57;
309;meat_1;8;
309;gate-keeper;58;
310;gate-keeper;59;
311;frui_0;52;
311;frui_1;54;
311;gate-keeper;60;
312;gate-keeper;61;
313;vege_0;27;
313;gate-keeper;62;
314;vege_1;35;
314;gate-keeper;63;
315;gate-keeper;64;
316;gate-keeper;65;
317;frui_1;55;
317;gate-keeper;66;
318;frui_0;56;
318;gate-keeper;67;
319;gate-keeper;68;
320;gate-keeper;69;
321;gate-keeper;70;
322;vege_1;36;
322;gate-keeper;71;
323;frui_1;57;
323;gate-keeper;72;
324;vege_0;39;
324;frui_0;58;
324;gate-keeper;73;
325;gate-keeper;74;
326;gate-keeper;75;
327;gate-keeper;76;
328;gate-keeper;77;
329;gate-keeper;78;
330;frui_1;62;
330;gate-keeper;79;
331;frui_0;65;
331;gate-keeper;80;
332;vege_1;40;
332;gate-keeper;81;
333;gate-keeper;82;
334;gate-keeper;83;
335;gate-keeper;84;
336;vege_0;42;
336;gate-keeper;85;
337;frui_0;66;
337;frui_1;69;
337;gate-keeper;86;
338;gate-keeper;87;
339;gate-keeper;88;
340;gate-keeper;89;
341;vege_1;44;
341;meat_0;9;
343;frui_1;72;
344;frui_0;74;
345;vege_0;45;
350;vege_1;48;
350;frui_1;84;
351;frui_0;85;
355;vege_0;50;
360;vege_1;53;
365;vege_0;59;
369;meat_1;10;
370;vege_1;67;
374;vege_0;73;
379;vege_1;75;
384;vege_0;77;
391;vege_1;78;
394;vege_0;79;
397;meat_0;11;
400;vege_1;80;
403;vege_0;81;
405;final-crs_6;3;259
409;vege_1;82;
414;vege_0;83;
417;vege_1;87;
423;vege_0;88;
424;final-crs_5;5;376
429;meat_1;15;
437;final-crs_0;6;1101
444;final-crs_4;14;1264
455;meat_0;16;
456;final-crs_9;19;121
457;final-crs_10;7;1129
475;final-crs_3;20;1124
483;final-crs_7;12;1118
483;meat_1;17;
484;final-crs_2;28;303
484;final-crs_8;13;2259
494;gate-keeper;143;
495;gate-keeper;144;
496;gate-keeper;145;
497;vege_0;144;
497;frui_0;143;
497;gate-keeper;146;
498;gate-keeper;147;
499;gate-keeper;148;
500;gate-keeper;149;
501;frui_1;145;
501;gate-keeper;150;
502;frui_0;148;
502;gate-keeper;151;
503;vege_1;146;
503;gate-keeper;152;
504;gate-keeper;153;
505;gate-keeper;154;
506;vege_0;147;
506;gate-keeper;155;
507;gate-keeper;156;
508;frui_0;149;
508;frui_1;150;
508;gate-keeper;157;
509;gate-keeper;158;
510;gate-keeper;159;
511;gate-keeper;160;
512;vege_1;151;
512;gate-keeper;161;
513;gate-keeper;162;
514;frui_0;153;
514;gate-keeper;163;
515;frui_1;158;
515;gate-keeper;164;
516;vege_0;152;
516;gate-keeper;165;
517;gate-keeper;166;
518;meat_0;22;
518;gate-keeper;167;
519;gate-keeper;168;
520;vege_1;154;
520;frui_0;164;
520;frui_1;165;
520;gate-keeper;169;
521;gate-keeper;170;
522;gate-keeper;171;
523;final-crs_12;32;953
523;gate-keeper;172;
524;vege_0;155;
524;gate-keeper;173;
525;frui_1;167;
525;gate-keeper;174;
526;final-crs_1;18;573
526;gate-keeper;175;
527;frui_0;169;
527;gate-keeper;176;
529;vege_1;156;
530;final-crs_11;33;346
534;vege_0;159;
537;vege_1;160;
543;vege_0;162;
549;vege_1;166;
549;meat_1;26;
554;vege_0;168;
559;vege_1;171;
564;vege_0;172;
569;vege_1;173;
573;vege_0;175;
575;meat_0;29;
603;meat_1;30;
641;meat_0;31;
642;final-crs_4;4;1014
649;meat_1;41;
671;final-crs_6;34;235
678;final-crs_0;21;576
680;final-crs_5;23;851
695;final-crs_9;37;1026
700;final-crs_3;38;595
700;final-crs_10;24;1247
701;meat_0;43;
709;meat_1;46;
722;final-crs_8;49;647
727;final-crs_7;51;151
735;final-crs_12;25;675
746;final-crs_2;8;1108
749;final-crs_1;52;858
771;meat_1;47;
773;meat_0;60;
777;final-crs_11;54;1453
786;gate-keeper;277;
787;vege_0;277;
787;gate-keeper;278;
790;frui_0;278;
834;meat_1;61;
835;meat_0;63;
865;gate-keeper;307;
866;vege_1;307;
887;meat_1;64;
890;meat_0;68;
905;final-crs_0;27;1059
905;final-crs_4;35;888
918;final-crs_10;55;823
925;final-crs_9;56;463
936;final-crs_6;36;352
938;meat_1;70;
942;final-crs_5;57;415
944;final-crs_3;39;447
957;meat_0;71;
968;final-crs_8;58;138
971;final-crs_12;62;641
996;meat_1;76;
1006;final-crs_7;65;1415
1010;final-crs_1;40;1409
1011;final-crs_2;42;1103
1022;meat_0;86;
1033;final-crs_11;66;479
1058;gate-keeper;361;
1059;frui_1;361;
1059;gate-keeper;362;
1060;gate-keeper;363;
1061;gate-keeper;364;
1062;frui_0;364;
1062;gate-keeper;365;
1063;meat_1;89;
1063;gate-keeper;366;
1064;gate-keeper;367;
1065;gate-keeper;368;
1066;vege_1;362;
1066;frui_1;366;
1066;gate-keeper;369;
1067;gate-keeper;370;
1068;vege_0;363;
1068;gate-keeper;371;
1069;frui_0;368;
1069;gate-keeper;372;
1070;gate-keeper;373;
1071;gate-keeper;374;
1072;frui_1;369;
1072;gate-keeper;375;
1075;vege_1;367;
1075;frui_0;370;
1077;vege_0;371;
1083;meat_0;157;
1085;vege_1;372;
1086;vege_0;373;
1095;vege_1;374;
1096;vege_0;375;
1107;final-crs_0;69;1370
1118;meat_1;161;
1145;final-crs_10;44;574
1156;meat_0;163;
1161;final-crs_4;9;1546
1167;final-crs_5;72;264
1175;final-crs_12;74;722
1178;final-crs_6;45;376
1187;final-crs_9;48;1138
1188;meat_1;170;
1193;final-crs_8;84;1486
1200;final-crs_2;85;203
1212;final-crs_3;50;577
1217;meat_0;174;
1228;final-crs_7;53;572
1255;final-crs_11;59;229
1255;meat_1;176;
1262;final-crs_1;10;846
1275;meat_0;365;
1303;gate-keeper;449;
1304;vege_1;449;
1304;gate-keeper;450;
1305;gate-keeper;451;
1306;frui_0;450;
1306;gate-keeper;452;
1307;gate-keeper;453;
1308;gate-keeper;454;
1309;frui_1;452;
1309;gate-keeper;455;
1310;gate-keeper;456;
1311;gate-keeper;457;
1312;vege_0;451;
1312;frui_0;453;
1312;gate-keeper;458;
1313;vege_1;458;
1313;gate-keeper;459;
1315;frui_1;456;
1321;vege_0;459;
1321;meat_0;454;
1323;meat_1;455;
1376;meat_0;457;
1382;final-crs_0;67;868
1389;final-crs_6;73;321
1397;final-crs_9;75;799
1405;final-crs_5;77;602
1408;final-crs_12;78;1820
1412;final-crs_10;79;1270
1430;final-crs_3;11;115
