time;ckpt;id;money
312;gate-keeper;111;
359;meat_0;111;
427;final-crs_0;111;303
586;gate-keeper;208;
589;frui_0;208;
618;final-crs_3;208;106
782;gate-keeper;263;
783;gate-keeper;264;
784;gate-keeper;265;
785;meat_1;264;
785;gate-keeper;266;
786;gate-keeper;267;
787;gate-keeper;268;
788;vege_0;263;
788;frui_1;268;
788;gate-keeper;269;
789;gate-keeper;270;
790;vege_1;265;
790;gate-keeper;271;
791;gate-keeper;272;
792;gate-keeper;273;
793;gate-keeper;274;
794;frui_1;274;
794;gate-keeper;275;
795;gate-keeper;276;
796;vege_0;266;
798;vege_1;267;
802;meat_0;270;
805;vege_0;269;
807;vege_1;272;
816;vege_0;276;
828;gate-keeper;292;
829;gate-keeper;293;
831;frui_0;293;
842;meat_1;271;
863;meat_0;273;
877;final-crs_3;264;1101
882;final-crs_0;263;902
906;meat_1;275;
908;final-crs_7;268;922
909;final-crs_10;265;450
914;final-crs_2;274;755
921;meat_0;292;
928;final-crs_5;266;651
936;final-crs_8;267;467
942;final-crs_6;270;945
953;final-crs_12;269;1344
976;final-crs_4;272;805
980;final-crs_9;276;175
1002;final-crs_1;293;1355
1040;final-crs_11;271;653
1110;gate-keeper;388;
1111;vege_0;388;
1111;gate-keeper;389;
1112;frui_1;389;
1112;gate-keeper;390;
1113;gate-keeper;391;
1114;gate-keeper;392;
1115;gate-keeper;393;
1119;vege_1;390;
1120;vege_0;391;
1123;final-crs_5;273;169
1128;vege_1;392;
1132;final-crs_0;275;984
1151;final-crs_3;292;1656
1151;final-crs_7;388;96
1151;meat_1;393;
1157;final-crs_2;389;1802
1165;final-crs_10;390;163
1172;final-crs_6;391;1282
1175;final-crs_4;392;459
1200;final-crs_12;393;1595
1402;gate-keeper;494;
1403;vege_0;494;
1422;final-crs_10;494;502
1634;gate-keeper;577;
1640;vege_0;577;
1649;final-crs_10;577;1355
1697;gate-keeper;596;
1698;frui_0;596;
1698;gate-keeper;597;
1699;gate-keeper;598;
1700;gate-keeper;599;
1703;frui_1;597;
1718;meat_0;598;
1732;final-crs_1;596;148
1739;meat_1;599;
1744;final-crs_8;597;1038
1764;final-crs_11;598;594
1772;final-crs_7;599;814
2014;gate-keeper;702;
2015;gate-keeper;703;
2016;gate-keeper;704;
2017;gate-keeper;705;
2018;gate-keeper;706;
2019;gate-keeper;707;
2020;meat_0;704;
2020;gate-keeper;708;
2021;vege_1;702;
2021;frui_1;708;
2021;gate-keeper;709;
2024;vege_0;703;
2024;frui_0;709;
2030;vege_1;705;
2033;vege_0;706;
2040;final-crs_5;704;1547
2040;vege_1;707;
2042;final-crs_3;702;512
2044;final-crs_7;708;1359
2046;final-crs_9;703;400
2099;final-crs_2;709;529
2113;final-crs_10;705;822
2123;final-crs_4;706;446
2135;final-crs_0;707;987
2334;gate-keeper;821;
2335;gate-keeper;822;
2338;vege_0;822;
2338;frui_1;821;
2350;final-crs_0;822;1386
2356;final-crs_2;821;837
2542;gate-keeper;894;
2543;gate-keeper;895;
2544;gate-keeper;896;
2545;frui_0;895;
2545;gate-keeper;897;
2546;vege_0;897;
2547;final-crs_3;895;121
2550;frui_1;896;
