time;ckpt;id;money
257;gate-keeper;0;
258;vege_1;0;
258;gate-keeper;1;
259;gate-keeper;2;
260;gate-keeper;3;
261;gate-keeper;4;
262;gate-keeper;5;
263;frui_0;1;
263;gate-keeper;6;
264;gate-keeper;7;
265;final-crs_5;0;1004
265;frui_1;2;
265;gate-keeper;8;
266;gate-keeper;9;
267;vege_1;3;
267;gate-keeper;10;
268;gate-keeper;11;
269;final-crs_11;1;1351
269;vege_0;4;
269;gate-keeper;12;
270;gate-keeper;13;
271;final-crs_4;2;4293
271;frui_0;6;
271;frui_1;7;
271;gate-keeper;14;
272;final-crs_0;3;824
272;gate-keeper;15;
273;gate-keeper;16;
274;gate-keeper;17;
275;gate-keeper;18;
276;frui_0;10;
276;gate-keeper;19;
277;vege_1;8;
277;gate-keeper;20;
278;frui_1;14;
278;gate-keeper;21;
279;gate-keeper;22;
280;vege_0;9;
280;meat_0;5;
280;gate-keeper;23;
281;gate-keeper;24;
282;gate-keeper;25;
283;gate-keeper;26;
284;gate-keeper;27;
285;gate-keeper;28;
286;gate-keeper;29;
287;vege_1;11;
287;gate-keeper;30;
288;gate-keeper;31;
289;final-crs_10;4;2995
289;vege_0;12;
289;gate-keeper;32;
290;frui_0;30;
290;gate-keeper;33;
291;gate-keeper;34;
292;gate-keeper;35;
293;gate-keeper;36;
294;gate-keeper;37;
295;vege_1;13;
295;gate-keeper;38;
296;frui_1;33;
296;gate-keeper;39;
297;frui_0;37;
297;gate-keeper;40;
298;meat_1;21;
298;gate-keeper;41;
299;vege_0;15;
299;gate-keeper;42;
300;gate-keeper;43;
301;frui_1;40;
301;gate-keeper;44;
302;gate-keeper;45;
303;frui_0;41;
303;gate-keeper;46;
304;gate-keeper;47;
305;vege_1;16;
305;gate-keeper;48;
306;gate-keeper;49;
307;gate-keeper;50;
308;vege_0;17;
308;frui_0;46;
308;frui_1;49;
308;gate-keeper;51;
309;gate-keeper;52;
310;gate-keeper;53;
311;gate-keeper;54;
312;gate-keeper;55;
313;gate-keeper;56;
314;gate-keeper;57;
315;frui_0;54;
315;frui_1;55;
315;gate-keeper;58;
316;gate-keeper;59;
317;vege_1;18;
317;gate-keeper;60;
318;vege_0;19;
318;gate-keeper;61;
319;gate-keeper;62;
320;gate-keeper;63;
321;frui_1;62;
321;gate-keeper;64;
322;gate-keeper;65;
323;gate-keeper;66;
324;gate-keeper;67;
325;gate-keeper;68;
326;gate-keeper;69;
327;vege_0;20;
327;vege_1;22;
327;frui_1;66;
327;gate-keeper;70;
328;gate-keeper;71;
329;gate-keeper;72;
330;gate-keeper;73;
331;gate-keeper;74;
332;gate-keeper;75;
333;gate-keeper;76;
334;gate-keeper;77;
335;gate-keeper;78;
336;vege_1;23;
336;gate-keeper;79;
337;meat_0;27;
337;gate-keeper;80;
338;vege_0;24;
338;gate-keeper;81;
339;gate-keeper;82;
340;gate-keeper;83;
341;gate-keeper;84;
342;gate-keeper;85;
343;gate-keeper;86;
344;gate-keeper;87;
345;gate-keeper;88;
346;vege_1;25;
346;gate-keeper;89;
347;frui_1;84;
347;gate-keeper;90;
348;vege_0;26;
348;frui_0;90;
348;gate-keeper;91;
349;gate-keeper;92;
350;gate-keeper;93;
351;gate-keeper;94;
352;gate-keeper;95;
353;gate-keeper;96;
354;gate-keeper;97;
355;vege_1;28;
355;gate-keeper;98;
356;gate-keeper;99;
357;gate-keeper;100;
358;meat_1;39;
358;gate-keeper;101;
359;vege_0;29;
364;vege_1;31;
370;vege_0;32;
373;vege_1;34;
379;vege_0;35;
382;vege_1;36;
389;vege_0;38;
394;vege_1;43;
395;meat_0;42;
400;vege_0;44;
404;vege_1;45;
411;vege_0;47;
413;vege_1;48;
415;final-crs_6;6;125
417;meat_1;57;
421;vege_0;50;
422;vege_1;51;
431;vege_0;52;
432;vege_1;53;
440;vege_0;56;
441;vege_1;58;
449;vege_0;59;
451;vege_1;60;
455;final-crs_8;7;1167
457;meat_0;74;
459;vege_0;61;
461;vege_1;63;
464;final-crs_9;10;620
469;vege_0;64;
470;vege_1;65;
472;final-crs_2;8;1768
473;final-crs_1;14;1390
475;meat_1;91;
477;final-crs_12;9;3090
479;vege_0;67;
480;vege_1;68;
484;final-crs_3;5;913
488;vege_0;69;
490;vege_1;70;
494;final-crs_7;11;945
497;vege_0;71;
499;final-crs_5;12;631
500;final-crs_10;30;2524
500;vege_1;72;
507;final-crs_11;13;76
508;vege_0;73;
510;vege_1;75;
516;final-crs_0;33;3000
517;vege_0;76;
517;meat_0;93;
520;vege_1;77;
524;final-crs_4;37;2003
527;vege_0;78;
530;vege_1;79;
536;vege_0;80;
539;vege_1;81;
546;vege_0;82;
547;vege_1;83;
556;vege_0;85;
557;vege_1;86;
564;vege_0;87;
568;vege_1;88;
574;vege_0;89;
577;vege_1;92;
583;vege_0;94;
587;vege_1;95;
592;vege_0;96;
594;vege_1;97;
600;vege_0;98;
604;vege_1;99;
611;vege_0;100;
612;vege_1;101;
617;final-crs_6;21;533
651;final-crs_8;15;516
681;final-crs_9;40;240
703;final-crs_1;41;746
705;gate-keeper;265;
706;gate-keeper;266;
707;gate-keeper;267;
708;gate-keeper;268;
709;vege_1;265;
709;gate-keeper;269;
710;final-crs_11;16;459
710;frui_1;266;
710;gate-keeper;270;
711;gate-keeper;271;
712;gate-keeper;272;
713;gate-keeper;273;
714;vege_0;267;
714;gate-keeper;274;
715;gate-keeper;275;
716;final-crs_10;17;1773
716;frui_1;272;
716;gate-keeper;276;
717;vege_1;268;
717;gate-keeper;277;
718;gate-keeper;278;
719;frui_0;273;
725;vege_0;269;
726;final-crs_2;46;1868
727;vege_1;270;
731;final-crs_7;49;306
734;vege_0;271;
736;final-crs_12;54;1574
738;vege_1;274;
741;final-crs_3;55;1104
744;vege_0;275;
747;vege_1;276;
753;vege_0;277;
755;final-crs_5;18;1671
756;vege_1;278;
769;final-crs_0;19;1054
850;final-crs_4;62;116
882;gate-keeper;345;
890;vege_0;345;
892;final-crs_6;20;3216
894;final-crs_8;22;1185
905;final-crs_11;66;451
915;final-crs_9;23;122
930;final-crs_7;27;3684
941;final-crs_1;24;503
952;final-crs_10;25;259
966;final-crs_2;84;3503
978;final-crs_3;26;467
1001;final-crs_0;90;822
1001;final-crs_12;28;1600
1022;final-crs_5;39;243
1103;final-crs_4;29;1674
1118;final-crs_11;31;912
1126;final-crs_6;32;1510
1143;final-crs_8;34;2650
1154;gate-keeper;451;
1158;vege_1;451;
1172;final-crs_7;35;177
1180;final-crs_9;36;1188
1199;final-crs_1;38;2155
1201;final-crs_3;43;1814
1209;final-crs_10;42;3255
1232;final-crs_12;44;168
1241;final-crs_0;45;1647
1253;final-crs_5;47;510
1255;final-crs_2;48;2291
1337;final-crs_4;57;745
1355;final-crs_8;50;1581
1358;final-crs_6;51;1371
1359;final-crs_11;52;805
1396;final-crs_9;53;1347
1428;final-crs_7;56;3022
1441;final-crs_12;58;2889
1443;final-crs_3;59;956
1453;final-crs_10;60;955
1463;gate-keeper;568;
1466;vege_0;568;
1474;final-crs_0;74;1122
1474;final-crs_1;61;840
1494;final-crs_2;63;2668
1521;final-crs_5;64;1834
1587;final-crs_6;65;2075
1591;final-crs_4;91;1489
1614;final-crs_9;67;2012
1616;final-crs_11;68;1560
1624;final-crs_8;69;725
1649;final-crs_12;70;2218
1661;final-crs_7;71;1460
1664;gate-keeper;648;
1667;vege_1;648;
1677;final-crs_10;72;1170
1692;final-crs_3;73;442
1719;final-crs_0;75;1834
1735;final-crs_1;76;172
1748;final-crs_5;93;496
1757;final-crs_2;77;2190
1762;gate-keeper;684;
1763;gate-keeper;685;
1764;vege_0;684;
1767;frui_0;685;
1808;final-crs_4;78;2569
1848;final-crs_9;79;3156
1848;final-crs_12;80;2874
1859;final-crs_8;81;4395
1870;final-crs_11;82;347
1878;final-crs_6;83;2761
1931;final-crs_7;85;1805
1942;final-crs_1;86;1536
1943;final-crs_3;87;443
1947;final-crs_0;88;73
1949;final-crs_10;89;2445
1984;final-crs_2;92;2880
1998;final-crs_4;94;1973
2013;final-crs_5;95;291
2047;gate-keeper;797;
2048;gate-keeper;798;
2050;vege_0;797;
2050;frui_1;798;
2065;final-crs_12;96;305
2068;final-crs_9;97;2389
2085;final-crs_6;98;1663
2093;final-crs_8;99;1807
2115;final-crs_11;100;1091
2179;final-crs_7;101;390
2186;final-crs_0;265;1045
2206;final-crs_10;266;858
2210;final-crs_4;267;1287
2223;final-crs_3;272;1430
2227;final-crs_5;268;1683
2232;final-crs_1;273;1313
2246;final-crs_2;269;3343
2276;final-crs_9;270;1982
2298;final-crs_12;271;237
2341;final-crs_6;274;1330
2373;gate-keeper;916;
2374;gate-keeper;917;
2375;gate-keeper;918;
2376;final-crs_11;275;133
2376;gate-keeper;919;
2377;frui_1;917;
2377;gate-keeper;920;
2378;final-crs_8;276;1660
2378;gate-keeper;921;
2379;frui_0;920;
2382;meat_1;916;
2384;vege_0;919;
2392;final-crs_0;277;1066
2393;final-crs_7;278;2130
2417;final-crs_10;345;2934
2417;meat_0;918;
2440;final-crs_5;451;1717
2446;meat_1;921;
2479;final-crs_4;568;1742
2481;final-crs_9;648;2614
2485;final-crs_3;684;417
2519;final-crs_2;685;2999
2537;final-crs_1;797;4590
2555;final-crs_6;798;1473
2558;gate-keeper;990;
2559;gate-keeper;991;
2560;gate-keeper;992;
2561;final-crs_12;917;2775
2561;gate-keeper;993;
2562;gate-keeper;994;
2564;frui_0;994;
2565;vege_1;990;
2565;meat_1;991;
2566;vege_0;992;
2575;vege_1;993;
2607;final-crs_7;920;711
2607;final-crs_11;916;163
2627;final-crs_5;919;2808
2637;final-crs_0;918;1223
2644;gate-keeper;1026;
2645;gate-keeper;1027;
2646;gate-keeper;1028;
2647;gate-keeper;1029;
2651;final-crs_8;921;2883
2652;vege_0;1027;
2652;frui_1;1029;
2659;meat_0;1026;
2663;final-crs_10;994;1776
2679;meat_1;1028;
2703;final-crs_9;990;1780
2706;final-crs_4;991;2345
2766;final-crs_3;992;3283
2769;final-crs_2;993;1924
2786;final-crs_1;1027;508
2808;final-crs_7;1029;2218
2810;final-crs_11;1026;1269
2819;final-crs_6;1028;1142
2983;gate-keeper;1160;
2984;gate-keeper;1161;
2985;gate-keeper;1162;
2986;gate-keeper;1163;
2987;vege_0;1160;
2990;vege_1;1162;
2991;frui_0;1163;
3003;final-crs_7;1160;395
3016;meat_0;1161;
3017;final-crs_2;1162;961
3019;final-crs_6;1163;865
3025;final-crs_0;1161;1471
3250;gate-keeper;1263;
3251;gate-keeper;1264;
3252;vege_1;1263;
3252;gate-keeper;1265;
3253;frui_1;1264;
3253;gate-keeper;1266;
3254;frui_0;1265;
3256;final-crs_6;1263;2112
3259;frui_0;1266;
3274;final-crs_1;1264;1565
3284;final-crs_0;1265;155
3285;final-crs_2;1266;2396
3380;gate-keeper;1316;
3386;vege_0;1316;
3405;final-crs_8;1316;2568
3509;gate-keeper;1357;
3510;gate-keeper;1358;
3511;gate-keeper;1359;
3512;gate-keeper;1360;
3513;frui_0;1360;
3513;gate-keeper;1361;
3514;gate-keeper;1362;
3515;gate-keeper;1363;
3516;vege_1;1357;
3516;gate-keeper;1364;
3517;gate-keeper;1365;
3518;meat_1;1361;
3518;gate-keeper;1366;
3519;gate-keeper;1367;
3520;gate-keeper;1368;
3521;vege_0;1358;
3524;final-crs_1;1360;1985
3526;final-crs_0;1357;1369
3527;vege_1;1359;
3530;vege_0;1362;
3535;vege_1;1363;
3540;vege_0;1365;
3541;final-crs_12;1361;535
3545;vege_1;1366;
3548;final-crs_2;1358;1693
3550;final-crs_11;1359;483
3566;meat_1;1364;
3572;gate-keeper;1392;
3573;vege_1;1392;
3573;meat_0;1367;
3573;gate-keeper;1393;
3581;vege_0;1393;
3583;final-crs_5;1362;2115
3620;meat_1;1368;
3635;final-crs_9;1363;2451
3646;final-crs_10;1365;819
3660;final-crs_8;1366;1858
3662;final-crs_3;1364;245
3671;final-crs_7;1392;2724
3710;final-crs_6;1367;2254
3720;final-crs_4;1393;1081
3740;final-crs_12;1368;1927
3852;gate-keeper;1493;
3853;gate-keeper;1494;
3854;gate-keeper;1495;
3855;vege_1;1493;
3855;frui_1;1494;
3855;gate-keeper;1496;
3856;gate-keeper;1497;
3857;vege_0;1495;
3857;gate-keeper;1498;
3858;gate-keeper;1499;
3859;frui_0;1496;
3863;vege_1;1497;
3867;vege_0;1498;
3868;final-crs_9;1493;1084
3872;vege_1;1499;
3899;final-crs_7;1494;3082
3903;final-crs_3;1495;1840
3916;final-crs_8;1496;1002
3925;final-crs_10;1497;2768
3953;final-crs_4;1498;885
3977;final-crs_12;1499;1435
4162;gate-keeper;1618;
4163;vege_0;1618;
4169;final-crs_7;1618;1808
4441;gate-keeper;1718;
4442;gate-keeper;1719;
4443;frui_1;1718;
4443;gate-keeper;1720;
4444;gate-keeper;1721;
4445;gate-keeper;1722;
4446;gate-keeper;1723;
4447;gate-keeper;1724;
4448;gate-keeper;1725;
4449;vege_0;1719;
4449;frui_1;1722;
4449;gate-keeper;1726;
4450;gate-keeper;1727;
4451;frui_0;1724;
4451;gate-keeper;1728;
4453;vege_1;1720;
4454;final-crs_4;1718;1269
4456;frui_1;1725;
4460;vege_0;1721;
4463;vege_1;1723;
4469;vege_0;1726;
4470;final-crs_5;1719;1308
4471;final-crs_2;1722;278
4474;vege_1;1727;
4477;vege_0;1728;
4486;final-crs_6;1724;510
4511;final-crs_9;1720;1413
4511;final-crs_11;1725;2108
4519;final-crs_1;1721;543
4522;final-crs_0;1723;89
4577;final-crs_8;1726;3115
4589;final-crs_7;1727;2227
4631;final-crs_10;1728;2569
4728;gate-keeper;1837;
4729;vege_0;1837;
4729;gate-keeper;1838;
4730;gate-keeper;1839;
4731;frui_1;1838;
4731;gate-keeper;1840;
4732;frui_0;1840;
4732;gate-keeper;1841;
4738;final-crs_6;1837;1425
4739;vege_0;1839;
4739;vege_1;1841;
4746;final-crs_11;1838;865
