time;ckpt;id;money
294;gate-keeper;114;
310;meat_1;114;
417;final-crs_1;114;2565
949;gate-keeper;372;
950;gate-keeper;373;
954;vege_1;372;
956;vege_0;373;
957;final-crs_3;372;121
961;final-crs_4;373;1712
1556;gate-keeper;604;
1557;gate-keeper;605;
1559;vege_0;604;
1561;vege_1;605;
1609;final-crs_9;604;199
1643;final-crs_1;605;2435
1678;gate-keeper;649;
1679;frui_0;649;
1679;gate-keeper;650;
1680;vege_1;650;
1680;gate-keeper;651;
1681;gate-keeper;652;
1682;gate-keeper;653;
1683;gate-keeper;654;
1685;frui_0;651;
1685;frui_1;653;
1688;vege_0;652;
1688;vege_1;654;
1695;final-crs_6;649;235
1697;final-crs_2;650;263
1721;final-crs_3;651;572
1723;final-crs_11;653;1282
1746;final-crs_10;652;3133
1766;final-crs_7;654;262
1789;gate-keeper;695;
1791;vege_1;695;
1833;final-crs_9;695;964
2118;gate-keeper;825;
2123;vege_1;825;
2127;final-crs_4;825;1492
2460;gate-keeper;952;
2461;gate-keeper;953;
2462;gate-keeper;954;
2463;gate-keeper;955;
2464;gate-keeper;956;
2468;vege_0;952;
2470;vege_1;954;
2477;vege_0;955;
2491;meat_0;953;
2505;meat_1;956;
2526;gate-keeper;971;
2527;gate-keeper;972;
2528;gate-keeper;973;
2529;gate-keeper;974;
2530;frui_0;974;
2530;gate-keeper;975;
2531;gate-keeper;976;
2532;vege_0;971;
2532;gate-keeper;977;
2533;gate-keeper;978;
2534;gate-keeper;979;
2535;vege_1;976;
2535;gate-keeper;980;
2536;frui_0;975;
2536;frui_1;980;
2536;gate-keeper;981;
2540;final-crs_12;952;3076
2541;vege_0;977;
2544;vege_1;978;
2551;vege_0;979;
2554;vege_1;981;
2559;meat_0;972;
2564;final-crs_8;954;2142
2568;meat_1;973;
2577;final-crs_2;955;2698
2600;final-crs_9;953;784
2611;final-crs_6;956;1299
2634;final-crs_4;974;808
2641;final-crs_10;971;1168
2642;final-crs_1;976;1689
2650;final-crs_0;975;1822
2656;final-crs_11;980;2483
2663;final-crs_7;977;1649
2691;final-crs_5;978;3331
2719;final-crs_3;979;302
2779;final-crs_12;981;3932
2789;final-crs_8;972;103
2803;final-crs_2;973;1092
3072;gate-keeper;1198;
3075;vege_1;1198;
3103;final-crs_0;1198;2338
3381;gate-keeper;1317;
3382;frui_0;1317;
3385;final-crs_4;1317;164
3469;gate-keeper;1350;
3470;gate-keeper;1351;
3471;gate-keeper;1352;
3472;gate-keeper;1353;
3476;vege_0;1350;
3477;vege_1;1351;
3483;final-crs_12;1350;1217
3483;vege_0;1352;
3486;vege_1;1353;
3487;final-crs_2;1351;569
3489;final-crs_8;1352;2409
3566;final-crs_1;1353;465
3696;gate-keeper;1440;
3701;frui_0;1440;
3708;final-crs_3;1440;1127
3937;gate-keeper;1531;
3942;frui_0;1531;
3950;final-crs_2;1531;2583
4523;gate-keeper;1759;
4524;vege_0;1759;
4524;gate-keeper;1760;
4525;gate-keeper;1761;
4531;vege_1;1760;
4533;vege_0;1761;
4564;final-crs_9;1759;3241
4568;final-crs_1;1760;1516
4588;final-crs_11;1761;2678
4819;gate-keeper;1875;
4820;gate-keeper;1876;
4823;frui_0;1875;
4826;vege_1;1876;
4840;final-crs_6;1875;1391
4867;final-crs_5;1876;1508
5174;gate-keeper;2013;
5175;gate-keeper;2014;
5176;frui_0;2013;
5178;vege_0;2014;
5179;final-crs_4;2013;966
5185;final-crs_7;2014;2029
5404;gate-keeper;2100;
5405;gate-keeper;2101;
5406;gate-keeper;2102;
5408;frui_1;2101;
5411;vege_0;2100;
5414;vege_1;2102;
5432;final-crs_10;2101;1430
5434;final-crs_2;2100;2922
5447;final-crs_12;2102;126
5994;gate-keeper;2328;
5995;gate-keeper;2329;
6000;vege_0;2328;
6001;frui_0;2329;
6033;final-crs_0;2328;575
6041;final-crs_11;2329;876
6229;gate-keeper;2415;
6230;gate-keeper;2416;
6231;gate-keeper;2417;
6232;gate-keeper;2418;
6233;gate-keeper;2419;
6234;gate-keeper;2420;
6235;vege_0;2417;
6235;gate-keeper;2421;
6236;gate-keeper;2422;
6237;vege_1;2418;
6241;final-crs_1;2417;3296
6245;vege_0;2419;
6246;vege_1;2421;
6252;meat_1;2415;
6255;vege_0;2422;
6261;meat_0;2416;
6273;final-crs_0;2418;1004
6311;final-crs_11;2419;1187
6314;final-crs_6;2421;1334
6320;meat_1;2420;
6322;final-crs_3;2415;712
6329;gate-keeper;2459;
6330;final-crs_9;2422;1814
6330;gate-keeper;2460;
6331;gate-keeper;2461;
6332;vege_1;2459;
6339;vege_0;2461;
6350;final-crs_10;2416;3356
6363;final-crs_8;2420;1551
6364;final-crs_4;2459;207
6369;meat_1;2460;
6395;final-crs_7;2461;2268
6416;final-crs_5;2460;1664
6595;gate-keeper;2567;
6598;frui_0;2567;
6603;final-crs_9;2567;2456
6865;gate-keeper;2670;
6866;vege_1;2670;
6866;gate-keeper;2671;
6867;gate-keeper;2672;
6868;frui_0;2672;
6868;gate-keeper;2673;
6872;vege_0;2673;
6887;final-crs_12;2670;1736
6896;final-crs_5;2672;156
6901;meat_1;2671;
6956;final-crs_7;2673;3904
6992;final-crs_0;2671;2801
7145;gate-keeper;2781;
7146;gate-keeper;2782;
7150;vege_0;2781;
7154;vege_1;2782;
7195;final-crs_7;2781;1668
7220;final-crs_0;2782;1748
7275;gate-keeper;2832;
7278;vege_0;2832;
7298;final-crs_6;2832;3242
7707;gate-keeper;2988;
7708;frui_1;2988;
7708;gate-keeper;2989;
7709;gate-keeper;2990;
7710;frui_0;2989;
7710;gate-keeper;2991;
7711;gate-keeper;2992;
7712;gate-keeper;2993;
7713;gate-keeper;2994;
7714;gate-keeper;2995;
7715;gate-keeper;2996;
7716;gate-keeper;2997;
7717;frui_0;2996;
7717;gate-keeper;2998;
7718;vege_0;2990;
7718;vege_1;2991;
7728;vege_0;2992;
7728;vege_1;2993;
7735;vege_1;2994;
7738;vege_0;2995;
7744;final-crs_10;2988;384
7745;vege_1;2997;
7748;vege_0;2998;
7762;final-crs_2;2989;1408
7782;final-crs_11;2996;2198
7783;final-crs_6;2990;1993
7792;final-crs_4;2991;2217
7815;final-crs_8;2992;2065
7847;final-crs_0;2993;1233
7865;final-crs_3;2994;2166
7873;final-crs_9;2995;1125
7887;final-crs_12;2997;239
7926;final-crs_1;2998;1914
7938;gate-keeper;3084;
7939;gate-keeper;3085;
7940;gate-keeper;3086;
7941;vege_0;3084;
7941;vege_1;3085;
7941;gate-keeper;3087;
7942;frui_1;3086;
7950;vege_0;3087;
7993;final-crs_4;3084;75
7996;final-crs_2;3085;2730
8001;final-crs_11;3086;1175
8020;gate-keeper;3112;
8021;gate-keeper;3113;
8022;gate-keeper;3114;
8023;vege_1;3112;
8023;gate-keeper;3115;
8024;final-crs_10;3087;1579
8024;gate-keeper;3116;
8025;frui_0;3115;
8025;gate-keeper;3117;
8026;gate-keeper;3118;
8027;gate-keeper;3119;
8028;vege_0;3113;
8028;gate-keeper;3120;
8033;vege_1;3114;
8039;vege_0;3116;
8041;final-crs_6;3112;805
8044;vege_1;3117;
8050;vege_0;3118;
8053;vege_1;3119;
8060;final-crs_0;3115;2396
8060;vege_0;3120;
8075;final-crs_8;3113;840
8091;final-crs_9;3114;1455
