time;ckpt;id;money
594;gate-keeper;137;
597;frui_0;137;
654;final-crs_3;137;758
895;gate-keeper;208;
900;meat_0;208;
923;final-crs_10;208;228
1190;gate-keeper;278;
1196;vege_0;278;
1197;final-crs_2;278;2052
1502;gate-keeper;349;
1503;gate-keeper;350;
1504;gate-keeper;351;
1505;frui_0;349;
1506;vege_0;350;
1509;vege_1;351;
1512;final-crs_8;349;1952
1518;final-crs_12;350;501
1530;final-crs_3;351;1255
1756;gate-keeper;412;
1788;meat_0;412;
1791;final-crs_12;412;1107
2108;gate-keeper;495;
2111;vege_1;495;
2126;final-crs_0;495;424
2452;gate-keeper;575;
2453;gate-keeper;576;
2454;gate-keeper;577;
2455;gate-keeper;578;
2457;frui_0;577;
2458;vege_0;575;
2459;vege_1;576;
2460;final-crs_8;577;336
2468;vege_0;578;
2509;final-crs_12;575;150
2514;final-crs_5;576;1134
2523;final-crs_10;578;1544
2617;gate-keeper;615;
2621;frui_1;615;
2652;final-crs_4;615;1811
2765;gate-keeper;648;
2766;gate-keeper;649;
2767;vege_1;648;
2772;vege_0;649;
2781;final-crs_0;648;138
2789;final-crs_9;649;1375
3031;gate-keeper;711;
3070;meat_1;711;
3092;final-crs_11;711;1119
3546;gate-keeper;830;
3548;vege_1;830;
3583;final-crs_11;830;1012
3813;gate-keeper;886;
3814;frui_0;886;
3814;gate-keeper;887;
3815;final-crs_1;886;1321
3815;gate-keeper;888;
3816;gate-keeper;889;
3817;gate-keeper;890;
3818;gate-keeper;891;
3819;frui_0;890;
3819;gate-keeper;892;
3820;final-crs_11;890;876
3821;meat_1;887;
3822;vege_0;888;
3825;vege_1;889;
3867;meat_0;891;
3868;final-crs_8;887;1375
3881;final-crs_4;888;1200
3885;meat_1;892;
3887;final-crs_7;889;998
3901;final-crs_12;891;1009
3922;final-crs_3;892;1182
3935;gate-keeper;920;
3937;frui_1;920;
3969;final-crs_10;920;2033
4203;gate-keeper;982;
4209;vege_1;982;
4232;final-crs_0;982;1107
4487;gate-keeper;1049;
4488;gate-keeper;1050;
4489;vege_1;1050;
4490;final-crs_0;1050;1655
4491;frui_1;1049;
4527;final-crs_6;1049;1909
4787;gate-keeper;1113;
4788;gate-keeper;1114;
4789;gate-keeper;1115;
4790;gate-keeper;1116;
4791;gate-keeper;1117;
4792;frui_0;1116;
4792;gate-keeper;1118;
4793;gate-keeper;1119;
4794;final-crs_7;1116;952
4794;frui_1;1118;
4794;gate-keeper;1120;
4795;vege_0;1113;
4795;gate-keeper;1121;
4796;final-crs_6;1118;2096
4797;vege_1;1114;
4798;frui_0;1121;
4799;meat_1;1115;
4804;vege_0;1119;
4806;vege_1;1120;
4815;final-crs_1;1113;311
4829;final-crs_8;1114;1119
4830;final-crs_4;1121;352
4845;meat_0;1117;
4862;final-crs_5;1115;3988
4873;final-crs_2;1119;3155
4911;final-crs_3;1120;440
4930;final-crs_10;1117;1600
5096;gate-keeper;1195;
5097;gate-keeper;1196;
5102;vege_0;1196;
5105;meat_1;1195;
5106;final-crs_5;1196;1622
5130;final-crs_2;1195;1161
5420;gate-keeper;1269;
5421;gate-keeper;1270;
5422;gate-keeper;1271;
5423;gate-keeper;1272;
5424;gate-keeper;1273;
5426;vege_1;1270;
5427;frui_1;1269;
5428;frui_0;1271;
5429;vege_0;1272;
5435;vege_1;1273;
5451;final-crs_7;1270;1470
5457;final-crs_10;1269;3015
5459;gate-keeper;1282;
