time;ckpt;id;money
332;gate-keeper;76;
342;vege_0;76;
411;final-crs_3;76;258
696;gate-keeper;158;
697;vege_1;158;
697;gate-keeper;159;
698;frui_0;159;
698;gate-keeper;160;
699;gate-keeper;161;
700;gate-keeper;162;
702;vege_0;160;
703;final-crs_9;158;2280
707;final-crs_1;159;1366
707;vege_1;162;
738;meat_1;161;
748;final-crs_6;160;295
754;final-crs_12;162;1305
758;final-crs_5;161;1165
974;gate-keeper;227;
976;vege_1;227;
993;final-crs_6;227;2191
1592;gate-keeper;367;
1593;frui_0;367;
1593;gate-keeper;368;
1594;gate-keeper;369;
1595;gate-keeper;370;
1596;gate-keeper;371;
1597;vege_1;368;
1597;gate-keeper;372;
1600;final-crs_10;367;500
1601;vege_0;370;
1602;final-crs_9;368;554
1607;vege_1;371;
1609;vege_0;372;
1624;final-crs_8;370;2521
1624;meat_1;369;
1635;final-crs_7;371;127
1643;final-crs_4;372;1482
1648;final-crs_5;369;3305
1851;gate-keeper;434;
1853;vege_1;434;
1872;final-crs_9;434;2935
2203;gate-keeper;516;
2204;gate-keeper;517;
2205;gate-keeper;518;
2206;frui_0;517;
2210;frui_1;518;
2234;final-crs_12;517;219
2236;meat_0;516;
2266;final-crs_0;518;423
2268;final-crs_8;516;2382
2509;gate-keeper;588;
2510;gate-keeper;589;
2511;vege_0;588;
2511;frui_0;589;
2511;gate-keeper;590;
2519;vege_0;590;
2522;final-crs_8;588;2578
2528;final-crs_10;589;524
2539;final-crs_3;590;815
2845;gate-keeper;667;
2846;gate-keeper;668;
2848;vege_1;668;
2855;final-crs_7;668;315
2884;meat_1;667;
2905;final-crs_0;667;959
3123;gate-keeper;732;
3130;vege_1;732;
3136;final-crs_2;732;1247
3379;gate-keeper;787;
3380;gate-keeper;788;
3381;gate-keeper;789;
3382;vege_0;787;
3382;gate-keeper;790;
3383;gate-keeper;791;
3384;vege_1;789;
3384;gate-keeper;792;
3387;frui_0;790;
3390;vege_0;791;
3393;meat_0;788;
3404;final-crs_0;787;3430
3405;meat_1;792;
3409;final-crs_2;789;2314
3425;final-crs_12;790;634
3453;final-crs_8;791;975
3472;final-crs_11;788;2101
3505;final-crs_10;792;841
3628;gate-keeper;847;
3629;gate-keeper;848;
3630;gate-keeper;849;
3631;frui_1;849;
3635;vege_1;847;
3647;meat_1;848;
3658;final-crs_2;849;2413
3664;final-crs_0;847;1273
3673;final-crs_8;848;1519
3686;gate-keeper;858;
3687;gate-keeper;859;
3688;gate-keeper;860;
3689;gate-keeper;861;
3690;gate-keeper;862;
3691;gate-keeper;863;
3692;vege_1;858;
3692;frui_0;863;
3697;vege_0;860;
3697;meat_1;859;
3700;vege_1;862;
3715;meat_0;861;
3731;final-crs_10;858;1400
3743;final-crs_11;863;3329
3751;final-crs_5;860;1880
3771;gate-keeper;882;
3772;final-crs_1;859;565
3782;meat_0;882;
3814;final-crs_4;862;883
3825;final-crs_3;861;731
3829;final-crs_9;882;1376
3932;gate-keeper;918;
3933;gate-keeper;919;
3936;vege_0;918;
3939;vege_1;919;
3957;final-crs_8;918;3655
3985;final-crs_5;919;355
4181;gate-keeper;976;
4182;gate-keeper;977;
4183;frui_1;976;
4185;meat_0;977;
4212;final-crs_5;976;195
4250;final-crs_4;977;92
4710;gate-keeper;1101;
4711;gate-keeper;1102;
4712;meat_1;1101;
4712;gate-keeper;1103;
4713;vege_0;1102;
4718;vege_1;1103;
4722;final-crs_6;1101;2309
4724;final-crs_11;1102;1338
4731;final-crs_4;1103;1907
5429;gate-keeper;1274;
5430;gate-keeper;1275;
5433;vege_0;1274;
5435;final-crs_5;1274;1402
5436;frui_1;1275;
5472;final-crs_7;1275;875
5738;gate-keeper;1349;
5775;meat_0;1349;
5802;final-crs_9;1349;87
6014;gate-keeper;1407;
6015;gate-keeper;1408;
6016;gate-keeper;1409;
6017;gate-keeper;1410;
6018;gate-keeper;1411;
6020;vege_0;1408;
6022;frui_0;1409;
6025;vege_1;1410;
6028;vege_0;1411;
6032;final-crs_9;1408;3002
6035;meat_1;1407;
6090;final-crs_6;1409;2582
6104;final-crs_12;1410;400
6111;final-crs_1;1411;1586
6119;final-crs_0;1407;864
6336;gate-keeper;1488;
6338;frui_1;1488;
6339;final-crs_11;1488;1186
6691;gate-keeper;1571;
6692;gate-keeper;1572;
6693;gate-keeper;1573;
6694;vege_1;1571;
6694;gate-keeper;1574;
6695;gate-keeper;1575;
6700;vege_0;1572;
6705;vege_1;1573;
6705;meat_1;1575;
6711;vege_0;1574;
6719;final-crs_8;1571;189
6759;final-crs_4;1572;274
6789;final-crs_9;1573;454
6798;final-crs_11;1575;1869
6798;final-crs_12;1574;1737
6992;gate-keeper;1647;
6996;vege_0;1647;
6998;final-crs_12;1647;2412
7211;gate-keeper;1700;
7212;vege_0;1700;
7225;final-crs_8;1700;1279
7294;gate-keeper;1717;
7295;gate-keeper;1718;
7296;gate-keeper;1719;
7298;vege_1;1717;
7299;frui_0;1718;
7300;vege_0;1719;
7317;final-crs_9;1717;1572
7337;final-crs_3;1718;908
7344;final-crs_1;1719;577
7394;gate-keeper;1743;
7399;vege_0;1743;
7410;final-crs_0;1743;1550
7589;gate-keeper;1788;
7590;gate-keeper;1789;
7591;vege_0;1788;
7591;gate-keeper;1790;
7592;frui_0;1789;
7597;meat_1;1790;
7599;final-crs_1;1788;1403
7613;final-crs_2;1789;1187
7652;final-crs_0;1790;1149
8050;gate-keeper;1887;
8051;gate-keeper;1888;
8052;gate-keeper;1889;
8053;gate-keeper;1890;
8054;gate-keeper;1891;
8055;gate-keeper;1892;
8056;gate-keeper;1893;
8057;gate-keeper;1894;
8058;frui_1;1891;
8058;gate-keeper;1895;
8059;frui_0;1894;
8059;gate-keeper;1896;
8060;gate-keeper;1897;
8061;vege_1;1890;
8063;vege_0;1896;
8064;frui_1;1895;
8064;meat_1;1887;
8065;frui_0;1897;
8066;final-crs_9;1891;2826
8098;meat_0;1888;
8101;final-crs_0;1894;3158
8104;final-crs_2;1890;312
8112;meat_1;1889;
8132;final-crs_8;1896;2009
8140;final-crs_10;1895;995
8159;final-crs_11;1887;469
8159;meat_0;1892;
8161;final-crs_7;1897;1737
8169;meat_1;1893;
8194;final-crs_12;1888;1403
8219;final-crs_6;1889;788
8231;final-crs_1;1892;1247
8270;final-crs_5;1893;1215
8471;gate-keeper;1997;
8475;vege_1;1997;
8518;final-crs_5;1997;608
8761;gate-keeper;2066;
8766;vege_0;2066;
8821;final-crs_10;2066;1449
8948;gate-keeper;2108;
8949;gate-keeper;2109;
8950;vege_0;2109;
8953;frui_0;2108;
8959;final-crs_11;2109;945
8965;final-crs_3;2108;1429
9415;gate-keeper;2216;
9416;frui_0;2216;
9416;gate-keeper;2217;
9417;gate-keeper;2218;
9419;frui_1;2217;
9422;frui_0;2218;
9423;final-crs_6;2216;1018
9427;final-crs_2;2217;1974
9450;final-crs_4;2218;312
9691;gate-keeper;2283;
9694;frui_0;2283;
9710;final-crs_4;2283;1153
9849;gate-keeper;2320;
9856;vege_0;2320;
9865;final-crs_12;2320;3449
9994;gate-keeper;2352;
9995;gate-keeper;2353;
9996;gate-keeper;2354;
9997;frui_0;2352;
9998;vege_0;2353;
10007;final-crs_9;2352;2756
10024;meat_0;2354;
10075;final-crs_7;2353;189
10079;final-crs_8;2354;1616
10242;gate-keeper;2411;
10243;gate-keeper;2412;
10246;vege_1;2412;
10270;meat_0;2411;
10295;final-crs_10;2412;629
10314;final-crs_8;2411;1024
10556;gate-keeper;2485;
10557;gate-keeper;2486;
10558;vege_1;2486;
10560;frui_1;2485;
10598;gate-keeper;2496;
10601;vege_1;2496;
10612;final-crs_11;2486;1064
10620;final-crs_1;2485;729
10626;final-crs_7;2496;483
11179;gate-keeper;2632;
11180;frui_1;2632;
11180;gate-keeper;2633;
11183;final-crs_4;2632;1148
11183;frui_0;2633;
11198;gate-keeper;2636;
11199;gate-keeper;2637;
11200;vege_1;2636;
11203;vege_0;2637;
11210;final-crs_8;2633;3206
11232;final-crs_12;2636;1001
11240;final-crs_9;2637;430
11507;gate-keeper;2711;
11510;vege_0;2711;
11527;final-crs_11;2711;2598
11629;gate-keeper;2740;
11630;gate-keeper;2741;
11633;vege_0;2740;
11635;vege_1;2741;
11639;final-crs_4;2740;60
11650;final-crs_5;2741;3132
11770;gate-keeper;2773;
11772;frui_0;2773;
11778;final-crs_6;2773;1088
12397;gate-keeper;2921;
12398;frui_0;2921;
12434;final-crs_8;2921;1106
12517;gate-keeper;2949;
12518;gate-keeper;2950;
12519;frui_0;2950;
12528;final-crs_7;2950;2855
12536;meat_0;2949;
12543;final-crs_1;2949;3980
12701;gate-keeper;2994;
12702;gate-keeper;2995;
12703;vege_0;2994;
12705;final-crs_8;2994;1290
12706;frui_0;2995;
12736;final-crs_9;2995;559
13061;gate-keeper;3082;
13064;frui_0;3082;
13069;final-crs_4;3082;1407
13339;gate-keeper;3144;
13340;gate-keeper;3145;
13341;gate-keeper;3146;
13342;gate-keeper;3147;
13343;vege_1;3144;
13343;gate-keeper;3148;
13346;gate-keeper;3149;
13347;vege_0;3145;
13347;frui_0;3148;
13350;vege_1;3147;
13362;final-crs_2;3144;911
13366;meat_0;3146;
13375;final-crs_12;3145;176
13377;meat_1;3149;
13413;final-crs_8;3148;373
13433;final-crs_6;3147;1969
13435;final-crs_11;3146;665
13442;final-crs_9;3149;76
13631;gate-keeper;3215;
13683;meat_1;3215;
13711;final-crs_1;3215;1900
13888;gate-keeper;3277;
13892;vege_0;3277;
13894;final-crs_12;3277;547
14231;gate-keeper;3356;
14232;frui_0;3356;
14232;gate-keeper;3357;
14238;vege_1;3357;
14249;final-crs_5;3356;910
14267;gate-keeper;3366;
