time;ckpt;id;money
256;gate-keeper;0;
257;gate-keeper;1;
258;gate-keeper;2;
259;gate-keeper;3;
260;vege_1;0;
260;gate-keeper;4;
261;vege_0;1;
261;gate-keeper;5;
262;gate-keeper;6;
263;gate-keeper;7;
264;gate-keeper;8;
265;gate-keeper;9;
266;gate-keeper;10;
267;gate-keeper;11;
268;gate-keeper;12;
269;gate-keeper;13;
270;vege_0;2;
270;vege_1;3;
270;gate-keeper;14;
271;gate-keeper;15;
272;gate-keeper;16;
273;gate-keeper;17;
274;gate-keeper;18;
275;gate-keeper;19;
276;gate-keeper;20;
277;gate-keeper;21;
278;vege_0;4;
278;gate-keeper;22;
279;final-crs_3;0;289
279;vege_1;5;
279;gate-keeper;23;
280;gate-keeper;24;
281;gate-keeper;25;
282;frui_0;23;
282;gate-keeper;26;
283;gate-keeper;27;
284;gate-keeper;28;
285;gate-keeper;29;
286;gate-keeper;30;
287;gate-keeper;31;
288;gate-keeper;32;
289;gate-keeper;33;
290;vege_0;6;
290;vege_1;9;
290;frui_0;33;
290;gate-keeper;34;
291;gate-keeper;35;
292;gate-keeper;36;
293;gate-keeper;37;
294;gate-keeper;38;
295;gate-keeper;39;
296;gate-keeper;40;
297;gate-keeper;41;
298;vege_1;10;
298;frui_1;41;
298;meat_1;7;
298;gate-keeper;42;
299;gate-keeper;43;
300;vege_0;13;
300;gate-keeper;44;
301;gate-keeper;45;
302;frui_0;43;
302;gate-keeper;46;
303;gate-keeper;47;
304;gate-keeper;48;
305;gate-keeper;49;
306;gate-keeper;50;
307;vege_1;14;
307;gate-keeper;51;
308;gate-keeper;52;
309;frui_0;52;
309;gate-keeper;53;
310;vege_0;16;
310;gate-keeper;54;
311;gate-keeper;55;
312;gate-keeper;56;
313;gate-keeper;57;
314;gate-keeper;58;
315;gate-keeper;59;
316;gate-keeper;60;
318;vege_1;17;
319;meat_0;8;
320;vege_0;24;
326;vege_1;26;
331;vege_0;27;
335;vege_1;28;
340;vege_0;29;
342;meat_1;11;
345;vege_1;32;
352;vege_0;34;
354;vege_1;35;
361;vege_0;36;
363;vege_1;37;
370;vege_0;40;
373;vege_1;42;
373;meat_0;12;
380;vege_0;44;
382;meat_1;15;
384;vege_1;45;
390;vege_0;46;
393;vege_1;47;
397;vege_0;49;
403;vege_1;51;
406;vege_0;54;
414;vege_1;55;
415;vege_0;56;
419;final-crs_9;1;1064
423;vege_1;57;
426;vege_0;58;
431;vege_1;59;
436;vege_0;60;
436;meat_1;18;
437;meat_0;19;
438;final-crs_11;2;465
439;final-crs_10;3;834
452;final-crs_4;4;1896
453;final-crs_0;5;303
464;final-crs_5;23;1093
475;final-crs_1;6;266
481;final-crs_7;9;912
492;final-crs_2;33;1993
492;meat_1;20;
499;meat_0;21;
501;final-crs_3;10;877
501;final-crs_8;41;1446
505;final-crs_6;7;598
539;final-crs_12;13;73
551;meat_1;22;
553;gate-keeper;128;
554;gate-keeper;129;
555;vege_0;129;
555;gate-keeper;130;
556;frui_0;128;
556;gate-keeper;131;
557;gate-keeper;132;
558;vege_1;130;
558;gate-keeper;133;
564;vege_0;132;
566;vege_1;133;
567;meat_0;25;
614;meat_1;30;
618;meat_0;31;
634;final-crs_9;43;812
672;final-crs_4;14;920
673;meat_1;38;
679;final-crs_7;52;183
685;final-crs_10;16;616
686;meat_0;39;
692;final-crs_1;17;1559
692;final-crs_11;8;1045
704;final-crs_0;24;90
708;final-crs_5;26;134
719;final-crs_8;27;1789
725;meat_1;48;
739;meat_0;50;
746;final-crs_2;28;513
751;final-crs_3;29;1000
762;final-crs_6;11;978
771;final-crs_12;32;1170
788;meat_1;53;
806;meat_0;131;
863;gate-keeper;206;
865;frui_0;206;
884;final-crs_9;34;862
914;final-crs_1;35;729
920;final-crs_4;36;1192
