time;ckpt;id;money
291;gate-keeper;69;
293;meat_0;69;
411;final-crs_1;69;1042
899;gate-keeper;215;
900;vege_0;215;
909;final-crs_0;215;983
1066;gate-keeper;238;
1067;gate-keeper;239;
1068;gate-keeper;240;
1069;vege_0;239;
1069;gate-keeper;241;
1070;gate-keeper;242;
1071;vege_1;240;
1071;gate-keeper;243;
1072;gate-keeper;244;
1073;gate-keeper;245;
1074;gate-keeper;246;
1075;meat_0;238;
1075;gate-keeper;247;
1076;gate-keeper;248;
1077;gate-keeper;249;
1078;gate-keeper;250;
1079;final-crs_1;239;1294
1079;vege_0;241;
1079;frui_0;245;
1079;frui_1;250;
1079;gate-keeper;251;
1080;gate-keeper;252;
1081;vege_1;242;
1081;gate-keeper;253;
1082;gate-keeper;254;
1083;gate-keeper;255;
1086;final-crs_6;240;456
1089;vege_0;243;
1092;vege_1;244;
1099;vege_0;246;
1100;vege_1;247;
1109;vege_1;248;
1110;vege_0;249;
1118;vege_1;251;
1121;vege_0;254;
1128;vege_1;255;
1136;final-crs_10;238;989
1138;final-crs_0;241;1309
1138;meat_1;252;
1142;meat_0;253;
1146;final-crs_2;245;2251
1182;final-crs_4;250;1125
1184;final-crs_5;242;2004
1187;final-crs_9;243;143
1194;final-crs_12;244;711
1208;final-crs_8;246;137
1215;final-crs_11;247;319
1219;final-crs_3;248;343
1219;gate-keeper;290;
1220;vege_1;290;
1248;final-crs_7;249;896
1288;final-crs_6;251;404
1347;final-crs_1;254;1712
1375;final-crs_10;255;536
1381;final-crs_2;252;111
1383;final-crs_4;253;709
1388;final-crs_0;290;1153
1550;gate-keeper;369;
1551;gate-keeper;370;
1557;vege_0;369;
1580;final-crs_1;369;685
1606;meat_1;370;
1624;final-crs_4;370;1389
1861;gate-keeper;446;
1862;gate-keeper;447;
1868;meat_1;446;
1869;vege_1;447;
1898;final-crs_3;446;1478
1904;final-crs_10;447;1511
1929;gate-keeper;460;
1930;gate-keeper;461;
1931;gate-keeper;462;
1932;vege_1;460;
1932;gate-keeper;463;
1937;vege_0;461;
1942;final-crs_5;460;1214
1968;final-crs_9;461;188
1969;meat_1;462;
1970;final-crs_8;462;1673
1972;meat_0;463;
1986;final-crs_0;463;1544
2106;gate-keeper;503;
2107;gate-keeper;504;
2108;vege_0;503;
2108;gate-keeper;505;
2109;gate-keeper;506;
2114;frui_1;506;
2127;final-crs_10;503;1499
2138;final-crs_12;506;222
2143;meat_0;504;
2148;final-crs_6;504;1328
2153;meat_1;505;
2171;final-crs_5;505;564
2382;gate-keeper;573;
2383;vege_0;573;
2400;final-crs_6;573;623
2657;gate-keeper;639;
2661;vege_0;639;
2662;final-crs_3;639;1393
2915;gate-keeper;696;
2916;gate-keeper;697;
2917;gate-keeper;698;
2918;frui_0;698;
2918;meat_0;697;
2918;gate-keeper;699;
2919;vege_0;696;
2919;gate-keeper;700;
2920;gate-keeper;701;
2921;vege_1;699;
2924;frui_0;700;
2925;final-crs_1;698;493
2925;meat_1;701;
2932;final-crs_8;697;1477
2960;final-crs_7;696;624
2978;gate-keeper;716;
2989;meat_1;716;
3049;final-crs_4;699;134
3065;final-crs_11;700;1058
3070;final-crs_2;701;1372
3079;final-crs_12;716;150
3332;gate-keeper;802;
