time;ckpt;id;money
564;gate-keeper;130;
565;vege_0;130;
647;final-crs_0;130;80
842;gate-keeper;192;
843;gate-keeper;193;
847;frui_0;192;
847;frui_1;193;
868;final-crs_0;192;935
903;final-crs_11;193;1264
914;gate-keeper;210;
917;frui_1;210;
922;final-crs_5;210;1171
1233;gate-keeper;281;
1234;gate-keeper;282;
1235;gate-keeper;283;
1240;vege_0;281;
1240;vege_1;282;
1246;final-crs_10;281;490
1249;vege_1;283;
1258;final-crs_12;282;371
1282;final-crs_3;283;815
1530;gate-keeper;350;
1537;vege_0;350;
1588;final-crs_1;350;1339
1844;gate-keeper;423;
1851;vege_1;423;
1872;final-crs_5;423;218
1913;gate-keeper;439;
1918;vege_0;439;
1919;final-crs_7;439;815
2156;gate-keeper;495;
2157;vege_1;495;
2176;final-crs_7;495;1503
2444;gate-keeper;561;
2445;frui_0;561;
2451;final-crs_4;561;205
2714;gate-keeper;621;
2715;vege_0;621;
2737;final-crs_3;621;952
2845;gate-keeper;653;
2846;frui_1;653;
2850;final-crs_1;653;115
3037;gate-keeper;697;
3040;meat_0;697;
3083;final-crs_9;697;1015
3375;gate-keeper;774;
3376;gate-keeper;775;
3377;vege_1;774;
3381;vege_0;775;
3390;final-crs_2;774;707
3429;final-crs_11;775;1209
3537;gate-keeper;812;
3540;vege_1;812;
3560;final-crs_8;812;432
3651;gate-keeper;839;
3653;meat_1;839;
3661;final-crs_3;839;764
4351;gate-keeper;997;
4352;gate-keeper;998;
4353;vege_0;997;
4353;gate-keeper;999;
4354;gate-keeper;1000;
4355;vege_1;998;
4355;gate-keeper;1001;
4360;final-crs_10;997;532
4362;vege_0;999;
4363;final-crs_3;998;1237
4365;vege_1;1000;
4372;vege_0;1001;
4428;final-crs_11;999;664
4429;final-crs_4;1000;304
4465;final-crs_12;1001;750
4597;gate-keeper;1057;
4598;gate-keeper;1058;
4600;frui_1;1057;
4602;vege_1;1058;
4612;final-crs_9;1057;439
4623;final-crs_10;1058;479
5157;gate-keeper;1179;
5158;frui_1;1179;
5158;gate-keeper;1180;
5159;gate-keeper;1181;
5160;gate-keeper;1182;
5161;gate-keeper;1183;
5162;vege_1;1180;
5162;gate-keeper;1184;
5163;frui_0;1181;
5163;gate-keeper;1185;
5164;vege_0;1185;
5164;frui_1;1184;
5169;meat_0;1182;
5187;final-crs_8;1179;507
5195;final-crs_5;1180;218
5202;final-crs_4;1181;1126
