time;ckpt;id;money
607;gate-keeper;138;
608;gate-keeper;139;
609;frui_0;138;
613;vege_0;139;
664;final-crs_3;138;74
692;final-crs_6;139;1754
909;gate-keeper;209;
912;vege_1;209;
917;final-crs_12;209;824
1628;gate-keeper;370;
1629;gate-keeper;371;
1630;gate-keeper;372;
1636;meat_0;370;
1637;vege_0;372;
1662;final-crs_3;370;275
1664;final-crs_0;372;133
1685;meat_1;371;
1693;final-crs_12;371;500
2140;gate-keeper;492;
2141;vege_0;492;
2144;final-crs_0;492;925
2451;gate-keeper;562;
2452;gate-keeper;563;
2453;vege_0;562;
2454;final-crs_2;562;122
2460;vege_1;563;
2480;gate-keeper;569;
2481;vege_0;569;
2509;final-crs_6;563;521
2519;final-crs_8;569;360
2774;gate-keeper;632;
2775;gate-keeper;633;
2776;vege_0;633;
2776;gate-keeper;634;
2777;frui_0;634;
2777;gate-keeper;635;
2778;gate-keeper;636;
2783;vege_1;635;
2784;frui_0;636;
2785;meat_0;632;
2814;final-crs_9;633;384
2852;final-crs_1;634;366
2858;final-crs_10;635;1293
2876;final-crs_0;636;1360
2881;final-crs_4;632;541
3110;gate-keeper;711;
3111;gate-keeper;712;
3112;gate-keeper;713;
3114;vege_1;711;
3115;vege_0;712;
3119;final-crs_2;711;438
3119;final-crs_11;712;308
3124;vege_0;713;
3129;final-crs_4;713;290
3198;gate-keeper;733;
3199;vege_0;733;
3199;gate-keeper;734;
3204;frui_0;734;
3222;final-crs_6;733;898
3222;final-crs_12;734;1192
3397;gate-keeper;778;
3398;gate-keeper;779;
3399;frui_0;778;
3399;gate-keeper;780;
3400;vege_1;779;
3400;frui_1;780;
3414;final-crs_3;778;399
3464;final-crs_12;779;514
3467;final-crs_6;780;1160
3783;gate-keeper;866;
3784;vege_0;866;
3784;gate-keeper;867;
3785;gate-keeper;868;
3786;gate-keeper;869;
3787;vege_1;867;
3787;frui_1;869;
3792;vege_0;868;
3800;final-crs_11;866;1184
3807;final-crs_4;867;62
3819;final-crs_1;869;1035
3835;final-crs_0;868;194
3993;gate-keeper;916;
3994;gate-keeper;917;
3995;vege_0;916;
3995;vege_1;917;
3995;gate-keeper;918;
3996;meat_0;918;
3996;gate-keeper;919;
4004;vege_0;919;
4019;final-crs_9;916;471
4034;final-crs_11;917;466
4058;final-crs_0;918;1368
4063;final-crs_4;919;943
4074;gate-keeper;933;
4075;gate-keeper;934;
4076;gate-keeper;935;
4077;gate-keeper;936;
4078;gate-keeper;937;
4079;vege_0;934;
4079;gate-keeper;938;
4081;vege_1;935;
4088;vege_0;937;
4091;vege_1;938;
4103;final-crs_1;934;481
4105;final-crs_3;935;426
4108;final-crs_5;937;688
4115;meat_0;933;
4115;meat_1;936;
4137;final-crs_10;938;159
4141;final-crs_2;933;817
4151;final-crs_7;936;187
4301;gate-keeper;989;
4302;gate-keeper;990;
4303;vege_1;990;
4305;frui_0;989;
4309;final-crs_4;990;1029
4312;final-crs_0;989;1409
4882;gate-keeper;1122;
4887;frui_0;1122;
4888;final-crs_2;1122;1057
5014;gate-keeper;1151;
5015;gate-keeper;1152;
5016;vege_1;1151;
5016;gate-keeper;1153;
5018;final-crs_10;1151;921
5018;frui_0;1153;
5019;final-crs_4;1153;2035
5021;vege_0;1152;
5057;final-crs_3;1152;150
5209;gate-keeper;1194;
5210;vege_1;1194;
5210;gate-keeper;1195;
5211;vege_0;1195;
5211;gate-keeper;1196;
5218;vege_1;1196;
5231;final-crs_11;1194;1465
5243;final-crs_5;1195;550
5246;final-crs_10;1196;205
5484;gate-keeper;1259;
5487;vege_1;1259;
5497;final-crs_11;1259;853
5816;gate-keeper;1335;
5817;vege_1;1335;
5826;final-crs_6;1335;604
5983;gate-keeper;1373;
6001;meat_0;1373;
6029;final-crs_0;1373;372
6658;gate-keeper;1528;
6688;meat_0;1528;
6738;gate-keeper;1546;
6754;final-crs_2;1528;762
6758;meat_0;1546;
6768;final-crs_0;1546;1175
7014;gate-keeper;1604;
7015;gate-keeper;1605;
7016;gate-keeper;1606;
7017;gate-keeper;1607;
7018;gate-keeper;1608;
7019;vege_0;1604;
7021;vege_1;1605;
7022;frui_0;1608;
7027;vege_0;1606;
7030;vege_1;1607;
7050;final-crs_6;1604;907
7085;final-crs_10;1605;1327
7089;final-crs_7;1608;1650
7090;final-crs_9;1606;775
7097;final-crs_11;1607;334
7299;gate-keeper;1673;
7300;gate-keeper;1674;
7301;vege_0;1673;
7301;gate-keeper;1675;
7302;gate-keeper;1676;
7309;vege_1;1674;
7310;vege_0;1675;
7311;final-crs_9;1673;214
7314;final-crs_10;1674;1787
7318;vege_1;1676;
7328;final-crs_5;1675;188
7337;final-crs_11;1676;473
7610;gate-keeper;1747;
7618;vege_0;1747;
7639;final-crs_2;1747;1274
7831;gate-keeper;1794;
7832;gate-keeper;1795;
7833;gate-keeper;1796;
7834;gate-keeper;1797;
7835;vege_1;1794;
7835;gate-keeper;1798;
7836;gate-keeper;1799;
7838;vege_0;1795;
7846;vege_1;1796;
7847;vege_0;1797;
