time;ckpt;id;money
346;gate-keeper;76;
347;gate-keeper;77;
348;vege_1;77;
348;gate-keeper;78;
349;frui_1;76;
349;gate-keeper;79;
351;vege_0;78;
391;meat_0;79;
435;final-crs_9;77;1093
445;final-crs_5;76;857
453;final-crs_7;78;593
459;final-crs_10;79;728
773;gate-keeper;166;
774;gate-keeper;167;
775;gate-keeper;168;
776;vege_0;166;
776;gate-keeper;169;
777;vege_1;167;
777;gate-keeper;170;
778;gate-keeper;171;
779;gate-keeper;172;
780;gate-keeper;173;
781;gate-keeper;174;
782;gate-keeper;175;
783;gate-keeper;176;
784;frui_1;174;
784;gate-keeper;177;
786;vege_0;168;
787;vege_1;169;
795;vege_0;170;
796;vege_1;171;
805;vege_0;172;
807;vege_1;173;
816;vege_0;175;
818;vege_1;176;
825;vege_0;177;
889;final-crs_5;166;1736
920;final-crs_3;167;957
921;final-crs_4;174;1140
930;final-crs_6;168;356
931;final-crs_2;169;1188
938;final-crs_9;170;407
946;final-crs_10;171;1431
948;final-crs_7;172;1048
953;final-crs_12;173;664
958;final-crs_1;175;1568
971;final-crs_0;176;1127
985;final-crs_8;177;917
989;gate-keeper;227;
991;vege_0;227;
1133;final-crs_6;227;607
1219;gate-keeper;279;
1220;gate-keeper;280;
1221;vege_1;280;
1222;frui_0;279;
1223;final-crs_11;280;1404
1224;final-crs_8;279;1005
1500;gate-keeper;343;
1527;meat_0;343;
1591;final-crs_3;343;500
1698;gate-keeper;388;
1699;gate-keeper;389;
1701;frui_1;388;
1703;vege_0;389;
1704;final-crs_5;388;288
1722;final-crs_8;389;507
1790;gate-keeper;410;
1791;vege_1;410;
1835;final-crs_3;410;1096
2054;gate-keeper;471;
2055;gate-keeper;472;
2056;vege_0;471;
2056;frui_1;472;
2059;final-crs_1;471;755
2080;final-crs_10;472;62
2570;gate-keeper;589;
2571;gate-keeper;590;
2579;vege_1;589;
2581;vege_0;590;
2588;final-crs_3;589;1486
2594;final-crs_4;590;1131
2645;gate-keeper;606;
2649;meat_0;606;
