time;ckpt;id;money
1007;gate-keeper;228;
1008;gate-keeper;229;
1009;frui_1;229;
1009;gate-keeper;230;
1010;vege_1;228;
1010;gate-keeper;231;
1012;vege_0;230;
1013;final-crs_12;229;474
1015;final-crs_4;228;1585
1019;vege_0;231;
1121;final-crs_7;230;236
1177;final-crs_9;231;561
2058;gate-keeper;473;
2095;meat_0;473;
2110;final-crs_3;473;194
2147;gate-keeper;493;
2148;vege_1;493;
2148;gate-keeper;494;
2152;vege_0;494;
2168;final-crs_1;493;259
2168;final-crs_5;494;1474
2489;gate-keeper;571;
2490;vege_0;571;
2499;final-crs_6;571;515
2836;gate-keeper;649;
2837;gate-keeper;650;
2838;gate-keeper;651;
2839;frui_1;650;
2840;vege_1;649;
2846;final-crs_7;650;1349
2861;final-crs_4;649;862
2885;meat_1;651;
2893;final-crs_1;651;1967
3417;gate-keeper;782;
3418;gate-keeper;783;
3419;gate-keeper;784;
3420;vege_1;782;
3420;frui_0;784;
3420;gate-keeper;785;
3423;final-crs_2;782;1061
3425;final-crs_4;784;141
3425;vege_0;783;
3426;final-crs_6;783;686
3432;meat_1;785;
3454;final-crs_11;785;589
3761;gate-keeper;863;
3762;vege_0;863;
3762;gate-keeper;864;
3787;meat_1;864;
3800;final-crs_7;863;462
3800;final-crs_10;864;1235
4014;gate-keeper;922;
4015;gate-keeper;923;
4016;gate-keeper;924;
4022;vege_0;923;
4024;vege_1;924;
4030;gate-keeper;927;
4032;vege_0;927;
4032;meat_1;922;
4041;final-crs_7;923;1025
4078;final-crs_5;924;939
4135;final-crs_12;927;750
4141;final-crs_2;922;1205
4360;gate-keeper;1003;
4361;frui_0;1003;
4380;final-crs_0;1003;322
4783;gate-keeper;1098;
4784;gate-keeper;1099;
4785;gate-keeper;1100;
4790;vege_1;1098;
4791;vege_0;1099;
4800;vege_1;1100;
4803;final-crs_1;1098;907
4808;final-crs_7;1099;230
4838;final-crs_5;1100;517
4918;gate-keeper;1124;
4919;gate-keeper;1125;
4920;gate-keeper;1126;
4921;gate-keeper;1127;
4922;gate-keeper;1128;
4923;vege_1;1124;
4923;gate-keeper;1129;
4924;vege_0;1125;
4924;frui_1;1127;
4924;gate-keeper;1130;
4925;gate-keeper;1131;
4928;frui_0;1130;
4931;vege_1;1126;
4933;vege_0;1128;
4943;vege_1;1129;
4944;vege_0;1131;
5013;final-crs_1;1124;788
5041;final-crs_7;1125;469
5047;final-crs_10;1127;555
5063;final-crs_4;1130;1300
5067;final-crs_11;1126;839
5097;final-crs_0;1128;802
5099;final-crs_8;1129;1807
5100;final-crs_2;1131;212
5195;gate-keeper;1192;
5196;gate-keeper;1193;
5200;vege_0;1192;
5203;vege_1;1193;
5239;final-crs_10;1192;762
5259;final-crs_1;1193;317
5481;gate-keeper;1258;
5484;frui_0;1258;
5531;final-crs_11;1258;833
5781;gate-keeper;1321;
5782;gate-keeper;1322;
5783;gate-keeper;1323;
5784;gate-keeper;1324;
5785;vege_0;1321;
5785;gate-keeper;1325;
5786;gate-keeper;1326;
5787;vege_1;1322;
5787;gate-keeper;1327;
5795;vege_0;1323;
5795;vege_1;1324;
5804;vege_1;1325;
5806;final-crs_4;1321;1114
5806;vege_0;1326;
5812;vege_1;1327;
5843;final-crs_8;1322;1129
5859;final-crs_6;1323;488
5865;final-crs_2;1324;1010
5872;final-crs_9;1325;1411
5873;final-crs_0;1326;1430
5883;final-crs_12;1327;1379
6103;gate-keeper;1399;
6104;gate-keeper;1400;
6112;vege_1;1399;
6113;vege_0;1400;
6132;final-crs_3;1399;1410
6149;final-crs_12;1400;1194
6478;gate-keeper;1485;
6482;vege_0;1485;
6516;final-crs_7;1485;1435
6797;gate-keeper;1560;
6802;vege_0;1560;
6816;final-crs_2;1560;909
7085;gate-keeper;1621;
7086;gate-keeper;1622;
7087;gate-keeper;1623;
7088;gate-keeper;1624;
7089;vege_1;1621;
7089;gate-keeper;1625;
7095;vege_0;1622;
7098;vege_1;1623;
7106;vege_0;1624;
7106;vege_1;1625;
7118;final-crs_6;1621;1261
7123;final-crs_8;1622;843
7136;final-crs_12;1623;78
7142;final-crs_10;1624;969
7162;final-crs_5;1625;1212
7434;gate-keeper;1707;
7435;vege_1;1707;
7489;final-crs_11;1707;142
7638;gate-keeper;1748;
7639;gate-keeper;1749;
7640;gate-keeper;1750;
7641;vege_0;1748;
7641;vege_1;1749;
7641;gate-keeper;1751;
7642;gate-keeper;1752;
7643;gate-keeper;1753;
7644;frui_1;1750;
7646;final-crs_5;1748;648
7646;frui_0;1751;
7649;vege_0;1752;
7650;final-crs_12;1749;1694
7650;vege_1;1753;
7659;final-crs_10;1750;1175
7687;final-crs_8;1751;1019
7687;final-crs_11;1752;311
7760;final-crs_4;1753;695
8326;gate-keeper;1911;
8327;frui_0;1911;
8327;gate-keeper;1912;
8331;vege_1;1912;
8349;final-crs_11;1911;518
8361;final-crs_10;1912;1179
8866;gate-keeper;2036;
8867;gate-keeper;2037;
8868;meat_0;2036;
8868;gate-keeper;2038;
8869;vege_1;2037;
8872;vege_0;2038;
8922;final-crs_7;2036;769
8931;final-crs_8;2037;285
8947;final-crs_4;2038;1667
9200;gate-keeper;2112;
9201;gate-keeper;2113;
9202;vege_0;2112;
9202;gate-keeper;2114;
9203;vege_1;2113;
9210;final-crs_8;2112;750
9212;vege_0;2114;
9216;final-crs_9;2113;1268
9227;final-crs_3;2114;772
9511;gate-keeper;2186;
9512;vege_0;2186;
9533;final-crs_10;2186;118
9599;gate-keeper;2206;
9604;vege_1;2206;
9612;final-crs_7;2206;754
9823;gate-keeper;2254;
9824;gate-keeper;2255;
9825;gate-keeper;2256;
9827;vege_1;2254;
9828;vege_0;2255;
9832;final-crs_11;2254;736
9836;vege_1;2256;
9863;final-crs_7;2255;132
9876;final-crs_3;2256;803
10152;gate-keeper;2333;
10160;meat_0;2333;
10162;final-crs_10;2333;162
10339;gate-keeper;2375;
10340;gate-keeper;2376;
10346;vege_1;2375;
10347;vege_0;2376;
10380;final-crs_4;2375;1246
10393;final-crs_10;2376;638
10440;gate-keeper;2393;
10441;vege_0;2393;
10441;gate-keeper;2394;
10442;final-crs_9;2393;800
10442;gate-keeper;2395;
10443;gate-keeper;2396;
10444;gate-keeper;2397;
10445;frui_0;2396;
10445;gate-keeper;2398;
10446;gate-keeper;2399;
10447;frui_1;2397;
10449;vege_0;2394;
10450;vege_1;2395;
10450;frui_0;2399;
10459;vege_0;2398;
10464;final-crs_1;2396;542
10471;final-crs_0;2397;138
10483;final-crs_2;2394;587
10515;final-crs_5;2395;861
10544;final-crs_11;2399;1237
10550;final-crs_3;2398;282
10770;gate-keeper;2473;
10771;gate-keeper;2474;
10772;gate-keeper;2475;
10775;vege_0;2475;
10793;final-crs_11;2475;153
10825;meat_1;2473;
10826;meat_0;2474;
10835;final-crs_4;2473;999
10841;final-crs_7;2474;1344
11055;gate-keeper;2536;
11056;gate-keeper;2537;
11057;gate-keeper;2538;
11058;gate-keeper;2539;
11059;gate-keeper;2540;
11060;gate-keeper;2541;
11061;vege_0;2537;
11061;frui_0;2536;
11065;vege_1;2538;
11071;vege_0;2539;
11073;vege_1;2540;
11080;final-crs_10;2537;377
11080;vege_0;2541;
11099;final-crs_6;2536;411
11099;final-crs_7;2538;139
11102;final-crs_12;2539;703
11165;final-crs_0;2540;1093
11186;final-crs_8;2541;1045
11324;gate-keeper;2601;
11325;gate-keeper;2602;
11329;vege_1;2601;
11333;vege_0;2602;
11397;final-crs_0;2601;584
11397;gate-keeper;2616;
11398;vege_0;2616;
11398;gate-keeper;2617;
11399;gate-keeper;2618;
11400;gate-keeper;2619;
11407;vege_0;2617;
11407;vege_1;2618;
11413;final-crs_2;2602;1319
11416;vege_1;2619;
11418;final-crs_9;2616;749
11452;final-crs_8;2617;908
11461;final-crs_5;2618;525
11467;final-crs_1;2619;1055
11689;gate-keeper;2683;
11690;gate-keeper;2684;
11691;vege_0;2683;
11691;gate-keeper;2685;
11692;frui_0;2685;
11699;vege_1;2684;
11709;final-crs_8;2683;762
11711;final-crs_1;2685;906
11716;final-crs_11;2684;1504
11972;gate-keeper;2750;
11973;gate-keeper;2751;
11977;vege_0;2750;
11978;final-crs_3;2750;1414
11980;frui_0;2751;
11981;final-crs_5;2751;421
12287;gate-keeper;2819;
12288;frui_1;2819;
12288;gate-keeper;2820;
12289;gate-keeper;2821;
12290;gate-keeper;2822;
12291;vege_0;2822;
12293;frui_1;2820;
12307;final-crs_0;2819;1423
12314;meat_0;2821;
12358;final-crs_7;2822;1835
12362;final-crs_6;2820;104
12380;final-crs_2;2821;110
12533;gate-keeper;2877;
12534;gate-keeper;2878;
12535;gate-keeper;2879;
12538;vege_0;2877;
12538;vege_1;2878;
12549;vege_0;2879;
12585;final-crs_4;2877;490
