time;ckpt;id;money
299;gate-keeper;68;
303;frui_1;68;
439;final-crs_0;68;851
589;gate-keeper;135;
590;vege_0;135;
648;final-crs_0;135;915
832;gate-keeper;185;
833;vege_0;185;
833;gate-keeper;186;
834;gate-keeper;187;
835;frui_1;187;
835;gate-keeper;188;
836;gate-keeper;189;
837;vege_1;189;
837;gate-keeper;190;
840;frui_0;188;
864;meat_1;186;
891;meat_0;190;
921;final-crs_0;185;1629
932;final-crs_9;187;876
946;final-crs_1;189;981
951;final-crs_6;188;1247
953;final-crs_8;186;464
961;final-crs_7;190;107
1168;gate-keeper;265;
1169;gate-keeper;266;
1170;gate-keeper;267;
1171;gate-keeper;268;
1172;vege_1;266;
1173;frui_0;265;
1174;final-crs_0;266;481
1176;vege_0;267;
1182;vege_1;268;
1193;final-crs_9;265;1086
1196;final-crs_1;267;724
1198;final-crs_6;268;342
1800;gate-keeper;413;
1804;vege_1;413;
1819;final-crs_10;413;780
2126;gate-keeper;489;
2129;frui_1;489;
2139;final-crs_3;489;1342
2687;gate-keeper;616;
2699;gate-keeper;618;
2700;meat_0;616;
2703;vege_0;618;
2722;final-crs_0;616;614
2742;final-crs_7;618;139
2956;gate-keeper;676;
2957;vege_1;676;
2957;gate-keeper;677;
2958;gate-keeper;678;
2962;vege_0;677;
2962;frui_0;678;
2979;final-crs_7;676;423
2985;final-crs_0;677;855
3037;final-crs_5;678;896
3190;gate-keeper;728;
3191;gate-keeper;729;
3192;gate-keeper;730;
3193;gate-keeper;731;
3194;gate-keeper;732;
3197;vege_1;728;
3198;vege_0;729;
3202;meat_1;730;
3203;final-crs_7;728;854
3206;vege_1;731;
3207;vege_0;732;
3220;final-crs_4;729;1961
3241;final-crs_0;730;2547
3276;final-crs_5;731;1564
3280;final-crs_2;732;1085
3492;gate-keeper;796;
3493;frui_0;796;
3493;gate-keeper;797;
3494;gate-keeper;798;
3495;gate-keeper;799;
3496;vege_0;797;
3496;vege_1;798;
3496;gate-keeper;800;
3497;gate-keeper;801;
3498;gate-keeper;802;
3503;vege_0;799;
3506;vege_1;800;
3510;final-crs_8;796;534
3512;final-crs_2;797;622
3514;vege_1;801;
3516;vege_0;802;
3529;final-crs_5;798;130
3541;final-crs_10;799;835
3548;final-crs_3;800;669
3577;final-crs_1;801;692
3586;gate-keeper;824;
3590;meat_1;824;
3610;final-crs_12;802;1037
3617;final-crs_9;824;1500
3818;gate-keeper;876;
3819;frui_1;876;
3819;gate-keeper;877;
3823;frui_0;877;
3828;final-crs_3;876;789
3834;final-crs_1;877;921
4080;gate-keeper;939;
4082;frui_0;939;
4124;final-crs_6;939;763
4353;gate-keeper;1002;
4356;vege_0;1002;
4374;final-crs_6;1002;1180
4530;gate-keeper;1042;
4531;vege_1;1042;
4535;final-crs_3;1042;495
4661;gate-keeper;1072;
4664;frui_1;1072;
4669;final-crs_11;1072;95
4997;gate-keeper;1140;
4998;gate-keeper;1141;
4999;vege_1;1140;
4999;gate-keeper;1142;
5000;gate-keeper;1143;
5001;gate-keeper;1144;
5002;vege_0;1142;
5002;gate-keeper;1145;
5003;final-crs_3;1140;1018
5003;gate-keeper;1146;
5004;gate-keeper;1147;
5005;frui_1;1146;
5005;gate-keeper;1148;
5006;meat_0;1141;
5006;gate-keeper;1149;
5007;vege_1;1143;
5011;vege_0;1144;
5013;final-crs_1;1142;715
5018;meat_1;1145;
5019;vege_1;1147;
5022;vege_0;1148;
5055;final-crs_9;1146;349
5071;meat_0;1149;
5076;final-crs_7;1141;1137
5086;final-crs_4;1143;963
5102;final-crs_12;1144;869
5113;final-crs_5;1145;839
5136;final-crs_11;1147;628
5143;final-crs_6;1148;112
5171;final-crs_10;1149;1352
5453;gate-keeper;1252;
5454;vege_1;1252;
5501;final-crs_7;1252;271
6078;gate-keeper;1388;
6079;gate-keeper;1389;
6080;frui_1;1388;
6080;gate-keeper;1390;
6081;gate-keeper;1391;
6082;frui_0;1390;
6082;gate-keeper;1392;
6083;gate-keeper;1393;
6084;vege_0;1389;
6084;vege_1;1391;
6084;gate-keeper;1394;
6092;vege_1;1392;
6093;vege_0;1393;
6101;vege_0;1394;
6104;final-crs_8;1388;1718
6123;final-crs_10;1390;646
6144;final-crs_6;1389;304
6156;final-crs_1;1391;459
6171;final-crs_0;1392;1053
6179;final-crs_2;1393;213
6192;final-crs_5;1394;1470
6311;gate-keeper;1445;
6312;gate-keeper;1446;
6319;vege_0;1446;
6336;meat_0;1445;
6355;gate-keeper;1456;
6358;vege_1;1456;
6370;final-crs_10;1446;1654
6377;final-crs_1;1445;821
6383;final-crs_6;1456;1527
6973;gate-keeper;1599;
6982;vege_0;1599;
6988;final-crs_6;1599;884
7044;gate-keeper;1615;
7048;vege_1;1615;
7050;final-crs_8;1615;649
7252;gate-keeper;1663;
7253;gate-keeper;1664;
7254;vege_1;1663;
7256;vege_0;1664;
7260;final-crs_6;1663;1621
7264;final-crs_3;1664;1155
7335;gate-keeper;1683;
7336;vege_0;1683;
7336;gate-keeper;1684;
7337;vege_1;1684;
7354;final-crs_7;1683;961
7358;final-crs_11;1684;1360
7643;gate-keeper;1754;
7645;vege_0;1754;
7647;final-crs_0;1754;1099
7986;gate-keeper;1834;
7987;gate-keeper;1835;
7991;vege_0;1834;
7992;vege_1;1835;
8002;final-crs_3;1834;978
8006;final-crs_6;1835;572
8096;gate-keeper;1858;
8097;gate-keeper;1859;
8098;vege_0;1858;
8098;gate-keeper;1860;
8099;frui_1;1859;
8099;gate-keeper;1861;
8100;vege_1;1860;
8102;frui_0;1861;
8112;final-crs_1;1858;374
8114;final-crs_12;1859;669
8152;final-crs_4;1860;603
8223;final-crs_7;1861;844
8309;gate-keeper;1909;
8314;vege_1;1909;
8323;final-crs_5;1909;930
8640;gate-keeper;1987;
8642;vege_0;1987;
8670;final-crs_7;1987;227
8961;gate-keeper;2056;
8962;gate-keeper;2057;
8963;gate-keeper;2058;
8964;gate-keeper;2059;
