time;ckpt;id;money
544;gate-keeper;119;
545;frui_1;119;
545;gate-keeper;120;
546;gate-keeper;121;
547;gate-keeper;122;
548;gate-keeper;123;
549;frui_0;121;
549;gate-keeper;124;
550;gate-keeper;125;
551;vege_0;120;
551;vege_1;123;
555;frui_1;125;
560;vege_0;124;
568;meat_1;122;
649;final-crs_12;119;1280
681;final-crs_6;121;1036
683;final-crs_7;120;1444
691;final-crs_10;123;966
700;final-crs_5;125;708
703;final-crs_11;124;656
705;final-crs_9;122;906
723;gate-keeper;151;
724;gate-keeper;152;
725;gate-keeper;153;
726;gate-keeper;154;
727;gate-keeper;155;
728;gate-keeper;156;
729;vege_0;151;
729;gate-keeper;157;
730;gate-keeper;158;
731;gate-keeper;159;
732;gate-keeper;160;
733;gate-keeper;161;
734;vege_1;152;
734;gate-keeper;162;
735;gate-keeper;163;
736;gate-keeper;164;
737;gate-keeper;165;
739;vege_0;153;
739;meat_1;161;
740;frui_0;163;
740;frui_1;164;
745;vege_1;154;
748;final-crs_8;151;478
748;vege_0;155;
754;vege_1;156;
757;vege_0;157;
762;final-crs_1;152;1348
763;vege_1;158;
766;vege_0;159;
773;vege_1;160;
774;vege_0;162;
775;final-crs_0;153;758
784;vege_0;165;
787;final-crs_3;161;1017
802;final-crs_2;163;516
833;gate-keeper;191;
835;frui_1;191;
879;final-crs_7;164;811
886;final-crs_12;154;795
905;final-crs_9;155;837
931;final-crs_6;156;264
934;final-crs_5;157;1773
948;final-crs_10;158;652
952;final-crs_4;159;795
954;final-crs_8;160;849
962;final-crs_11;162;1210
977;final-crs_1;165;432
995;final-crs_0;191;744
1147;gate-keeper;262;
1148;gate-keeper;263;
1149;gate-keeper;264;
1152;vege_0;262;
1158;vege_1;263;
1162;vege_0;264;
1163;final-crs_11;262;426
1169;final-crs_5;263;153
1191;final-crs_10;264;1309
1388;gate-keeper;299;
1389;gate-keeper;300;
1390;vege_1;299;
1390;gate-keeper;301;
1391;gate-keeper;302;
1392;vege_0;300;
1392;gate-keeper;303;
1393;gate-keeper;304;
1394;gate-keeper;305;
1395;final-crs_9;299;304
1395;gate-keeper;306;
1396;gate-keeper;307;
1397;gate-keeper;308;
1398;gate-keeper;309;
1399;vege_1;301;
1399;gate-keeper;310;
1400;gate-keeper;311;
1401;vege_0;302;
1401;gate-keeper;312;
1402;gate-keeper;313;
1403;frui_1;313;
1403;gate-keeper;314;
1404;gate-keeper;315;
1405;frui_0;315;
1405;gate-keeper;316;
1406;gate-keeper;317;
1407;gate-keeper;318;
1409;vege_1;303;
1411;vege_0;305;
1412;final-crs_5;300;1258
1418;final-crs_11;301;388
1418;vege_1;306;
1422;vege_0;307;
1428;final-crs_6;302;894
1429;vege_1;308;
1431;final-crs_10;313;1199
1432;vege_0;309;
1436;final-crs_4;315;1297
1436;meat_1;304;
1440;vege_1;310;
1441;vege_0;311;
1449;vege_1;312;
1450;vege_0;314;
1458;vege_1;316;
1460;vege_0;317;
1461;final-crs_0;303;678
1467;vege_1;318;
1470;final-crs_8;305;569
1492;final-crs_1;306;71
1499;final-crs_3;307;784
1507;final-crs_12;308;1957
1552;final-crs_2;309;148
1603;final-crs_7;304;563
1626;final-crs_9;310;558
1633;final-crs_5;311;1109
1637;final-crs_6;312;742
1642;gate-keeper;374;
1643;final-crs_10;314;217
1643;gate-keeper;375;
1644;gate-keeper;376;
1650;final-crs_11;316;750
1650;vege_0;374;
1655;final-crs_4;317;1085
1665;final-crs_8;318;190
1682;meat_0;375;
1690;meat_1;376;
1690;gate-keeper;387;
1720;final-crs_0;374;600
1727;final-crs_12;375;777
1736;meat_0;387;
1752;final-crs_1;376;1513
1767;final-crs_3;387;577
2214;gate-keeper;506;
2215;gate-keeper;507;
2216;frui_0;506;
2216;gate-keeper;508;
2217;gate-keeper;509;
2219;vege_0;508;
2219;meat_0;507;
2222;frui_0;509;
2232;final-crs_12;506;357
2291;final-crs_2;508;469
2304;final-crs_3;507;383
2350;final-crs_7;509;1883
2497;gate-keeper;572;
2498;gate-keeper;573;
2499;vege_0;572;
2500;vege_1;573;
2560;final-crs_3;572;1769
2591;final-crs_5;573;1497
2822;gate-keeper;648;
2824;vege_0;648;
2828;final-crs_4;648;766
3506;gate-keeper;804;
3507;gate-keeper;805;
3512;vege_1;804;
3533;final-crs_6;804;743
3539;meat_0;805;
3547;gate-keeper;815;
3548;vege_0;815;
3557;final-crs_7;805;1451
3586;final-crs_3;815;998
3810;gate-keeper;875;
3818;vege_0;875;
3819;final-crs_10;875;223
3865;gate-keeper;886;
3866;gate-keeper;887;
3867;gate-keeper;888;
3874;vege_0;886;
3874;vege_1;887;
3884;vege_0;888;
3911;final-crs_11;886;1288
3926;final-crs_2;887;875
3928;final-crs_1;888;330
4116;gate-keeper;946;
4117;gate-keeper;947;
4118;gate-keeper;948;
4144;meat_1;946;
4154;meat_0;947;
4158;final-crs_12;946;270
4161;final-crs_11;947;1221
4197;meat_1;948;
4212;final-crs_8;948;392
4422;gate-keeper;1016;
4423;gate-keeper;1017;
4429;vege_0;1016;
4429;vege_1;1017;
4438;final-crs_8;1016;1723
4465;final-crs_6;1017;719
4499;gate-keeper;1030;
4500;gate-keeper;1031;
4501;gate-keeper;1032;
4502;gate-keeper;1033;
4503;vege_0;1032;
4503;frui_1;1030;
4503;gate-keeper;1034;
4504;frui_0;1031;
4506;meat_0;1033;
4510;frui_1;1034;
4522;final-crs_3;1032;439
4525;final-crs_10;1030;632
4526;final-crs_7;1031;1129
4566;final-crs_2;1033;2541
4617;final-crs_4;1034;747
4750;gate-keeper;1092;
4751;gate-keeper;1093;
4755;vege_1;1092;
4759;vege_0;1093;
4781;final-crs_7;1092;735
4781;final-crs_10;1093;505
5032;gate-keeper;1154;
