time;ckpt;id;money
315;gate-keeper;0;
316;gate-keeper;1;
344;meat_0;0;
347;meat_1;1;
425;final-crs_2;0;711
428;final-crs_0;1;865
588;gate-keeper;2;
592;frui_0;2;
652;final-crs_7;2;1178
885;gate-keeper;3;
886;frui_1;3;
886;gate-keeper;4;
890;final-crs_3;3;1923
890;frui_0;4;
891;final-crs_7;4;827
1058;gate-keeper;5;
1064;vege_1;5;
1144;final-crs_1;5;1047
1219;gate-keeper;6;
1223;vege_0;6;
1238;final-crs_9;6;950
1449;gate-keeper;7;
1450;gate-keeper;8;
1452;frui_0;7;
1454;vege_0;8;
1456;final-crs_0;7;168
1482;final-crs_9;8;1168
1721;gate-keeper;9;
1722;gate-keeper;10;
1723;vege_1;10;
1725;final-crs_9;10;116
1727;frui_1;9;
1774;final-crs_4;9;764
1923;gate-keeper;11;
1927;vege_1;11;
1938;final-crs_2;11;599
2030;gate-keeper;12;
2033;frui_1;12;
2041;final-crs_5;12;321
2356;gate-keeper;13;
2357;gate-keeper;14;
2361;frui_0;13;
2361;frui_1;14;
2414;final-crs_8;13;1722
2421;final-crs_6;14;1570
2678;gate-keeper;15;
2679;gate-keeper;16;
2680;frui_1;16;
2686;vege_1;15;
2696;final-crs_3;16;1168
2708;final-crs_9;15;1863
2794;gate-keeper;17;
2795;frui_0;17;
2802;final-crs_7;17;83
2979;gate-keeper;18;
2983;frui_0;18;
2998;final-crs_4;18;454
3230;gate-keeper;19;
3231;gate-keeper;20;
3239;vege_0;20;
3251;final-crs_3;20;295
3267;meat_0;19;
3268;final-crs_5;19;914
3495;gate-keeper;21;
3496;gate-keeper;22;
3500;vege_1;21;
3502;final-crs_10;21;593
3503;frui_0;22;
3523;final-crs_3;22;1473
3712;gate-keeper;23;
3713;vege_1;23;
3721;final-crs_5;23;646
3737;gate-keeper;24;
3749;meat_1;24;
3773;final-crs_10;24;428
4073;gate-keeper;25;
4074;gate-keeper;26;
4075;frui_0;25;
4096;meat_1;26;
4097;final-crs_8;25;357
4123;final-crs_6;26;840
4328;gate-keeper;27;
4329;gate-keeper;28;
4331;frui_0;28;
4337;vege_0;27;
4353;final-crs_8;28;791
4388;final-crs_4;27;2508
4562;gate-keeper;29;
4563;gate-keeper;30;
4569;vege_0;29;
4582;meat_0;30;
4592;final-crs_8;29;1123
4661;final-crs_4;30;159
4836;gate-keeper;31;
4837;vege_0;31;
4837;gate-keeper;32;
4838;frui_0;32;
4852;final-crs_8;31;1624
4878;final-crs_3;32;932
5127;gate-keeper;33;
5128;gate-keeper;34;
5129;vege_1;33;
5129;frui_0;34;
5149;final-crs_3;33;1648
5171;final-crs_0;34;371
5443;gate-keeper;35;
5444;gate-keeper;36;
5447;frui_0;35;
5449;frui_1;36;
5467;final-crs_2;35;102
5484;final-crs_9;36;928
5788;gate-keeper;37;
5789;meat_0;37;
5789;gate-keeper;38;
5790;vege_0;38;
5814;final-crs_3;37;61
5831;final-crs_5;38;332
6108;gate-keeper;39;
6109;gate-keeper;40;
6110;vege_1;39;
6111;vege_0;40;
6118;final-crs_0;39;188
6183;final-crs_9;40;385
6418;gate-keeper;41;
6419;gate-keeper;42;
6424;vege_0;41;
6429;meat_1;42;
6445;final-crs_6;41;93
6461;final-crs_1;42;727
6741;gate-keeper;43;
6742;gate-keeper;44;
6743;gate-keeper;45;
6744;vege_0;43;
6745;frui_1;45;
6750;final-crs_4;43;1065
6766;final-crs_5;45;925
6778;meat_1;44;
6780;final-crs_10;44;821
7023;gate-keeper;46;
7024;gate-keeper;47;
7031;vege_0;47;
7045;meat_1;46;
7113;final-crs_7;47;806
7138;final-crs_2;46;89
7322;gate-keeper;48;
7325;frui_0;48;
7333;final-crs_7;48;345
7586;gate-keeper;49;
7587;gate-keeper;50;
7588;vege_1;49;
7615;meat_0;50;
7616;final-crs_9;49;255
7620;final-crs_2;50;945
7856;gate-keeper;51;
7857;gate-keeper;52;
7859;vege_1;52;
7859;frui_0;51;
7866;final-crs_1;52;2100
7897;final-crs_6;51;98
8104;gate-keeper;53;
8105;gate-keeper;54;
8107;vege_1;54;
8109;frui_0;53;
8147;final-crs_10;54;73
8148;final-crs_1;53;751
8486;gate-keeper;55;
8487;vege_0;55;
8487;gate-keeper;56;
8493;vege_1;56;
8540;final-crs_9;55;220
8541;final-crs_2;56;955
8774;gate-keeper;57;
8775;frui_0;57;
8775;gate-keeper;58;
8779;vege_1;58;
8794;final-crs_9;57;1065
8796;final-crs_8;58;622
9011;gate-keeper;59;
9012;vege_1;59;
9030;final-crs_8;59;1162
9079;gate-keeper;60;
9085;vege_0;60;
9094;final-crs_6;60;1634
9380;gate-keeper;61;
9381;gate-keeper;62;
9382;frui_0;61;
9383;frui_1;62;
9417;final-crs_10;61;1422
9454;final-crs_9;62;187
9664;gate-keeper;63;
9665;gate-keeper;64;
