time;ckpt;id;money
239;gate-keeper;0;
243;frui_1;0;
245;final-crs_7;0;1821
528;gate-keeper;1;
529;gate-keeper;2;
531;frui_0;2;
535;vege_1;1;
633;final-crs_2;2;1057
669;final-crs_0;1;2783
826;gate-keeper;3;
827;gate-keeper;4;
830;vege_1;3;
834;vege_0;4;
915;final-crs_0;3;1007
915;final-crs_3;4;1160
1100;gate-keeper;5;
1101;gate-keeper;6;
1102;frui_0;5;
1104;frui_1;6;
1147;final-crs_3;5;3118
1150;final-crs_2;6;1325
1423;gate-keeper;7;
1424;vege_0;7;
1424;gate-keeper;8;
1427;vege_1;8;
1432;final-crs_3;7;2668
1435;final-crs_4;8;1833
1734;gate-keeper;9;
1735;gate-keeper;10;
1738;vege_1;9;
1739;frui_1;10;
1747;final-crs_5;9;3436
1818;final-crs_0;10;504
2011;gate-keeper;11;
2012;gate-keeper;12;
2016;vege_1;11;
2017;vege_0;12;
2077;final-crs_0;11;2061
2090;final-crs_4;12;1104
2354;gate-keeper;13;
2355;gate-keeper;14;
2358;vege_0;13;
2364;vege_1;14;
2366;final-crs_1;13;897
2376;final-crs_6;14;1996
2498;gate-keeper;15;
2502;vege_0;15;
2526;final-crs_5;15;1489
2642;gate-keeper;16;
2644;vege_1;16;
2671;final-crs_2;16;1279
2947;gate-keeper;17;
2948;frui_1;17;
2948;gate-keeper;18;
2970;final-crs_0;17;2241
2979;meat_1;18;
2981;final-crs_7;18;1848
3112;gate-keeper;19;
3116;frui_0;19;
3129;final-crs_6;19;2713
3268;gate-keeper;20;
3270;frui_0;20;
3313;final-crs_4;20;832
3454;gate-keeper;21;
3457;vege_1;21;
3458;final-crs_5;21;736
3546;gate-keeper;22;
3553;vege_1;22;
3568;final-crs_3;22;2546
3865;gate-keeper;23;
3866;gate-keeper;24;
3873;vege_1;24;
3884;meat_1;23;
3895;final-crs_1;24;150
3924;final-crs_0;23;181
4164;gate-keeper;25;
4165;gate-keeper;26;
4168;vege_0;25;
4169;frui_1;26;
4211;final-crs_5;25;470
4240;final-crs_6;26;1646
4423;gate-keeper;27;
4430;vege_1;27;
4466;final-crs_6;27;1603
4723;gate-keeper;28;
4724;vege_1;28;
4724;gate-keeper;29;
4731;vege_0;29;
4738;final-crs_5;28;1196
4768;final-crs_4;29;493
5037;gate-keeper;30;
5038;gate-keeper;31;
5039;vege_0;30;
5039;vege_1;31;
5083;final-crs_2;30;76
5106;final-crs_0;31;1362
5345;gate-keeper;32;
5346;gate-keeper;33;
5350;frui_0;32;
5350;meat_0;33;
5366;final-crs_3;32;2353
5367;final-crs_7;33;1294
5605;gate-keeper;34;
5606;frui_0;34;
5606;gate-keeper;35;
5610;vege_0;35;
5623;final-crs_6;34;2121
5671;final-crs_5;35;1132
5913;gate-keeper;36;
