time;ckpt;id;money
268;gate-keeper;0;
275;vege_0;0;
281;final-crs_1;0;481
575;gate-keeper;1;
579;vege_1;1;
636;final-crs_5;1;3321
879;gate-keeper;2;
880;vege_0;2;
880;gate-keeper;3;
884;frui_1;3;
894;final-crs_5;2;1425
926;final-crs_6;3;2555
1187;gate-keeper;4;
1188;frui_1;4;
1214;final-crs_4;4;3118
1465;gate-keeper;5;
1467;vege_0;5;
1469;final-crs_3;5;2224
1679;gate-keeper;6;
1680;gate-keeper;7;
1685;meat_0;7;
1687;vege_0;6;
1699;final-crs_3;7;2056
1720;final-crs_4;6;2434
2051;gate-keeper;8;
2054;vege_0;8;
2100;final-crs_6;8;2931
2315;gate-keeper;9;
2316;gate-keeper;10;
2320;vege_1;9;
2325;vege_0;10;
2338;final-crs_0;9;364
2382;final-crs_7;10;2971
2506;gate-keeper;11;
2509;frui_0;11;
2544;final-crs_0;11;2445
2941;gate-keeper;12;
2942;vege_1;12;
2942;gate-keeper;13;
2951;vege_0;13;
3015;final-crs_0;12;110
3038;final-crs_6;13;822
3244;gate-keeper;14;
3252;vege_1;14;
3262;final-crs_6;14;3673
3553;gate-keeper;15;
3554;gate-keeper;16;
3558;frui_0;15;
3567;final-crs_7;15;1040
3571;meat_1;16;
3582;final-crs_3;16;2574
3808;gate-keeper;17;
3809;vege_1;17;
3815;final-crs_5;17;3181
4094;gate-keeper;18;
4134;meat_0;18;
4184;final-crs_4;18;1274
4423;gate-keeper;19;
4424;gate-keeper;20;
4426;frui_0;19;
4432;vege_1;20;
4441;final-crs_4;19;1291
4501;final-crs_2;20;1965
4708;gate-keeper;21;
4710;vege_0;21;
4766;final-crs_5;21;594
5007;gate-keeper;22;
5008;gate-keeper;23;
5009;frui_0;23;
5010;vege_1;22;
5016;final-crs_1;23;1050
5035;final-crs_6;22;1558
5280;gate-keeper;24;
5284;vege_0;24;
5300;final-crs_7;24;1475
5490;gate-keeper;25;
5492;frui_1;25;
5524;final-crs_5;25;4745
5587;gate-keeper;26;
5590;vege_0;26;
5613;final-crs_4;26;4883
5908;gate-keeper;27;
5912;vege_1;27;
5939;final-crs_6;27;4498
6223;gate-keeper;28;
6224;frui_0;28;
6224;gate-keeper;29;
6225;vege_0;29;
6256;final-crs_2;28;1334
6281;final-crs_5;29;3073
6511;gate-keeper;30;
6516;vege_0;30;
6542;final-crs_3;30;240
6774;gate-keeper;31;
6779;vege_0;31;
6787;final-crs_4;31;1691
7036;gate-keeper;32;
7037;gate-keeper;33;
7039;meat_0;33;
7044;vege_0;32;
7153;final-crs_0;33;495
7158;final-crs_1;32;694
7332;gate-keeper;34;
7334;vege_0;34;
7384;final-crs_0;34;2599
7437;gate-keeper;35;
7443;vege_0;35;
7456;final-crs_2;35;1068
7638;gate-keeper;36;
7645;vege_1;36;
7649;final-crs_1;36;5047
7941;gate-keeper;37;
7944;vege_1;37;
7969;final-crs_2;37;4189
8265;gate-keeper;38;
8267;frui_0;38;
8287;final-crs_7;38;405
8534;gate-keeper;39;
8535;gate-keeper;40;
8538;frui_0;39;
8539;vege_1;40;
8548;final-crs_7;39;2164
8587;final-crs_5;40;1048
8818;gate-keeper;41;
8823;vege_1;41;
8857;final-crs_0;41;2016
9014;gate-keeper;42;
9020;vege_1;42;
9029;final-crs_1;42;1578
9105;gate-keeper;43;
9107;frui_0;43;
9110;final-crs_6;43;2751
9435;gate-keeper;44;
9440;frui_0;44;
9457;final-crs_1;44;372
9694;gate-keeper;45;
9695;gate-keeper;46;
9697;frui_1;46;
9701;vege_1;45;
9710;final-crs_1;46;1118
9733;final-crs_4;45;2966
9881;gate-keeper;47;
9883;vege_0;47;
9889;final-crs_3;47;660
10369;gate-keeper;48;
10370;gate-keeper;49;
10372;frui_0;48;
10373;vege_1;49;
10376;final-crs_1;48;3512
10399;final-crs_7;49;1121
10684;gate-keeper;50;
10685;gate-keeper;51;
10691;vege_1;50;
10694;vege_0;51;
10764;final-crs_0;50;228
10794;final-crs_2;51;2899
11012;gate-keeper;52;
11016;frui_0;52;
11033;final-crs_6;52;2525
11259;gate-keeper;53;
11260;gate-keeper;54;
11263;vege_1;53;
11269;final-crs_6;53;2983
11293;meat_1;54;
11318;final-crs_1;54;3240
11559;gate-keeper;55;
11560;gate-keeper;56;
11564;vege_1;55;
11566;vege_0;56;
11595;final-crs_1;55;874
11601;final-crs_2;56;939
