time;ckpt;id;money
294;gate-keeper;0;
298;vege_0;0;
417;final-crs_1;0;1131
603;gate-keeper;1;
604;gate-keeper;2;
605;vege_1;1;
609;vege_0;2;
636;final-crs_6;1;1110
679;final-crs_1;2;804
850;gate-keeper;3;
854;vege_1;3;
870;final-crs_6;3;882
889;gate-keeper;4;
894;vege_1;4;
965;final-crs_0;4;970
1185;gate-keeper;5;
1187;vege_1;5;
1197;final-crs_2;5;492
1471;gate-keeper;6;
1472;gate-keeper;7;
1473;vege_1;7;
1473;frui_0;6;
1485;final-crs_5;7;1186
1501;final-crs_7;6;2013
1736;gate-keeper;8;
1737;gate-keeper;9;
1738;vege_1;8;
1740;vege_0;9;
1746;final-crs_5;8;92
1757;final-crs_7;9;279
2069;gate-keeper;10;
2070;gate-keeper;11;
2071;vege_0;10;
2072;vege_1;11;
2106;final-crs_2;10;376
2115;final-crs_4;11;1464
2359;gate-keeper;12;
2369;vege_0;12;
2372;final-crs_1;12;978
2674;gate-keeper;13;
2675;gate-keeper;14;
2676;frui_1;13;
2688;meat_0;14;
2695;final-crs_5;13;1056
2713;final-crs_3;14;265
2946;gate-keeper;15;
2947;gate-keeper;16;
2948;vege_0;15;
2949;final-crs_5;15;330
2954;meat_1;16;
2967;final-crs_3;16;1195
3293;gate-keeper;17;
3294;gate-keeper;18;
3295;vege_0;17;
3296;frui_1;18;
3298;final-crs_2;17;494
3325;final-crs_1;18;1206
3393;gate-keeper;19;
3418;meat_0;19;
3429;final-crs_5;19;150
3585;gate-keeper;20;
3588;frui_1;20;
3589;final-crs_7;20;1311
3904;gate-keeper;21;
3905;vege_0;21;
3920;final-crs_5;21;1284
4147;gate-keeper;22;
4148;gate-keeper;23;
4149;vege_1;22;
4156;vege_0;23;
4175;final-crs_5;22;1281
4208;final-crs_3;23;1155
4417;gate-keeper;24;
4419;frui_1;24;
4438;final-crs_3;24;83
4550;gate-keeper;25;
4552;vege_0;25;
4622;final-crs_0;25;490
4712;gate-keeper;26;
4714;meat_0;26;
4728;final-crs_1;26;595
5036;gate-keeper;27;
5037;gate-keeper;28;
5041;vege_0;27;
5045;vege_1;28;
5103;final-crs_3;27;261
5115;final-crs_5;28;425
5345;gate-keeper;29;
5346;gate-keeper;30;
5347;frui_0;29;
5351;meat_0;30;
5374;final-crs_0;29;1620
5411;final-crs_4;30;653
5652;gate-keeper;31;
5653;gate-keeper;32;
5655;vege_1;31;
5656;frui_0;32;
5699;final-crs_1;31;68
5700;final-crs_4;32;1158
5988;gate-keeper;33;
5989;gate-keeper;34;
5994;vege_0;34;
6001;final-crs_7;34;837
6018;meat_0;33;
6042;final-crs_0;33;1657
6239;gate-keeper;35;
6240;vege_0;35;
6276;final-crs_2;35;597
6306;gate-keeper;36;
6314;vege_0;36;
6320;final-crs_3;36;163
6576;gate-keeper;37;
6579;frui_1;37;
6582;final-crs_3;37;1270
6827;gate-keeper;38;
6829;vege_0;38;
6857;final-crs_3;38;455
6992;gate-keeper;39;
7007;meat_1;39;
7012;final-crs_0;39;496
7122;gate-keeper;40;
7126;vege_0;40;
7137;final-crs_7;40;800
7169;gate-keeper;41;
7170;vege_0;41;
7207;final-crs_2;41;279
7420;gate-keeper;42;
7424;vege_1;42;
7450;final-crs_1;42;1456
7685;gate-keeper;43;
7686;vege_0;43;
7686;gate-keeper;44;
7687;frui_0;44;
7704;final-crs_2;43;1212
7709;final-crs_1;44;1550
7948;gate-keeper;45;
7955;vege_1;45;
7965;final-crs_1;45;576
8232;gate-keeper;46;
8233;gate-keeper;47;
8234;vege_0;47;
8236;frui_0;46;
8240;final-crs_4;47;268
8240;final-crs_5;46;763
8483;gate-keeper;48;
8484;gate-keeper;49;
8489;vege_0;48;
8491;vege_1;49;
8521;final-crs_3;48;511
8522;final-crs_4;49;787
8781;gate-keeper;50;
8786;vege_1;50;
8820;gate-keeper;51;
8824;frui_1;51;
8854;final-crs_7;50;1316
8934;final-crs_1;51;181
9113;gate-keeper;52;
9116;vege_1;52;
9118;final-crs_7;52;134
9423;gate-keeper;53;
9424;vege_0;53;
9424;gate-keeper;54;
9429;vege_1;54;
9445;final-crs_1;53;814
9446;final-crs_6;54;504
9658;gate-keeper;55;
9665;vege_0;55;
9683;final-crs_6;55;1257
9751;gate-keeper;56;
9752;vege_0;56;
9758;final-crs_0;56;200
9991;gate-keeper;57;
9992;gate-keeper;58;
9995;vege_0;58;
10003;final-crs_2;58;412
10015;meat_1;57;
10042;final-crs_5;57;999
10272;gate-keeper;59;
10273;frui_1;59;
10286;final-crs_7;59;1270
10333;gate-keeper;60;
10336;vege_0;60;
10346;final-crs_3;60;286
10530;gate-keeper;61;
10531;vege_1;61;
10550;final-crs_3;61;720
10839;gate-keeper;62;
10840;gate-keeper;63;
10844;vege_0;62;
10845;meat_0;63;
10914;final-crs_4;62;1206
10959;final-crs_1;63;992
11118;gate-keeper;64;
11119;gate-keeper;65;
11120;vege_1;64;
11121;vege_0;65;
11142;final-crs_4;64;194
11158;final-crs_3;65;1234
11377;gate-keeper;66;
11387;vege_0;66;
11423;gate-keeper;67;
11426;vege_1;67;
11430;final-crs_2;66;932
11454;final-crs_6;67;77
11703;gate-keeper;68;
11711;vege_0;68;
11793;final-crs_7;68;959
12005;gate-keeper;69;
12006;gate-keeper;70;
12007;frui_1;70;
12010;vege_1;69;
12049;final-crs_7;70;971
12050;final-crs_3;69;875
12276;gate-keeper;71;
12279;vege_0;71;
12299;final-crs_7;71;87
12357;gate-keeper;72;
12367;vege_0;72;
12377;final-crs_6;72;912
12546;gate-keeper;73;
12549;vege_0;73;
12558;final-crs_7;73;444
12803;gate-keeper;74;
12804;gate-keeper;75;
12806;vege_1;74;
12808;frui_1;75;
12821;final-crs_7;74;1188
12825;final-crs_4;75;777
13134;gate-keeper;76;
13135;gate-keeper;77;
13140;vege_1;76;
13151;meat_1;77;
13224;final-crs_5;76;272
13228;final-crs_3;77;74
13426;gate-keeper;78;
13427;gate-keeper;79;
13428;vege_0;78;
13435;vege_1;79;
13455;final-crs_3;78;817
13462;final-crs_5;79;882
13728;gate-keeper;80;
13729;vege_0;80;
13739;final-crs_4;80;1037
13865;gate-keeper;81;
13870;vege_1;81;
13879;final-crs_0;81;911
14027;gate-keeper;82;
14072;meat_1;82;
14089;final-crs_3;82;638
14301;gate-keeper;83;
14302;gate-keeper;84;
14303;frui_0;83;
14305;vege_1;84;
14339;final-crs_3;83;1028
14361;final-crs_1;84;1073
14615;gate-keeper;85;
14616;vege_1;85;
14618;final-crs_1;85;257
14773;gate-keeper;86;
14774;frui_0;86;
14798;final-crs_1;86;173
14929;gate-keeper;87;
14932;vege_0;87;
14951;final-crs_7;87;311
15224;gate-keeper;88;
15225;vege_0;88;
15225;gate-keeper;89;
15231;vege_1;89;
15262;final-crs_1;88;535
15276;final-crs_3;89;531
15533;gate-keeper;90;
15534;gate-keeper;91;
15535;vege_0;91;
15537;frui_1;90;
15608;final-crs_0;91;1533
15610;final-crs_2;90;1308
15721;gate-keeper;92;
15740;meat_1;92;
15752;final-crs_3;92;236
15871;gate-keeper;93;
15874;frui_1;93;
15880;final-crs_5;93;422
16169;gate-keeper;94;
16170;gate-keeper;95;
16173;frui_0;95;
16176;final-crs_7;95;737
16176;vege_1;94;
16177;final-crs_1;94;580
16455;gate-keeper;96;
16457;vege_1;96;
16527;final-crs_0;96;2114
16647;gate-keeper;97;
16687;meat_0;97;
16744;final-crs_0;97;382
