time;ckpt;id;money
256;gate-keeper;0;
262;vege_0;0;
267;final-crs_7;0;3192
556;gate-keeper;1;
557;vege_0;1;
685;final-crs_7;1;1788
898;gate-keeper;2;
899;gate-keeper;3;
900;frui_0;2;
901;final-crs_2;2;1451
935;meat_0;3;
943;final-crs_1;3;1874
1196;gate-keeper;4;
1198;frui_0;4;
1238;final-crs_4;4;2646
1540;gate-keeper;5;
1541;gate-keeper;6;
1542;vege_0;6;
1542;gate-keeper;7;
1543;vege_1;7;
1543;frui_0;5;
1607;final-crs_2;6;2516
1671;final-crs_1;7;1077
1677;final-crs_5;5;173
1753;gate-keeper;8;
1758;meat_0;8;
1783;final-crs_4;8;108
2104;gate-keeper;9;
2107;vege_1;9;
2116;final-crs_2;9;1080
2414;gate-keeper;10;
2415;gate-keeper;11;
2417;vege_1;10;
2425;meat_1;11;
2430;final-crs_3;10;184
2448;final-crs_1;11;335
2507;gate-keeper;12;
2509;vege_0;12;
2542;final-crs_2;12;453
2695;gate-keeper;13;
2723;meat_0;13;
2731;final-crs_6;13;1023
2953;gate-keeper;14;
2954;vege_0;14;
2983;final-crs_0;14;1201
3248;gate-keeper;15;
3286;meat_0;15;
3321;final-crs_2;15;1808
3366;gate-keeper;16;
3367;frui_0;16;
3370;final-crs_3;16;3734
3527;gate-keeper;17;
3530;vege_1;17;
3548;final-crs_2;17;218
3844;gate-keeper;18;
3845;frui_0;18;
3845;gate-keeper;19;
3847;final-crs_4;18;2014
3851;frui_1;19;
3938;final-crs_1;19;2609
4107;gate-keeper;20;
4111;frui_1;20;
4203;final-crs_0;20;2484
4365;gate-keeper;21;
4366;frui_1;21;
4403;gate-keeper;22;
4404;vege_0;22;
4440;final-crs_5;21;797
4441;final-crs_1;22;1023
4658;gate-keeper;23;
4660;vege_1;23;
4662;final-crs_5;23;2933
4988;gate-keeper;24;
4989;vege_1;24;
4989;gate-keeper;25;
5006;final-crs_2;24;910
5012;meat_1;25;
5051;final-crs_6;25;2605
5270;gate-keeper;26;
5279;vege_1;26;
5280;final-crs_6;26;853
5619;gate-keeper;27;
5620;gate-keeper;28;
5625;vege_1;27;
5628;vege_0;28;
5646;final-crs_7;27;2927
5655;final-crs_3;28;1279
5873;gate-keeper;29;
5875;meat_0;29;
5884;final-crs_0;29;1887
6192;gate-keeper;30;
6193;gate-keeper;31;
6194;frui_0;31;
6199;vege_1;30;
6209;final-crs_6;31;788
6218;final-crs_2;30;2324
6530;gate-keeper;32;
6531;frui_1;32;
6531;gate-keeper;33;
6538;vege_1;33;
6544;final-crs_5;32;916
6558;final-crs_1;33;336
6812;gate-keeper;34;
6816;vege_1;34;
6821;final-crs_7;34;2157
7069;gate-keeper;35;
7070;gate-keeper;36;
7074;vege_0;35;
7075;vege_1;36;
7100;final-crs_7;35;1649
7124;final-crs_3;36;1196
7405;gate-keeper;37;
7406;gate-keeper;38;
7407;frui_1;38;
7421;final-crs_5;38;288
7444;meat_0;37;
7452;final-crs_0;37;3145
7671;gate-keeper;39;
7677;frui_0;39;
7683;final-crs_2;39;1193
8005;gate-keeper;40;
8006;gate-keeper;41;
8007;frui_0;41;
8017;meat_0;40;
8026;final-crs_3;41;3382
8074;final-crs_4;40;1737
8336;gate-keeper;42;
8337;gate-keeper;43;
8338;vege_0;42;
8341;frui_0;43;
8355;final-crs_6;42;475
8385;final-crs_5;43;4007
8613;gate-keeper;44;
8615;vege_0;44;
8634;final-crs_7;44;113
8838;gate-keeper;45;
8841;vege_0;45;
8857;final-crs_6;45;990
8944;gate-keeper;46;
8947;frui_0;46;
8966;final-crs_3;46;1590
9250;gate-keeper;47;
9257;vege_0;47;
9271;final-crs_5;47;3299
9507;gate-keeper;48;
9508;gate-keeper;49;
9510;vege_0;49;
9514;meat_0;48;
9516;final-crs_5;49;2081
9582;final-crs_7;48;1279
9731;gate-keeper;50;
9774;meat_0;50;
9804;final-crs_0;50;1690
9848;gate-keeper;51;
9850;frui_0;51;
9855;final-crs_6;51;1388
10127;gate-keeper;52;
10132;vege_0;52;
10215;final-crs_5;52;2559
10451;gate-keeper;53;
10452;gate-keeper;54;
10456;vege_1;53;
10459;vege_0;54;
10467;final-crs_5;53;1040
10530;final-crs_0;54;1191
10614;gate-keeper;55;
10648;meat_1;55;
10674;final-crs_1;55;416
10758;gate-keeper;56;
10761;vege_1;56;
10763;final-crs_6;56;3492
11040;gate-keeper;57;
11044;vege_0;57;
11053;final-crs_4;57;1211
11326;gate-keeper;58;
11327;gate-keeper;59;
11328;vege_1;58;
