time;ckpt;id;money
299;gate-keeper;0;
300;gate-keeper;1;
303;vege_0;1;
319;meat_0;0;
453;final-crs_10;1;936
457;final-crs_8;0;969
589;gate-keeper;2;
590;gate-keeper;3;
593;frui_0;3;
596;vege_0;2;
681;final-crs_6;3;666
685;final-crs_10;2;327
927;gate-keeper;4;
928;gate-keeper;5;
929;gate-keeper;6;
931;frui_0;5;
933;vege_0;4;
937;vege_1;6;
939;final-crs_4;5;1088
946;final-crs_6;4;353
951;final-crs_8;6;1278
1270;gate-keeper;7;
1271;gate-keeper;8;
1272;vege_1;7;
1272;gate-keeper;9;
1273;vege_0;9;
1295;final-crs_2;7;1328
1297;meat_1;8;
1307;final-crs_7;9;588
1416;final-crs_6;8;1639
1594;gate-keeper;10;
1595;gate-keeper;11;
1597;vege_1;10;
1646;meat_0;11;
1677;final-crs_5;10;344
1677;final-crs_6;11;136
1777;gate-keeper;12;
1778;gate-keeper;13;
1779;frui_0;12;
1798;final-crs_1;12;1631
1812;meat_0;13;
1828;final-crs_2;13;862
1882;gate-keeper;14;
1892;meat_1;14;
1904;final-crs_4;14;546
2200;gate-keeper;15;
2201;gate-keeper;16;
2202;vege_1;15;
2205;meat_1;16;
2215;final-crs_10;15;996
2217;final-crs_8;16;964
2522;gate-keeper;17;
2523;vege_1;17;
2523;gate-keeper;18;
2525;vege_0;18;
2528;final-crs_1;17;321
2601;final-crs_6;18;1487
2715;gate-keeper;19;
2716;gate-keeper;20;
2725;meat_1;19;
2736;final-crs_1;19;922
2753;meat_0;20;
2762;final-crs_0;20;2151
3107;gate-keeper;21;
3108;frui_0;21;
3108;gate-keeper;22;
3109;gate-keeper;23;
3110;meat_0;23;
3111;vege_1;22;
3120;final-crs_4;21;1100
3129;final-crs_8;23;1347
3156;final-crs_3;22;542
3207;gate-keeper;24;
3211;vege_1;24;
3215;final-crs_2;24;403
3387;gate-keeper;25;
3393;vege_0;25;
3404;final-crs_8;25;691
3426;gate-keeper;26;
3428;vege_0;26;
3472;final-crs_9;26;1174
3687;gate-keeper;27;
3688;gate-keeper;28;
3691;vege_0;27;
3700;meat_0;28;
3707;final-crs_7;27;242
3708;final-crs_9;28;1125
3956;gate-keeper;29;
3957;gate-keeper;30;
3959;vege_0;30;
3959;frui_0;29;
3970;final-crs_9;30;295
3983;final-crs_1;29;1425
4196;gate-keeper;31;
4197;gate-keeper;32;
4200;vege_0;31;
4201;vege_1;32;
4213;final-crs_7;31;379
4239;final-crs_9;32;539
4284;gate-keeper;33;
4288;vege_0;33;
4308;final-crs_8;33;2033
4603;gate-keeper;34;
4604;gate-keeper;35;
4607;vege_0;35;
4639;meat_1;34;
4655;final-crs_2;35;963
4670;final-crs_9;34;589
4921;gate-keeper;36;
4922;gate-keeper;37;
4923;gate-keeper;38;
4924;vege_0;38;
4927;frui_0;37;
4934;final-crs_2;38;312
4948;final-crs_1;37;584
4950;meat_0;36;
4952;final-crs_3;36;566
5128;gate-keeper;39;
5134;vege_1;39;
5143;final-crs_9;39;707
5213;gate-keeper;40;
5222;vege_0;40;
5233;final-crs_6;40;1259
5531;gate-keeper;41;
5532;gate-keeper;42;
5537;vege_1;41;
5538;vege_0;42;
5577;final-crs_2;41;113
5591;final-crs_9;42;1514
5842;gate-keeper;43;
5843;vege_1;43;
5843;gate-keeper;44;
5844;gate-keeper;45;
5845;meat_0;45;
5851;vege_1;44;
5863;final-crs_7;43;453
5872;final-crs_5;45;2222
5914;final-crs_10;44;1155
6028;gate-keeper;46;
6029;gate-keeper;47;
6030;vege_1;46;
6038;vege_0;47;
6041;final-crs_4;46;254
6042;final-crs_2;47;451
6144;gate-keeper;48;
6146;vege_0;48;
6169;final-crs_6;48;1117
6415;gate-keeper;49;
6416;gate-keeper;50;
6418;vege_0;49;
6426;final-crs_3;49;1510
6426;meat_0;50;
6444;final-crs_6;50;764
6605;gate-keeper;51;
6610;vege_1;51;
6618;final-crs_8;51;1797
6727;gate-keeper;52;
6733;vege_1;52;
6748;final-crs_7;52;1195
7001;gate-keeper;53;
7002;gate-keeper;54;
7005;vege_1;54;
7032;final-crs_2;54;534
7034;meat_1;53;
7068;final-crs_5;53;318
7328;gate-keeper;55;
7329;gate-keeper;56;
7330;gate-keeper;57;
7331;vege_0;55;
7331;vege_1;57;
7332;frui_0;56;
7360;final-crs_8;55;1966
7389;final-crs_6;57;1159
7391;final-crs_1;56;193
7658;gate-keeper;58;
7659;gate-keeper;59;
7660;frui_1;58;
7662;final-crs_1;58;2081
7703;meat_0;59;
7728;final-crs_2;59;743
7904;gate-keeper;60;
7905;gate-keeper;61;
7912;vege_1;60;
7915;final-crs_0;60;444
7941;meat_1;61;
7946;final-crs_4;61;550
7957;gate-keeper;62;
7959;vege_1;62;
7981;final-crs_2;62;204
8281;gate-keeper;63;
8282;gate-keeper;64;
8285;vege_0;63;
8288;final-crs_5;63;1081
8290;vege_1;64;
8302;final-crs_6;64;97
8577;gate-keeper;65;
8578;gate-keeper;66;
8579;vege_1;65;
8579;gate-keeper;67;
8585;vege_0;66;
8587;vege_1;67;
8594;final-crs_3;65;461
8627;final-crs_0;66;818
8633;final-crs_10;67;1191
8739;gate-keeper;68;
8744;vege_1;68;
8746;final-crs_9;68;522
8869;gate-keeper;69;
8873;vege_0;69;
8877;final-crs_4;69;236
9189;gate-keeper;70;
9190;gate-keeper;71;
9191;vege_0;70;
9191;gate-keeper;72;
9196;vege_1;72;
9200;meat_0;71;
9246;final-crs_7;70;1994
9248;final-crs_9;72;1466
9278;final-crs_6;71;946
9460;gate-keeper;73;
9461;gate-keeper;74;
9465;vege_0;73;
9473;final-crs_9;73;1479
9507;meat_1;74;
9517;final-crs_7;74;995
9629;gate-keeper;75;
9630;gate-keeper;76;
9632;vege_0;75;
9643;final-crs_8;75;451
9644;meat_0;76;
9726;final-crs_9;76;1080
10081;gate-keeper;77;
10082;gate-keeper;78;
10083;vege_0;78;
10083;gate-keeper;79;
10089;final-crs_3;78;1866
10089;frui_0;79;
10089;meat_1;77;
10091;final-crs_8;79;1338
10097;final-crs_1;77;539
10340;gate-keeper;80;
10341;gate-keeper;81;
10343;frui_0;80;
10346;vege_0;81;
10379;final-crs_9;80;367
10419;final-crs_6;81;185
10432;gate-keeper;82;
10433;meat_1;82;
10455;final-crs_5;82;153
10750;gate-keeper;83;
10751;vege_0;83;
10751;gate-keeper;84;
10753;final-crs_3;83;2014
10756;frui_0;84;
10763;final-crs_4;84;713
11065;gate-keeper;85;
11066;gate-keeper;86;
11067;gate-keeper;87;
11071;frui_0;85;
11095;final-crs_8;85;651
11103;meat_0;86;
11108;meat_1;87;
11149;final-crs_6;86;663
11178;final-crs_0;87;1771
11375;gate-keeper;88;
11376;gate-keeper;89;
11378;vege_1;89;
11383;final-crs_6;89;2123
11392;meat_0;88;
11409;final-crs_0;88;66
11429;gate-keeper;90;
11430;frui_0;90;
11435;final-crs_7;90;651
11671;gate-keeper;91;
11672;gate-keeper;92;
11678;vege_0;91;
11682;vege_1;92;
11687;final-crs_5;91;2377
11714;final-crs_10;92;835
11952;gate-keeper;93;
11953;gate-keeper;94;
11959;vege_1;94;
11994;meat_0;93;
11997;final-crs_1;94;1399
11999;final-crs_9;93;664
12221;gate-keeper;95;
12222;gate-keeper;96;
12225;vege_1;96;
12237;meat_0;95;
12254;final-crs_9;96;215
12272;final-crs_2;95;332
12511;gate-keeper;97;
12512;gate-keeper;98;
12514;vege_0;98;
12554;final-crs_8;98;637
12555;meat_1;97;
12557;final-crs_6;97;65
12803;gate-keeper;99;
12804;meat_0;99;
12804;gate-keeper;100;
12805;frui_0;100;
12877;final-crs_5;99;743
12900;final-crs_10;100;1896
13039;gate-keeper;101;
13040;gate-keeper;102;
13041;vege_0;102;
13057;final-crs_6;102;1899
13085;meat_0;101;
13111;final-crs_5;101;1107
13148;gate-keeper;103;
13149;vege_0;103;
13181;final-crs_1;103;2333
13368;gate-keeper;104;
13369;gate-keeper;105;
13373;vege_1;104;
13376;vege_0;105;
13389;final-crs_0;104;196
13399;final-crs_1;105;896
13677;gate-keeper;106;
13678;gate-keeper;107;
13679;vege_0;106;
13708;final-crs_8;106;1096
13717;meat_0;107;
13730;final-crs_3;107;955
13748;gate-keeper;108;
13749;vege_1;108;
13772;final-crs_2;108;1305
13968;gate-keeper;109;
13969;gate-keeper;110;
13972;frui_1;110;
13976;final-crs_3;110;1249
13983;meat_1;109;
13996;final-crs_6;109;1471
14188;gate-keeper;111;
14189;gate-keeper;112;
14192;frui_1;111;
14205;meat_1;112;
14226;final-crs_3;111;1547
14267;final-crs_7;112;812
14590;gate-keeper;113;
14591;gate-keeper;114;
14592;gate-keeper;115;
14595;vege_1;114;
14618;meat_1;113;
14633;final-crs_5;114;1401
14639;meat_0;115;
14688;final-crs_3;113;607
14699;final-crs_9;115;256
14916;gate-keeper;116;
14917;gate-keeper;117;
14918;gate-keeper;118;
14919;gate-keeper;119;
14920;vege_1;118;
14920;gate-keeper;120;
14921;frui_1;117;
14921;gate-keeper;121;
14922;gate-keeper;122;
14923;vege_0;119;
14925;meat_0;116;
14929;vege_1;120;
14933;vege_0;121;
14938;vege_1;122;
14953;final-crs_9;118;230
14959;final-crs_1;117;430
14992;final-crs_7;119;2260
14996;final-crs_6;116;1445
15009;final-crs_0;120;1104
15021;final-crs_10;121;1252
15028;final-crs_4;122;476
15076;gate-keeper;123;
15077;gate-keeper;124;
15078;gate-keeper;125;
15079;gate-keeper;126;
15080;frui_0;125;
15080;gate-keeper;127;
15081;vege_0;123;
15084;vege_1;126;
15085;final-crs_8;125;460
15091;vege_0;127;
15105;meat_1;124;
15122;final-crs_5;123;1783
15151;final-crs_3;126;1764
15194;final-crs_0;127;905
15211;final-crs_9;124;206
15231;gate-keeper;128;
15246;meat_0;128;
15265;final-crs_6;128;339
15531;gate-keeper;129;
15532;gate-keeper;130;
15534;vege_0;130;
15537;final-crs_8;130;1813
15542;meat_1;129;
15582;final-crs_2;129;995
15899;gate-keeper;131;
15900;vege_0;131;
15900;gate-keeper;132;
15901;gate-keeper;133;
15904;vege_1;132;
15909;vege_0;133;
15934;final-crs_1;131;1089
15940;final-crs_0;132;1210
15991;gate-keeper;134;
16002;final-crs_3;133;373
16028;meat_1;134;
16044;final-crs_7;134;812
16159;gate-keeper;135;
16165;vege_0;135;
16232;final-crs_4;135;186
16429;gate-keeper;136;
16430;gate-keeper;137;
16434;vege_1;136;
16437;vege_0;137;
16470;final-crs_3;136;1250
16490;final-crs_6;137;871
16771;gate-keeper;138;
16772;gate-keeper;139;
16773;gate-keeper;140;
16774;vege_1;139;
16775;vege_0;140;
16806;meat_1;138;
16830;final-crs_8;139;1098
16836;final-crs_2;140;307
16853;final-crs_9;138;1144
16867;gate-keeper;141;
16872;vege_0;141;
16911;final-crs_5;141;1772
17053;gate-keeper;142;
17058;vege_1;142;
17073;final-crs_9;142;1463
17327;gate-keeper;143;
17328;gate-keeper;144;
17330;vege_1;143;
17343;meat_0;144;
17404;final-crs_5;143;813
17435;final-crs_6;144;3077
17607;gate-keeper;145;
17608;gate-keeper;146;
17609;vege_0;146;
17609;gate-keeper;147;
17610;frui_1;145;
17617;vege_1;147;
17654;final-crs_6;146;222
17657;final-crs_5;145;383
17667;final-crs_3;147;352
17968;gate-keeper;148;
17969;gate-keeper;149;
17970;gate-keeper;150;
17972;meat_0;150;
17975;vege_1;148;
17977;vege_0;149;
17985;final-crs_9;150;2032
18028;final-crs_1;148;1334
18090;final-crs_5;149;1283
18256;gate-keeper;151;
18257;gate-keeper;152;
18258;gate-keeper;153;
18259;gate-keeper;154;
18260;vege_1;151;
18260;gate-keeper;155;
18261;gate-keeper;156;
18262;gate-keeper;157;
18264;vege_0;152;
18269;vege_1;153;
18273;vege_0;154;
18278;vege_1;155;
18281;vege_0;156;
18287;vege_1;157;
18288;final-crs_1;151;892
18361;final-crs_0;152;160
18366;final-crs_5;153;429
18373;final-crs_8;154;143
18379;final-crs_6;155;643
18417;final-crs_7;156;1073
18437;final-crs_4;157;1057
18565;gate-keeper;158;
18566;gate-keeper;159;
18567;vege_1;158;
18567;gate-keeper;160;
18568;gate-keeper;161;
18569;gate-keeper;162;
18570;gate-keeper;163;
18571;final-crs_1;158;596
18571;gate-keeper;164;
18572;frui_1;164;
18574;vege_0;162;
18578;vege_1;163;
18581;meat_1;159;
18597;gate-keeper;165;
18598;gate-keeper;166;
18599;frui_1;165;
18599;gate-keeper;167;
18600;gate-keeper;168;
18601;frui_0;166;
18601;gate-keeper;169;
18602;gate-keeper;170;
18603;gate-keeper;171;
18609;final-crs_8;164;453
18618;meat_0;160;
18629;final-crs_0;162;891
18638;meat_1;161;
18649;final-crs_3;163;733
18673;final-crs_10;159;569
18679;meat_0;167;
18682;final-crs_9;165;628
18693;final-crs_2;166;945
18693;final-crs_4;160;197
18694;final-crs_7;161;1389
18707;meat_1;168;
18737;meat_0;169;
18765;meat_1;170;
18786;final-crs_1;167;282
18797;final-crs_5;168;1549
18800;meat_0;171;
18805;final-crs_8;169;226
18830;final-crs_6;170;1630
18868;final-crs_10;171;3014
18913;gate-keeper;172;
18914;gate-keeper;173;
18917;vege_1;173;
18936;meat_1;172;
18951;final-crs_7;173;1143
18971;final-crs_4;172;1003
19228;gate-keeper;174;
19229;gate-keeper;175;
19230;vege_0;174;
19230;gate-keeper;176;
19231;gate-keeper;177;
19232;gate-keeper;178;
19233;meat_0;175;
19233;gate-keeper;179;
19234;vege_1;176;
19234;gate-keeper;180;
19238;meat_1;178;
19239;frui_1;180;
19241;vege_0;177;
19243;vege_1;179;
19256;final-crs_6;174;395
19284;final-crs_1;175;1663
19290;final-crs_5;176;458
19292;final-crs_10;178;737
19316;final-crs_8;180;768
19342;final-crs_2;177;340
19379;final-crs_3;179;323
19497;gate-keeper;181;
19498;gate-keeper;182;
19499;gate-keeper;183;
19500;gate-keeper;184;
19501;gate-keeper;185;
19502;gate-keeper;186;
19506;meat_0;181;
19507;vege_0;182;
19508;vege_1;184;
19515;meat_1;183;
19516;vege_0;185;
19516;vege_1;186;
19517;final-crs_6;181;1478
19522;final-crs_10;182;424
19524;final-crs_1;184;138
19526;final-crs_5;183;494
19562;final-crs_8;185;350
19595;final-crs_3;186;915
19778;gate-keeper;187;
19779;gate-keeper;188;
19780;vege_0;188;
19793;meat_0;187;
19808;final-crs_8;188;996
19860;final-crs_2;187;403
20081;gate-keeper;189;
20082;gate-keeper;190;
20084;vege_0;189;
20092;meat_0;190;
20159;final-crs_1;189;239
20173;final-crs_7;190;1466
20370;gate-keeper;191;
20371;gate-keeper;192;
20372;gate-keeper;193;
20374;meat_0;192;
20377;vege_0;191;
20378;meat_1;193;
20381;final-crs_7;192;224
20401;final-crs_4;191;919
20410;final-crs_1;193;1065
20670;gate-keeper;194;
20671;gate-keeper;195;
20672;gate-keeper;196;
20673;meat_1;196;
20673;gate-keeper;197;
20674;vege_0;194;
20674;vege_1;195;
20674;gate-keeper;198;
20675;gate-keeper;199;
20676;gate-keeper;200;
20678;meat_0;198;
20679;frui_0;200;
20683;vege_1;197;
20701;final-crs_8;196;125
20723;final-crs_5;194;301
20724;meat_1;199;
20759;final-crs_10;195;501
20764;final-crs_2;198;945
20795;final-crs_3;200;98
20806;final-crs_7;197;651
20891;final-crs_8;199;1235
20910;gate-keeper;201;
20911;gate-keeper;202;
20912;vege_0;202;
20912;gate-keeper;203;
20913;gate-keeper;204;
20914;gate-keeper;205;
20916;vege_1;203;
20919;meat_0;201;
20921;vege_0;204;
20927;vege_1;205;
20936;final-crs_4;202;1104
20940;final-crs_9;203;679
20974;final-crs_5;201;107
20994;final-crs_2;204;974
21005;final-crs_10;205;920
21199;gate-keeper;206;
21200;gate-keeper;207;
21201;gate-keeper;208;
21202;gate-keeper;209;
21203;vege_0;209;
21203;gate-keeper;210;
21204;frui_0;206;
21204;gate-keeper;211;
21205;vege_1;210;
21205;gate-keeper;212;
21206;gate-keeper;213;
21207;gate-keeper;214;
21208;gate-keeper;215;
21209;final-crs_2;209;1555
21210;frui_0;215;
21213;vege_1;211;
21215;vege_0;212;
21222;vege_1;214;
21225;meat_1;207;
21250;meat_0;208;
21265;final-crs_5;206;851
21275;meat_1;213;
21277;final-crs_3;210;147
21280;final-crs_10;215;881
21330;final-crs_6;211;1585
21330;final-crs_7;212;747
21343;final-crs_1;214;1453
21381;final-crs_0;207;797
21386;final-crs_8;208;1624
21391;final-crs_9;213;119
21550;gate-keeper;216;
21551;gate-keeper;217;
21552;gate-keeper;218;
21553;vege_1;216;
21554;vege_0;217;
21557;meat_0;218;
21572;final-crs_6;216;1760
21573;final-crs_7;217;2036
21578;final-crs_9;218;967
21907;gate-keeper;219;
21908;gate-keeper;220;
21909;gate-keeper;221;
21910;meat_1;220;
21911;frui_0;221;
21912;vege_1;219;
21923;final-crs_4;220;417
21947;final-crs_2;221;1073
21950;final-crs_10;219;833
22008;gate-keeper;222;
22009;frui_0;222;
22030;final-crs_8;222;1464
22202;gate-keeper;223;
22203;vege_1;223;
22218;final-crs_10;223;1977
22471;gate-keeper;224;
22472;vege_0;224;
22472;gate-keeper;225;
22481;vege_0;225;
22492;final-crs_0;224;573
22503;final-crs_6;225;680
22742;gate-keeper;226;
22743;vege_1;226;
22743;gate-keeper;227;
22744;gate-keeper;228;
22745;gate-keeper;229;
22746;gate-keeper;230;
22747;gate-keeper;231;
22748;gate-keeper;232;
22750;vege_0;227;
22751;vege_1;228;
22756;final-crs_9;226;1078
22756;meat_0;229;
22758;vege_0;230;
22761;vege_1;232;
22765;gate-keeper;233;
22766;gate-keeper;234;
22767;gate-keeper;235;
22768;vege_0;233;
22771;vege_1;234;
22774;final-crs_0;227;275
22778;meat_1;231;
22788;final-crs_6;228;1299
22796;final-crs_7;229;1305
22811;meat_0;235;
22828;final-crs_1;230;124
22842;final-crs_5;232;366
22916;final-crs_10;233;346
22935;final-crs_4;234;2056
22969;final-crs_3;231;916
22987;final-crs_9;235;965
23069;gate-keeper;236;
