time;ckpt;id;money
303;gate-keeper;0;
304;gate-keeper;1;
309;vege_1;0;
310;vege_0;1;
428;final-crs_4;0;3117
447;final-crs_2;1;4824
584;gate-keeper;2;
585;gate-keeper;3;
587;vege_0;2;
591;vege_1;3;
653;final-crs_1;2;3100
653;final-crs_3;3;2190
818;gate-keeper;4;
819;gate-keeper;5;
823;vege_1;4;
827;vege_0;5;
858;final-crs_4;4;919
909;final-crs_1;5;1389
1283;gate-keeper;6;
1284;gate-keeper;7;
1285;gate-keeper;8;
1287;vege_1;6;
1288;frui_1;7;
1289;final-crs_0;6;983
1292;vege_0;8;
1297;final-crs_4;7;156
1302;final-crs_6;8;2999
1580;gate-keeper;9;
1581;gate-keeper;10;
1583;vege_1;10;
1583;meat_0;9;
1588;final-crs_1;10;1838
1617;final-crs_9;9;1747
1638;gate-keeper;11;
1640;vege_1;11;
1659;final-crs_5;11;1693
1906;gate-keeper;12;
1907;gate-keeper;13;
1911;vege_0;13;
1916;meat_0;12;
1933;final-crs_3;13;1364
1999;final-crs_0;12;412
2241;gate-keeper;14;
2242;gate-keeper;15;
2243;gate-keeper;16;
2247;frui_1;15;
2249;final-crs_0;15;653
2249;vege_0;14;
2265;final-crs_6;14;1254
2282;meat_0;16;
2311;final-crs_9;16;2248
2561;gate-keeper;17;
2562;gate-keeper;18;
2564;vege_1;17;
2568;final-crs_1;17;108
2568;vege_0;18;
2571;final-crs_2;18;1675
2699;gate-keeper;19;
2700;vege_0;19;
2718;final-crs_7;19;1970
2832;gate-keeper;20;
2838;vege_0;20;
2855;final-crs_5;20;2001
3148;gate-keeper;21;
3149;gate-keeper;22;
3150;gate-keeper;23;
3153;vege_0;21;
3156;vege_1;22;
3168;meat_1;23;
3186;final-crs_8;21;1001
3217;final-crs_7;22;1760
3235;final-crs_4;23;365
3467;gate-keeper;24;
3468;gate-keeper;25;
3469;gate-keeper;26;
3475;vege_1;24;
3477;vege_0;25;
3485;vege_0;26;
3494;final-crs_6;24;489
3494;final-crs_7;25;898
3497;final-crs_9;26;380
3631;gate-keeper;27;
3635;frui_0;27;
3684;final-crs_8;27;1501
3784;gate-keeper;28;
3785;vege_0;28;
3851;final-crs_5;28;560
3896;gate-keeper;29;
3901;vege_0;29;
3953;final-crs_3;29;1173
4109;gate-keeper;30;
4110;gate-keeper;31;
4113;frui_0;30;
4119;vege_0;31;
4120;final-crs_10;30;2235
4167;final-crs_8;31;3549
4428;gate-keeper;32;
4429;gate-keeper;33;
4430;frui_0;33;
4434;final-crs_4;33;2051
4435;vege_0;32;
4451;final-crs_2;32;143
4780;gate-keeper;34;
4781;gate-keeper;35;
4782;vege_1;34;
4782;gate-keeper;36;
4787;vege_0;35;
4792;meat_0;36;
4798;final-crs_10;34;2338
4814;final-crs_9;35;4457
4815;final-crs_8;36;1944
5082;gate-keeper;37;
5083;gate-keeper;38;
5087;vege_0;37;
5088;frui_1;38;
5112;final-crs_5;37;229
5125;final-crs_3;38;840
5331;gate-keeper;39;
5332;gate-keeper;40;
5337;vege_0;39;
5341;vege_1;40;
5354;final-crs_5;39;4498
5386;final-crs_0;40;549
5445;gate-keeper;41;
5452;vege_1;41;
5480;final-crs_6;41;1994
5617;gate-keeper;42;
5639;meat_0;42;
5653;final-crs_3;42;3421
5925;gate-keeper;43;
5926;gate-keeper;44;
5930;vege_1;43;
5931;final-crs_6;43;903
5935;vege_0;44;
5943;final-crs_2;44;1214
6273;gate-keeper;45;
6274;gate-keeper;46;
6275;gate-keeper;47;
6277;vege_0;45;
6280;frui_0;46;
6281;final-crs_10;45;1177
6289;meat_1;47;
6295;final-crs_8;46;2789
6301;final-crs_5;47;928
6587;gate-keeper;48;
6588;gate-keeper;49;
6591;frui_0;49;
6592;vege_0;48;
6620;final-crs_6;49;3786
6636;final-crs_4;48;2330
6878;gate-keeper;50;
6879;gate-keeper;51;
6881;frui_1;50;
6889;final-crs_6;50;72
6905;meat_1;51;
6919;final-crs_7;51;1280
7201;gate-keeper;52;
7202;frui_0;52;
7202;gate-keeper;53;
7203;gate-keeper;54;
7209;vege_0;53;
7210;vege_1;54;
7226;final-crs_10;52;3232
7233;final-crs_5;53;1196
7236;final-crs_8;54;511
7371;gate-keeper;55;
7375;vege_0;55;
7385;final-crs_7;55;549
7464;gate-keeper;56;
7467;vege_0;56;
7489;final-crs_10;56;1302
7702;gate-keeper;57;
7703;gate-keeper;58;
7707;frui_0;57;
7707;frui_1;58;
7736;final-crs_10;57;1493
7773;final-crs_9;58;3071
8073;gate-keeper;59;
8074;gate-keeper;60;
8075;frui_1;59;
8076;frui_0;60;
8100;final-crs_6;59;1449
8120;final-crs_7;60;4066
8383;gate-keeper;61;
8384;vege_0;61;
8384;gate-keeper;62;
8385;gate-keeper;63;
8387;frui_0;63;
