time;ckpt;id;money
329;gate-keeper;0;
330;gate-keeper;1;
333;vege_1;0;
335;vege_0;1;
447;final-crs_0;0;622
473;final-crs_1;1;1785
674;gate-keeper;2;
675;gate-keeper;3;
681;vege_0;3;
687;final-crs_1;3;681
690;meat_0;2;
697;final-crs_0;2;1144
926;gate-keeper;4;
927;gate-keeper;5;
929;vege_0;4;
929;frui_1;5;
933;final-crs_3;4;724
943;final-crs_1;5;922
1313;gate-keeper;6;
1314;gate-keeper;7;
1317;meat_0;6;
1327;meat_1;7;
1404;final-crs_3;6;850
1411;final-crs_6;7;86
1617;gate-keeper;8;
1618;gate-keeper;9;
1619;vege_0;8;
1619;gate-keeper;10;
1620;vege_1;9;
1625;frui_0;10;
1638;final-crs_6;8;244
1666;final-crs_3;9;314
1680;final-crs_1;10;2045
1871;gate-keeper;11;
1875;vege_1;11;
1883;final-crs_3;11;975
1932;gate-keeper;12;
1970;meat_0;12;
1993;final-crs_5;12;793
2229;gate-keeper;13;
2230;gate-keeper;14;
2232;vege_0;14;
2233;frui_0;13;
2313;final-crs_6;14;865
2355;final-crs_2;13;116
2490;gate-keeper;15;
2491;gate-keeper;16;
2496;vege_0;15;
2498;vege_1;16;
2574;final-crs_2;15;1199
2577;final-crs_6;16;621
2696;gate-keeper;17;
2730;meat_1;17;
2828;final-crs_6;17;294
2829;gate-keeper;18;
2832;vege_0;18;
2860;final-crs_8;18;484
3066;gate-keeper;19;
3067;gate-keeper;20;
3072;frui_1;19;
3074;vege_1;20;
3076;final-crs_6;19;1066
3083;final-crs_2;20;219
3340;gate-keeper;21;
3341;gate-keeper;22;
3342;vege_1;21;
3342;frui_1;22;
3346;final-crs_8;21;598
3362;final-crs_0;22;1547
3564;gate-keeper;23;
3569;vege_1;23;
3573;final-crs_0;23;808
3639;gate-keeper;24;
3642;vege_1;24;
3777;final-crs_0;24;998
3923;gate-keeper;25;
3924;vege_0;25;
3924;gate-keeper;26;
3929;frui_0;26;
4019;final-crs_0;25;1191
4040;final-crs_6;26;1692
4226;gate-keeper;27;
4227;gate-keeper;28;
4232;vege_0;28;
4245;final-crs_0;28;713
4256;meat_0;27;
4268;final-crs_1;27;541
4540;gate-keeper;29;
4541;frui_1;29;
4541;gate-keeper;30;
4545;final-crs_0;29;550
4550;meat_0;30;
4553;final-crs_8;30;534
4830;gate-keeper;31;
4831;gate-keeper;32;
4836;vege_0;31;
4837;final-crs_7;31;1814
4840;meat_1;32;
4960;final-crs_1;32;670
5114;gate-keeper;33;
5115;gate-keeper;34;
5116;frui_1;33;
5116;gate-keeper;35;
5121;frui_0;35;
5134;meat_1;34;
5168;final-crs_1;33;1598
5222;final-crs_6;35;233
5236;final-crs_3;34;2050
5405;gate-keeper;36;
5406;gate-keeper;37;
5407;frui_0;36;
5412;frui_1;37;
5428;final-crs_4;36;654
5462;final-crs_3;37;1512
5545;gate-keeper;38;
5551;meat_0;38;
5573;final-crs_7;38;877
5688;gate-keeper;39;
5690;frui_1;39;
5706;final-crs_5;39;843
5999;gate-keeper;40;
6000;frui_1;40;
6000;gate-keeper;41;
6003;final-crs_6;40;995
6003;frui_0;41;
6022;final-crs_0;41;914
6261;gate-keeper;42;
6262;gate-keeper;43;
6265;vege_0;43;
6269;meat_1;42;
6295;final-crs_2;43;281
6312;final-crs_7;42;1654
6569;gate-keeper;44;
6570;gate-keeper;45;
6575;frui_0;45;
6598;meat_0;44;
6637;final-crs_1;45;1031
6640;final-crs_4;44;426
6843;gate-keeper;46;
6844;gate-keeper;47;
6865;meat_1;46;
6878;final-crs_4;46;758
6898;meat_0;47;
6912;final-crs_1;47;165
7070;gate-keeper;48;
7073;frui_0;48;
7128;final-crs_4;48;219
7191;gate-keeper;49;
7195;vege_1;49;
7209;final-crs_6;49;615
7417;gate-keeper;50;
7418;gate-keeper;51;
7422;vege_0;50;
7426;vege_1;51;
7447;final-crs_5;50;653
7448;final-crs_2;51;417
7721;gate-keeper;52;
7722;gate-keeper;53;
7724;vege_1;52;
7727;vege_0;53;
7739;final-crs_3;52;1911
7741;final-crs_7;53;835
7980;gate-keeper;54;
7981;gate-keeper;55;
7982;frui_0;54;
7985;frui_1;55;
8023;final-crs_0;54;1348
8102;final-crs_4;55;1294
8299;gate-keeper;56;
8300;gate-keeper;57;
8303;vege_0;57;
8323;meat_1;56;
8334;final-crs_4;57;1137
8362;final-crs_1;56;743
8598;gate-keeper;58;
8599;frui_1;58;
8599;gate-keeper;59;
8604;frui_0;59;
8615;final-crs_1;58;230
8646;final-crs_6;59;299
8926;gate-keeper;60;
8927;gate-keeper;61;
8928;frui_0;61;
8937;meat_0;60;
8972;final-crs_8;61;795
9002;gate-keeper;62;
9005;vege_1;62;
9020;final-crs_4;60;1414
9049;final-crs_0;62;531
9178;gate-keeper;63;
9181;frui_0;63;
9207;final-crs_8;63;216
9531;gate-keeper;64;
9532;gate-keeper;65;
9533;gate-keeper;66;
9537;vege_1;64;
9538;frui_0;65;
9540;vege_0;66;
9549;final-crs_0;64;1472
9578;final-crs_3;65;745
9597;final-crs_6;66;1042
9834;gate-keeper;67;
9837;vege_0;67;
9846;final-crs_3;67;955
9879;gate-keeper;68;
9885;meat_0;68;
9927;final-crs_8;68;814
10125;gate-keeper;69;
10137;meat_1;69;
10164;final-crs_1;69;794
10379;gate-keeper;70;
10380;gate-keeper;71;
10381;vege_0;70;
10384;vege_1;71;
10402;final-crs_8;70;223
10426;final-crs_1;71;696
10619;gate-keeper;72;
10620;gate-keeper;73;
10621;vege_1;72;
10628;vege_0;73;
10644;final-crs_8;72;235
10677;final-crs_1;73;1356
10749;gate-keeper;74;
10758;vege_1;74;
10786;final-crs_0;74;289
10947;gate-keeper;75;
10955;meat_0;75;
10964;final-crs_4;75;450
11253;gate-keeper;76;
11254;gate-keeper;77;
11256;vege_0;76;
11279;final-crs_2;76;1531
11282;meat_1;77;
11330;final-crs_3;77;911
11445;gate-keeper;78;
11448;frui_1;78;
11475;final-crs_7;78;155
11519;gate-keeper;79;
11531;meat_1;79;
11532;final-crs_6;79;503
11818;gate-keeper;80;
11819;gate-keeper;81;
11825;vege_0;80;
11825;vege_1;81;
11838;final-crs_1;80;308
11928;final-crs_5;81;1178
12119;gate-keeper;82;
12120;vege_0;82;
12120;gate-keeper;83;
12127;vege_1;83;
12137;final-crs_5;82;551
12154;final-crs_8;83;190
12232;gate-keeper;84;
12236;vege_1;84;
12251;final-crs_7;84;1298
12455;gate-keeper;85;
12488;meat_0;85;
12502;final-crs_6;85;1163
12753;gate-keeper;86;
12754;gate-keeper;87;
12756;vege_1;86;
12758;vege_0;87;
12790;final-crs_3;86;780
12811;final-crs_5;87;1049
13058;gate-keeper;88;
13059;vege_1;88;
13059;gate-keeper;89;
13067;final-crs_5;88;1606
13075;meat_0;89;
13076;final-crs_2;89;261
13191;gate-keeper;90;
13192;vege_0;90;
13224;final-crs_6;90;742
13335;gate-keeper;91;
13340;vege_1;91;
13361;final-crs_2;91;907
13654;gate-keeper;92;
13655;gate-keeper;93;
13656;gate-keeper;94;
13661;frui_1;94;
13670;meat_0;92;
13673;meat_1;93;
13703;final-crs_1;94;595
13729;final-crs_7;92;638
13744;final-crs_5;93;220
13972;gate-keeper;95;
13973;frui_1;95;
13973;gate-keeper;96;
13976;final-crs_5;95;125
13978;frui_0;96;
14005;final-crs_8;96;347
14293;gate-keeper;97;
14294;gate-keeper;98;
14297;frui_1;98;
14298;vege_0;97;
14306;final-crs_0;98;505
14320;final-crs_2;97;1405
14593;gate-keeper;99;
14594;gate-keeper;100;
14598;vege_0;99;
14598;vege_1;100;
14603;final-crs_5;99;1653
14606;final-crs_0;100;421
14852;gate-keeper;101;
14853;gate-keeper;102;
14858;frui_0;101;
14886;final-crs_4;101;1634
14891;meat_1;102;
14918;final-crs_6;102;1254
15000;gate-keeper;103;
15007;meat_0;103;
15017;final-crs_2;103;609
15146;gate-keeper;104;
15167;meat_0;104;
15174;final-crs_3;104;666
15468;gate-keeper;105;
15469;gate-keeper;106;
15497;meat_1;105;
15499;final-crs_0;105;791
15510;meat_0;106;
