time;ckpt;id;money
320;gate-keeper;0;
321;gate-keeper;1;
323;vege_0;0;
323;vege_1;1;
443;final-crs_1;0;1167
451;final-crs_6;1;1018
618;gate-keeper;2;
619;gate-keeper;3;
627;vege_1;2;
628;vege_0;3;
650;final-crs_1;2;828
698;final-crs_4;3;864
792;gate-keeper;4;
793;frui_0;4;
820;final-crs_8;4;1154
954;gate-keeper;5;
957;frui_1;5;
972;final-crs_5;5;1049
1276;gate-keeper;6;
1277;gate-keeper;7;
1280;vege_0;6;
1280;vege_1;7;
1299;final-crs_8;6;1352
1367;final-crs_0;7;1651
1584;gate-keeper;8;
1585;frui_1;8;
1585;gate-keeper;9;
1590;vege_1;9;
1615;final-crs_4;8;222
1627;final-crs_0;9;951
1943;gate-keeper;10;
1944;gate-keeper;11;
1945;vege_1;10;
1945;gate-keeper;12;
1948;vege_0;11;
1954;final-crs_7;10;495
1954;vege_1;12;
1959;final-crs_3;11;924
2055;final-crs_8;12;621
2301;gate-keeper;13;
2302;gate-keeper;14;
2305;vege_1;13;
2307;vege_0;14;
2345;final-crs_0;13;1292
2350;final-crs_5;14;548
2458;gate-keeper;15;
2459;vege_0;15;
2532;final-crs_8;15;519
2657;gate-keeper;16;
2660;vege_0;16;
2662;final-crs_2;16;1313
2977;gate-keeper;17;
2978;frui_0;17;
2978;gate-keeper;18;
2979;gate-keeper;19;
2983;vege_0;18;
2985;vege_1;19;
3004;final-crs_8;17;886
3062;final-crs_0;18;581
3067;final-crs_4;19;1729
3302;gate-keeper;20;
3303;gate-keeper;21;
3306;vege_0;21;
3307;final-crs_4;21;1435
3308;frui_1;20;
3366;final-crs_1;20;1574
3495;gate-keeper;22;
3498;vege_1;22;
3504;final-crs_6;22;386
3581;gate-keeper;23;
3585;frui_0;23;
3593;final-crs_1;23;277
3788;gate-keeper;24;
3790;vege_1;24;
3824;final-crs_3;24;76
3870;gate-keeper;25;
3873;vege_0;25;
3876;final-crs_1;25;438
4144;gate-keeper;26;
4145;gate-keeper;27;
4151;vege_0;26;
4151;vege_1;27;
4214;final-crs_4;26;152
4215;final-crs_0;27;832
4406;gate-keeper;28;
4410;vege_0;28;
4419;final-crs_0;28;154
4540;gate-keeper;29;
4541;frui_0;29;
4557;final-crs_3;29;218
4824;gate-keeper;30;
4825;gate-keeper;31;
4827;vege_0;30;
4829;vege_1;31;
4844;final-crs_1;30;133
4863;final-crs_0;31;1006
5130;gate-keeper;32;
5131;frui_0;32;
5131;gate-keeper;33;
5133;frui_1;33;
5137;final-crs_2;32;220
5145;final-crs_8;33;343
5301;gate-keeper;34;
5302;gate-keeper;35;
5303;vege_1;34;
5311;vege_0;35;
5371;final-crs_0;34;771
5373;final-crs_7;35;1292
5496;gate-keeper;36;
5498;frui_0;36;
5502;final-crs_4;36;388
5771;gate-keeper;37;
5772;gate-keeper;38;
5773;vege_0;37;
5774;frui_0;38;
5778;final-crs_3;37;227
5803;final-crs_7;38;1421
6069;gate-keeper;39;
6070;gate-keeper;40;
6073;frui_1;39;
6075;frui_0;40;
6081;final-crs_8;39;761
6148;final-crs_5;40;217
6275;gate-keeper;41;
6277;frui_1;41;
6295;final-crs_3;41;118
6391;gate-keeper;42;
6396;vege_1;42;
6398;final-crs_4;42;536
6716;gate-keeper;43;
6717;gate-keeper;44;
6718;vege_0;43;
6724;vege_1;44;
6742;final-crs_2;43;616
6775;final-crs_7;44;1073
6787;gate-keeper;45;
6795;meat_0;45;
6837;final-crs_8;45;1334
6988;gate-keeper;46;
6994;frui_1;46;
7059;final-crs_0;46;835
7059;gate-keeper;47;
7066;vege_1;47;
7088;final-crs_8;47;685
7381;gate-keeper;48;
7382;gate-keeper;49;
7386;vege_0;48;
7387;vege_1;49;
7394;final-crs_3;48;1296
7397;final-crs_2;49;923
7687;gate-keeper;50;
7688;gate-keeper;51;
7689;vege_0;51;
7689;frui_1;50;
7703;final-crs_1;51;1237
7787;final-crs_7;50;976
7806;gate-keeper;52;
7808;vege_0;52;
7827;final-crs_5;52;676
7991;gate-keeper;53;
7992;vege_0;53;
8057;final-crs_0;53;1451
8340;gate-keeper;54;
8341;frui_0;54;
8341;gate-keeper;55;
8342;gate-keeper;56;
8347;frui_0;55;
8348;frui_1;56;
8378;final-crs_3;54;388
8418;final-crs_1;55;229
8497;final-crs_7;56;453
8695;gate-keeper;57;
8696;vege_0;57;
8696;gate-keeper;58;
8700;frui_0;58;
8738;final-crs_8;57;874
8769;final-crs_7;58;981
8834;gate-keeper;59;
8835;vege_1;59;
8866;final-crs_1;59;1716
8935;gate-keeper;60;
8940;frui_1;60;
8995;final-crs_8;60;1009
9217;gate-keeper;61;
9218;frui_0;61;
9218;gate-keeper;62;
9235;final-crs_0;61;560
9268;meat_0;62;
9282;final-crs_4;62;1329
9548;gate-keeper;63;
9549;gate-keeper;64;
9555;vege_0;63;
9555;vege_1;64;
9590;final-crs_6;63;740
9634;final-crs_3;64;1121
9769;gate-keeper;65;
9770;gate-keeper;66;
9772;frui_1;65;
9775;final-crs_7;65;1015
9782;meat_0;66;
9783;final-crs_6;66;969
10121;gate-keeper;67;
10122;gate-keeper;68;
10123;frui_1;67;
10128;vege_0;68;
10165;final-crs_2;67;761
10167;final-crs_0;68;287
10383;gate-keeper;69;
10384;gate-keeper;70;
10385;vege_0;69;
10388;frui_1;70;
10410;final-crs_0;69;874
10414;final-crs_2;70;207
10642;gate-keeper;71;
10643;gate-keeper;72;
10647;vege_1;71;
10649;frui_0;72;
10656;final-crs_8;71;739
10661;final-crs_0;72;620
10969;gate-keeper;73;
10970;vege_1;73;
10970;gate-keeper;74;
10971;vege_0;74;
10990;final-crs_4;73;431
10999;final-crs_3;74;477
11274;gate-keeper;75;
11275;gate-keeper;76;
11278;vege_1;76;
11283;final-crs_5;76;212
11292;meat_0;75;
11329;final-crs_0;75;634
11632;gate-keeper;77;
11633;gate-keeper;78;
11634;gate-keeper;79;
11636;vege_0;77;
11637;vege_1;78;
11644;final-crs_2;77;635
11645;vege_0;79;
11689;final-crs_7;78;822
11703;final-crs_4;79;851
11918;gate-keeper;80;
11919;vege_1;80;
11936;final-crs_3;80;693
12193;gate-keeper;81;
12194;gate-keeper;82;
12196;vege_0;81;
12204;final-crs_3;81;970
12205;meat_0;82;
12238;final-crs_6;82;735
12471;gate-keeper;83;
12472;gate-keeper;84;
12474;vege_1;84;
12475;frui_1;83;
12493;final-crs_6;84;1197
12517;final-crs_5;83;1177
12728;gate-keeper;85;
12729;gate-keeper;86;
12731;vege_0;85;
12735;vege_1;86;
12740;final-crs_3;85;1232
12741;final-crs_5;86;714
13091;gate-keeper;87;
13092;gate-keeper;88;
13093;frui_1;88;
13093;gate-keeper;89;
13096;vege_1;87;
13099;vege_0;89;
13104;final-crs_0;88;472
13181;final-crs_1;87;178
13181;final-crs_7;89;450
13362;gate-keeper;90;
13365;vege_1;90;
13421;final-crs_1;90;591
13574;gate-keeper;91;
13575;gate-keeper;92;
13578;frui_1;92;
13603;meat_1;91;
13638;final-crs_1;92;808
13641;final-crs_4;91;579
13875;gate-keeper;93;
13876;gate-keeper;94;
13877;frui_1;93;
13880;vege_0;94;
13942;final-crs_5;93;151
13947;final-crs_7;94;317
14239;gate-keeper;95;
14240;gate-keeper;96;
14242;vege_1;96;
14244;frui_1;95;
14264;final-crs_4;96;262
14269;final-crs_2;95;138
14338;gate-keeper;97;
14339;vege_1;97;
14387;final-crs_1;97;92
14411;gate-keeper;98;
14417;vege_1;98;
14421;final-crs_3;98;1010
14831;gate-keeper;99;
14832;gate-keeper;100;
14833;vege_1;99;
14833;frui_1;100;
14885;final-crs_2;99;583
14910;final-crs_3;100;1494
15163;gate-keeper;101;
15164;gate-keeper;102;
15165;vege_0;101;
15165;gate-keeper;103;
15168;vege_1;102;
15178;final-crs_1;101;95
15178;final-crs_5;102;1251
15186;meat_0;103;
15233;final-crs_6;103;1667
15472;gate-keeper;104;
15473;vege_1;104;
15473;gate-keeper;105;
15481;final-crs_0;104;105
15481;vege_0;105;
15482;final-crs_6;105;1864
15752;gate-keeper;106;
15753;vege_0;106;
15753;gate-keeper;107;
15757;vege_1;107;
15762;final-crs_4;106;189
15862;final-crs_3;107;1914
16098;gate-keeper;108;
16099;gate-keeper;109;
16100;vege_1;108;
16101;final-crs_7;108;368
16105;vege_0;109;
16109;final-crs_2;109;1137
16390;gate-keeper;110;
16391;gate-keeper;111;
16392;frui_0;110;
16407;final-crs_8;110;190
16415;meat_0;111;
16478;final-crs_4;111;450
16692;gate-keeper;112;
16693;vege_1;112;
16693;gate-keeper;113;
