time;ckpt;id;money
301;gate-keeper;0;
304;vege_1;0;
442;final-crs_5;0;67
571;gate-keeper;1;
575;meat_0;1;
686;final-crs_4;1;416
823;gate-keeper;2;
829;vege_1;2;
941;final-crs_4;2;134
1159;gate-keeper;3;
1160;gate-keeper;4;
1164;frui_0;4;
1178;meat_0;3;
1185;final-crs_4;4;420
1221;final-crs_5;3;360
1452;gate-keeper;5;
1458;frui_0;5;
1468;final-crs_5;5;470
1690;gate-keeper;6;
1699;vege_0;6;
1709;final-crs_2;6;507
1798;gate-keeper;7;
1799;frui_1;7;
1900;final-crs_4;7;1218
2115;gate-keeper;8;
2123;vege_0;8;
2190;final-crs_5;8;745
2419;gate-keeper;9;
2427;vege_0;9;
2444;final-crs_5;9;1153
2591;gate-keeper;10;
2593;meat_1;10;
2657;final-crs_5;10;67
2737;gate-keeper;11;
2756;meat_0;11;
2813;final-crs_1;11;1240
3063;gate-keeper;12;
3064;gate-keeper;13;
3067;vege_0;12;
3070;vege_1;13;
3093;final-crs_4;12;244
3137;final-crs_5;13;968
3397;gate-keeper;14;
3403;vege_0;14;
3459;final-crs_3;14;276
3571;gate-keeper;15;
3574;vege_1;15;
3588;final-crs_5;15;573
3676;gate-keeper;16;
3729;meat_1;16;
3731;final-crs_0;16;111
3913;gate-keeper;17;
3927;meat_0;17;
3939;final-crs_3;17;650
4197;gate-keeper;18;
4200;vege_0;18;
4231;final-crs_1;18;276
4421;gate-keeper;19;
4423;vege_1;19;
4438;final-crs_3;19;922
4505;gate-keeper;20;
4546;meat_0;20;
4554;final-crs_4;20;472
4744;gate-keeper;21;
4783;meat_0;21;
4798;final-crs_4;21;943
5074;gate-keeper;22;
5076;meat_0;22;
5096;final-crs_3;22;824
5258;gate-keeper;23;
5259;vege_1;23;
5333;final-crs_3;23;1221
5404;gate-keeper;24;
5451;meat_0;24;
5456;final-crs_4;24;689
5735;gate-keeper;25;
5736;gate-keeper;26;
5737;meat_0;26;
5739;vege_1;25;
5789;final-crs_5;26;289
5816;final-crs_2;25;1483
6049;gate-keeper;27;
6082;meat_0;27;
6112;final-crs_3;27;1172
6268;gate-keeper;28;
6269;vege_0;28;
6269;gate-keeper;29;
6290;final-crs_2;28;118
6299;meat_0;29;
6325;final-crs_5;29;670
6646;gate-keeper;30;
6647;vege_0;30;
6670;final-crs_4;30;698
6957;gate-keeper;31;
6958;gate-keeper;32;
6961;frui_0;32;
6962;final-crs_1;32;1031
6966;meat_0;31;
6987;final-crs_2;31;238
7110;gate-keeper;33;
7114;vege_0;33;
7132;final-crs_0;33;1286
7544;gate-keeper;34;
7545;gate-keeper;35;
7546;vege_1;34;
7553;vege_0;35;
7561;final-crs_5;34;537
7630;final-crs_4;35;753
7805;gate-keeper;36;
7837;meat_1;36;
7839;final-crs_4;36;657
7949;gate-keeper;37;
7965;meat_1;37;
8046;final-crs_3;37;274
8414;gate-keeper;38;
8415;gate-keeper;39;
8416;vege_1;38;
8417;vege_0;39;
8424;final-crs_0;38;926
8445;final-crs_1;39;217
8719;gate-keeper;40;
8720;vege_1;40;
8722;final-crs_3;40;123
8880;gate-keeper;41;
8881;vege_1;41;
8926;final-crs_1;41;1085
9012;gate-keeper;42;
9014;vege_0;42;
9023;final-crs_2;42;1615
9277;gate-keeper;43;
9285;meat_1;43;
9310;final-crs_5;43;653
9569;gate-keeper;44;
9574;vege_1;44;
9584;final-crs_4;44;306
9874;gate-keeper;45;
9875;gate-keeper;46;
9880;vege_1;45;
9883;vege_0;46;
9887;final-crs_3;45;1013
9938;final-crs_2;46;192
10246;gate-keeper;47;
10247;gate-keeper;48;
10271;meat_0;47;
10281;final-crs_0;47;99
10307;meat_1;48;
10312;final-crs_4;48;615
10572;gate-keeper;49;
10582;meat_0;49;
10584;final-crs_4;49;799
10811;gate-keeper;50;
10817;meat_1;50;
10850;final-crs_3;50;321
11077;gate-keeper;51;
11135;meat_1;51;
11159;final-crs_1;51;230
11164;gate-keeper;52;
11168;vege_0;52;
11224;final-crs_5;52;443
11445;gate-keeper;53;
11452;vege_1;53;
11474;final-crs_0;53;121
11761;gate-keeper;54;
11762;gate-keeper;55;
11768;vege_0;54;
11778;meat_1;55;
11807;final-crs_4;54;881
11844;final-crs_2;55;210
12006;gate-keeper;56;
12011;vege_0;56;
12099;final-crs_1;56;884
12303;gate-keeper;57;
12304;gate-keeper;58;
12305;meat_1;57;
12328;meat_0;58;
12338;final-crs_1;57;798
12349;final-crs_3;58;1139
12572;gate-keeper;59;
12578;meat_0;59;
12606;final-crs_0;59;186
12821;gate-keeper;60;
12824;frui_0;60;
12851;final-crs_2;60;521
13160;gate-keeper;61;
13161;gate-keeper;62;
13165;vege_1;61;
13169;vege_0;62;
13215;final-crs_3;61;532
13296;final-crs_0;62;1046
13460;gate-keeper;63;
13467;meat_1;63;
13537;final-crs_2;63;1316
13791;gate-keeper;64;
13792;gate-keeper;65;
13793;frui_1;64;
13794;vege_0;65;
13795;final-crs_2;64;373
13801;final-crs_1;65;520
14088;gate-keeper;66;
14113;meat_1;66;
14256;final-crs_3;66;220
14428;gate-keeper;67;
14429;gate-keeper;68;
14435;vege_0;67;
14435;vege_1;68;
14491;final-crs_3;67;749
14509;final-crs_0;68;1438
14699;gate-keeper;69;
14702;vege_0;69;
14749;final-crs_0;69;483
15042;gate-keeper;70;
15043;gate-keeper;71;
15045;vege_1;70;
15051;vege_0;71;
15208;final-crs_2;70;2192
15244;final-crs_3;71;157
15321;gate-keeper;72;
15323;frui_0;72;
15417;final-crs_2;72;1130
15605;gate-keeper;73;
15606;gate-keeper;74;
15609;meat_1;74;
15613;vege_0;73;
15639;final-crs_2;74;1972
15688;final-crs_0;73;108
15855;gate-keeper;75;
15901;meat_1;75;
15911;final-crs_0;75;1616
16026;gate-keeper;76;
16027;vege_0;76;
16062;final-crs_1;76;1170
16416;gate-keeper;77;
16417;gate-keeper;78;
16425;vege_0;77;
16425;vege_1;78;
16480;final-crs_3;77;80
16482;final-crs_1;78;1496
16717;gate-keeper;79;
16721;vege_1;79;
16737;final-crs_4;79;1324
