time;ckpt;id;money
319;gate-keeper;0;
343;meat_0;0;
425;final-crs_0;0;603
630;gate-keeper;1;
631;vege_0;1;
657;final-crs_0;1;1042
834;gate-keeper;2;
837;frui_1;2;
874;final-crs_0;2;1255
1239;gate-keeper;3;
1243;vege_0;3;
1345;final-crs_0;3;305
1543;gate-keeper;4;
1545;vege_0;4;
1611;final-crs_0;4;414
1809;gate-keeper;5;
1813;vege_0;5;
1852;final-crs_0;5;876
2135;gate-keeper;6;
2136;vege_1;6;
2138;final-crs_4;6;756
2577;gate-keeper;7;
2582;vege_1;7;
2628;final-crs_4;7;414
2734;gate-keeper;8;
2742;vege_1;8;
2753;final-crs_0;8;518
3057;gate-keeper;9;
3085;meat_1;9;
3091;final-crs_4;9;1176
3370;gate-keeper;10;
3372;vege_0;10;
3408;final-crs_5;10;951
3641;gate-keeper;11;
3642;frui_1;11;
3666;final-crs_5;11;314
3974;gate-keeper;12;
3975;vege_1;12;
4010;final-crs_4;12;1979
4295;gate-keeper;13;
4296;frui_0;13;
4301;final-crs_4;13;1712
4560;gate-keeper;14;
4567;meat_1;14;
4673;final-crs_2;14;736
4857;gate-keeper;15;
4858;frui_0;15;
4903;final-crs_2;15;1110
5121;gate-keeper;16;
5126;vege_0;16;
5135;final-crs_2;16;1499
5416;gate-keeper;17;
5417;frui_0;17;
5465;final-crs_0;17;440
5753;gate-keeper;18;
5754;meat_0;18;
5764;final-crs_1;18;529
6032;gate-keeper;19;
6035;vege_0;19;
6037;final-crs_5;19;1406
6322;gate-keeper;20;
6340;meat_1;20;
6442;final-crs_0;20;71
6589;gate-keeper;21;
6591;vege_1;21;
6681;final-crs_1;21;645
6904;gate-keeper;22;
6905;vege_0;22;
6912;final-crs_1;22;113
7212;gate-keeper;23;
7215;frui_1;23;
7220;final-crs_4;23;955
7501;gate-keeper;24;
7505;frui_1;24;
7553;final-crs_2;24;216
7795;gate-keeper;25;
7798;vege_1;25;
7803;final-crs_2;25;1219
8098;gate-keeper;26;
8104;vege_0;26;
8129;final-crs_3;26;1658
8423;gate-keeper;27;
8426;vege_0;27;
8489;final-crs_1;27;487
8732;gate-keeper;28;
8733;gate-keeper;29;
8734;frui_0;28;
8739;frui_1;29;
8757;final-crs_2;28;220
8778;final-crs_0;29;174
9213;gate-keeper;30;
9214;meat_0;30;
9216;final-crs_4;30;530
9647;gate-keeper;31;
9648;vege_1;31;
9648;gate-keeper;32;
9653;vege_0;32;
9677;final-crs_3;31;1456
9686;final-crs_0;32;1068
9954;gate-keeper;33;
9956;frui_0;33;
9963;final-crs_4;33;501
10278;gate-keeper;34;
10280;vege_1;34;
10350;final-crs_5;34;86
10553;gate-keeper;35;
10554;frui_1;35;
10607;final-crs_5;35;81
10960;gate-keeper;36;
10965;frui_0;36;
11007;final-crs_4;36;69
11497;gate-keeper;37;
11498;gate-keeper;38;
11502;frui_1;38;
11507;meat_0;37;
11512;final-crs_4;38;1162
11569;final-crs_3;37;659
11868;gate-keeper;39;
11871;vege_0;39;
11910;final-crs_2;39;158
12400;gate-keeper;40;
12437;meat_0;40;
12442;final-crs_1;40;1581
12663;gate-keeper;41;
12664;frui_0;41;
12684;final-crs_1;41;871
12968;gate-keeper;42;
12969;meat_1;42;
13029;final-crs_3;42;672
13281;gate-keeper;43;
13283;vege_0;43;
13313;final-crs_5;43;1081
13560;gate-keeper;44;
13567;vege_0;44;
13571;final-crs_2;44;1014
13868;gate-keeper;45;
13871;frui_1;45;
13909;final-crs_3;45;783
14179;gate-keeper;46;
14183;meat_0;46;
14184;final-crs_4;46;703
14517;gate-keeper;47;
14521;vege_1;47;
14526;final-crs_2;47;676
14790;gate-keeper;48;
14792;frui_0;48;
14830;final-crs_4;48;458
15055;gate-keeper;49;
15056;vege_0;49;
15106;final-crs_4;49;2006
15376;gate-keeper;50;
15380;frui_0;50;
15449;final-crs_0;50;864
15613;gate-keeper;51;
15616;vege_0;51;
15665;final-crs_0;51;1673
16028;gate-keeper;52;
16032;vege_1;52;
16110;final-crs_0;52;64
16306;gate-keeper;53;
16307;vege_0;53;
16332;final-crs_0;53;1151
16548;gate-keeper;54;
16550;vege_0;54;
16587;final-crs_3;54;879
16840;gate-keeper;55;
16841;vege_0;55;
16846;final-crs_3;55;640
17123;gate-keeper;56;
17133;meat_0;56;
17135;final-crs_5;56;1189
17411;gate-keeper;57;
17413;vege_1;57;
17549;final-crs_3;57;688
17753;gate-keeper;58;
17754;vege_1;58;
17760;final-crs_3;58;82
18076;gate-keeper;59;
18077;frui_1;59;
18087;final-crs_2;59;633
18359;gate-keeper;60;
18360;meat_0;60;
18460;final-crs_4;60;555
18872;gate-keeper;61;
18873;gate-keeper;62;
18875;frui_0;61;
18908;meat_0;62;
18944;final-crs_4;61;90
18983;final-crs_2;62;677
19180;gate-keeper;63;
19181;vege_1;63;
19181;gate-keeper;64;
19185;vege_0;64;
19210;final-crs_2;63;889
19210;final-crs_4;64;844
19281;gate-keeper;65;
19287;vege_1;65;
19295;final-crs_0;65;1112
19533;gate-keeper;66;
19534;gate-keeper;67;
19536;vege_0;66;
19538;vege_1;67;
19539;final-crs_0;66;611
19558;final-crs_3;67;1255
19818;gate-keeper;68;
19819;gate-keeper;69;
19822;frui_0;68;
19853;meat_0;69;
19866;final-crs_3;68;1389
19928;final-crs_4;69;162
20161;gate-keeper;70;
20162;gate-keeper;71;
20166;vege_0;70;
20186;final-crs_5;70;906
20215;meat_1;71;
20242;final-crs_0;71;898
20380;gate-keeper;72;
20381;vege_1;72;
20381;gate-keeper;73;
20386;vege_0;73;
20393;final-crs_5;72;1269
20407;final-crs_4;73;897
20416;gate-keeper;74;
20417;gate-keeper;75;
20423;vege_0;75;
20456;meat_1;74;
20489;final-crs_1;75;193
20519;final-crs_0;74;327
20712;gate-keeper;76;
20715;frui_0;76;
20726;final-crs_1;76;1144
21043;gate-keeper;77;
21044;frui_0;77;
21047;final-crs_3;77;1676
21302;gate-keeper;78;
21304;vege_1;78;
21371;final-crs_5;78;1100
21575;gate-keeper;79;
21576;gate-keeper;80;
21580;frui_0;79;
21581;frui_1;80;
21636;final-crs_4;79;81
21643;final-crs_5;80;152
21819;gate-keeper;81;
21820;frui_0;81;
21820;gate-keeper;82;
21821;gate-keeper;83;
21827;vege_0;82;
21845;meat_1;83;
21879;final-crs_5;81;1734
21887;final-crs_4;82;183
21934;final-crs_0;83;1170
22118;gate-keeper;84;
22122;vege_0;84;
22131;final-crs_5;84;392
22389;gate-keeper;85;
22399;vege_0;85;
22429;final-crs_0;85;454
22651;gate-keeper;86;
22652;gate-keeper;87;
22655;vege_1;86;
22656;vege_0;87;
22666;final-crs_1;86;828
22685;final-crs_0;87;1068
22879;gate-keeper;88;
22880;gate-keeper;89;
22885;vege_0;88;
22885;vege_1;89;
22917;final-crs_2;88;838
22932;final-crs_1;89;1177
22961;gate-keeper;90;
22962;gate-keeper;91;
22963;vege_1;91;
22963;frui_0;90;
22999;final-crs_3;91;496
23068;final-crs_4;90;950
23209;gate-keeper;92;
23210;gate-keeper;93;
23214;frui_1;92;
23251;meat_1;93;
23257;final-crs_3;92;672
23325;final-crs_4;93;351
23490;gate-keeper;94;
23491;gate-keeper;95;
23495;vege_0;95;
23495;frui_0;94;
23554;final-crs_4;95;637
23569;final-crs_5;94;1740
23797;gate-keeper;96;
23798;gate-keeper;97;
23801;frui_1;96;
23802;frui_0;97;
23807;final-crs_5;96;361
23810;gate-keeper;98;
23811;gate-keeper;99;
23812;vege_1;98;
23816;vege_0;99;
23893;final-crs_1;97;79
23897;final-crs_2;98;723
23963;final-crs_4;99;542
24127;gate-keeper;100;
24128;gate-keeper;101;
24138;meat_1;100;
24139;final-crs_1;100;886
24157;meat_0;101;
24175;final-crs_3;101;574
24419;gate-keeper;102;
24420;gate-keeper;103;
24424;vege_0;102;
24425;frui_0;103;
24438;final-crs_4;102;445
24455;final-crs_0;103;179
24683;gate-keeper;104;
24684;gate-keeper;105;
24685;vege_1;104;
24686;frui_1;105;
24690;final-crs_4;104;482
24691;final-crs_0;105;346
24693;gate-keeper;106;
24694;gate-keeper;107;
24695;frui_0;107;
24703;meat_0;106;
24740;final-crs_5;107;951
24742;final-crs_2;106;923
24967;gate-keeper;108;
24968;gate-keeper;109;
24997;meat_0;108;
25002;final-crs_2;108;462
25029;meat_1;109;
25136;final-crs_1;109;859
25264;gate-keeper;110;
25265;vege_0;110;
25357;final-crs_1;110;925
25561;gate-keeper;111;
25563;frui_0;111;
25578;final-crs_1;111;144
25834;gate-keeper;112;
25839;vege_0;112;
25882;final-crs_3;112;749
26111;gate-keeper;113;
26112;gate-keeper;114;
26131;meat_1;113;
26135;final-crs_3;113;502
26139;meat_0;114;
26142;final-crs_5;114;988
26352;gate-keeper;115;
26353;gate-keeper;116;
26355;vege_0;115;
26363;vege_0;116;
26372;final-crs_5;115;1074
26413;final-crs_4;116;400
26613;gate-keeper;117;
26652;meat_1;117;
26699;gate-keeper;118;
26701;frui_0;118;
26729;final-crs_0;117;1829
26754;final-crs_2;118;318
27206;gate-keeper;119;
27207;gate-keeper;120;
27208;frui_1;120;
27219;meat_1;119;
27244;final-crs_1;120;702
27261;final-crs_2;119;656
27576;gate-keeper;121;
27580;vege_1;121;
27586;final-crs_5;121;362
28098;gate-keeper;122;
28122;meat_0;122;
28175;final-crs_1;122;1018
28375;gate-keeper;123;
28377;frui_1;123;
28398;final-crs_2;123;1151
28556;gate-keeper;124;
28562;frui_0;124;
28579;final-crs_0;124;1515
28940;gate-keeper;125;
28944;vege_0;125;
28971;final-crs_4;125;861
29241;gate-keeper;126;
29242;gate-keeper;127;
29244;vege_1;126;
29246;frui_0;127;
29272;final-crs_3;126;557
29333;final-crs_2;127;287
29844;gate-keeper;128;
29845;gate-keeper;129;
29846;frui_0;128;
29847;vege_0;129;
29862;final-crs_0;128;1070
29912;final-crs_4;129;1407
30182;gate-keeper;130;
30186;frui_0;130;
30216;final-crs_3;130;1087
30468;gate-keeper;131;
30471;frui_0;131;
30545;final-crs_2;131;433
30799;gate-keeper;132;
30807;vege_0;132;
30815;final-crs_1;132;1486
31059;gate-keeper;133;
31103;meat_0;133;
31165;final-crs_3;133;240
31293;gate-keeper;134;
31295;vege_1;134;
31299;final-crs_2;134;1174
31635;gate-keeper;135;
31637;frui_0;135;
31753;final-crs_2;135;635
31918;gate-keeper;136;
31920;vege_0;136;
31972;final-crs_2;136;959
32220;gate-keeper;137;
32224;vege_0;137;
32269;final-crs_5;137;1708
32496;gate-keeper;138;
32497;vege_1;138;
32545;final-crs_0;138;1576
33055;gate-keeper;139;
33056;gate-keeper;140;
33061;frui_0;140;
33069;meat_1;139;
33171;final-crs_3;140;889
33187;final-crs_1;139;979
33364;gate-keeper;141;
33370;frui_1;141;
33433;final-crs_5;141;289
33718;gate-keeper;142;
33748;meat_1;142;
33770;final-crs_4;142;197
34024;gate-keeper;143;
34036;meat_1;143;
34111;final-crs_5;143;624
34315;gate-keeper;144;
34320;vege_1;144;
34339;final-crs_5;144;1415
34927;gate-keeper;145;
34930;vege_0;145;
34940;final-crs_0;145;1007
35186;gate-keeper;146;
35187;vege_1;146;
35188;final-crs_4;146;1212
35419;gate-keeper;147;
35425;vege_0;147;
35429;final-crs_0;147;209
35818;gate-keeper;148;
35820;vege_1;148;
35844;final-crs_3;148;772
36125;gate-keeper;149;
36127;vege_1;149;
36138;final-crs_2;149;2009
36482;gate-keeper;150;
36483;gate-keeper;151;
36488;vege_0;150;
36490;vege_1;151;
36523;final-crs_1;150;298
36544;final-crs_2;151;2058
36759;gate-keeper;152;
36796;meat_0;152;
36858;final-crs_4;152;1354
37135;gate-keeper;153;
37143;vege_0;153;
37163;final-crs_0;153;1106
37402;gate-keeper;154;
37403;gate-keeper;155;
37407;vege_1;154;
37410;vege_0;155;
37426;final-crs_0;154;1253
37438;final-crs_5;155;1319
37689;gate-keeper;156;
37690;gate-keeper;157;
37693;frui_0;156;
37699;meat_1;157;
37725;final-crs_2;156;826
37755;final-crs_4;157;1754
37812;gate-keeper;158;
37814;vege_0;158;
37828;final-crs_3;158;543
37994;gate-keeper;159;
38015;meat_1;159;
38105;final-crs_1;159;796
38255;gate-keeper;160;
38256;frui_1;160;
38264;final-crs_1;160;859
38548;gate-keeper;161;
38549;gate-keeper;162;
38551;frui_1;162;
38556;vege_1;161;
38603;final-crs_0;162;475
38667;final-crs_5;161;333
38820;gate-keeper;163;
38821;frui_0;163;
38821;gate-keeper;164;
38824;frui_1;164;
38841;gate-keeper;165;
38844;frui_1;165;
38873;final-crs_4;163;909
38897;final-crs_2;164;700
38912;final-crs_5;165;243
39160;gate-keeper;166;
39162;vege_0;166;
39175;final-crs_3;166;114
39496;gate-keeper;167;
39502;frui_0;167;
39523;final-crs_0;167;269
39842;gate-keeper;168;
39889;meat_0;168;
39902;final-crs_1;168;519
40139;gate-keeper;169;
40140;frui_0;169;
40143;final-crs_1;169;1173
40387;gate-keeper;170;
40390;vege_1;170;
40391;final-crs_1;170;897
40666;gate-keeper;171;
40669;frui_0;171;
40745;final-crs_0;171;229
40948;gate-keeper;172;
40949;gate-keeper;173;
40951;vege_0;172;
40953;frui_0;173;
40995;final-crs_0;172;596
41027;final-crs_2;173;73
41289;gate-keeper;174;
41290;gate-keeper;175;
41301;meat_0;174;
41312;final-crs_5;174;706
41313;gate-keeper;176;
41314;vege_1;176;
41321;meat_1;175;
41323;final-crs_4;176;352
41333;final-crs_3;175;461
41654;gate-keeper;177;
41675;meat_0;177;
41778;final-crs_5;177;921
41940;gate-keeper;178;
41970;meat_0;178;
42001;final-crs_5;178;583
42096;gate-keeper;179;
42098;frui_0;179;
42242;final-crs_5;179;316
42491;gate-keeper;180;
42492;gate-keeper;181;
42494;vege_0;181;
42506;final-crs_4;181;887
42539;meat_0;180;
42594;final-crs_2;180;855
42763;gate-keeper;182;
42764;gate-keeper;183;
42767;meat_0;182;
42790;meat_1;183;
42796;final-crs_4;182;262
42835;final-crs_2;183;60
43083;gate-keeper;184;
43084;gate-keeper;185;
43089;vege_1;184;
43091;vege_0;185;
43149;final-crs_0;184;1198
43195;final-crs_3;185;1621
43411;gate-keeper;186;
43414;vege_0;186;
43417;final-crs_5;186;477
43716;gate-keeper;187;
43720;vege_1;187;
43735;final-crs_1;187;417
43996;gate-keeper;188;
43997;vege_0;188;
44054;final-crs_2;188;842
44259;gate-keeper;189;
44260;gate-keeper;190;
44261;frui_0;190;
44290;meat_1;189;
44296;final-crs_2;190;319
44316;final-crs_5;189;398
44555;gate-keeper;191;
44556;gate-keeper;192;
44557;frui_1;191;
44559;vege_0;192;
44575;final-crs_0;191;1055
44658;final-crs_3;192;91
44819;gate-keeper;193;
44823;vege_1;193;
44873;final-crs_3;193;606
44965;gate-keeper;194;
44968;vege_0;194;
44979;final-crs_1;194;847
45125;gate-keeper;195;
45126;frui_1;195;
45126;gate-keeper;196;
45128;vege_1;196;
45170;final-crs_5;195;153
45199;final-crs_2;196;1803
45458;gate-keeper;197;
45459;gate-keeper;198;
45466;vege_0;197;
45467;vege_1;198;
45468;final-crs_1;197;684
45512;final-crs_0;198;984
45755;gate-keeper;199;
45762;vege_1;199;
45766;final-crs_0;199;1747
45950;gate-keeper;200;
45951;frui_1;200;
45954;final-crs_4;200;228
46281;gate-keeper;201;
46287;frui_1;201;
46293;final-crs_0;201;503
46581;gate-keeper;202;
46582;gate-keeper;203;
46583;vege_0;203;
46586;frui_1;202;
46620;final-crs_3;203;421
46646;final-crs_2;202;1888
46856;gate-keeper;204;
46857;gate-keeper;205;
46858;frui_1;204;
46861;vege_0;205;
46874;final-crs_3;204;1653
46874;final-crs_4;205;1155
46922;gate-keeper;206;
46923;gate-keeper;207;
46924;vege_1;206;
46928;vege_0;207;
46948;final-crs_0;206;663
46959;final-crs_1;207;791
47252;gate-keeper;208;
47253;gate-keeper;209;
47259;vege_0;209;
47289;meat_0;208;
47304;final-crs_2;209;285
47376;final-crs_3;208;122
47581;gate-keeper;210;
47582;gate-keeper;211;
47583;vege_0;210;
47585;meat_0;211;
47598;final-crs_0;210;1024
47608;final-crs_3;211;708
47775;gate-keeper;212;
47776;gate-keeper;213;
47805;meat_1;212;
47806;meat_0;213;
47809;final-crs_0;212;340
47836;final-crs_3;213;1255
47906;gate-keeper;214;
47907;gate-keeper;215;
47909;vege_0;215;
47925;meat_0;214;
48010;final-crs_2;215;179
48036;final-crs_0;214;1120
48230;gate-keeper;216;
48231;gate-keeper;217;
48234;frui_0;216;
48235;frui_1;217;
48268;final-crs_0;216;1915
48292;final-crs_3;217;727
48481;gate-keeper;218;
48482;gate-keeper;219;
48483;frui_0;219;
48486;vege_1;218;
48546;final-crs_3;219;1242
48603;final-crs_5;218;390
48711;gate-keeper;220;
48712;gate-keeper;221;
48715;frui_1;221;
48754;meat_1;220;
48763;final-crs_0;221;418
48814;final-crs_3;220;912
49094;gate-keeper;222;
49095;gate-keeper;223;
49096;vege_1;222;
49097;frui_0;223;
49108;final-crs_5;222;213
49127;final-crs_1;223;344
49393;gate-keeper;224;
49396;frui_1;224;
49414;final-crs_1;224;815
49668;gate-keeper;225;
49669;frui_0;225;
49676;final-crs_2;225;785
50226;gate-keeper;226;
50228;frui_0;226;
50243;final-crs_5;226;1820
50558;gate-keeper;227;
50559;gate-keeper;228;
50560;vege_0;227;
50566;vege_1;228;
50641;final-crs_4;227;432
50658;final-crs_0;228;717
50852;gate-keeper;229;
50853;gate-keeper;230;
50860;vege_0;229;
50862;vege_1;230;
50877;final-crs_0;229;1160
50914;final-crs_3;230;181
51167;gate-keeper;231;
51168;gate-keeper;232;
51169;frui_0;232;
51185;final-crs_5;232;1086
51195;meat_1;231;
51208;final-crs_1;231;2229
51442;gate-keeper;233;
51443;gate-keeper;234;
51447;frui_0;234;
51448;final-crs_1;234;695
51449;vege_0;233;
51544;final-crs_4;233;210
51711;gate-keeper;235;
51712;gate-keeper;236;
51714;vege_0;236;
51722;meat_1;235;
51752;gate-keeper;237;
51753;frui_1;237;
51753;gate-keeper;238;
51756;frui_0;238;
51790;final-crs_4;236;1422
51794;final-crs_5;235;217
51844;final-crs_2;237;804
51851;final-crs_0;238;768
52014;gate-keeper;239;
52015;gate-keeper;240;
52016;vege_0;239;
52017;meat_1;240;
52022;final-crs_4;239;1045
52068;final-crs_2;240;1286
52309;gate-keeper;241;
52310;gate-keeper;242;
52311;frui_0;241;
52312;frui_1;242;
52329;final-crs_2;241;1070
52365;final-crs_1;242;1615
52635;gate-keeper;243;
52636;gate-keeper;244;
52645;vege_0;244;
52661;meat_1;243;
52678;gate-keeper;245;
52679;gate-keeper;246;
52680;frui_0;246;
52682;vege_1;245;
52738;final-crs_4;244;1598
52759;final-crs_5;243;909
52762;gate-keeper;247;
52763;gate-keeper;248;
52764;gate-keeper;249;
52765;gate-keeper;250;
52766;frui_0;250;
52766;gate-keeper;251;
52767;gate-keeper;252;
52768;gate-keeper;253;
52769;vege_0;248;
52771;vege_1;251;
52773;frui_0;253;
52781;final-crs_0;246;624
52785;meat_1;247;
52800;final-crs_1;245;268
52805;meat_0;249;
52825;final-crs_2;250;1252
52854;meat_1;252;
52858;gate-keeper;254;
52859;gate-keeper;255;
52863;vege_1;255;
52865;meat_0;254;
52907;final-crs_3;248;543
52999;final-crs_4;251;1108
53014;final-crs_1;253;311
53025;final-crs_2;247;829
53031;final-crs_0;249;955
53058;final-crs_5;252;191
53149;gate-keeper;256;
53150;vege_0;256;
53150;gate-keeper;257;
53155;final-crs_3;255;910
53157;vege_1;257;
53246;final-crs_4;254;652
53276;final-crs_1;256;1049
53282;final-crs_2;257;1255
53493;gate-keeper;258;
53494;gate-keeper;259;
53495;vege_0;258;
53495;gate-keeper;260;
53496;gate-keeper;261;
53497;vege_1;259;
53504;vege_0;261;
53506;meat_0;260;
53512;final-crs_1;258;1295
53520;final-crs_2;259;287
53539;final-crs_0;261;380
53540;final-crs_5;260;418
53791;gate-keeper;262;
53792;gate-keeper;263;
53793;vege_0;262;
53800;meat_0;263;
53949;final-crs_4;262;95
53987;final-crs_2;263;227
54078;gate-keeper;264;
54079;gate-keeper;265;
54080;frui_1;264;
54083;vege_0;265;
54188;final-crs_4;264;637
54209;final-crs_3;265;763
54393;gate-keeper;266;
54394;gate-keeper;267;
54395;frui_0;267;
54400;vege_0;266;
54412;gate-keeper;268;
54413;gate-keeper;269;
54417;final-crs_4;267;708
54419;vege_1;268;
54423;final-crs_3;266;505
54429;meat_0;269;
54493;final-crs_1;268;771
54510;final-crs_2;269;868
54701;gate-keeper;270;
54702;gate-keeper;271;
54705;vege_0;271;
54705;frui_1;270;
54754;final-crs_1;271;1476
54758;final-crs_2;270;317
55016;gate-keeper;272;
55017;gate-keeper;273;
55018;vege_1;273;
55018;frui_1;272;
55022;final-crs_5;273;1103
55148;final-crs_3;272;1037
55234;gate-keeper;274;
55235;gate-keeper;275;
55237;vege_0;274;
55242;vege_1;275;
55266;final-crs_0;274;833
55271;gate-keeper;276;
55272;gate-keeper;277;
55274;frui_1;276;
55281;meat_1;277;
55285;final-crs_5;275;618
55373;final-crs_4;276;119
55387;final-crs_3;277;383
55571;gate-keeper;278;
55572;gate-keeper;279;
55576;meat_1;278;
55578;meat_0;279;
55597;final-crs_1;278;262
55610;final-crs_4;279;2307
55856;gate-keeper;280;
55857;gate-keeper;281;
55861;vege_1;280;
55864;final-crs_4;280;155
55873;meat_0;281;
55885;final-crs_3;281;2167
56093;gate-keeper;282;
56094;gate-keeper;283;
56095;frui_0;282;
56095;gate-keeper;284;
56096;gate-keeper;285;
56097;vege_0;283;
56097;gate-keeper;286;
56098;gate-keeper;287;
56099;gate-keeper;288;
56102;frui_0;285;
56103;frui_1;286;
56105;gate-keeper;289;
56106;gate-keeper;290;
56107;meat_1;284;
56108;frui_0;287;
56110;frui_1;288;
56113;vege_1;289;
56113;gate-keeper;291;
56114;gate-keeper;292;
56115;vege_0;290;
56115;frui_0;292;
56122;meat_0;291;
56135;final-crs_3;282;956
56141;final-crs_0;283;235
56145;final-crs_4;285;1060
56182;final-crs_2;286;676
56242;final-crs_5;284;586
56255;final-crs_1;287;504
56339;final-crs_4;288;2125
56369;final-crs_3;289;514
56400;final-crs_0;290;1792
