time;ckpt;id;money
328;gate-keeper;0;
329;vege_0;0;
395;final-crs_3;0;2835
621;gate-keeper;1;
651;meat_0;1;
652;final-crs_3;1;385
875;gate-keeper;2;
900;meat_1;2;
963;final-crs_2;2;1253
969;gate-keeper;3;
974;vege_1;3;
1018;final-crs_0;3;742
1489;gate-keeper;4;
1490;gate-keeper;5;
1494;vege_1;5;
1514;meat_0;4;
1528;final-crs_1;5;416
1603;final-crs_3;4;1632
1845;gate-keeper;6;
1846;gate-keeper;7;
1853;vege_0;6;
1863;meat_0;7;
1915;final-crs_0;6;526
1923;final-crs_2;7;617
2122;gate-keeper;8;
2124;vege_0;8;
2153;final-crs_2;8;1976
2421;gate-keeper;9;
2422;frui_0;9;
2423;final-crs_4;9;1584
2780;gate-keeper;10;
2781;gate-keeper;11;
2783;vege_0;10;
2788;vege_1;11;
2839;final-crs_2;10;2623
2848;final-crs_0;11;635
3031;gate-keeper;12;
3036;vege_1;12;
3055;final-crs_2;12;971
3282;gate-keeper;13;
3283;frui_0;13;
3357;final-crs_0;13;3126
3578;gate-keeper;14;
3579;vege_1;14;
3579;gate-keeper;15;
3584;meat_1;15;
3602;final-crs_0;14;1966
3602;final-crs_5;15;3145
3867;gate-keeper;16;
3868;meat_1;16;
3942;final-crs_2;16;1823
4006;gate-keeper;17;
4007;frui_0;17;
4068;final-crs_5;17;1375
4204;gate-keeper;18;
4207;vege_1;18;
4238;final-crs_1;18;2104
4509;gate-keeper;19;
4511;vege_1;19;
4578;final-crs_5;19;1640
4760;gate-keeper;20;
4767;meat_0;20;
4805;final-crs_0;20;1948
4815;gate-keeper;21;
4816;frui_1;21;
4933;final-crs_1;21;1604
5090;gate-keeper;22;
5136;meat_0;22;
5201;final-crs_1;22;3969
5375;gate-keeper;23;
5377;vege_1;23;
5415;final-crs_1;23;2057
5648;gate-keeper;24;
5651;frui_1;24;
5654;final-crs_1;24;3389
6000;gate-keeper;25;
6001;meat_1;25;
6001;gate-keeper;26;
6002;frui_0;26;
6029;final-crs_5;25;3055
6162;final-crs_2;26;283
6297;gate-keeper;27;
6298;vege_0;27;
6372;final-crs_2;27;932
6513;gate-keeper;28;
6514;vege_1;28;
6661;final-crs_3;28;382
6855;gate-keeper;29;
6856;gate-keeper;30;
6857;vege_0;29;
6859;vege_1;30;
6888;final-crs_3;29;1475
6921;final-crs_1;30;966
7132;gate-keeper;31;
7134;vege_1;31;
7144;final-crs_2;31;785
7417;gate-keeper;32;
7436;meat_0;32;
7504;final-crs_5;32;885
7759;gate-keeper;33;
7760;gate-keeper;34;
7762;vege_0;34;
7784;meat_0;33;
7852;final-crs_2;34;4795
7877;final-crs_0;33;1393
8090;gate-keeper;35;
8097;vege_0;35;
8106;final-crs_0;35;2622
8349;gate-keeper;36;
8352;frui_1;36;
8387;final-crs_1;36;2443
8484;gate-keeper;37;
8491;vege_0;37;
8523;final-crs_2;37;489
8646;gate-keeper;38;
8648;frui_1;38;
8665;final-crs_4;38;720
8932;gate-keeper;39;
8933;vege_1;39;
8985;final-crs_0;39;1722
9208;gate-keeper;40;
9210;vege_0;40;
9228;final-crs_2;40;1249
9532;gate-keeper;41;
9533;gate-keeper;42;
9536;vege_0;42;
9562;final-crs_1;42;278
9585;meat_0;41;
9602;final-crs_4;41;3799
9841;gate-keeper;43;
9847;vege_0;43;
9860;final-crs_3;43;76
10146;gate-keeper;44;
10147;gate-keeper;45;
10151;frui_0;44;
10164;meat_1;45;
10178;final-crs_2;44;4635
10197;final-crs_5;45;1300
10467;gate-keeper;46;
10473;vege_1;46;
10490;final-crs_1;46;385
10753;gate-keeper;47;
10754;frui_0;47;
10813;final-crs_4;47;1038
11108;gate-keeper;48;
11109;vege_1;48;
11109;gate-keeper;49;
11141;meat_0;49;
11147;final-crs_5;48;2130
11227;final-crs_0;49;1210
11384;gate-keeper;50;
11391;frui_0;50;
11462;final-crs_0;50;805
11698;gate-keeper;51;
11704;frui_0;51;
11712;final-crs_3;51;2808
11969;gate-keeper;52;
11970;frui_0;52;
12018;final-crs_4;52;536
12273;gate-keeper;53;
12274;frui_0;53;
12281;gate-keeper;54;
12282;vege_1;54;
12291;final-crs_1;53;949
12304;final-crs_4;54;2165
12577;gate-keeper;55;
12579;vege_1;55;
12657;final-crs_2;55;242
12908;gate-keeper;56;
12912;vege_1;56;
12914;final-crs_0;56;2255
13164;gate-keeper;57;
13166;vege_1;57;
13171;final-crs_3;57;1042
13482;gate-keeper;58;
13483;gate-keeper;59;
13484;vege_1;58;
13489;vege_0;59;
13578;final-crs_4;58;633
13648;final-crs_5;59;2406
13767;gate-keeper;60;
13769;vege_0;60;
13804;final-crs_4;60;2178
14077;gate-keeper;61;
14078;gate-keeper;62;
14080;vege_0;61;
14080;meat_0;62;
14086;final-crs_4;61;1114
14096;final-crs_5;62;4433
14388;gate-keeper;63;
14391;vege_1;63;
14408;final-crs_2;63;2946
14589;gate-keeper;64;
14596;vege_0;64;
14621;final-crs_3;64;831
14708;gate-keeper;65;
14709;vege_0;65;
14721;final-crs_1;65;1030
14997;gate-keeper;66;
14998;vege_0;66;
14999;final-crs_0;66;1629
15315;gate-keeper;67;
15316;gate-keeper;68;
15317;vege_1;67;
15319;vege_0;68;
15332;final-crs_5;67;493
15370;final-crs_3;68;705
15575;gate-keeper;69;
15577;vege_0;69;
15592;final-crs_3;69;2558
15819;gate-keeper;70;
