time;ckpt;id;money
610;gate-keeper;0;
611;gate-keeper;1;
612;frui_1;1;
644;meat_0;0;
670;final-crs_3;1;578
687;final-crs_2;0;840
920;gate-keeper;2;
926;vege_0;2;
929;final-crs_2;2;937
1427;gate-keeper;3;
1428;gate-keeper;4;
1429;frui_0;4;
1433;vege_0;3;
1442;final-crs_4;4;871
1447;final-crs_1;3;246
1692;gate-keeper;5;
1696;vege_1;5;
1709;final-crs_2;5;415
2000;gate-keeper;6;
2002;frui_0;6;
2033;final-crs_3;6;80
2322;gate-keeper;7;
2325;vege_1;7;
2329;final-crs_4;7;1985
2599;gate-keeper;8;
2626;meat_1;8;
2649;final-crs_1;8;1026
2925;gate-keeper;9;
2926;vege_0;9;
2939;final-crs_5;9;948
3198;gate-keeper;10;
3206;vege_1;10;
3286;final-crs_0;10;793
3480;gate-keeper;11;
3482;vege_0;11;
3522;final-crs_0;11;500
3748;gate-keeper;12;
3752;frui_0;12;
3830;final-crs_4;12;289
3989;gate-keeper;13;
3991;vege_0;13;
3999;final-crs_2;13;491
4269;gate-keeper;14;
4270;vege_0;14;
4330;final-crs_4;14;1590
4671;gate-keeper;15;
4677;frui_0;15;
4754;final-crs_2;15;523
5011;gate-keeper;16;
5015;frui_0;16;
5053;final-crs_4;16;698
5290;gate-keeper;17;
5344;meat_1;17;
5402;final-crs_0;17;221
5627;gate-keeper;18;
5632;vege_1;18;
5661;final-crs_0;18;185
5932;gate-keeper;19;
5933;gate-keeper;20;
5935;vege_1;20;
5943;meat_1;19;
6075;final-crs_4;20;1398
6078;final-crs_2;19;91
6243;gate-keeper;21;
6244;frui_1;21;
6285;final-crs_4;21;530
6515;gate-keeper;22;
6516;vege_1;22;
6518;final-crs_4;22;805
6828;gate-keeper;23;
6831;meat_1;23;
6847;final-crs_0;23;105
7138;gate-keeper;24;
7139;frui_0;24;
7241;final-crs_3;24;344
7352;gate-keeper;25;
7354;vege_0;25;
7361;final-crs_1;25;1261
7721;gate-keeper;26;
7722;vege_0;26;
7726;final-crs_2;26;1153
7994;gate-keeper;27;
7996;vege_1;27;
8005;final-crs_5;27;1451
8272;gate-keeper;28;
8273;frui_0;28;
8290;final-crs_5;28;584
8596;gate-keeper;29;
8597;vege_1;29;
8633;final-crs_0;29;1291
8840;gate-keeper;30;
8842;vege_1;30;
8857;final-crs_0;30;914
9277;gate-keeper;31;
9285;vege_1;31;
9304;final-crs_1;31;562
9646;gate-keeper;32;
9649;vege_0;32;
9794;final-crs_1;32;291
9950;gate-keeper;33;
9953;vege_1;33;
10022;final-crs_1;33;683
10224;gate-keeper;34;
10226;vege_1;34;
10281;final-crs_4;34;431
10327;gate-keeper;35;
10329;vege_1;35;
10333;final-crs_2;35;293
10847;gate-keeper;36;
10850;vege_0;36;
10927;final-crs_1;36;726
10973;gate-keeper;37;
10974;frui_1;37;
11021;final-crs_5;37;164
11455;gate-keeper;38;
11456;vege_1;38;
11456;gate-keeper;39;
11463;vege_0;39;
11494;final-crs_4;38;277
11509;final-crs_2;39;1891
11784;gate-keeper;40;
11789;vege_1;40;
11800;final-crs_0;40;153
12084;gate-keeper;41;
12086;vege_1;41;
12100;final-crs_1;41;418
12392;gate-keeper;42;
12397;frui_0;42;
12439;final-crs_5;42;1163
12685;gate-keeper;43;
12688;vege_0;43;
12716;final-crs_3;43;508
13021;gate-keeper;44;
13028;meat_1;44;
13077;final-crs_2;44;1642
13315;gate-keeper;45;
13318;vege_1;45;
13372;final-crs_5;45;783
13582;gate-keeper;46;
13590;meat_0;46;
13591;final-crs_2;46;629
13912;gate-keeper;47;
13914;frui_0;47;
13947;final-crs_3;47;1114
14209;gate-keeper;48;
14211;vege_1;48;
14266;final-crs_0;48;984
14489;gate-keeper;49;
14491;vege_0;49;
14520;final-crs_5;49;595
14816;gate-keeper;50;
14821;frui_0;50;
14829;final-crs_1;50;296
15121;gate-keeper;51;
15123;vege_1;51;
15153;final-crs_3;51;143
15425;gate-keeper;52;
15426;vege_0;52;
15455;final-crs_4;52;563
15526;gate-keeper;53;
15527;vege_0;53;
15533;final-crs_1;53;403
15769;gate-keeper;54;
15772;vege_1;54;
15781;final-crs_2;54;139
16053;gate-keeper;55;
16059;vege_0;55;
16154;final-crs_4;55;841
16351;gate-keeper;56;
16359;vege_0;56;
16403;final-crs_4;56;466
16829;gate-keeper;57;
16836;vege_1;57;
16841;final-crs_4;57;136
17116;gate-keeper;58;
17120;vege_0;58;
17128;final-crs_0;58;1136
17323;gate-keeper;59;
17325;frui_1;59;
17329;final-crs_4;59;142
17635;gate-keeper;60;
17640;vege_0;60;
17648;final-crs_0;60;866
18058;gate-keeper;61;
18059;gate-keeper;62;
18062;vege_1;61;
18067;vege_0;62;
18116;final-crs_5;61;528
18139;final-crs_0;62;1492
18349;gate-keeper;63;
18350;frui_1;63;
18402;final-crs_0;63;94
18721;gate-keeper;64;
18727;meat_0;64;
18775;final-crs_2;64;1075
19032;gate-keeper;65;
19033;vege_1;65;
19070;final-crs_5;65;355
19233;gate-keeper;66;
19239;meat_0;66;
19254;final-crs_2;66;390
19598;gate-keeper;67;
19606;vege_0;67;
19623;final-crs_1;67;638
19875;gate-keeper;68;
19876;vege_1;68;
19876;gate-keeper;69;
19877;vege_0;69;
19877;gate-keeper;70;
19886;vege_1;70;
19971;final-crs_4;68;990
19986;gate-keeper;71;
19987;gate-keeper;72;
19988;vege_0;72;
19988;frui_0;71;
20006;final-crs_5;69;399
20014;final-crs_2;70;774
20044;final-crs_3;72;946
20065;final-crs_1;71;68
20137;gate-keeper;73;
20142;vege_0;73;
20233;final-crs_4;73;307
20480;gate-keeper;74;
20487;vege_1;74;
20508;final-crs_3;74;1279
20777;gate-keeper;75;
20781;vege_0;75;
20836;final-crs_1;75;282
21078;gate-keeper;76;
21079;frui_0;76;
21079;gate-keeper;77;
21080;gate-keeper;78;
21085;vege_0;77;
21085;vege_1;78;
21102;final-crs_1;76;739
21156;final-crs_5;77;584
21178;final-crs_2;78;656
21377;gate-keeper;79;
21378;gate-keeper;80;
21379;gate-keeper;81;
21380;vege_0;79;
21380;frui_1;80;
21382;frui_0;81;
21415;final-crs_5;79;77
21418;final-crs_0;80;206
21455;final-crs_3;81;1515
21665;gate-keeper;82;
21666;gate-keeper;83;
21667;vege_1;82;
21667;gate-keeper;84;
21669;final-crs_5;82;682
21669;frui_1;83;
21670;vege_0;84;
21693;final-crs_0;83;999
21705;final-crs_3;84;481
21710;gate-keeper;85;
21711;gate-keeper;86;
21712;gate-keeper;87;
21713;vege_1;85;
21713;frui_0;87;
21719;vege_0;86;
21795;final-crs_1;85;152
21830;final-crs_2;87;869
