time;ckpt;id;money
300;gate-keeper;0;
301;gate-keeper;1;
302;gate-keeper;2;
303;frui_0;2;
307;vege_1;1;
345;meat_0;0;
428;final-crs_11;2;886
454;final-crs_10;1;1596
455;final-crs_7;0;2462
559;gate-keeper;3;
560;gate-keeper;4;
561;gate-keeper;5;
562;vege_0;3;
590;meat_0;4;
605;meat_1;5;
624;final-crs_11;3;391
651;final-crs_10;4;843
685;final-crs_12;5;1947
800;gate-keeper;6;
801;gate-keeper;7;
802;gate-keeper;8;
803;frui_0;6;
812;meat_0;7;
816;gate-keeper;9;
822;vege_0;9;
830;meat_1;8;
871;final-crs_11;6;1607
891;final-crs_10;7;2310
906;final-crs_5;9;230
914;final-crs_0;8;1645
1042;gate-keeper;10;
1043;gate-keeper;11;
1048;vege_0;10;
1053;meat_0;11;
1107;final-crs_10;10;829
1108;final-crs_0;11;221
1386;gate-keeper;12;
1387;gate-keeper;13;
1388;gate-keeper;14;
1389;vege_0;12;
1389;gate-keeper;15;
1390;gate-keeper;16;
1392;vege_1;13;
1396;final-crs_5;12;724
1415;meat_1;14;
1418;final-crs_1;13;664
1429;final-crs_9;14;297
1432;meat_0;15;
1435;final-crs_3;15;379
1464;meat_1;16;
1480;final-crs_4;16;899
1547;gate-keeper;17;
1548;gate-keeper;18;
1551;vege_0;17;
1557;vege_1;18;
1567;final-crs_0;17;1252
1602;final-crs_5;18;688
1642;gate-keeper;19;
1664;meat_0;19;
1667;final-crs_2;19;290
1911;gate-keeper;20;
1912;gate-keeper;21;
1913;gate-keeper;22;
1917;vege_0;20;
1918;vege_1;21;
1920;final-crs_3;20;406
1927;vege_0;22;
1930;final-crs_12;21;1663
1967;final-crs_8;22;826
2244;gate-keeper;23;
2245;gate-keeper;24;
2246;gate-keeper;25;
2247;gate-keeper;26;
2248;vege_1;23;
2248;gate-keeper;27;
2251;vege_0;25;
2257;vege_1;26;
2282;final-crs_7;23;1198
2282;meat_0;24;
2283;meat_1;27;
2302;final-crs_5;25;1654
2320;final-crs_0;26;603
2349;final-crs_11;24;864
2353;final-crs_2;27;693
2473;gate-keeper;28;
2474;gate-keeper;29;
2477;vege_1;28;
2478;vege_0;29;
2480;final-crs_6;28;1543
2531;gate-keeper;30;
2535;vege_1;30;
2555;final-crs_2;29;877
2575;final-crs_0;30;86
2838;gate-keeper;31;
2839;gate-keeper;32;
2840;meat_0;31;
2840;gate-keeper;33;
2841;gate-keeper;34;
2845;vege_0;32;
2845;vege_1;33;
2846;final-crs_5;31;690
2848;final-crs_8;32;1252
2854;vege_0;34;
2855;final-crs_9;33;1600
2875;final-crs_1;34;2206
3146;gate-keeper;35;
3147;gate-keeper;36;
3148;gate-keeper;37;
3149;vege_0;35;
3149;gate-keeper;38;
3153;final-crs_12;35;299
3153;vege_1;36;
3153;meat_0;37;
3158;vege_0;38;
3191;final-crs_6;36;1312
3222;final-crs_3;37;1020
3222;final-crs_4;38;1358
3268;gate-keeper;39;
3270;vege_1;39;
3286;final-crs_0;39;1590
3424;gate-keeper;40;
3425;gate-keeper;41;
3427;frui_1;40;
3428;frui_0;41;
3440;final-crs_4;40;297
3482;final-crs_2;41;1038
3722;gate-keeper;42;
3723;gate-keeper;43;
3724;vege_1;42;
3724;gate-keeper;44;
3725;gate-keeper;45;
3727;vege_0;45;
3733;final-crs_3;42;1439
3742;meat_0;43;
3760;final-crs_10;45;847
3764;final-crs_5;43;821
3774;meat_1;44;
3780;final-crs_8;44;1578
4014;gate-keeper;46;
4015;gate-keeper;47;
4016;frui_0;46;
4016;gate-keeper;48;
4017;gate-keeper;49;
4020;final-crs_5;46;994
4021;vege_1;48;
4023;vege_0;49;
4033;final-crs_1;48;1943
4051;meat_0;47;
4082;final-crs_7;49;1368
4088;final-crs_9;47;1183
4179;gate-keeper;50;
4180;gate-keeper;51;
4196;meat_1;50;
4201;final-crs_3;50;451
4212;meat_0;51;
4232;final-crs_1;51;709
4276;gate-keeper;52;
4284;meat_0;52;
4289;gate-keeper;53;
4291;frui_0;53;
4300;final-crs_7;52;876
4305;final-crs_9;53;926
4576;gate-keeper;54;
4577;vege_1;54;
4577;gate-keeper;55;
4578;gate-keeper;56;
4583;vege_0;55;
4586;meat_0;56;
4591;final-crs_6;54;999
4643;final-crs_3;55;627
4649;final-crs_0;56;896
4889;gate-keeper;57;
4890;gate-keeper;58;
4891;frui_1;57;
4891;gate-keeper;59;
4892;vege_0;59;
4892;gate-keeper;60;
4896;meat_0;58;
4899;final-crs_5;57;697
4900;final-crs_4;59;311
4914;meat_1;60;
4917;final-crs_10;58;339
4972;final-crs_2;60;218
5156;gate-keeper;61;
5157;gate-keeper;62;
5158;gate-keeper;63;
5159;frui_1;63;
5160;final-crs_10;63;1565
5166;meat_1;61;
5167;meat_0;62;
5172;final-crs_2;61;1723
5236;gate-keeper;64;
5239;final-crs_8;62;1216
5242;vege_1;64;
5258;final-crs_1;64;505
5394;gate-keeper;65;
5395;gate-keeper;66;
5399;meat_1;66;
5400;vege_1;65;
5401;final-crs_2;66;1324
5437;final-crs_12;65;1224
5743;gate-keeper;67;
5744;gate-keeper;68;
5745;gate-keeper;69;
