time;ckpt;id;money
280;gate-keeper;0;
281;gate-keeper;1;
287;vege_1;0;
288;final-crs_1;0;650
289;vege_0;1;
424;final-crs_8;1;1095
574;gate-keeper;2;
575;gate-keeper;3;
580;vege_0;2;
592;meat_0;3;
642;final-crs_5;2;143
666;final-crs_8;3;60
895;gate-keeper;4;
896;gate-keeper;5;
897;vege_0;5;
897;frui_0;4;
897;gate-keeper;6;
904;vege_1;6;
934;final-crs_4;5;394
949;final-crs_8;4;1730
956;final-crs_3;6;1417
1172;gate-keeper;7;
1173;gate-keeper;8;
1174;frui_1;7;
1181;final-crs_4;7;796
1205;meat_0;8;
1225;final-crs_2;8;371
1440;gate-keeper;9;
1441;gate-keeper;10;
1444;vege_0;9;
1449;meat_1;10;
1503;final-crs_2;9;911
1504;final-crs_9;10;693
1771;gate-keeper;11;
1772;frui_0;11;
1772;gate-keeper;12;
1773;gate-keeper;13;
1776;frui_1;13;
1777;vege_1;12;
1781;final-crs_5;11;1039
1795;final-crs_2;13;227
1834;final-crs_10;12;318
1959;gate-keeper;14;
1961;frui_0;14;
1962;final-crs_12;14;494
2035;gate-keeper;15;
2040;vege_0;15;
2060;final-crs_2;15;904
2360;gate-keeper;16;
2361;frui_0;16;
2361;gate-keeper;17;
2367;frui_0;17;
2374;final-crs_0;16;66
2407;final-crs_3;17;308
2677;gate-keeper;18;
2678;gate-keeper;19;
2679;frui_0;18;
2679;gate-keeper;20;
2680;vege_1;19;
2682;vege_0;20;
2710;final-crs_2;18;62
2738;final-crs_7;19;867
2765;final-crs_11;20;861
2826;gate-keeper;21;
2828;frui_0;21;
2836;final-crs_3;21;472
2992;gate-keeper;22;
2998;meat_1;22;
3004;final-crs_8;22;778
3141;gate-keeper;23;
3142;gate-keeper;24;
3143;meat_0;23;
3146;final-crs_5;23;630
3150;vege_0;24;
3152;final-crs_4;24;1040
3299;gate-keeper;25;
3303;vege_1;25;
3342;final-crs_6;25;468
3593;gate-keeper;26;
3594;gate-keeper;27;
3595;gate-keeper;28;
3596;frui_0;28;
3597;meat_1;26;
3598;vege_0;27;
3600;final-crs_1;28;1222
3613;final-crs_12;26;462
3617;final-crs_0;27;911
3939;gate-keeper;29;
3940;gate-keeper;30;
3941;gate-keeper;31;
3943;frui_1;31;
3947;vege_1;29;
3948;final-crs_9;31;554
3954;final-crs_7;29;930
3956;meat_1;30;
3981;final-crs_8;30;102
4250;gate-keeper;32;
4251;frui_0;32;
4251;gate-keeper;33;
4259;frui_0;33;
4269;final-crs_3;32;869
4294;final-crs_1;33;339
4496;gate-keeper;34;
4497;gate-keeper;35;
4500;frui_0;34;
4505;vege_1;35;
4508;final-crs_1;34;369
4534;gate-keeper;36;
4537;frui_0;36;
4549;final-crs_6;35;182
4593;final-crs_0;36;984
4814;gate-keeper;37;
4815;gate-keeper;38;
4821;frui_0;37;
4864;meat_0;38;
4869;final-crs_11;37;234
4870;final-crs_10;38;410
5092;gate-keeper;39;
5093;gate-keeper;40;
5094;gate-keeper;41;
5096;frui_0;39;
5096;frui_1;40;
5102;frui_0;41;
5106;final-crs_10;39;236
5121;final-crs_7;40;663
5126;final-crs_8;41;230
5377;gate-keeper;42;
5378;gate-keeper;43;
5385;vege_1;43;
5387;final-crs_5;43;533
5420;meat_0;42;
5421;final-crs_9;42;326
5532;gate-keeper;44;
5553;meat_1;44;
5560;final-crs_10;44;579
5688;gate-keeper;45;
5689;gate-keeper;46;
5691;frui_1;45;
5692;vege_1;46;
5701;final-crs_3;45;730
5737;final-crs_0;46;195
5932;gate-keeper;47;
5933;gate-keeper;48;
5935;frui_0;47;
5939;vege_1;48;
5967;final-crs_1;47;61
5976;final-crs_0;48;452
6223;gate-keeper;49;
6224;gate-keeper;50;
6225;gate-keeper;51;
6228;vege_0;49;
6233;vege_1;51;
6235;final-crs_0;49;559
6249;meat_0;50;
6275;final-crs_7;51;363
6276;final-crs_9;50;970
6457;gate-keeper;52;
6461;vege_0;52;
6471;gate-keeper;53;
6472;frui_0;53;
6476;final-crs_0;52;722
6496;final-crs_9;53;1164
6779;gate-keeper;54;
6780;gate-keeper;55;
6783;frui_0;55;
6789;meat_1;54;
6811;final-crs_2;55;1530
6814;gate-keeper;56;
6815;vege_0;56;
6833;final-crs_4;54;492
6848;final-crs_5;56;1590
7049;gate-keeper;57;
7050;gate-keeper;58;
7053;frui_0;57;
7055;frui_1;58;
7083;final-crs_4;57;632
7113;final-crs_5;58;639
7302;gate-keeper;59;
7303;gate-keeper;60;
7309;vege_0;59;
7311;vege_1;60;
7324;final-crs_4;59;935
7363;final-crs_1;60;634
7411;gate-keeper;61;
7415;frui_1;61;
7422;final-crs_8;61;863
7727;gate-keeper;62;
7728;gate-keeper;63;
7730;frui_1;62;
7732;frui_0;63;
7757;final-crs_10;62;319
7772;final-crs_12;63;765
8012;gate-keeper;64;
8013;frui_0;64;
8013;gate-keeper;65;
8014;gate-keeper;66;
8015;frui_1;65;
8018;frui_0;66;
8021;final-crs_10;64;717
8046;final-crs_1;65;1578
8072;final-crs_2;66;605
8199;gate-keeper;67;
8204;frui_0;67;
8225;final-crs_12;67;2085
8328;gate-keeper;68;
8335;vege_0;68;
8340;final-crs_5;68;168
8628;gate-keeper;69;
8629;gate-keeper;70;
8630;gate-keeper;71;
8631;vege_1;69;
8632;vege_0;70;
8639;vege_1;71;
8651;final-crs_11;69;654
8668;final-crs_7;70;1357
8689;final-crs_12;71;513
8940;gate-keeper;72;
8941;gate-keeper;73;
8942;vege_1;72;
8942;gate-keeper;74;
8943;final-crs_9;72;615
8943;frui_0;73;
8944;vege_0;74;
8969;final-crs_1;73;661
8996;final-crs_10;74;628
9119;gate-keeper;75;
9126;vege_0;75;
9130;final-crs_0;75;852
9257;gate-keeper;76;
9258;frui_0;76;
9258;gate-keeper;77;
9263;frui_1;77;
9301;final-crs_2;76;1507
9303;final-crs_5;77;1052
9532;gate-keeper;78;
9533;gate-keeper;79;
9534;frui_0;78;
9545;final-crs_4;78;303
9564;meat_0;79;
9586;final-crs_2;79;792
9824;gate-keeper;80;
9825;gate-keeper;81;
9826;vege_0;80;
9826;gate-keeper;82;
9843;final-crs_5;80;563
9867;meat_0;81;
9870;meat_1;82;
9890;final-crs_9;81;681
9891;final-crs_3;82;461
10215;gate-keeper;83;
10216;vege_1;83;
10216;gate-keeper;84;
10217;gate-keeper;85;
10220;final-crs_12;83;1207
10224;vege_0;84;
10226;vege_1;85;
10255;final-crs_8;84;132
10276;final-crs_4;85;242
10501;gate-keeper;86;
10502;gate-keeper;87;
10505;frui_1;87;
10506;vege_0;86;
10510;final-crs_11;87;494
10529;final-crs_4;86;700
10530;gate-keeper;88;
10534;vege_0;88;
10595;final-crs_1;88;128
10725;gate-keeper;89;
10729;frui_1;89;
10744;final-crs_11;89;995
10819;gate-keeper;90;
10821;frui_1;90;
10847;final-crs_0;90;123
11108;gate-keeper;91;
11109;gate-keeper;92;
11110;gate-keeper;93;
11111;vege_0;91;
11116;vege_1;93;
11131;final-crs_6;91;151
11148;meat_0;92;
11169;final-crs_10;93;88
11180;final-crs_12;92;655
11339;gate-keeper;94;
11340;gate-keeper;95;
11384;meat_1;94;
11386;final-crs_7;94;1650
11394;meat_0;95;
11420;final-crs_10;95;1111
11682;gate-keeper;96;
11683;gate-keeper;97;
11684;vege_1;96;
11684;gate-keeper;98;
11686;vege_0;98;
11687;frui_1;97;
11719;final-crs_11;96;569
11769;final-crs_8;98;1277
11784;final-crs_1;97;1094
12002;gate-keeper;99;
12003;vege_0;99;
12003;gate-keeper;100;
12004;vege_1;100;
12022;final-crs_1;99;367
12048;final-crs_0;100;632
12300;gate-keeper;101;
12301;gate-keeper;102;
12302;vege_1;101;
12302;gate-keeper;103;
12306;vege_0;102;
12307;frui_0;103;
12309;final-crs_2;101;215
12332;final-crs_7;102;350
12340;final-crs_5;103;697
12566;gate-keeper;104;
12567;gate-keeper;105;
12569;vege_1;104;
12572;vege_0;105;
12578;final-crs_2;104;1073
12598;final-crs_7;105;103
12847;gate-keeper;106;
12848;gate-keeper;107;
12849;vege_0;106;
12858;vege_0;107;
12874;final-crs_9;106;837
12885;final-crs_12;107;1439
13083;gate-keeper;108;
13084;gate-keeper;109;
13087;vege_0;109;
13089;final-crs_7;109;276
13112;meat_0;108;
13124;final-crs_6;108;1086
13177;gate-keeper;110;
13178;vege_1;110;
13182;final-crs_10;110;915
13518;gate-keeper;111;
13519;gate-keeper;112;
13520;gate-keeper;113;
13522;frui_0;113;
13526;final-crs_5;113;1151
13536;meat_0;111;
13538;final-crs_4;111;848
13553;meat_1;112;
13612;final-crs_12;112;700
13828;gate-keeper;114;
13829;frui_1;114;
13829;gate-keeper;115;
13830;gate-keeper;116;
13832;frui_0;116;
13845;final-crs_12;114;266
13864;meat_1;115;
13874;final-crs_6;116;535
13885;final-crs_0;115;2017
13999;gate-keeper;117;
14003;vege_0;117;
14029;final-crs_5;117;661
14174;gate-keeper;118;
14193;meat_1;118;
14219;final-crs_1;118;634
14345;gate-keeper;119;
14346;gate-keeper;120;
14350;frui_1;120;
14351;final-crs_11;120;386
14351;vege_0;119;
14352;final-crs_10;119;1204
14487;gate-keeper;121;
14493;frui_1;121;
14501;final-crs_7;121;255
14756;gate-keeper;122;
14757;gate-keeper;123;
14760;frui_0;122;
14770;final-crs_5;122;173
14794;meat_0;123;
14798;final-crs_4;123;710
14875;gate-keeper;124;
14880;vege_0;124;
14894;final-crs_1;124;1138
15062;gate-keeper;125;
15063;gate-keeper;126;
15064;vege_1;126;
15066;frui_1;125;
15081;final-crs_0;126;71
15090;final-crs_3;125;361
15373;gate-keeper;127;
15374;gate-keeper;128;
15375;vege_0;128;
15375;gate-keeper;129;
15379;final-crs_9;128;423
15379;meat_1;127;
15386;final-crs_7;127;663
15395;meat_0;129;
15461;final-crs_1;129;897
15661;gate-keeper;130;
15662;gate-keeper;131;
15667;frui_0;131;
15672;meat_1;130;
15704;final-crs_2;131;443
15738;gate-keeper;132;
15740;final-crs_4;130;219
15742;frui_1;132;
15794;final-crs_6;132;595
15994;gate-keeper;133;
15995;gate-keeper;134;
15996;frui_1;134;
15997;vege_1;133;
16001;final-crs_11;134;890
16033;final-crs_0;133;160
16305;gate-keeper;135;
16306;gate-keeper;136;
16307;gate-keeper;137;
16309;frui_0;135;
16311;vege_1;137;
16312;meat_1;136;
16326;final-crs_3;135;1035
16333;final-crs_1;137;1421
16350;final-crs_7;136;455
16520;gate-keeper;138;
16526;vege_1;138;
16560;final-crs_3;138;588
16614;gate-keeper;139;
16619;vege_0;139;
16637;final-crs_10;139;605
16909;gate-keeper;140;
16910;gate-keeper;141;
16911;gate-keeper;142;
16913;frui_1;142;
16918;meat_1;140;
16931;meat_0;141;
16934;final-crs_2;142;656
16953;final-crs_8;140;2153
16958;final-crs_12;141;1055
17216;gate-keeper;143;
17217;gate-keeper;144;
17226;meat_0;143;
17230;final-crs_6;143;1040
17250;meat_1;144;
17274;final-crs_11;144;1175
17366;gate-keeper;145;
17367;gate-keeper;146;
17371;frui_0;145;
17371;frui_1;146;
17374;final-crs_10;145;564
17387;final-crs_7;146;138
17509;gate-keeper;147;
17515;vege_0;147;
17529;final-crs_3;147;884
17802;gate-keeper;148;
17803;vege_1;148;
17803;gate-keeper;149;
17804;gate-keeper;150;
17810;vege_0;150;
17836;meat_0;149;
17839;final-crs_2;148;713
17845;final-crs_10;150;656
17852;final-crs_7;149;824
