time;ckpt;id;money
297;gate-keeper;0;
298;gate-keeper;1;
302;frui_0;0;
302;frui_1;1;
409;final-crs_4;0;1348
447;final-crs_0;1;1689
559;gate-keeper;2;
560;gate-keeper;3;
565;vege_1;2;
569;vege_0;3;
661;final-crs_4;2;947
697;final-crs_0;3;1319
886;gate-keeper;4;
887;frui_1;4;
887;gate-keeper;5;
888;gate-keeper;6;
896;vege_1;5;
907;final-crs_0;4;87
921;meat_0;6;
948;final-crs_10;5;532
957;final-crs_9;6;594
1200;gate-keeper;7;
1201;gate-keeper;8;
1204;vege_1;8;
1207;final-crs_5;8;203
1236;meat_0;7;
1241;final-crs_1;7;1448
1480;gate-keeper;9;
1481;vege_1;9;
1481;gate-keeper;10;
1482;frui_0;10;
1482;gate-keeper;11;
1484;frui_1;11;
1494;final-crs_7;9;231
1504;final-crs_1;10;1016
1507;final-crs_6;11;477
1769;gate-keeper;12;
1770;vege_1;12;
1770;gate-keeper;13;
1771;final-crs_3;12;1015
1777;vege_0;13;
1798;final-crs_8;13;705
2069;gate-keeper;14;
2070;gate-keeper;15;
2071;gate-keeper;16;
2072;vege_1;14;
2072;meat_0;16;
2074;vege_0;15;
2087;final-crs_9;14;1204
2116;final-crs_2;16;1307
2139;final-crs_10;15;790
2347;gate-keeper;17;
2348;gate-keeper;18;
2361;meat_1;17;
2364;meat_0;18;
2375;final-crs_5;17;367
2395;final-crs_12;18;612
2648;gate-keeper;19;
2649;vege_1;19;
2649;gate-keeper;20;
2650;gate-keeper;21;
2654;meat_1;20;
2656;final-crs_6;19;691
2663;meat_0;21;
2678;final-crs_1;20;203
2681;final-crs_11;21;177
2961;gate-keeper;22;
2962;gate-keeper;23;
2966;vege_0;22;
2968;vege_1;23;
3025;final-crs_2;22;868
3032;final-crs_9;23;268
3285;gate-keeper;24;
3286;gate-keeper;25;
3287;gate-keeper;26;
3289;vege_1;24;
3290;vege_0;26;
3291;final-crs_3;24;1006
3296;final-crs_5;26;1653
3323;meat_0;25;
3346;final-crs_1;25;632
3538;gate-keeper;27;
3539;gate-keeper;28;
3544;vege_1;27;
3544;frui_0;28;
3568;final-crs_5;27;165
3578;final-crs_2;28;381
3709;gate-keeper;29;
3730;meat_0;29;
3748;final-crs_7;29;265
3860;gate-keeper;30;
3861;vege_1;30;
3883;final-crs_6;30;578
4157;gate-keeper;31;
4158;gate-keeper;32;
4159;frui_0;31;
4159;gate-keeper;33;
4161;frui_1;32;
4166;frui_0;33;
4170;final-crs_11;31;1412
4187;final-crs_7;32;1132
4224;final-crs_10;33;271
4421;gate-keeper;34;
4422;gate-keeper;35;
4423;vege_0;34;
4430;vege_1;35;
4443;final-crs_4;34;786
4463;final-crs_10;35;1319
4524;gate-keeper;36;
4526;frui_0;36;
4530;final-crs_8;36;95
4719;gate-keeper;37;
4720;gate-keeper;38;
4721;frui_0;37;
4749;meat_0;38;
4763;final-crs_8;37;1052
4768;final-crs_1;38;65
5044;gate-keeper;39;
5045;gate-keeper;40;
5046;vege_0;39;
5046;gate-keeper;41;
5047;vege_1;40;
5052;frui_0;41;
5056;final-crs_11;39;447
5061;final-crs_7;40;1042
5077;final-crs_6;41;760
5398;gate-keeper;42;
5399;gate-keeper;43;
5400;gate-keeper;44;
5401;vege_0;42;
5401;frui_0;43;
5404;frui_1;44;
5418;final-crs_10;42;436
5432;final-crs_9;43;845
5475;final-crs_3;44;1147
5659;gate-keeper;45;
5660;gate-keeper;46;
5664;frui_0;46;
5665;final-crs_1;46;1591
5705;meat_1;45;
5748;final-crs_0;45;816
5949;gate-keeper;47;
5950;gate-keeper;48;
5951;gate-keeper;49;
5952;vege_0;47;
5952;frui_0;49;
5966;final-crs_10;47;375
5973;meat_0;48;
5982;final-crs_2;49;697
5982;final-crs_5;48;1411
6233;gate-keeper;50;
6234;vege_0;50;
6234;gate-keeper;51;
6236;frui_1;51;
6256;final-crs_8;50;423
6282;final-crs_12;51;193
6493;gate-keeper;52;
6494;gate-keeper;53;
6495;gate-keeper;54;
6501;vege_1;52;
6502;vege_0;54;
6510;final-crs_12;52;692
6518;meat_1;53;
6524;final-crs_8;54;537
6555;final-crs_11;53;551
6794;gate-keeper;55;
6795;vege_0;55;
6795;gate-keeper;56;
6797;final-crs_6;55;1197
6835;meat_1;56;
6837;final-crs_4;56;350
7034;gate-keeper;57;
7035;gate-keeper;58;
7037;frui_0;58;
7061;final-crs_7;58;703
7062;meat_0;57;
7066;final-crs_11;57;586
7343;gate-keeper;59;
7344;gate-keeper;60;
7345;frui_1;59;
7345;gate-keeper;61;
7346;vege_1;61;
7348;final-crs_1;59;1167
7349;frui_0;60;
7367;final-crs_11;61;277
7398;final-crs_0;60;1098
7473;gate-keeper;62;
7481;meat_1;62;
7487;final-crs_10;62;335
7556;gate-keeper;63;
7562;vege_0;63;
7592;final-crs_3;63;1348
7665;gate-keeper;64;
7666;frui_1;64;
7667;final-crs_12;64;649
8000;gate-keeper;65;
8001;gate-keeper;66;
8009;vege_1;66;
8016;meat_1;65;
8021;final-crs_7;66;563
8054;final-crs_3;65;1324
8376;gate-keeper;67;
8377;gate-keeper;68;
8378;gate-keeper;69;
8379;vege_0;67;
8379;gate-keeper;70;
8380;final-crs_11;67;1110
8381;vege_1;68;
8383;frui_0;69;
8400;final-crs_2;68;1324
8404;meat_0;70;
8413;final-crs_10;69;872
8415;final-crs_12;70;1368
8725;gate-keeper;71;
8726;frui_1;71;
8726;gate-keeper;72;
8727;gate-keeper;73;
8730;vege_1;72;
8732;frui_0;73;
8741;final-crs_6;71;1067
8813;final-crs_1;72;900
8824;final-crs_11;73;338
9030;gate-keeper;74;
9031;gate-keeper;75;
9032;gate-keeper;76;
9037;vege_0;74;
9039;vege_1;75;
9046;vege_0;76;
9061;final-crs_11;74;588
9072;final-crs_8;75;856
9099;final-crs_10;76;1010
9278;gate-keeper;77;
9279;gate-keeper;78;
9281;frui_0;78;
9282;final-crs_8;78;1849
9294;meat_0;77;
9341;final-crs_11;77;800
9569;gate-keeper;79;
9570;gate-keeper;80;
9571;gate-keeper;81;
9572;frui_1;79;
9573;vege_0;80;
9578;vege_1;81;
9585;final-crs_10;79;305
9589;final-crs_11;80;809
9601;final-crs_2;81;1169
9824;gate-keeper;82;
9825;frui_1;82;
9825;gate-keeper;83;
9830;frui_0;83;
9862;final-crs_5;82;511
9873;final-crs_3;83;573
10162;gate-keeper;84;
10163;gate-keeper;85;
10169;vege_0;84;
10172;vege_1;85;
10186;final-crs_0;84;211
10216;final-crs_8;85;816
10224;gate-keeper;86;
10229;vege_1;86;
10236;final-crs_1;86;696
10445;gate-keeper;87;
10446;gate-keeper;88;
10447;vege_0;88;
