time;ckpt;id;money
321;gate-keeper;0;
322;vege_0;0;
322;gate-keeper;1;
326;frui_0;1;
432;final-crs_3;0;449
433;final-crs_5;1;671
673;gate-keeper;2;
674;gate-keeper;3;
675;vege_1;2;
675;gate-keeper;4;
678;frui_0;4;
680;vege_0;3;
682;final-crs_3;2;1174
715;final-crs_0;4;95
716;final-crs_4;3;321
944;gate-keeper;5;
945;gate-keeper;6;
948;vege_0;5;
949;frui_1;6;
963;final-crs_7;5;936
964;final-crs_4;6;1567
1238;gate-keeper;7;
1239;gate-keeper;8;
1241;vege_1;8;
1247;meat_0;7;
1303;final-crs_10;8;620
1308;final-crs_2;7;345
1515;gate-keeper;9;
1516;gate-keeper;10;
1518;vege_1;9;
1520;final-crs_2;9;664
1535;meat_0;10;
1571;final-crs_3;10;1403
1845;gate-keeper;11;
1846;frui_1;11;
1846;gate-keeper;12;
1847;final-crs_7;11;495
1847;gate-keeper;13;
1849;meat_0;12;
1851;vege_1;13;
1873;final-crs_9;12;1786
1898;final-crs_12;13;1345
2153;gate-keeper;14;
2154;gate-keeper;15;
2160;vege_0;15;
2166;final-crs_1;15;1300
2176;meat_1;14;
2177;final-crs_5;14;1539
2455;gate-keeper;16;
2456;meat_0;16;
2456;gate-keeper;17;
2457;vege_1;17;
2457;gate-keeper;18;
2465;vege_0;18;
2507;final-crs_10;16;64
2513;final-crs_12;17;781
2554;final-crs_0;18;898
2707;gate-keeper;19;
2708;gate-keeper;20;
2709;vege_0;19;
2709;vege_1;20;
2758;final-crs_12;19;1624
2776;final-crs_10;20;940
3072;gate-keeper;21;
3073;vege_1;21;
3073;gate-keeper;22;
3074;gate-keeper;23;
3081;vege_1;22;
3082;vege_0;23;
3098;final-crs_2;21;92
3099;final-crs_3;22;900
3123;final-crs_1;23;149
3378;gate-keeper;24;
3379;gate-keeper;25;
3380;frui_0;24;
3382;vege_0;25;
3389;final-crs_1;24;176
3393;final-crs_11;25;124
3488;gate-keeper;26;
3490;vege_1;26;
3517;final-crs_5;26;1429
3618;gate-keeper;27;
3620;vege_0;27;
3628;final-crs_4;27;952
4019;gate-keeper;28;
4020;vege_1;28;
4020;gate-keeper;29;
4021;gate-keeper;30;
4023;frui_0;29;
4038;final-crs_7;28;1469
4046;final-crs_4;29;83
4058;meat_0;30;
4060;final-crs_0;30;1380
4300;gate-keeper;31;
4301;gate-keeper;32;
4303;vege_0;31;
4309;vege_1;32;
4315;final-crs_0;31;542
4315;final-crs_1;32;779
4487;gate-keeper;33;
4491;vege_0;33;
4502;final-crs_4;33;690
4563;gate-keeper;34;
4565;vege_1;34;
4577;final-crs_1;34;264
4895;gate-keeper;35;
4896;gate-keeper;36;
4897;gate-keeper;37;
4900;vege_1;35;
4906;vege_0;36;
4911;vege_1;37;
4957;final-crs_12;35;643
4959;final-crs_5;36;358
4960;final-crs_10;37;1809
5159;gate-keeper;38;
5160;gate-keeper;39;
5163;meat_1;39;
5165;frui_1;38;
5201;final-crs_5;39;331
5204;final-crs_4;38;1399
5544;gate-keeper;40;
5545;gate-keeper;41;
5546;gate-keeper;42;
5547;vege_1;42;
5547;frui_1;40;
5548;frui_0;41;
5550;final-crs_11;42;1223
5571;final-crs_3;40;1996
5582;final-crs_9;41;1264
5840;gate-keeper;43;
5841;gate-keeper;44;
5842;vege_1;43;
5850;vege_0;44;
5866;final-crs_5;43;303
5870;final-crs_4;44;1115
6133;gate-keeper;45;
6134;gate-keeper;46;
6138;vege_1;45;
6141;vege_0;46;
6185;final-crs_10;45;203
6187;final-crs_6;46;764
6200;gate-keeper;47;
6202;vege_0;47;
6216;final-crs_12;47;1125
6466;gate-keeper;48;
6467;gate-keeper;49;
6468;frui_1;48;
6469;frui_0;49;
6489;final-crs_1;48;654
6495;final-crs_7;49;1436
6732;gate-keeper;50;
6733;gate-keeper;51;
6734;gate-keeper;52;
6735;vege_0;50;
6743;vege_0;51;
6743;vege_1;52;
6746;final-crs_1;50;480
6760;final-crs_11;51;1434
6775;final-crs_7;52;649
7041;gate-keeper;53;
7042;vege_1;53;
7042;gate-keeper;54;
7049;vege_0;54;
7056;final-crs_9;53;424
7092;final-crs_5;54;112
7119;gate-keeper;55;
7120;vege_0;55;
7166;final-crs_10;55;1462
7336;gate-keeper;56;
7337;gate-keeper;57;
7342;vege_0;56;
7345;vege_1;57;
7358;final-crs_5;56;619
7392;final-crs_10;57;1195
7623;gate-keeper;58;
7624;gate-keeper;59;
7628;frui_0;59;
7629;vege_1;58;
7631;final-crs_8;59;342
7646;final-crs_10;58;698
7890;gate-keeper;60;
7891;gate-keeper;61;
7893;vege_0;60;
7901;vege_1;61;
7933;final-crs_10;60;623
7936;final-crs_3;61;1611
8188;gate-keeper;62;
8189;gate-keeper;63;
8190;frui_0;62;
8192;final-crs_7;62;720
8226;meat_1;63;
8249;final-crs_4;63;1075
8497;gate-keeper;64;
8498;gate-keeper;65;
8500;frui_0;65;
8504;vege_1;64;
8538;final-crs_8;65;510
8555;final-crs_2;64;590
8813;gate-keeper;66;
8814;gate-keeper;67;
8815;vege_0;66;
8815;gate-keeper;68;
8816;vege_1;67;
8817;frui_0;68;
8848;final-crs_6;66;644
8861;final-crs_11;67;883
8880;final-crs_10;68;639
9110;gate-keeper;69;
9111;gate-keeper;70;
9115;vege_1;69;
9118;final-crs_11;69;690
9118;vege_0;70;
9122;final-crs_10;70;562
9417;gate-keeper;71;
9418;gate-keeper;72;
9420;vege_0;71;
9424;final-crs_4;71;612
9425;vege_1;72;
9428;final-crs_1;72;895
9744;gate-keeper;73;
9745;gate-keeper;74;
9746;gate-keeper;75;
9749;vege_0;73;
9749;vege_1;74;
9758;vege_1;75;
9763;final-crs_9;73;1178
9770;final-crs_2;74;308
9793;final-crs_10;75;650
9994;gate-keeper;76;
9995;gate-keeper;77;
9998;vege_1;77;
10004;meat_1;76;
10025;final-crs_9;77;439
10033;final-crs_10;76;826
10313;gate-keeper;78;
10314;gate-keeper;79;
10316;vege_0;78;
10318;vege_1;79;
10362;final-crs_11;78;103
10370;final-crs_0;79;1708
10646;gate-keeper;80;
10647;gate-keeper;81;
10648;gate-keeper;82;
10650;vege_0;81;
10653;final-crs_4;81;157
10654;vege_1;82;
10656;final-crs_8;82;1404
10674;meat_0;80;
10695;final-crs_3;80;420
10791;gate-keeper;83;
10792;frui_1;83;
10796;final-crs_6;83;336
10912;gate-keeper;84;
10915;frui_1;84;
10934;final-crs_3;84;324
11005;gate-keeper;85;
11011;frui_0;85;
11027;final-crs_6;85;1244
11329;gate-keeper;86;
11330;gate-keeper;87;
11335;vege_1;86;
11337;vege_0;87;
11340;final-crs_5;86;491
11353;final-crs_8;87;382
