time;ckpt;id;money
276;gate-keeper;0;
277;gate-keeper;1;
278;gate-keeper;2;
280;frui_0;0;
282;frui_1;2;
284;vege_0;1;
419;final-crs_5;0;320
434;final-crs_6;2;1213
446;final-crs_12;1;564
572;gate-keeper;3;
573;gate-keeper;4;
574;vege_0;3;
574;gate-keeper;5;
580;vege_1;4;
582;vege_0;5;
657;final-crs_6;3;2512
659;final-crs_5;4;1550
675;final-crs_11;5;661
883;gate-keeper;6;
884;vege_0;6;
884;gate-keeper;7;
885;gate-keeper;8;
886;gate-keeper;9;
887;gate-keeper;10;
892;vege_1;7;
893;vege_0;8;
901;vege_1;9;
903;final-crs_7;6;83
903;vege_0;10;
904;final-crs_0;7;1312
912;final-crs_11;8;2429
954;final-crs_2;9;1392
959;final-crs_1;10;1280
1139;gate-keeper;11;
1140;gate-keeper;12;
1141;gate-keeper;13;
1147;vege_1;11;
1148;vege_0;12;
1158;vege_1;13;
1189;final-crs_2;11;2014
1195;final-crs_3;12;2327
1198;final-crs_5;13;1711
1445;gate-keeper;14;
1446;gate-keeper;15;
1447;gate-keeper;16;
1448;vege_0;14;
1450;vege_1;15;
1455;final-crs_8;14;210
1456;final-crs_12;15;2316
1458;vege_0;16;
1490;final-crs_10;16;3184
1741;gate-keeper;17;
1742;gate-keeper;18;
1743;gate-keeper;19;
1744;gate-keeper;20;
1745;vege_0;17;
1747;vege_1;18;
1755;vege_0;19;
1758;vege_1;20;
1800;final-crs_6;17;129
1842;final-crs_0;18;796
1852;final-crs_11;19;1701
1864;final-crs_5;20;789
1883;gate-keeper;21;
1884;gate-keeper;22;
1887;vege_1;21;
1897;final-crs_8;21;1992
1917;meat_0;22;
1935;final-crs_10;22;2262
2016;gate-keeper;23;
2017;gate-keeper;24;
2019;vege_1;24;
2019;frui_0;23;
2036;final-crs_6;24;3545
2080;final-crs_0;23;2367
2320;gate-keeper;25;
2321;gate-keeper;26;
2322;gate-keeper;27;
2323;vege_1;25;
2323;gate-keeper;28;
2325;vege_0;26;
2326;final-crs_0;25;1059
2326;frui_0;27;
2330;final-crs_1;26;1145
2331;vege_1;28;
2358;final-crs_8;27;3031
2381;final-crs_3;28;110
2576;gate-keeper;29;
2577;vege_0;29;
2577;gate-keeper;30;
2578;frui_0;30;
2578;gate-keeper;31;
2581;final-crs_0;29;1036
2584;final-crs_8;30;1596
2586;vege_0;31;
2593;final-crs_7;31;1937
2661;gate-keeper;32;
2662;gate-keeper;33;
2665;frui_1;33;
2668;vege_0;32;
2669;final-crs_5;33;1113
2689;final-crs_9;32;1404
2820;gate-keeper;34;
2825;vege_0;34;
2826;final-crs_7;34;1307
3128;gate-keeper;35;
3129;gate-keeper;36;
3130;gate-keeper;37;
3131;vege_1;35;
3131;gate-keeper;38;
3134;vege_0;36;
3137;final-crs_2;35;855
3138;final-crs_5;36;1525
3140;vege_1;37;
3142;meat_1;38;
3182;final-crs_9;37;264
3183;final-crs_1;38;3211
3466;gate-keeper;39;
3467;gate-keeper;40;
3468;gate-keeper;41;
3469;gate-keeper;42;
3470;gate-keeper;43;
3471;vege_1;39;
3471;frui_0;40;
3472;vege_0;42;
3473;frui_1;41;
3478;frui_0;43;
3480;final-crs_7;39;203
3503;final-crs_10;40;2670
3508;final-crs_11;42;453
