time;ckpt;id;money
247;gate-keeper;0;
249;vege_0;0;
268;final-crs_1;0;2994
626;gate-keeper;1;
627;frui_0;1;
627;gate-keeper;2;
628;vege_0;2;
628;gate-keeper;3;
636;vege_0;3;
670;final-crs_0;1;1960
674;final-crs_9;2;1154
680;final-crs_1;3;3066
927;gate-keeper;4;
928;vege_0;4;
928;gate-keeper;5;
929;frui_1;5;
932;final-crs_8;4;598
945;final-crs_10;5;640
1222;gate-keeper;6;
1223;gate-keeper;7;
1228;frui_0;6;
1230;final-crs_5;6;3048
1252;meat_1;7;
1261;final-crs_7;7;1044
1558;gate-keeper;8;
1559;frui_0;8;
1559;gate-keeper;9;
1563;frui_1;9;
1576;final-crs_0;8;426
1598;final-crs_1;9;1228
1815;gate-keeper;10;
1816;gate-keeper;11;
1819;vege_0;10;
1825;vege_1;11;
1850;final-crs_8;10;908
1853;final-crs_1;11;819
1857;gate-keeper;12;
1896;meat_1;12;
1897;final-crs_11;12;984
2151;gate-keeper;13;
2152;gate-keeper;14;
2154;frui_1;14;
2155;final-crs_10;14;1034
2155;vege_0;13;
2164;final-crs_3;13;2173
2416;gate-keeper;15;
2459;meat_1;15;
2518;final-crs_0;15;76
2683;gate-keeper;16;
2684;gate-keeper;17;
2686;vege_1;17;
2689;frui_0;16;
2701;final-crs_6;17;1467
2753;final-crs_10;16;679
2890;gate-keeper;18;
2940;meat_0;18;
2957;final-crs_6;18;620
3036;gate-keeper;19;
3040;frui_0;19;
3043;final-crs_7;19;1245
3326;gate-keeper;20;
3327;vege_0;20;
3327;gate-keeper;21;
3328;gate-keeper;22;
3335;meat_0;21;
3338;final-crs_2;20;1204
3339;final-crs_3;21;677
3349;meat_1;22;
3424;final-crs_6;22;410
3603;gate-keeper;23;
3604;gate-keeper;24;
3609;vege_1;24;
3623;final-crs_4;24;2088
3652;meat_0;23;
3692;final-crs_9;23;238
3774;gate-keeper;25;
3777;vege_1;25;
3789;final-crs_12;25;459
4176;gate-keeper;26;
4177;gate-keeper;27;
4180;frui_0;26;
4185;meat_1;27;
4192;final-crs_5;26;476
4200;final-crs_1;27;2614
4307;gate-keeper;28;
4342;meat_0;28;
4357;final-crs_3;28;895
4470;gate-keeper;29;
4494;meat_1;29;
4496;final-crs_7;29;1667
4822;gate-keeper;30;
4823;gate-keeper;31;
4824;gate-keeper;32;
4827;meat_1;30;
4831;vege_1;32;
4832;final-crs_9;30;1386
4864;final-crs_5;32;1283
4876;meat_0;31;
4883;final-crs_1;31;804
5176;gate-keeper;33;
5177;gate-keeper;34;
5180;frui_1;33;
5182;frui_0;34;
5183;final-crs_10;33;1953
