time;ckpt;id;money
261;gate-keeper;0;
267;vege_1;0;
406;final-crs_0;0;304
559;gate-keeper;1;
583;meat_1;1;
630;final-crs_0;1;339
858;gate-keeper;2;
859;vege_1;2;
859;gate-keeper;3;
861;meat_1;3;
886;final-crs_1;2;1020
896;final-crs_5;3;1450
1218;gate-keeper;4;
1219;vege_1;4;
1219;gate-keeper;5;
1220;vege_0;5;
1240;final-crs_4;4;457
1250;final-crs_2;5;775
1617;gate-keeper;6;
1618;gate-keeper;7;
1620;vege_0;7;
1623;frui_0;6;
1673;final-crs_6;7;1010
1707;final-crs_0;6;541
1787;gate-keeper;8;
1818;meat_1;8;
1847;final-crs_1;8;1629
1931;gate-keeper;9;
1938;meat_1;9;
1951;final-crs_4;9;592
2256;gate-keeper;10;
2257;gate-keeper;11;
2259;vege_1;11;
2279;meat_1;10;
2304;final-crs_1;11;147
2380;final-crs_6;10;61
2539;gate-keeper;12;
2540;vege_0;12;
2620;final-crs_6;12;1282
2767;gate-keeper;13;
2794;meat_0;13;
2858;final-crs_6;13;136
3104;gate-keeper;14;
3105;gate-keeper;15;
3112;vege_0;14;
3114;vege_1;15;
3139;final-crs_3;14;1663
3159;final-crs_7;15;297
3402;gate-keeper;16;
3403;gate-keeper;17;
3412;vege_0;17;
3431;final-crs_1;17;883
3456;meat_1;16;
3501;final-crs_6;16;575
3730;gate-keeper;18;
3742;gate-keeper;19;
3748;vege_1;19;
3762;meat_1;18;
3784;final-crs_5;19;394
3883;final-crs_0;18;102
4057;gate-keeper;20;
4060;vege_1;20;
4139;final-crs_3;20;875
4394;gate-keeper;21;
4395;gate-keeper;22;
4396;vege_0;21;
4398;frui_1;22;
4411;final-crs_1;21;652
4422;final-crs_7;22;1014
4661;gate-keeper;23;
4662;gate-keeper;24;
4666;meat_0;23;
4672;meat_1;24;
4673;final-crs_7;23;437
4705;final-crs_5;24;491
4939;gate-keeper;25;
4944;vege_0;25;
4965;final-crs_5;25;405
5205;gate-keeper;26;
5225;meat_1;26;
5291;gate-keeper;27;
5295;final-crs_0;26;380
5298;meat_0;27;
5315;final-crs_6;27;300
5523;gate-keeper;28;
5524;vege_1;28;
5529;final-crs_6;28;672
5804;gate-keeper;29;
5806;frui_1;29;
5813;final-crs_7;29;212
6106;gate-keeper;30;
6107;gate-keeper;31;
6109;vege_1;31;
6121;meat_0;30;
6199;final-crs_5;31;89
6212;final-crs_6;30;494
6387;gate-keeper;32;
6390;vege_0;32;
6433;final-crs_6;32;541
6613;gate-keeper;33;
6617;vege_0;33;
6676;final-crs_5;33;1059
6865;gate-keeper;34;
6873;meat_0;34;
6912;final-crs_5;34;1672
7048;gate-keeper;35;
7050;vege_0;35;
7093;final-crs_4;35;176
7192;gate-keeper;36;
7196;frui_1;36;
7201;final-crs_0;36;1417
7523;gate-keeper;37;
7524;gate-keeper;38;
7525;frui_0;37;
7530;vege_0;38;
7608;final-crs_3;37;63
7646;final-crs_5;38;391
7845;gate-keeper;39;
7850;vege_1;39;
7882;final-crs_5;39;750
7901;gate-keeper;40;
7903;vege_1;40;
7904;final-crs_6;40;541
8161;gate-keeper;41;
8164;vege_0;41;
8200;final-crs_2;41;627
8502;gate-keeper;42;
8503;gate-keeper;43;
8509;vege_1;42;
8512;vege_0;43;
8551;final-crs_5;42;73
8592;final-crs_1;43;264
8850;gate-keeper;44;
8851;gate-keeper;45;
8853;meat_1;44;
8855;frui_0;45;
8866;final-crs_1;44;1033
8888;final-crs_6;45;298
9159;gate-keeper;46;
9183;meat_0;46;
9279;final-crs_5;46;591
9497;gate-keeper;47;
9498;gate-keeper;48;
9499;vege_0;48;
9505;meat_0;47;
9520;final-crs_5;48;1461
9529;final-crs_3;47;849
9810;gate-keeper;49;
9811;gate-keeper;50;
9813;vege_0;49;
9845;final-crs_1;49;460
9848;meat_0;50;
9858;final-crs_6;50;1623
10046;gate-keeper;51;
10048;frui_1;51;
10076;final-crs_6;51;869
10370;gate-keeper;52;
10371;frui_0;52;
10371;gate-keeper;53;
10378;vege_1;53;
10433;final-crs_7;52;929
10506;final-crs_3;53;607
10639;gate-keeper;54;
10640;meat_0;54;
10707;final-crs_7;54;431
10709;gate-keeper;55;
10710;vege_1;55;
10766;final-crs_3;55;233
10938;gate-keeper;56;
10941;frui_0;56;
11003;final-crs_3;56;829
11223;gate-keeper;57;
11228;meat_1;57;
11269;final-crs_3;57;1620
11543;gate-keeper;58;
11544;gate-keeper;59;
11552;vege_0;58;
11562;meat_0;59;
11606;final-crs_1;58;464
11634;gate-keeper;60;
11655;meat_1;60;
11701;final-crs_7;59;154
11724;final-crs_5;60;180
11831;gate-keeper;61;
11844;meat_1;61;
11858;final-crs_1;61;1662
12142;gate-keeper;62;
12168;meat_0;62;
12190;final-crs_3;62;412
12286;gate-keeper;63;
12289;vege_1;63;
12292;final-crs_2;63;1479
12427;gate-keeper;64;
12428;vege_0;64;
12437;final-crs_5;64;398
12725;gate-keeper;65;
12726;gate-keeper;66;
12733;vege_0;66;
12739;meat_0;65;
12769;final-crs_0;66;517
12796;final-crs_2;65;535
13030;gate-keeper;67;
13031;gate-keeper;68;
13033;frui_0;67;
13036;frui_1;68;
13061;final-crs_6;67;1017
13082;final-crs_1;68;590
13296;gate-keeper;69;
13301;vege_0;69;
13324;final-crs_6;69;2194
13664;gate-keeper;70;
13665;gate-keeper;71;
13670;vege_1;71;
13676;meat_0;70;
13719;final-crs_6;71;288
13738;final-crs_0;70;1266
13962;gate-keeper;72;
13964;vege_1;72;
13991;final-crs_2;72;536
14108;gate-keeper;73;
14110;frui_0;73;
14162;final-crs_6;73;711
14282;gate-keeper;74;
14283;vege_0;74;
14287;final-crs_5;74;238
14622;gate-keeper;75;
14623;gate-keeper;76;
14625;vege_1;75;
14669;meat_1;76;
14679;final-crs_7;75;815
14695;final-crs_0;76;463
14892;gate-keeper;77;
14896;vege_0;77;
14938;final-crs_0;77;885
15100;gate-keeper;78;
15104;vege_1;78;
15122;final-crs_4;78;1297
15484;gate-keeper;79;
15485;gate-keeper;80;
15490;meat_1;79;
15491;meat_0;80;
15548;final-crs_5;79;1401
15551;final-crs_4;80;841
15833;gate-keeper;81;
15834;gate-keeper;82;
15860;meat_0;81;
15881;meat_1;82;
15916;final-crs_3;81;465
15922;final-crs_7;82;639
16103;gate-keeper;83;
16108;vege_1;83;
16140;final-crs_3;83;1071
16440;gate-keeper;84;
16441;gate-keeper;85;
16445;vege_0;84;
16447;meat_0;85;
16476;final-crs_2;84;867
16481;final-crs_4;85;545
16724;gate-keeper;86;
16725;gate-keeper;87;
16729;vege_0;86;
16730;vege_1;87;
16754;final-crs_4;86;877
16771;final-crs_0;87;103
16944;gate-keeper;88;
16968;meat_0;88;
16998;final-crs_0;88;413
17360;gate-keeper;89;
