time;ckpt;id;money
304;gate-keeper;0;
307;vege_0;0;
426;final-crs_5;0;887
628;gate-keeper;1;
629;vege_0;1;
629;gate-keeper;2;
632;vege_1;2;
651;final-crs_5;1;1044
690;final-crs_7;2;624
907;gate-keeper;3;
908;gate-keeper;4;
913;frui_1;4;
914;vege_1;3;
924;final-crs_7;4;1083
953;final-crs_0;3;1436
1004;gate-keeper;5;
1010;vege_0;5;
1118;final-crs_4;5;1813
1215;gate-keeper;6;
1218;frui_0;6;
1363;final-crs_7;6;1067
1564;gate-keeper;7;
1565;gate-keeper;8;
1568;vege_1;7;
1570;vege_0;8;
1582;final-crs_5;7;1270
1600;final-crs_3;8;187
1700;gate-keeper;9;
1702;vege_1;9;
1724;final-crs_1;9;1184
1860;gate-keeper;10;
1868;vege_0;10;
1874;final-crs_2;10;170
2151;gate-keeper;11;
2152;gate-keeper;12;
2156;meat_0;11;
2158;vege_1;12;
2181;final-crs_1;11;1017
2208;final-crs_0;12;273
2381;gate-keeper;13;
2382;vege_1;13;
2399;final-crs_7;13;421
2599;gate-keeper;14;
2627;meat_1;14;
2675;final-crs_1;14;1088
2728;gate-keeper;15;
2731;vege_0;15;
2748;final-crs_0;15;558
2985;gate-keeper;16;
2986;vege_1;16;
2986;gate-keeper;17;
2992;meat_0;17;
3033;final-crs_2;16;186
3040;final-crs_4;17;1380
3150;gate-keeper;18;
3151;vege_1;18;
3168;final-crs_6;18;88
3308;gate-keeper;19;
3310;vege_0;19;
3317;final-crs_7;19;761
3528;gate-keeper;20;
3539;meat_1;20;
3580;final-crs_4;20;86
3816;gate-keeper;21;
3817;gate-keeper;22;
3819;vege_0;21;
3824;vege_1;22;
3838;final-crs_1;21;284
3850;final-crs_6;22;1226
4072;gate-keeper;23;
4073;vege_1;23;
4073;gate-keeper;24;
4078;meat_0;24;
4119;final-crs_1;23;996
4146;final-crs_0;24;855
4412;gate-keeper;25;
4413;gate-keeper;26;
4417;vege_1;25;
4418;vege_0;26;
4424;final-crs_2;25;307
4434;final-crs_7;26;614
4746;gate-keeper;27;
4747;frui_0;27;
4747;gate-keeper;28;
4749;vege_1;28;
4810;final-crs_4;27;391
4819;final-crs_6;28;1657
5050;gate-keeper;29;
5051;gate-keeper;30;
5052;vege_0;29;
5052;vege_1;30;
5057;final-crs_1;29;841
5080;final-crs_4;30;449
5394;gate-keeper;31;
5395;gate-keeper;32;
5398;vege_0;31;
5398;frui_1;32;
5435;final-crs_5;31;1009
