time;ckpt;id;money
294;gate-keeper;0;
299;meat_0;0;
439;final-crs_7;0;318
598;gate-keeper;1;
599;gate-keeper;2;
602;frui_1;1;
603;frui_0;2;
684;final-crs_7;1;1294
704;final-crs_6;2;803
919;gate-keeper;3;
920;gate-keeper;4;
921;vege_0;3;
925;frui_0;4;
942;final-crs_6;3;971
951;final-crs_1;4;184
1223;gate-keeper;5;
1224;gate-keeper;6;
1225;frui_1;6;
1232;final-crs_2;6;1138
1249;meat_0;5;
1273;final-crs_0;5;313
1538;gate-keeper;7;
1539;gate-keeper;8;
1550;meat_0;7;
1567;meat_1;8;
1621;final-crs_1;7;913
1621;final-crs_7;8;1480
1806;gate-keeper;9;
1808;vege_0;9;
1878;final-crs_1;9;560
2156;gate-keeper;10;
2157;frui_1;10;
2157;gate-keeper;11;
2159;vege_0;11;
2160;final-crs_3;10;608
2222;final-crs_0;11;1330
2451;gate-keeper;12;
2452;vege_1;12;
2452;gate-keeper;13;
2459;vege_0;13;
2553;final-crs_7;12;831
2598;final-crs_4;13;798
2753;gate-keeper;14;
2757;vege_1;14;
2835;final-crs_6;14;128
3113;gate-keeper;15;
3114;gate-keeper;16;
3115;gate-keeper;17;
3121;vege_0;15;
3122;vege_1;16;
3129;final-crs_1;15;146
3130;vege_0;17;
3136;final-crs_4;16;258
3137;final-crs_0;17;1113
3422;gate-keeper;18;
3423;vege_1;18;
3423;gate-keeper;19;
3424;vege_0;19;
3452;final-crs_3;18;913
3522;final-crs_7;19;362
3692;gate-keeper;20;
3694;frui_0;20;
3751;gate-keeper;21;
3755;vege_1;21;
3768;final-crs_6;20;471
3778;final-crs_7;21;986
3975;gate-keeper;22;
3977;vege_1;22;
4006;final-crs_6;22;380
4251;gate-keeper;23;
4252;gate-keeper;24;
4254;frui_1;24;
4255;vege_1;23;
4265;final-crs_7;24;773
4282;final-crs_5;23;817
4543;gate-keeper;25;
4545;vege_1;25;
4589;final-crs_2;25;401
4831;gate-keeper;26;
4832;frui_0;26;
4832;gate-keeper;27;
4844;meat_0;27;
4863;final-crs_3;26;694
4900;final-crs_6;27;703
5146;gate-keeper;28;
5147;gate-keeper;29;
5150;frui_1;28;
5156;vege_1;29;
5199;final-crs_7;28;268
5212;final-crs_0;29;119
5384;gate-keeper;30;
5389;vege_0;30;
5416;final-crs_0;30;1058
5602;gate-keeper;31;
5606;vege_0;31;
5624;final-crs_5;31;1027
5892;gate-keeper;32;
5893;gate-keeper;33;
5894;vege_1;32;
5894;meat_1;33;
5900;final-crs_0;32;864
5916;final-crs_6;33;1852
6193;gate-keeper;34;
6194;gate-keeper;35;
6196;vege_1;34;
6199;vege_0;35;
6270;final-crs_4;34;595
6319;final-crs_2;35;734
6476;gate-keeper;36;
6477;frui_1;36;
6477;gate-keeper;37;
6479;vege_1;37;
6519;final-crs_5;36;1167
6550;final-crs_3;37;352
6830;gate-keeper;38;
6831;gate-keeper;39;
6832;vege_1;38;
6833;frui_0;39;
6841;final-crs_2;38;225
6898;final-crs_6;39;321
7068;gate-keeper;40;
7070;vege_0;40;
7085;final-crs_2;40;664
7409;gate-keeper;41;
7410;gate-keeper;42;
7412;frui_0;41;
7416;vege_1;42;
7422;final-crs_5;41;751
7433;final-crs_3;42;526
7729;gate-keeper;43;
7730;gate-keeper;44;
7737;vege_0;43;
7739;vege_1;44;
7776;final-crs_2;43;595
7820;final-crs_6;44;496
8043;gate-keeper;45;
8051;vege_0;45;
8057;final-crs_2;45;1072
8255;gate-keeper;46;
8256;gate-keeper;47;
8257;vege_0;46;
8262;vege_1;47;
8274;final-crs_1;46;1012
8292;final-crs_2;47;271
8516;gate-keeper;48;
8521;vege_0;48;
8552;final-crs_6;48;1563
8713;gate-keeper;49;
8717;vege_0;49;
8740;final-crs_4;49;363
8838;gate-keeper;50;
8841;vege_0;50;
8842;final-crs_3;50;1087
9145;gate-keeper;51;
9146;frui_1;51;
9146;gate-keeper;52;
9151;frui_0;52;
9177;final-crs_4;51;103
9202;final-crs_2;52;996
9535;gate-keeper;53;
9536;gate-keeper;54;
9539;frui_0;54;
9548;final-crs_7;54;348
9553;meat_1;53;
9557;final-crs_3;53;678
9727;gate-keeper;55;
9730;vege_1;55;
9740;final-crs_6;55;1274
9829;gate-keeper;56;
9835;vege_1;56;
9836;final-crs_0;56;829
10106;gate-keeper;57;
10107;gate-keeper;58;
10111;vege_1;57;
10115;vege_0;58;
10130;final-crs_0;57;1837
10137;final-crs_4;58;1394
10394;gate-keeper;59;
10395;gate-keeper;60;
10397;frui_0;60;
10402;vege_0;59;
10438;final-crs_2;60;1186
10458;final-crs_6;59;490
10656;gate-keeper;61;
10657;frui_1;61;
10661;final-crs_4;61;82
11049;gate-keeper;62;
11050;gate-keeper;63;
11051;frui_0;63;
11054;vege_1;62;
11106;final-crs_5;63;1285
11163;final-crs_6;62;1504
11306;gate-keeper;64;
11307;gate-keeper;65;
11308;frui_1;64;
11309;vege_1;65;
11348;final-crs_5;64;834
11376;final-crs_6;65;833
11569;gate-keeper;66;
11571;vege_1;66;
11611;final-crs_6;66;634
11956;gate-keeper;67;
11957;gate-keeper;68;
11963;vege_0;67;
11965;vege_1;68;
12002;final-crs_1;67;1091
12004;final-crs_0;68;835
12049;gate-keeper;69;
12053;vege_1;69;
12073;final-crs_5;69;867
12258;gate-keeper;70;
12259;vege_1;70;
12261;final-crs_5;70;1210
12557;gate-keeper;71;
12558;gate-keeper;72;
12559;vege_0;71;
12564;vege_1;72;
12570;final-crs_6;71;174
12597;final-crs_7;72;330
12872;gate-keeper;73;
12873;vege_0;73;
12876;final-crs_4;73;422
13204;gate-keeper;74;
13205;gate-keeper;75;
13206;vege_0;75;
13206;frui_1;74;
13228;final-crs_5;75;876
13276;final-crs_4;74;275
13501;gate-keeper;76;
13502;gate-keeper;77;
13505;vege_1;77;
13519;final-crs_4;77;1574
13539;meat_0;76;
13561;gate-keeper;78;
13566;frui_0;78;
13610;final-crs_3;76;1646
13611;final-crs_1;78;927
13851;gate-keeper;79;
13853;vege_0;79;
13887;final-crs_0;79;505
14202;gate-keeper;80;
14203;gate-keeper;81;
14204;gate-keeper;82;
14206;vege_0;81;
14207;frui_0;80;
14209;vege_1;82;
14230;final-crs_7;81;121
14238;final-crs_1;80;1488
14253;final-crs_6;82;753
14463;gate-keeper;83;
14466;vege_0;83;
14477;final-crs_7;83;556
14566;gate-keeper;84;
14602;meat_1;84;
14614;final-crs_5;84;1029
14742;gate-keeper;85;
14745;vege_1;85;
14748;final-crs_2;85;216
15040;gate-keeper;86;
15042;vege_1;86;
15102;final-crs_5;86;1318
15269;gate-keeper;87;
15270;gate-keeper;88;
15271;frui_1;88;
15276;vege_0;87;
15343;final-crs_0;88;287
15363;final-crs_6;87;130
15387;gate-keeper;89;
15389;vege_0;89;
15458;final-crs_4;89;462
15715;gate-keeper;90;
15718;frui_0;90;
15724;final-crs_7;90;1453
